Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
19:10,"MISS JUMPER by CALDWELL,CAM",,,,,,,"MISS JUMPER by CALDWELL,CAM",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
19:07,"GOOD JUMPER by CALDWELL,CAM",2 (+2),,0,,SEWANE~1 2-0 (-2),,"GOOD JUMPER by CALDWELL,CAM",1
18:43,,2,,2,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 2-2 (0),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
18:23,"GOOD 3PTR by BUESCHER,HUNTER",5 (+3),,2,,SEWANE~1 5-2 (-3),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
17:54,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
17:41,"MISS LAYUP by WARLICK,JORDAN",,,,,,,"MISS LAYUP by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
17:27,FOUL  by TEAM,,,,,,,FOUL  by TEAM,1
17:27,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
17:27,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
17:27,,5,,5,"GOOD 3PTR by STANLEY,SETH",HENDRIX 5-5 (0),,"GOOD 3PTR by STANLEY,SETH",1
17:26,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
17:06,"MISS FT by WARLICK,JORDAN",,,,,,,"MISS FT by WARLICK,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:03,"MISS FT by WARLICK,JORDAN",,,,,,,"MISS FT by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
16:53,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
16:03,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:03,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
16:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:03,,5,,6 (+1),"GOOD FT by SMITH,PRESTON",HENDRIX 5-6 (+1),,"GOOD FT by SMITH,PRESTON",1
16:03,"MISS JUMPER by CALDWELL,CAM",,,,,,,"MISS JUMPER by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
16:03,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
15:58,"MISS JUMPER by CALDWELL,CAM",,,,,,,"MISS JUMPER by CALDWELL,CAM",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
15:52,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
15:49,"GOOD JUMPER by SMITH,LUKE",7 (+1),,6,,SEWANE~1 7-6 (-1),,"GOOD JUMPER by SMITH,LUKE",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
15:39,"GOOD FT by SMITH,LUKE",8 (+2),,6,,SEWANE~1 8-6 (-2),,"GOOD FT by SMITH,LUKE",1
15:35,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
15:30,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
15:27,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
15:20,,8,,8,"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 8-8 (0),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
15:05,"GOOD JUMPER by CALDWELL,CAM",10 (+2),,8,,SEWANE~1 10-8 (-2),,"GOOD JUMPER by CALDWELL,CAM",1
14:50,,10 (+1),,9,"GOOD FT by SMITH,PRESTON",HENDRIX 10-9 (-1),,"GOOD FT by SMITH,PRESTON",1
