Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
19:46,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
19:46,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",1
19:34,"GOOD 3PTR by COMAN,SEAN",3 (+3),,0,,HENDRIXM 3-0 (+3),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
19:17,,3 (+1),,2,"GOOD JUMPER by WAMBSGANSS,MICHAEL",UD 3-2 (+1),,"GOOD JUMPER by WAMBSGANSS,MICHAEL",1
19:01,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
18:56,"MISS TIPIN by FITCH,CARL",,,,,,,"MISS TIPIN by FITCH,CARL",1
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",1
18:30,,3,,5 (+2),"GOOD 3PTR by MATHIS,DUSTIN",UD 3-5 (-2),,"GOOD 3PTR by MATHIS,DUSTIN",1
--,,,,,"ASSIST  by FRUHWIRTH,LOGAN",,,"ASSIST  by FRUHWIRTH,LOGAN",1
18:13,"GOOD LAYUP by STANLEY,SETH(in the paint)",5,,5,,HENDRIXM 5-5 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
18:13,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
18:13,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
18:13,,,,,"SUB IN by BOUTWELL,BROOKS",,,"SUB IN by BOUTWELL,BROOKS",1
18:13,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",1
17:56,,,,,"TURNOVER  by BOUTWELL,BROOKS",,,"TURNOVER  by BOUTWELL,BROOKS",1
17:45,"GOOD 3PTR by STANLEY,SETH",8 (+3),,5,,HENDRIXM 8-5 (+3),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
17:21,,8 (+1),,7,"GOOD JUMPER by WAMBSGANSS,MICHAEL",UD 8-7 (+1),,"GOOD JUMPER by WAMBSGANSS,MICHAEL",1
--,,,,,"ASSIST  by NUNN,JOSHUA",,,"ASSIST  by NUNN,JOSHUA",1
16:58,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BOUTWELL,BROOKS",,,"REBOUND DEF by BOUTWELL,BROOKS",1
16:57,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
16:38,,8,,9 (+1),"GOOD JUMPER by MATHIS,DUSTIN(in the paint)",UD 8-9 (-1),,"GOOD JUMPER by MATHIS,DUSTIN(in the paint)",1
