Time Remaining,UO-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:41,"GOOD LAYUP by GARDNER,LANCE(in the paint)",2 (+2),,0,,UO-M 2-0 (-2),,"GOOD LAYUP by GARDNER,LANCE(in the paint)",1
19:29,,2,,3 (+1),"GOOD 3PTR by STANLEY,SETH",HENDRIX 2-3 (+1),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:13,"MISS JUMPER by BOWMAN,ETHAN",,,,,,,"MISS JUMPER by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:47,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
18:41,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",4 (+1),,3,,UO-M 4-3 (-1),,"GOOD LAYUP by DAVIS,JACOBE(fastbreak)(in the paint)",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
18:18,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
18:18,"MISS 3PTR by BOWMAN,ETHAN",,,,,,,"MISS 3PTR by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
18:14,,4,,6 (+2),"GOOD 3PTR by STANLEY,SETH",HENDRIX 4-6 (+2),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
17:54,"MISS JUMPER by GARDNER,LANCE",,,,,,,"MISS JUMPER by GARDNER,LANCE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
17:38,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
17:36,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
17:31,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",6,,6,,UO-M 6-6 (0),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
17:20,"FOUL  by DAVIS,JACOBE",,,,,,,"FOUL  by DAVIS,JACOBE",1
