Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:35,"GOOD 3PTR by HIRSH,ELIJAH",3 (+3),,0,,BCM 3-0 (-3),,"GOOD 3PTR by HIRSH,ELIJAH",1
19:02,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
18:54,,3 (+1),,2,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 3-2 (-1),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
18:37,"MISS JUMPER by JOHNSON,CORY",,,,,,,"MISS JUMPER by JOHNSON,CORY",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:17,,3,,5 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIX 3-5 (+2),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
17:53,"GOOD 3PTR by HIRSH,ELIJAH",6 (+1),,5,,BCM 6-5 (-1),,"GOOD 3PTR by HIRSH,ELIJAH",1
--,"ASSIST  by CLARK,ETHAN",,,,,,,"ASSIST  by CLARK,ETHAN",1
17:20,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
17:10,"GOOD LAYUP by HAYNES,CALEB(in the paint)",8 (+3),,5,,BCM 8-5 (-3),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,"ASSIST  by MOORE,MYLES",,,,,,,"ASSIST  by MOORE,MYLES",1
16:55,,8 (+1),,7,"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIX 8-7 (-1),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
16:44,"TURNOVER  by MOORE,MYLES",,,,,,,"TURNOVER  by MOORE,MYLES",1
16:22,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
