Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
20:00,"MISS LAYUP by FEIDER,JP",,,,,,,"MISS LAYUP by FEIDER,JP",1
--,,,,,"REBOUND DEF by CRAWFORD,TRACE",,,"REBOUND DEF by CRAWFORD,TRACE",1
20:00,,0,,2 (+2),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 0-2 (+2),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
19:58,"GOOD JUMPER by ROLAND,DEVIN",2,,2,,ACM 2-2 (0),,"GOOD JUMPER by ROLAND,DEVIN",1
19:38,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
19:36,"STEAL  by HOGAN,KAM",,,,,,,"STEAL  by HOGAN,KAM",1
19:26,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",4 (+2),,2,,ACM 4-2 (-2),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",1
19:13,,4,,4,"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 4-4 (0),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
18:50,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",1
18:34,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,"REBOUND DEF by FEIDER,JP",,,,,,,"REBOUND DEF by FEIDER,JP",1
18:22,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
18:05,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
18:05,"BLOCK  by HOLLAND,MICHAEL",,,,,,,"BLOCK  by HOLLAND,MICHAEL",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
17:52,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND DEF by FEIDER,JP",,,,,,,"REBOUND DEF by FEIDER,JP",1
17:16,"MISS 3PTR by HOLLAND,MICHAEL",,,,,,,"MISS 3PTR by HOLLAND,MICHAEL",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
17:09,,4,,6 (+2),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 4-6 (+2),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
16:46,"GOOD JUMPER by MERCADEL,JUSTICE(in the paint)",6,,6,,ACM 6-6 (0),,"GOOD JUMPER by MERCADEL,JUSTICE(in the paint)",1
16:26,"FOUL  by HOLLAND,MICHAEL",,,,,,,"FOUL  by HOLLAND,MICHAEL",1
16:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:28,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
15:28,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",1
15:28,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
15:28,,,,,"STEAL  by RIDING,JAKE",,,"STEAL  by RIDING,JAKE",1
15:28,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
15:28,"STEAL  by ROLAND,DEVIN",,,,,,,"STEAL  by ROLAND,DEVIN",1
15:26,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",1
15:26,"GOOD LAYUP by HOGAN,KAM(in the paint)",8 (+2),,6,,ACM 8-6 (-2),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
15:14,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:00,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
14:29,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
