Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UAFS,Game Score,Team Indicator,Play,Period
19:34,,0,,3 (+3),"GOOD 3PTR by WARD,DAVID",UAFS 0-3 (-3),,"GOOD 3PTR by WARD,DAVID",1
--,,,,,"ASSIST  by WILLIAMS,TYLER",,,"ASSIST  by WILLIAMS,TYLER",1
19:08,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
19:07,,,,,"STEAL  by WILLIAMS,TYLER",,,"STEAL  by WILLIAMS,TYLER",1
19:05,,0,,5 (+5),"GOOD LAYUP by WILLIAMS,TYLER(fastbreak)(in the paint)",UAFS 0-5 (-5),,"GOOD LAYUP by WILLIAMS,TYLER(fastbreak)(in the paint)",1
19:05,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
19:05,,0,,6 (+6),"GOOD FT by WILLIAMS,TYLER",UAFS 0-6 (-6),,"GOOD FT by WILLIAMS,TYLER",1
18:48,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
18:33,,0,,8 (+8),"GOOD JUMPER by EKEZIE,DAVID(in the paint)",UAFS 0-8 (-8),,"GOOD JUMPER by EKEZIE,DAVID(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,TYLER",,,"ASSIST  by WILLIAMS,TYLER",1
18:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
18:10,"GOOD JUMPER by BRASFIELD,KAM",2,,8 (+6),,HENDRIXM 2-8 (-6),,"GOOD JUMPER by BRASFIELD,KAM",1
18:01,,,,,"TURNOVER  by HAWLEY,SETH",,,"TURNOVER  by HAWLEY,SETH",1
17:56,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
17:42,,,,,"MISS 3PTR by HAWLEY,SETH",,,"MISS 3PTR by HAWLEY,SETH",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
17:40,,,,,"FOUL  by EKEZIE,DAVID",,,"FOUL  by EKEZIE,DAVID",1
17:26,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",4,,8 (+4),,HENDRIXM 4-8 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
17:12,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
17:12,,,,,"MISS FT by WARD,DAVID",,,"MISS FT by WARD,DAVID",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:12,,4,,9 (+5),"GOOD FT by WARD,DAVID",UAFS 4-9 (-5),,"GOOD FT by WARD,DAVID",1
16:57,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",1
--,,,,,"REBOUND DEF by EKEZIE,DAVID",,,"REBOUND DEF by EKEZIE,DAVID",1
16:44,,,,,"MISS 3PTR by HAWLEY,SETH",,,"MISS 3PTR by HAWLEY,SETH",1
--,,,,,"REBOUND OFF by WARD,DAVID",,,"REBOUND OFF by WARD,DAVID",1
16:42,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
16:42,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
16:42,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
16:36,,,,,"MISS 3PTR by WARD,DAVID",,,"MISS 3PTR by WARD,DAVID",1
--,,,,,"REBOUND OFF by EKEZIE,DAVID",,,"REBOUND OFF by EKEZIE,DAVID",1
16:33,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
16:33,,4,,10 (+6),"GOOD FT by EKEZIE,DAVID",UAFS 4-10 (-6),,"GOOD FT by EKEZIE,DAVID",1
16:33,,4,,11 (+7),"GOOD FT by EKEZIE,DAVID",UAFS 4-11 (-7),,"GOOD FT by EKEZIE,DAVID",1
16:33,,,,,"SUB IN by BOYER,BRADEN",,,"SUB IN by BOYER,BRADEN",1
16:33,,,,,"SUB OUT by WARD,DAVID",,,"SUB OUT by WARD,DAVID",1
16:17,,,,,"FOUL  by CRAWFORD,CHRIS",,,"FOUL  by CRAWFORD,CHRIS",1
16:14,"GOOD LAYUP by LINK,JACOB(in the paint)",6,,11 (+5),,HENDRIXM 6-11 (-5),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
15:56,,,,,"TURNOVER  by BOYER,BRADEN",,,"TURNOVER  by BOYER,BRADEN",1
15:55,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
15:49,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by EKEZIE,DAVID",,,"REBOUND DEF by EKEZIE,DAVID",1
15:29,,,,,"TURNOVER  by EKEZIE,DAVID",,,"TURNOVER  by EKEZIE,DAVID",1
15:26,"STEAL  by CRAWFORD,TRACE",,,,,,,"STEAL  by CRAWFORD,TRACE",1
15:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:21,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
15:21,,,,,"SUB IN by SIVINS,MATISS",,,"SUB IN by SIVINS,MATISS",1
15:21,,,,,"SUB OUT by BOYER,BRADEN",,,"SUB OUT by BOYER,BRADEN",1
15:14,,,,,"TURNOVER  by HAWLEY,SETH",,,"TURNOVER  by HAWLEY,SETH",1
15:12,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
15:06,,,,,"FOUL  by EKEZIE,DAVID",,,"FOUL  by EKEZIE,DAVID",1
15:06,"GOOD FT by CONRAD,ALEX",7,,11 (+4),,HENDRIXM 7-11 (-4),,"GOOD FT by CONRAD,ALEX",1
15:06,"GOOD FT by CONRAD,ALEX",8,,11 (+3),,HENDRIXM 8-11 (-3),,"GOOD FT by CONRAD,ALEX",1
15:06,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
15:06,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
15:06,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
15:06,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
15:06,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
15:06,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
15:06,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
15:06,,,,,"SUB IN by MORGAN,MATT",,,"SUB IN by MORGAN,MATT",1
15:06,,,,,"SUB IN by BOWIE,MARC",,,"SUB IN by BOWIE,MARC",1
15:06,,,,,"SUB OUT by EKEZIE,DAVID",,,"SUB OUT by EKEZIE,DAVID",1
15:06,,,,,"SUB OUT by HAWLEY,SETH",,,"SUB OUT by HAWLEY,SETH",1
15:00,,,,,"FOUL  by CRAWFORD,CHRIS",,,"FOUL  by CRAWFORD,CHRIS",1
15:00,,,,,"TURNOVER  by CRAWFORD,CHRIS",,,"TURNOVER  by CRAWFORD,CHRIS",1
15:00,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
14:50,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
14:45,,,,,"TURNOVER  by CRAWFORD,CHRIS",,,"TURNOVER  by CRAWFORD,CHRIS",1
14:43,"STEAL  by CONRAD,ALEX",,,,,,,"STEAL  by CONRAD,ALEX",1
14:41,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by CRAWFORD,CHRIS",,,"REBOUND DEF by CRAWFORD,CHRIS",1
14:33,,8,,14 (+6),"GOOD 3PTR by SIVINS,MATISS",UAFS 8-14 (-6),,"GOOD 3PTR by SIVINS,MATISS",1
--,,,,,"ASSIST  by CRAWFORD,CHRIS",,,"ASSIST  by CRAWFORD,CHRIS",1
14:24,,,,,"SUB IN by HAWLEY,SETH",,,"SUB IN by HAWLEY,SETH",1
14:24,,,,,"SUB OUT by CRAWFORD,CHRIS",,,"SUB OUT by CRAWFORD,CHRIS",1
14:03,"GOOD JUMPER by BRASFIELD,KAM",10,,14 (+4),,HENDRIXM 10-14 (-4),,"GOOD JUMPER by BRASFIELD,KAM",1
13:25,,,,,"MISS JUMPER by WILLIAMS,TYLER",,,"MISS JUMPER by WILLIAMS,TYLER",1
--,,,,,"REBOUND OFF by MORGAN,MATT",,,"REBOUND OFF by MORGAN,MATT",1
13:18,,,,,"MISS 3PTR by HAWLEY,SETH",,,"MISS 3PTR by HAWLEY,SETH",1
--,,,,,"REBOUND OFF by BOWIE,MARC",,,"REBOUND OFF by BOWIE,MARC",1
13:14,,10,,16 (+6),"GOOD DUNK by BOWIE,MARC(in the paint)",UAFS 10-16 (-6),,"GOOD DUNK by BOWIE,MARC(in the paint)",1
13:02,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",12,,16 (+4),,HENDRIXM 12-16 (-4),,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",1
12:43,,,,,"TURNOVER  by HAWLEY,SETH",,,"TURNOVER  by HAWLEY,SETH",1
12:43,,,,,"SUB IN by CRAWFORD,CHRIS",,,"SUB IN by CRAWFORD,CHRIS",1
12:43,,,,,"SUB OUT by WILLIAMS,TYLER",,,"SUB OUT by WILLIAMS,TYLER",1
12:27,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by CRAWFORD,CHRIS",,,"REBOUND DEF by CRAWFORD,CHRIS",1
12:13,,12,,18 (+6),"GOOD LAYUP by CRAWFORD,CHRIS(in the paint)",UAFS 12-18 (-6),,"GOOD LAYUP by CRAWFORD,CHRIS(in the paint)",1
--,,,,,"ASSIST  by BOWIE,MARC",,,"ASSIST  by BOWIE,MARC",1
11:58,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",1
11:58,,,,,"BLOCK  by MORGAN,MATT",,,"BLOCK  by MORGAN,MATT",1
--,,,,,"REBOUND DEF by BOWIE,MARC",,,"REBOUND DEF by BOWIE,MARC",1
11:49,,,,,"MISS LAYUP by SIVINS,MATISS",,,"MISS LAYUP by SIVINS,MATISS",1
