Time Remaining,UD,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:58,"SUB IN by FRUHWIRTH,LOGAN",,,,,,,"SUB IN by FRUHWIRTH,LOGAN",1
19:58,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",1
19:58,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",1
19:58,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",1
19:58,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",1
19:58,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
19:58,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
19:58,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
19:58,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
19:58,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
19:30,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
19:28,"STEAL  by RUSSELL,JOHN",,,,,,,"STEAL  by RUSSELL,JOHN",1
18:59,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by CRAWFORD,TRACE",,,"REBOUND DEF by CRAWFORD,TRACE",1
18:53,,,,,"MISS LAYUP by CRAWFORD,TRACE",,,"MISS LAYUP by CRAWFORD,TRACE",1
--,"REBOUND DEF by FRUHWIRTH,LOGAN",,,,,,,"REBOUND DEF by FRUHWIRTH,LOGAN",1
18:40,"TURNOVER  by WAMBSGANSS,MICHAEL",,,,,,,"TURNOVER  by WAMBSGANSS,MICHAEL",1
18:38,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
18:26,"FOUL  by WAMBSGANSS,MICHAEL",,,,,,,"FOUL  by WAMBSGANSS,MICHAEL",1
18:12,,0,,1 (+1),"GOOD FT by LINK,JACOB",HENDRIX 0-1 (+1),,"GOOD FT by LINK,JACOB",1
18:00,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
17:48,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",2 (+1),,1,,UD 2-1 (-1),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
17:48,,2,,4 (+2),"GOOD 3PTR by BRASFIELD,KAM",HENDRIX 2-4 (+2),,"GOOD 3PTR by BRASFIELD,KAM",1
--,,,,,"ASSIST  by RIDING,JAKE",,,"ASSIST  by RIDING,JAKE",1
17:41,"TURNOVER  by RUSSELL,JOHN",,,,,,,"TURNOVER  by RUSSELL,JOHN",1
17:40,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
17:35,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
17:17,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",1
