Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:50,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
19:39,"FOUL  by PRINCE,TY",,,,,,,"FOUL  by PRINCE,TY",1
19:39,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:39,,0,,1 (+1),"GOOD FT by BRASFIELD,KAM",HENDRIX 0-1 (+1),,"GOOD FT by BRASFIELD,KAM",1
19:24,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",1
19:23,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
19:06,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
19:04,"STEAL  by RAY,RICKY",,,,,,,"STEAL  by RAY,RICKY",1
18:51,"GOOD LAYUP by PRINCE,TY(in the paint)",2 (+1),,1,,CENTMB 2-1 (-1),,"GOOD LAYUP by PRINCE,TY(in the paint)",1
18:29,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
18:29,"STEAL  by RAY,RICKY",,,,,,,"STEAL  by RAY,RICKY",1
18:29,"MISS LAYUP by RAY,RICKY",,,,,,,"MISS LAYUP by RAY,RICKY",1
18:29,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
18:16,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
18:14,,2,,3 (+1),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 2-3 (+1),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
17:52,"GOOD 3PTR by MINGO,KILE",5 (+2),,3,,CENTMB 5-3 (-2),,"GOOD 3PTR by MINGO,KILE",1
17:27,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND DEF by PRINCE,TY",,,,,,,"REBOUND DEF by PRINCE,TY",1
17:14,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
17:14,"SUB IN by SMITH,DAKOTA",,,,,,,"SUB IN by SMITH,DAKOTA",1
17:14,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
17:14,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
17:14,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
16:58,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
16:26,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
16:23,,5,,5,"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 5-5 (0),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
16:04,"MISS 3PTR by MINGO,KILE",,,,,,,"MISS 3PTR by MINGO,KILE",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
15:51,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
--,"REBOUND DEF by PRINCE,TY",,,,,,,"REBOUND DEF by PRINCE,TY",1
15:31,"TURNOVER  by PRINCE,TY",,,,,,,"TURNOVER  by PRINCE,TY",1
15:30,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",1
15:27,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
15:27,"BLOCK  by SMITH,DAKOTA",,,,,,,"BLOCK  by SMITH,DAKOTA",1
--,,,,,"REBOUND OFF by CALAMESE,MICHAEL",,,"REBOUND OFF by CALAMESE,MICHAEL",1
15:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:11,,5,,6 (+1),"GOOD FT by FITCH,CARL",HENDRIX 5-6 (+1),,"GOOD FT by FITCH,CARL",1
15:11,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by HENTON,MATTHEW",,,,,,,"REBOUND DEF by HENTON,MATTHEW",1
14:58,"GOOD LAYUP by RAY,RICKY(in the paint)",7 (+1),,6,,CENTMB 7-6 (-1),,"GOOD LAYUP by RAY,RICKY(in the paint)",1
14:58,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
14:58,"GOOD FT by RAY,RICKY",8 (+2),,6,,CENTMB 8-6 (-2),,"GOOD FT by RAY,RICKY",1
14:58,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
14:58,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
14:18,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
14:18,"STEAL  by MATTHEWS,TREYLAN",,,,,,,"STEAL  by MATTHEWS,TREYLAN",1
14:17,"TURNOVER  by CARTER,KAHARRI",,,,,,,"TURNOVER  by CARTER,KAHARRI",1
14:07,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
14:07,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
13:54,,8,,8,"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 8-8 (0),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
13:54,"FOUL  by RAY,RICKY",,,,,,,"FOUL  by RAY,RICKY",1
13:54,,8,,9 (+1),"GOOD FT by COMAN,SEAN",HENDRIX 8-9 (+1),,"GOOD FT by COMAN,SEAN",1
13:54,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
13:54,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",1
13:54,"SUB IN by HENTON,MATTHEW",,,,,,,"SUB IN by HENTON,MATTHEW",1
13:54,"SUB OUT by SMITH,DAKOTA",,,,,,,"SUB OUT by SMITH,DAKOTA",1
13:54,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",1
13:54,"SUB OUT by RAY,RICKY",,,,,,,"SUB OUT by RAY,RICKY",1
13:54,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
13:54,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
13:29,"MISS LAYUP by HENTON,MATTHEW",,,,,,,"MISS LAYUP by HENTON,MATTHEW",1
13:29,,,,,"BLOCK  by RIDING,JAKE",,,"BLOCK  by RIDING,JAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:15,"GOOD 3PTR by PRINCE,TY",11 (+2),,9,,CENTMB 11-9 (-2),,"GOOD 3PTR by PRINCE,TY",1
--,"ASSIST  by CARTER,KAHARRI",,,,,,,"ASSIST  by CARTER,KAHARRI",1
12:51,,11,,11,"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 11-11 (0),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by RIDING,JAKE",,,"ASSIST  by RIDING,JAKE",1
12:34,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",1
