Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UT-DALLA,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD JUMPER by UNDERWOOD,DIMITRIUS",UT-DALLA 0-2 (-2),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",1
--,,,,,"ASSIST  by FERRELL,XAVIER",,,"ASSIST  by FERRELL,XAVIER",1
19:14,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
19:04,,0,,4 (+4),"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",UT-DALLA 0-4 (-4),,"GOOD LAYUP by FORSTER,MICHAEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
18:54,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
18:45,,,,,"TURNOVER  by BURWITZ,HANS",,,"TURNOVER  by BURWITZ,HANS",1
18:36,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
18:26,,0,,7 (+7),"GOOD 3PTR by WEER,JALEN",UT-DALLA 0-7 (-7),,"GOOD 3PTR by WEER,JALEN",1
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
18:04,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
17:58,,0,,9 (+9),"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",UT-DALLA 0-9 (-9),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
17:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:39,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
17:16,,,,,"MISS JUMPER by FORSTER,MICHAEL",,,"MISS JUMPER by FORSTER,MICHAEL",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
17:09,,,,,"FOUL  by WEER,JALEN",,,"FOUL  by WEER,JALEN",1
16:56,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by FERRELL,XAVIER",,,"REBOUND DEF by FERRELL,XAVIER",1
16:49,,0,,12 (+12),"GOOD 3PTR by WEER,JALEN(fastbreak)",UT-DALLA 0-12 (-12),,"GOOD 3PTR by WEER,JALEN(fastbreak)",1
--,,,,,"ASSIST  by FERRELL,XAVIER",,,"ASSIST  by FERRELL,XAVIER",1
16:29,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
16:20,,,,,"TURNOVER  by BURWITZ,HANS",,,"TURNOVER  by BURWITZ,HANS",1
16:20,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
16:14,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2,,12 (+10),,HENDRIX 2-12 (-10),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
15:56,,,,,"MISS 3PTR by WEER,JALEN",,,"MISS 3PTR by WEER,JALEN",1
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",1
15:44,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",4,,12 (+8),,HENDRIX 4-12 (-8),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
15:44,,,,,"FOUL  by BURWITZ,HANS",,,"FOUL  by BURWITZ,HANS",1
15:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:44,"GOOD FT by LINK,JACOB(fastbreak)",5,,12 (+7),,HENDRIX 5-12 (-7),,"GOOD FT by LINK,JACOB(fastbreak)",1
15:26,,5,,14 (+9),"GOOD JUMPER by UNDERWOOD,DIMITRIUS",UT-DALLA 5-14 (-9),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",1
--,,,,,"ASSIST  by FERRELL,XAVIER",,,"ASSIST  by FERRELL,XAVIER",1
15:17,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
15:17,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
15:17,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
15:14,,5,,16 (+11),"GOOD LAYUP by BURWITZ,HANS(in the paint)",UT-DALLA 5-16 (-11),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",1
14:54,"TURNOVER  by CRAWFORD,TRACE",,,,,,,"TURNOVER  by CRAWFORD,TRACE",1
14:54,,,,,"STEAL  by UNDERWOOD,DIMITRIUS",,,"STEAL  by UNDERWOOD,DIMITRIUS",1
14:48,,,,,"FOUL  by FERRELL,XAVIER",,,"FOUL  by FERRELL,XAVIER",1
14:48,,,,,"TURNOVER  by FERRELL,XAVIER",,,"TURNOVER  by FERRELL,XAVIER",1
14:27,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
14:20,,5,,18 (+13),"GOOD JUMPER by UNDERWOOD,DIMITRIUS(fastbreak)",UT-DALLA 5-18 (-13),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS(fastbreak)",1
14:07,"GOOD LAYUP by CONRAD,ALEX(in the paint)",7,,18 (+11),,HENDRIX 7-18 (-11),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
13:35,,7,,20 (+13),"GOOD JUMPER by WEER,JALEN",UT-DALLA 7-20 (-13),,"GOOD JUMPER by WEER,JALEN",1
13:16,,,,,"FOUL  by FERRELL,XAVIER",,,"FOUL  by FERRELL,XAVIER",1
13:16,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
13:16,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
13:16,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
13:16,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
13:16,,,,,"SUB IN by CASTILLO,JORDAN",,,"SUB IN by CASTILLO,JORDAN",1
13:16,,,,,"SUB IN by PRUITT,KELDEN",,,"SUB IN by PRUITT,KELDEN",1
13:16,,,,,"SUB IN by KISER,DREW",,,"SUB IN by KISER,DREW",1
13:16,,,,,"SUB IN by ALLEN,CURTIS",,,"SUB IN by ALLEN,CURTIS",1
13:16,,,,,"SUB OUT by FERRELL,XAVIER",,,"SUB OUT by FERRELL,XAVIER",1
13:16,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",,,"SUB OUT by UNDERWOOD,DIMITRIUS",1
13:16,,,,,"SUB OUT by BURWITZ,HANS",,,"SUB OUT by BURWITZ,HANS",1
13:16,,,,,"SUB OUT by FORSTER,MICHAEL",,,"SUB OUT by FORSTER,MICHAEL",1
12:59,"GOOD 3PTR by COMAN,SEAN",10,,20 (+10),,HENDRIX 10-20 (-10),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
12:37,,,,,"MISS 3PTR by ALLEN,CURTIS",,,"MISS 3PTR by ALLEN,CURTIS",1
--,,,,,"REBOUND OFF by ALLEN,CURTIS",,,"REBOUND OFF by ALLEN,CURTIS",1
12:31,,10,,22 (+12),"GOOD LAYUP by ALLEN,CURTIS(in the paint)",UT-DALLA 10-22 (-12),,"GOOD LAYUP by ALLEN,CURTIS(in the paint)",1
12:09,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by PRUITT,KELDEN",,,"REBOUND DEF by PRUITT,KELDEN",1
12:04,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
12:04,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
