Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
16:43,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
16:42,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",4,,4,,HENDRIX 4-4 (0),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
16:24,,,,,"MISS LAYUP by FEIDER,JP",,,"MISS LAYUP by FEIDER,JP",1
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",1
16:22,,,,,"MISS LAYUP by FEIDER,JP",,,"MISS LAYUP by FEIDER,JP",1
16:22,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
16:07,"GOOD 3PTR by SMITH,PRESTON",7 (+3),,4,,HENDRIX 7-4 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
15:51,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
15:44,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",1
15:37,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,,,,,"REBOUND OFF by ROLAND,DEVIN",,,"REBOUND OFF by ROLAND,DEVIN",1
15:34,,,,,"MISS JUMPER by ROLAND,DEVIN",,,"MISS JUMPER by ROLAND,DEVIN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
15:32,,,,,"FOUL  by FEIDER,JP",,,"FOUL  by FEIDER,JP",1
15:32,"GOOD FT by FITCH,CARL",8 (+4),,4,,HENDRIX 8-4 (+4),,"GOOD FT by FITCH,CARL",1
15:32,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:32,,,,,"SUB IN by MATTICH,BLAKE",,,"SUB IN by MATTICH,BLAKE",1
15:32,,,,,"SUB IN by BRUMBAUGH,LUKE",,,"SUB IN by BRUMBAUGH,LUKE",1
15:32,,,,,"SUB OUT by FEIDER,JP",,,"SUB OUT by FEIDER,JP",1
15:32,,,,,"SUB OUT by MERCADEL,JUSTICE",,,"SUB OUT by MERCADEL,JUSTICE",1
15:16,,,,,"FOUL  by MATTICH,BLAKE",,,"FOUL  by MATTICH,BLAKE",1
15:15,"GOOD LAYUP by FITCH,CARL(in the paint)",10 (+6),,4,,HENDRIX 10-4 (+6),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
15:12,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
15:12,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
15:12,,,,,"SUB OUT by MATTICH,BLAKE",,,"SUB OUT by MATTICH,BLAKE",1
14:54,,10 (+3),,7,"GOOD 3PTR by HOLLAND,MICHAEL",ACM 10-7 (+3),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,,,,,"ASSIST ASSIST by ROLAND,DEVIN",,,"ASSIST ASSIST by ROLAND,DEVIN",1
14:35,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",1
14:23,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
14:23,,,,,"BLOCK  by BRUMBAUGH,LUKE",,,"BLOCK  by BRUMBAUGH,LUKE",1
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",1
14:06,,10 (+1),,9,"GOOD JUMPER by HOGAN,KAM(in the paint)",ACM 10-9 (+1),,"GOOD JUMPER by HOGAN,KAM(in the paint)",1
13:48,,,,,"FOUL  by HOGAN,KAM",,,"FOUL  by HOGAN,KAM",1
13:48,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
13:48,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
13:39,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
13:29,,10,,11 (+1),"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",ACM 10-11 (-1),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",1
13:05,,,,,"FOUL  by HILL,KAMERON",,,"FOUL  by HILL,KAMERON",1
13:05,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
13:05,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
13:03,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
12:49,"GOOD 3PTR by LINK,JACOB",13 (+2),,11,,HENDRIX 13-11 (+2),,"GOOD 3PTR by LINK,JACOB",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
12:27,,,,,"MISS JUMPER by ROLAND,DEVIN",,,"MISS JUMPER by ROLAND,DEVIN",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
12:19,"GOOD 3PTR by SMITH,PRESTON",16 (+5),,11,,HENDRIX 16-11 (+5),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST ASSIST by LINK,JACOB",,,,,,,"ASSIST ASSIST by LINK,JACOB",1
11:56,,16 (+3),,13,"GOOD JUMPER by HOGAN,KAM",ACM 16-13 (+3),,"GOOD JUMPER by HOGAN,KAM",1
11:48,,,,,"FOUL  by HILL,KAMERON",,,"FOUL  by HILL,KAMERON",1
11:48,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
11:48,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
11:48,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
11:48,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
11:48,,,,,"SUB IN by LOCKMAN,DEREK",,,"SUB IN by LOCKMAN,DEREK",1
11:48,,,,,"SUB IN by MERCADEL,JUSTICE",,,"SUB IN by MERCADEL,JUSTICE",1
11:48,,,,,"SUB OUT by HILL,KAMERON",,,"SUB OUT by HILL,KAMERON",1
11:48,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
11:46,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
11:41,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
11:29,,,,,"TURNOVER  by LOCKMAN,DEREK",,,"TURNOVER  by LOCKMAN,DEREK",1
11:28,"STEAL  by CALAMESE,MICHAEL",,,,,,,"STEAL  by CALAMESE,MICHAEL",1
11:16,"TURNOVER  by RIDING,JAKE",,,,,,,"TURNOVER  by RIDING,JAKE",1
11:16,,,,,"SUB IN by CLEAMONS,JAYLYN",,,"SUB IN by CLEAMONS,JAYLYN",1
11:16,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
10:55,,,,,"MISS JUMPER by CLEAMONS,JAYLYN",,,"MISS JUMPER by CLEAMONS,JAYLYN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:34,"GOOD 3PTR by ROUSE,TREY",19 (+6),,13,,HENDRIX 19-13 (+6),,"GOOD 3PTR by ROUSE,TREY",1
10:16,,19 (+4),,15,"GOOD LAYUP by BRUMBAUGH,LUKE(in the paint)",ACM 19-15 (+4),,"GOOD LAYUP by BRUMBAUGH,LUKE(in the paint)",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
10:04,"GOOD LAYUP by CONRAD,ALEX(in the paint)",21 (+6),,15,,HENDRIX 21-15 (+6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST ASSIST by CALAMESE,MICHAEL",,,,,,,"ASSIST ASSIST by CALAMESE,MICHAEL",1
09:42,,21 (+3),,18,"GOOD 3PTR by HOLLAND,MICHAEL",ACM 21-18 (+3),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
09:23,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",1
09:11,,21 (+1),,20,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",ACM 21-20 (+1),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",1
08:58,,,,,"FOUL  by HOLLAND,MICHAEL",,,"FOUL  by HOLLAND,MICHAEL",1
08:58,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
08:58,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
08:58,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",1
08:58,,,,,"SUB OUT by HOLLAND,MICHAEL",,,"SUB OUT by HOLLAND,MICHAEL",1
08:52,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",1
08:48,,,,,"TURNOVER  by BRUMBAUGH,LUKE",,,"TURNOVER  by BRUMBAUGH,LUKE",1
08:48,"STEAL  by RIDING,JAKE",,,,,,,"STEAL  by RIDING,JAKE",1
08:43,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by HOGAN,KAM",,,"REBOUND DEF by HOGAN,KAM",1
08:34,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
08:34,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
08:24,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
08:24,,,,,"MISS FT by HOGAN,KAM",,,"MISS FT by HOGAN,KAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:24,,21,,21,"GOOD FT by HOGAN,KAM",ACM 21-21 (0),,"GOOD FT by HOGAN,KAM",1
07:54,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
07:54,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
07:53,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
07:39,,,,,"FOUL  by MERCADEL,JUSTICE",,,"FOUL  by MERCADEL,JUSTICE",1
07:39,"GOOD FT by CALAMESE,MICHAEL",22 (+1),,21,,HENDRIX 22-21 (+1),,"GOOD FT by CALAMESE,MICHAEL",1
07:39,"GOOD FT by CALAMESE,MICHAEL",23 (+2),,21,,HENDRIX 23-21 (+2),,"GOOD FT by CALAMESE,MICHAEL",1
07:25,,23,,24 (+1),"GOOD 3PTR by LOCKMAN,DEREK",ACM 23-24 (-1),,"GOOD 3PTR by LOCKMAN,DEREK",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
07:10,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
07:09,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
07:08,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
07:07,"STEAL  by RIDING,JAKE",,,,,,,"STEAL  by RIDING,JAKE",1
07:04,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
06:51,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
06:51,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
06:51,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
06:51,,,,,"SUB IN by ROLAND,DEVIN",,,"SUB IN by ROLAND,DEVIN",1
06:51,,,,,"SUB OUT by CLEAMONS,JAYLYN",,,"SUB OUT by CLEAMONS,JAYLYN",1
06:32,,23,,27 (+4),"GOOD 3PTR by HOGAN,KAM",ACM 23-27 (-4),,"GOOD 3PTR by HOGAN,KAM",1
--,,,,,"ASSIST ASSIST by LOCKMAN,DEREK",,,"ASSIST ASSIST by LOCKMAN,DEREK",1
06:17,"GOOD JUMPER by CALAMESE,MICHAEL(in the paint)",25,,27 (+2),,HENDRIX 25-27 (-2),,"GOOD JUMPER by CALAMESE,MICHAEL(in the paint)",1
06:03,,,,,"MISS 3PTR by LOCKMAN,DEREK",,,"MISS 3PTR by LOCKMAN,DEREK",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
05:59,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",1
05:59,"GOOD FT by FITCH,CARL",26,,27 (+1),,HENDRIX 26-27 (-1),,"GOOD FT by FITCH,CARL",1
05:59,"GOOD FT by FITCH,CARL",27,,27,,HENDRIX 27-27 (0),,"GOOD FT by FITCH,CARL",1
05:59,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
05:59,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
05:59,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
05:59,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
05:59,,,,,"SUB IN by HOLLAND,MICHAEL",,,"SUB IN by HOLLAND,MICHAEL",1
05:59,,,,,"SUB OUT by LOCKMAN,DEREK",,,"SUB OUT by LOCKMAN,DEREK",1
05:53,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
--,,,,,"ASSIST ASSIST by HOLLAND,MICHAEL",,,"ASSIST ASSIST by HOLLAND,MICHAEL",1
05:38,,27,,29 (+2),"GOOD JUMPER by MERCADEL,JUSTICE",ACM 27-29 (-2),,"GOOD JUMPER by MERCADEL,JUSTICE",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
05:17,"GOOD LAYUP by STANLEY,SETH(in the paint)",29,,29,,HENDRIX 29-29 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
05:00,,29,,31 (+2),"GOOD JUMPER by MERCADEL,JUSTICE",ACM 29-31 (-2),,"GOOD JUMPER by MERCADEL,JUSTICE",1
04:49,"GOOD 3PTR by STANLEY,SETH",32 (+1),,31,,HENDRIX 32-31 (+1),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
04:46,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,1
04:46,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
04:46,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
04:46,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
04:46,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:26,,,,,"TURNOVER  by HOLLAND,MICHAEL",,,"TURNOVER  by HOLLAND,MICHAEL",1
04:04,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
04:03,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
03:57,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
03:57,,32,,32,"GOOD FT by ROLAND,DEVIN",ACM 32-32 (0),,"GOOD FT by ROLAND,DEVIN",1
03:57,,32,,33 (+1),"GOOD FT by ROLAND,DEVIN",ACM 32-33 (-1),,"GOOD FT by ROLAND,DEVIN",1
03:57,,,,,"SUB IN by MATTICH,BLAKE",,,"SUB IN by MATTICH,BLAKE",1
03:57,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
03:37,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
03:37,,,,,"FOUL  by MATTICH,BLAKE",,,"FOUL  by MATTICH,BLAKE",1
03:37,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
03:37,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
03:37,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
03:37,,,,,"SUB IN by ROLAND,DEVIN",,,"SUB IN by ROLAND,DEVIN",1
03:37,,,,,"SUB OUT by MATTICH,BLAKE",,,"SUB OUT by MATTICH,BLAKE",1
03:23,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,,,,,"REBOUND OFF by BRUMBAUGH,LUKE",,,"REBOUND OFF by BRUMBAUGH,LUKE",1
03:19,,,,,"MISS LAYUP by BRUMBAUGH,LUKE",,,"MISS LAYUP by BRUMBAUGH,LUKE",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
03:08,"GOOD 3PTR by SMITH,PRESTON",35 (+2),,33,,HENDRIX 35-33 (+2),,"GOOD 3PTR by SMITH,PRESTON",1
02:55,,35,,35,"GOOD JUMPER by ROLAND,DEVIN",ACM 35-35 (0),,"GOOD JUMPER by ROLAND,DEVIN",1
02:36,"GOOD 3PTR by BRASFIELD,KAM",38 (+3),,35,,HENDRIX 38-35 (+3),,"GOOD 3PTR by BRASFIELD,KAM",1
02:03,,,,,"MISS JUMPER by HOLLAND,MICHAEL",,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
01:55,,,,,"FOUL  by HOGAN,KAM",,,"FOUL  by HOGAN,KAM",1
01:55,"GOOD FT by SMITH,PRESTON",39 (+4),,35,,HENDRIX 39-35 (+4),,"GOOD FT by SMITH,PRESTON",1
01:55,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:55,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",1
01:55,,,,,"SUB IN by LOCKMAN,DEREK",,,"SUB IN by LOCKMAN,DEREK",1
01:55,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
01:36,,,,,"MISS 3PTR by LOCKMAN,DEREK",,,"MISS 3PTR by LOCKMAN,DEREK",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
01:23,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",1
01:23,"GOOD FT by BRASFIELD,KAM",40 (+5),,35,,HENDRIX 40-35 (+5),,"GOOD FT by BRASFIELD,KAM",1
01:23,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,1
01:23,"GOOD FT by BRASFIELD,KAM",41 (+6),,35,,HENDRIX 41-35 (+6),,"GOOD FT by BRASFIELD,KAM",1
01:23,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
01:23,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
01:23,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",1
01:23,,,,,"SUB OUT by BRUMBAUGH,LUKE",,,"SUB OUT by BRUMBAUGH,LUKE",1
01:12,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
01:12,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
01:10,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",43 (+8),,35,,HENDRIX 43-35 (+8),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",1
--,"ASSIST ASSIST by BRASFIELD,KAM",,,,,,,"ASSIST ASSIST by BRASFIELD,KAM",1
00:55,,43 (+6),,37,"GOOD LAYUP by FEIDER,JP(in the paint)",ACM 43-37 (+6),,"GOOD LAYUP by FEIDER,JP(in the paint)",1
--,,,,,"ASSIST ASSIST by MERCADEL,JUSTICE",,,"ASSIST ASSIST by MERCADEL,JUSTICE",1
00:54,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
00:54,,43 (+5),,38,"GOOD FT by FEIDER,JP",ACM 43-38 (+5),,"GOOD FT by FEIDER,JP",1
00:42,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
00:29,"GOOD 3PTR by STANLEY,SETH",46 (+8),,38,,HENDRIX 46-38 (+8),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST ASSIST by SMITH,PRESTON",,,,,,,"ASSIST ASSIST by SMITH,PRESTON",1
00:17,,46 (+6),,40,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",ACM 46-40 (+6),,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",1
00:05,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",1
19:56,,,,,"SUB IN by BRUMBAUGH,LUKE",,,"SUB IN by BRUMBAUGH,LUKE",2
19:56,,,,,"SUB OUT by FEIDER,JP",,,"SUB OUT by FEIDER,JP",2
19:49,,,,,"TURNOVER  by BRUMBAUGH,LUKE",,,"TURNOVER  by BRUMBAUGH,LUKE",2
19:49,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",2
19:27,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",2
19:15,,,,,"MISS JUMPER by ROLAND,DEVIN",,,"MISS JUMPER by ROLAND,DEVIN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
19:07,,,,,"FOUL  by ROLAND,DEVIN",,,"FOUL  by ROLAND,DEVIN",2
19:07,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:07,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",2
18:43,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
18:43,,46 (+5),,41,"GOOD FT by HOGAN,KAM",ACM 46-41 (+5),,"GOOD FT by HOGAN,KAM",2
