Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
19:48,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
19:45,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
19:32,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
19:30,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
19:20,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2 (+2),,0,,OUM 2-0 (-2),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
18:53,,2,,3 (+1),"GOOD 3PTR by MILLER,DREW",RHODESMB 2-3 (+1),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by HOECK,RYAN VAN",,,"ASSIST  by HOECK,RYAN VAN",1
18:33,"GOOD 3PTR by ROHLFS,VICTOR",5 (+2),,3,,OUM 5-3 (-2),,"GOOD 3PTR by ROHLFS,VICTOR",1
--,"ASSIST  by COURSON,TYLER",,,,,,,"ASSIST  by COURSON,TYLER",1
18:06,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
18:03,"STEAL  by ROHLFS,VICTOR",,,,,,,"STEAL  by ROHLFS,VICTOR",1
18:00,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
17:39,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
17:14,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",7 (+4),,3,,OUM 7-3 (-4),,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",1
16:35,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
16:23,"GOOD 3PTR by COURSON,TYLER",10 (+7),,3,,OUM 10-3 (-7),,"GOOD 3PTR by COURSON,TYLER",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
15:56,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
15:56,"BLOCK  by PATRICK,DREW",,,,,,,"BLOCK  by PATRICK,DREW",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
15:44,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",12 (+9),,3,,OUM 12-3 (-9),,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",1
--,"ASSIST  by KINNEY,JORDAN",,,,,,,"ASSIST  by KINNEY,JORDAN",1
15:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:15,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
15:13,"STEAL  by KINNEY,JORDAN",,,,,,,"STEAL  by KINNEY,JORDAN",1
14:55,"GOOD 3PTR by COURSON,TYLER",15 (+12),,3,,OUM 15-3 (-12),,"GOOD 3PTR by COURSON,TYLER",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
14:43,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
14:30,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
