Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
15:50,,,,,"MISS LAYUP by DUNAVANT,JOHNNY",,,"MISS LAYUP by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",1
15:28,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
15:28,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",1
15:28,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",1
15:28,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
15:28,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
15:28,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
15:28,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
15:26,"GOOD JUMPER by WAGNER,MARK",6,,7 (+1),,LCM 6-7 (+1),,"GOOD JUMPER by WAGNER,MARK",1
--,"ASSIST  by CORE,ISAIAH",,,,,,,"ASSIST  by CORE,ISAIAH",1
14:51,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
14:51,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
14:36,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",8 (+1),,7,,LCM 8-7 (-1),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",1
14:19,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
14:19,"STEAL  by MITCHELL,NICK",,,,,,,"STEAL  by MITCHELL,NICK",1
14:05,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
13:52,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",1
13:35,"GOOD 3PTR by WAGNER,MARK(fastbreak)",11 (+4),,7,,LCM 11-7 (-4),,"GOOD 3PTR by WAGNER,MARK(fastbreak)",1
--,"ASSIST  by CORE,ISAIAH",,,,,,,"ASSIST  by CORE,ISAIAH",1
13:27,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
13:27,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1
13:27,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",1
13:13,,11 (+2),,9,"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 11-9 (-2),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
12:49,"TURNOVER  by DUGGER,PATRICK",,,,,,,"TURNOVER  by DUGGER,PATRICK",1
12:49,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
12:49,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
12:49,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
12:49,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
12:35,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
12:35,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",1
12:35,"SUB OUT by CORE,ISAIAH",,,,,,,"SUB OUT by CORE,ISAIAH",1
12:33,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:18,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",1
12:18,,11 (+1),,10,"GOOD FT by COLLINS,LUKE",RHODESMB 11-10 (-1),,"GOOD FT by COLLINS,LUKE",1
12:18,,11,,11,"GOOD FT by COLLINS,LUKE",RHODESMB 11-11 (0),,"GOOD FT by COLLINS,LUKE",1
12:18,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
12:18,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
12:04,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",1
--,"REBOUND OFF by DUGGER,PATRICK",,,,,,,"REBOUND OFF by DUGGER,PATRICK",1
11:55,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
11:16,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:14,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
11:08,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
11:04,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
11:04,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
11:04,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",1
11:04,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",1
11:04,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
11:04,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
11:00,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
11:00,,11,,12 (+1),"GOOD FT by WATSON,SHANE",RHODESMB 11-12 (+1),,"GOOD FT by WATSON,SHANE",1
11:00,,,,,"MISS FT by WATSON,SHANE",,,"MISS FT by WATSON,SHANE",1
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",1
11:00,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",1
11:00,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",1
10:47,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",1
10:47,"TURNOVER  by BAXTER,DUSTIN",,,,,,,"TURNOVER  by BAXTER,DUSTIN",1
10:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:19,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
10:19,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
10:19,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
10:19,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
10:17,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1
10:17,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",1
10:17,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",1
10:17,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
09:44,"MISS 3PTR by DANIEL,DONTA",,,,,,,"MISS 3PTR by DANIEL,DONTA",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
09:25,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",1
09:20,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",1
09:14,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",1
09:14,,11,,13 (+2),"GOOD FT by WAGNER,MATT",RHODESMB 11-13 (+2),,"GOOD FT by WAGNER,MATT",1
09:14,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",1
09:14,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
09:14,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
09:14,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
09:14,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
08:57,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
08:50,,11,,15 (+4),"GOOD LAYUP by GALLAGHER,MICHAEL(fastbreak)(in the paint)",RHODESMB 11-15 (+4),,"GOOD LAYUP by GALLAGHER,MICHAEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",1
08:50,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
08:50,,11,,16 (+5),"GOOD FT by GALLAGHER,MICHAEL",RHODESMB 11-16 (+5),,"GOOD FT by GALLAGHER,MICHAEL",1
08:50,"SUB IN by CORE,ISAIAH",,,,,,,"SUB IN by CORE,ISAIAH",1
08:50,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",1
08:28,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
08:15,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
08:15,,11,,17 (+6),"GOOD FT by WAGNER,MATT",RHODESMB 11-17 (+6),,"GOOD FT by WAGNER,MATT",1
08:15,,11,,18 (+7),"GOOD FT by WAGNER,MATT",RHODESMB 11-18 (+7),,"GOOD FT by WAGNER,MATT",1
08:15,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",1
08:11,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
08:00,"MISS JUMPER by BAXTER,DUSTIN",,,,,,,"MISS JUMPER by BAXTER,DUSTIN",1
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",1
07:57,,11,,20 (+9),"GOOD LAYUP by WATSON,SHANE(in the paint)",RHODESMB 11-20 (+9),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
07:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:57,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
07:57,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",1
07:57,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
07:57,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
07:49,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
07:43,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
07:43,"GOOD FT by WHITE,MIKE",12,,20 (+8),,LCM 12-20 (+8),,"GOOD FT by WHITE,MIKE",1
07:43,"MISS FT by WHITE,MIKE",,,,,,,"MISS FT by WHITE,MIKE",1
--,"REBOUND OFF by CORE,ISAIAH",,,,,,,"REBOUND OFF by CORE,ISAIAH",1
07:38,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",1
--,"REBOUND OFF by CORE,ISAIAH",,,,,,,"REBOUND OFF by CORE,ISAIAH",1
07:19,"TURNOVER  by CORE,ISAIAH",,,,,,,"TURNOVER  by CORE,ISAIAH",1
07:17,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
07:10,"FOUL  by CORE,ISAIAH",,,,,,,"FOUL  by CORE,ISAIAH",1
07:10,,12,,21 (+9),"GOOD FT by MILLER,DREW",RHODESMB 12-21 (+9),,"GOOD FT by MILLER,DREW",1
07:10,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by BAXTER,DUSTIN",,,,,,,"REBOUND DEF by BAXTER,DUSTIN",1
07:05,"GOOD 3PTR by HOWARD,JEROD(fastbreak)",15,,21 (+6),,LCM 15-21 (+6),,"GOOD 3PTR by HOWARD,JEROD(fastbreak)",1
06:47,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:47,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
06:47,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
06:47,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
06:43,,,,,"TURNOVER  by DUNAVANT,JOHNNY",,,"TURNOVER  by DUNAVANT,JOHNNY",1
06:43,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",1
06:43,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
06:33,"FOUL  by CORE,ISAIAH",,,,,,,"FOUL  by CORE,ISAIAH",1
06:33,"TURNOVER  by CORE,ISAIAH",,,,,,,"TURNOVER  by CORE,ISAIAH",1
06:33,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",1
06:33,"SUB OUT by CORE,ISAIAH",,,,,,,"SUB OUT by CORE,ISAIAH",1
06:21,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by JOHNSON,JORDAN",,,,,,,"REBOUND DEF by JOHNSON,JORDAN",1
05:53,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",17,,21 (+4),,LCM 17-21 (+4),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",1
05:39,,,,,"TURNOVER  by DUNAVANT,JOHNNY",,,"TURNOVER  by DUNAVANT,JOHNNY",1
05:17,"MISS JUMPER by DUGGER,PATRICK",,,,,,,"MISS JUMPER by DUGGER,PATRICK",1
--,"REBOUND OFF by JOHNSON,JORDAN",,,,,,,"REBOUND OFF by JOHNSON,JORDAN",1
05:12,"MISS LAYUP by JOHNSON,JORDAN",,,,,,,"MISS LAYUP by JOHNSON,JORDAN",1
05:12,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
04:50,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
04:49,"STEAL  by DANIEL,DONTA",,,,,,,"STEAL  by DANIEL,DONTA",1
04:40,"GOOD 3PTR by HOWARD,JEROD",20,,21 (+1),,LCM 20-21 (+1),,"GOOD 3PTR by HOWARD,JEROD",1
--,"ASSIST  by JOHNSON,JORDAN",,,,,,,"ASSIST  by JOHNSON,JORDAN",1
04:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:11,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
04:11,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:11,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
04:11,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
04:11,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
04:11,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:11,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:11,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
04:03,,20,,24 (+4),"GOOD 3PTR by MILLER,DREW",RHODESMB 20-24 (+4),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
03:37,"MISS 3PTR by DUGGER,PATRICK",,,,,,,"MISS 3PTR by DUGGER,PATRICK",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
03:19,"FOUL  by BAXTER,DUSTIN",,,,,,,"FOUL  by BAXTER,DUSTIN",1
03:19,,20,,25 (+5),"GOOD FT by MILLER,DREW",RHODESMB 20-25 (+5),,"GOOD FT by MILLER,DREW",1
03:19,,20,,26 (+6),"GOOD FT by MILLER,DREW",RHODESMB 20-26 (+6),,"GOOD FT by MILLER,DREW",1
03:04,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
03:04,"GOOD FT by DUGGER,PATRICK",21,,26 (+5),,LCM 21-26 (+5),,"GOOD FT by DUGGER,PATRICK",1
03:04,"GOOD FT by DUGGER,PATRICK",22,,26 (+4),,LCM 22-26 (+4),,"GOOD FT by DUGGER,PATRICK",1
03:04,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
03:04,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
02:47,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
02:45,,22,,28 (+6),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODESMB 22-28 (+6),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
02:24,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",24,,28 (+4),,LCM 24-28 (+4),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",1
01:52,,24,,30 (+6),"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODESMB 24-30 (+6),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",1
01:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:30,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
01:30,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
01:28,"GOOD JUMPER by BAXTER,DUSTIN",26,,30 (+4),,LCM 26-30 (+4),,"GOOD JUMPER by BAXTER,DUSTIN",1
--,"ASSIST  by JOHNSON,JORDAN",,,,,,,"ASSIST  by JOHNSON,JORDAN",1
01:28,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
01:28,"MISS FT by BAXTER,DUSTIN",,,,,,,"MISS FT by BAXTER,DUSTIN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
01:17,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
01:15,"STEAL  by JOHNSON,JORDAN",,,,,,,"STEAL  by JOHNSON,JORDAN",1
00:57,"MISS LAYUP by DUGGER,PATRICK",,,,,,,"MISS LAYUP by DUGGER,PATRICK",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
00:48,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
00:48,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",1
00:42,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,"REBOUND DEF by JOHNSON,JORDAN",,,,,,,"REBOUND DEF by JOHNSON,JORDAN",1
00:12,"MISS JUMPER by BAXTER,DUSTIN",,,,,,,"MISS JUMPER by BAXTER,DUSTIN",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
00:06,,26,,33 (+7),"GOOD 3PTR by DUNAVANT,JOHNNY(fastbreak)",RHODESMB 26-33 (+7),,"GOOD 3PTR by DUNAVANT,JOHNNY(fastbreak)",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
00:00,"TURNOVER  by JOHNSON,JORDAN",,,,,,,"TURNOVER  by JOHNSON,JORDAN",1
00:00,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
00:00,,26,,35 (+9),"GOOD JUMPER by MILLER,DREW",RHODESMB 26-35 (+9),,"GOOD JUMPER by MILLER,DREW",1
19:38,"GOOD LAYUP by DANIEL,DONTA(in the paint)",28,,35 (+7),,LCM 28-35 (+7),,"GOOD LAYUP by DANIEL,DONTA(in the paint)",2
19:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
19:15,,28,,38 (+10),"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 28-38 (+10),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
19:07,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
18:48,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",2
18:39,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",30,,38 (+8),,LCM 30-38 (+8),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
18:23,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",2
18:23,,30,,39 (+9),"GOOD FT by HOECK,RYAN VAN",RHODESMB 30-39 (+9),,"GOOD FT by HOECK,RYAN VAN",2
18:23,,30,,40 (+10),"GOOD FT by HOECK,RYAN VAN",RHODESMB 30-40 (+10),,"GOOD FT by HOECK,RYAN VAN",2
18:23,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
18:23,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",2
18:21,"MISS FT by CORE,ISAIAH",,,,,,,"MISS FT by CORE,ISAIAH",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
17:58,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
17:58,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
17:45,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",2
