Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,FUMB,Game Score,Team Indicator,Play,Period
19:32,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
19:22,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
19:09,,,,,"MISS 3PTR by WELCH,BLAKE",,,"MISS 3PTR by WELCH,BLAKE",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
18:50,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by GREENLEE,JARED",,,"REBOUND DEF by GREENLEE,JARED",1
18:12,,,,,"MISS LAYUP by GREENLEE,JARED",,,"MISS LAYUP by GREENLEE,JARED",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
17:56,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:44,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
17:34,,,,,"TURNOVER  by WELCH,BLAKE",,,"TURNOVER  by WELCH,BLAKE",1
17:31,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
17:14,"MISS JUMPER by COLLINS,LUKE",,,,,,,"MISS JUMPER by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by DEGEARE,BRYAN",,,"REBOUND DEF by DEGEARE,BRYAN",1
17:02,,,,,"MISS LAYUP by WELCH,BLAKE",,,"MISS LAYUP by WELCH,BLAKE",1
17:02,"BLOCK  by HOECK,RYAN VAN",,,,,,,"BLOCK  by HOECK,RYAN VAN",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
16:31,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2 (+2),,0,,RHODESMB 2-0 (+2),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
16:31,,,,,"FOUL  by DEGEARE,BRYAN",,,"FOUL  by DEGEARE,BRYAN",1
16:31,"MISS FT by HOECK,RYAN VAN",,,,,,,"MISS FT by HOECK,RYAN VAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:12,,2,,2,"GOOD JUMPER by DEGEARE,BRYAN",FUMB 2-2 (0),,"GOOD JUMPER by DEGEARE,BRYAN",1
--,,,,,"ASSIST  by HAYWOOD,DALLAS",,,"ASSIST  by HAYWOOD,DALLAS",1
15:59,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
15:59,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
