Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
19:54,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
19:33,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
19:04,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
19:03,"STEAL  by WRIGHT,JAKE",,,,,,,"STEAL  by WRIGHT,JAKE",1
19:01,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
19:01,"GOOD FT by SMOAK,HUNTER",1 (+1),,0,,BCM 1-0 (-1),,"GOOD FT by SMOAK,HUNTER",1
19:01,"GOOD FT by SMOAK,HUNTER",2 (+2),,0,,BCM 2-0 (-2),,"GOOD FT by SMOAK,HUNTER",1
19:01,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
18:48,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
18:45,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
18:44,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
18:43,"STEAL  by SMOAK,HUNTER",,,,,,,"STEAL  by SMOAK,HUNTER",1
18:42,"MISS LAYUP by SMOAK,HUNTER",,,,,,,"MISS LAYUP by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
18:26,"FOUL  by WRIGHT,JAKE",,,,,,,"FOUL  by WRIGHT,JAKE",1
18:18,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
18:15,,2,,2,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 2-2 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
18:00,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",4 (+2),,2,,BCM 4-2 (-2),,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",1
--,"ASSIST  by WHALEN,MAC",,,,,,,"ASSIST  by WHALEN,MAC",1
17:41,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
17:40,,4,,4,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 4-4 (0),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
17:21,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND OFF by WRIGHT,JAKE",,,,,,,"REBOUND OFF by WRIGHT,JAKE",1
17:10,"FOUL  by WRIGHT,JAKE",,,,,,,"FOUL  by WRIGHT,JAKE",1
16:51,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
16:45,,4,,6 (+2),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODESMB 4-6 (+2),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
16:35,"MISS LAYUP by SMOAK,HUNTER",,,,,,,"MISS LAYUP by SMOAK,HUNTER",1
16:35,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:15,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",1
16:15,"SUB IN by GRAHAM,LAKE",,,,,,,"SUB IN by GRAHAM,LAKE",1
16:15,"SUB OUT by WRIGHT,JAKE",,,,,,,"SUB OUT by WRIGHT,JAKE",1
16:15,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:15,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
16:15,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
16:15,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
15:51,"MISS JUMPER by GRAHAM,LAKE",,,,,,,"MISS JUMPER by GRAHAM,LAKE",1
--,"REBOUND OFF by SMOAK,HUNTER",,,,,,,"REBOUND OFF by SMOAK,HUNTER",1
15:45,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
15:45,"GOOD FT by SMOAK,HUNTER",5,,6 (+1),,BCM 5-6 (+1),,"GOOD FT by SMOAK,HUNTER",1
15:45,"GOOD FT by SMOAK,HUNTER",6,,6,,BCM 6-6 (0),,"GOOD FT by SMOAK,HUNTER",1
15:45,"SUB IN by JONES,RON",,,,,,,"SUB IN by JONES,RON",1
15:45,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",1
15:32,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
15:31,"STEAL  by SMOAK,HUNTER",,,,,,,"STEAL  by SMOAK,HUNTER",1
15:25,"GOOD 3PTR by WHALEN,MAC",9 (+3),,6,,BCM 9-6 (-3),,"GOOD 3PTR by WHALEN,MAC",1
--,"ASSIST  by SMOAK,HUNTER",,,,,,,"ASSIST  by SMOAK,HUNTER",1
15:00,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
14:58,,9 (+1),,8,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 9-8 (-1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
14:42,"MISS 3PTR by SMOAK,HUNTER",,,,,,,"MISS 3PTR by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
14:21,,9,,11 (+2),"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 9-11 (+2),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
14:06,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
14:06,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",1
14:06,"SUB IN by WRIGHT,JAKE",,,,,,,"SUB IN by WRIGHT,JAKE",1
14:06,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",1
14:06,"SUB OUT by JONES,RON",,,,,,,"SUB OUT by JONES,RON",1
14:06,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
14:06,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
14:06,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:06,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
14:06,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
14:06,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
13:55,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
13:54,"GOOD LAYUP by JACOBS,OWEN(in the paint)",11,,11,,BCM 11-11 (0),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
13:44,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",1
13:33,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
13:30,"STEAL  by JACOBS,OWEN",,,,,,,"STEAL  by JACOBS,OWEN",1
13:29,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
13:29,"SUB IN by WEBBER,CONNOR",,,,,,,"SUB IN by WEBBER,CONNOR",1
13:29,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
13:18,"MISS JUMPER by WRIGHT,JAKE",,,,,,,"MISS JUMPER by WRIGHT,JAKE",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
12:51,,11,,14 (+3),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 11-14 (+3),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
12:34,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
12:33,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",1
12:19,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by WHALEN,MAC",,,,,,,"REBOUND DEF by WHALEN,MAC",1
12:15,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",1
12:15,"SUB OUT by WHALEN,MAC",,,,,,,"SUB OUT by WHALEN,MAC",1
12:15,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:15,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
11:58,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",13,,14 (+1),,BCM 13-14 (+1),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
11:24,,13,,17 (+4),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 13-17 (+4),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
11:10,"TURNOVER  by SMOAK,HUNTER",,,,,,,"TURNOVER  by SMOAK,HUNTER",1
11:10,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",1
11:10,"SUB IN by GRAHAM,LAKE",,,,,,,"SUB IN by GRAHAM,LAKE",1
11:10,"SUB IN by WHALEN,MAC",,,,,,,"SUB IN by WHALEN,MAC",1
11:10,"SUB OUT by SMOAK,HUNTER",,,,,,,"SUB OUT by SMOAK,HUNTER",1
11:10,"SUB OUT by WRIGHT,JAKE",,,,,,,"SUB OUT by WRIGHT,JAKE",1
11:09,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
11:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:58,,13,,20 (+7),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 13-20 (+7),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
10:39,"GOOD LAYUP by WHALEN,MAC(in the paint)",15,,20 (+5),,BCM 15-20 (+5),,"GOOD LAYUP by WHALEN,MAC(in the paint)",1
10:39,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
10:39,"GOOD FT by WHALEN,MAC",16,,20 (+4),,BCM 16-20 (+4),,"GOOD FT by WHALEN,MAC",1
10:16,,16,,22 (+6),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODESMB 16-22 (+6),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
10:08,"GOOD 3PTR by WHALEN,MAC",19,,22 (+3),,BCM 19-22 (+3),,"GOOD 3PTR by WHALEN,MAC",1
--,"ASSIST  by WEBBER,CONNOR",,,,,,,"ASSIST  by WEBBER,CONNOR",1
09:56,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by WHALEN,MAC",,,,,,,"REBOUND DEF by WHALEN,MAC",1
09:44,"TURNOVER  by GRAHAM,LAKE",,,,,,,"TURNOVER  by GRAHAM,LAKE",1
09:42,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",1
09:31,"FOUL  by WEBBER,CONNOR",,,,,,,"FOUL  by WEBBER,CONNOR",1
09:31,,19,,23 (+4),"GOOD FT by MILLER,DREW",RHODESMB 19-23 (+4),,"GOOD FT by MILLER,DREW",1
09:31,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",1
09:31,"SUB IN by PARK,BRANDON",,,,,,,"SUB IN by PARK,BRANDON",1
09:31,"SUB OUT by WEBBER,CONNOR",,,,,,,"SUB OUT by WEBBER,CONNOR",1
09:12,"MISS JUMPER by JACOBS,OWEN",,,,,,,"MISS JUMPER by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
09:06,,19,,25 (+6),"GOOD LAYUP by WAGNER,MATT(fastbreak)(in the paint)",RHODESMB 19-25 (+6),,"GOOD LAYUP by WAGNER,MATT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
09:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:01,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
09:01,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
09:01,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
09:01,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
09:01,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:01,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:01,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
09:01,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:01,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
09:01,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
