Time Remaining,HPU,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
19:53,"MISS 3PTR by FORD,DONOVAN",,,,,,,"MISS 3PTR by FORD,DONOVAN",1
--,"REBOUND OFF by ADAMS,BRYAN",,,,,,,"REBOUND OFF by ADAMS,BRYAN",1
19:43,"GOOD LAYUP by ADAMS,BRYAN(in the paint)",2 (+2),,0,,HPU 2-0 (-2),,"GOOD LAYUP by ADAMS,BRYAN(in the paint)",1
19:43,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
19:43,"GOOD FT by ADAMS,BRYAN",3 (+3),,0,,HPU 3-0 (-3),,"GOOD FT by ADAMS,BRYAN",1
19:34,,3 (+1),,2,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RHODESMB 3-2 (-1),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",1
19:21,"MISS LAYUP by LANCASTER,QUELAN",,,,,,,"MISS LAYUP by LANCASTER,QUELAN",1
19:21,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
18:57,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by ADAMS,BRYAN",,,,,,,"REBOUND DEF by ADAMS,BRYAN",1
18:36,"GOOD 3PTR by GOULD,BRANDON",6 (+4),,2,,HPU 6-2 (-4),,"GOOD 3PTR by GOULD,BRANDON",1
--,"ASSIST  by ADAMS,BRYAN",,,,,,,"ASSIST  by ADAMS,BRYAN",1
18:07,,6 (+1),,5,"GOOD 3PTR by MCGRAIL,PATRICK",RHODESMB 6-5 (-1),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
17:46,"MISS LAYUP by LANCASTER,QUELAN",,,,,,,"MISS LAYUP by LANCASTER,QUELAN",1
17:46,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
17:18,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
17:17,"STEAL  by ADAMS,BRYAN",,,,,,,"STEAL  by ADAMS,BRYAN",1
17:14,"GOOD LAYUP by ADAMS,BRYAN(fastbreak)(in the paint)",8 (+3),,5,,HPU 8-5 (-3),,"GOOD LAYUP by ADAMS,BRYAN(fastbreak)(in the paint)",1
17:14,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
17:14,"GOOD FT by ADAMS,BRYAN",9 (+4),,5,,HPU 9-5 (-4),,"GOOD FT by ADAMS,BRYAN",1
17:14,"SUB IN by ROBERTSON,NIGELE",,,,,,,"SUB IN by ROBERTSON,NIGELE",1
17:14,"SUB OUT by ADAMS,BRYAN",,,,,,,"SUB OUT by ADAMS,BRYAN",1
17:14,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
17:14,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
16:53,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
16:53,"STEAL  by GOULD,BRANDON",,,,,,,"STEAL  by GOULD,BRANDON",1
16:44,"GOOD JUMPER by LANCASTER,QUELAN",11 (+6),,5,,HPU 11-5 (-6),,"GOOD JUMPER by LANCASTER,QUELAN",1
--,"ASSIST  by YOUNG,JORDEN",,,,,,,"ASSIST  by YOUNG,JORDEN",1
16:21,,,,,"TURNOVER  by DUNAVANT,JOHNNY",,,"TURNOVER  by DUNAVANT,JOHNNY",1
16:21,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:21,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:06,"GOOD LAYUP by YOUNG,JORDEN(in the paint)",13 (+8),,5,,HPU 13-5 (-8),,"GOOD LAYUP by YOUNG,JORDEN(in the paint)",1
--,"ASSIST  by LANCASTER,QUELAN",,,,,,,"ASSIST  by LANCASTER,QUELAN",1
15:44,"FOUL  by LANCASTER,QUELAN",,,,,,,"FOUL  by LANCASTER,QUELAN",1
15:44,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:44,,13 (+7),,6,"GOOD FT by HOECK,RYAN VAN",RHODESMB 13-6 (-7),,"GOOD FT by HOECK,RYAN VAN",1
15:33,"MISS JUMPER by GOULD,BRANDON",,,,,,,"MISS JUMPER by GOULD,BRANDON",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
15:17,,13 (+5),,8,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 13-8 (-5),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
14:54,"GOOD JUMPER by ROBERTSON,NIGELE",15 (+7),,8,,HPU 15-8 (-7),,"GOOD JUMPER by ROBERTSON,NIGELE",1
14:27,"FOUL  by LANCASTER,QUELAN",,,,,,,"FOUL  by LANCASTER,QUELAN",1
14:27,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:27,,15 (+6),,9,"GOOD FT by HOECK,RYAN VAN",RHODESMB 15-9 (-6),,"GOOD FT by HOECK,RYAN VAN",1
14:27,"SUB IN by DAVIS,CHRISTIAN",,,,,,,"SUB IN by DAVIS,CHRISTIAN",1
14:27,"SUB OUT by LANCASTER,QUELAN",,,,,,,"SUB OUT by LANCASTER,QUELAN",1
14:27,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
14:27,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:27,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
14:27,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
14:27,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
14:27,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
14:13,"MISS LAYUP by DAVIS,CHRISTIAN",,,,,,,"MISS LAYUP by DAVIS,CHRISTIAN",1
14:13,,,,,"BLOCK  by SLEDGE,TATE",,,"BLOCK  by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
13:59,"FOUL  by ROBERTSON,NIGELE",,,,,,,"FOUL  by ROBERTSON,NIGELE",1
13:59,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:59,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,"REBOUND DEF by YOUNG,JORDEN",,,,,,,"REBOUND DEF by YOUNG,JORDEN",1
13:51,"GOOD LAYUP by FORD,DONOVAN(fastbreak)(in the paint)",17 (+8),,9,,HPU 17-9 (-8),,"GOOD LAYUP by FORD,DONOVAN(fastbreak)(in the paint)",1
--,"ASSIST  by YOUNG,JORDEN",,,,,,,"ASSIST  by YOUNG,JORDEN",1
13:38,"FOUL  by ROBERTSON,NIGELE",,,,,,,"FOUL  by ROBERTSON,NIGELE",1
13:38,,17 (+7),,10,"GOOD FT by SLEDGE,TATE",RHODESMB 17-10 (-7),,"GOOD FT by SLEDGE,TATE",1
13:38,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,"REBOUND DEF by ROBERTSON,NIGELE",,,,,,,"REBOUND DEF by ROBERTSON,NIGELE",1
13:30,"TURNOVER  by ROBERTSON,NIGELE",,,,,,,"TURNOVER  by ROBERTSON,NIGELE",1
13:30,,17 (+4),,13,"GOOD 3PTR by WAGNER,MATT",RHODESMB 17-13 (-4),,"GOOD 3PTR by WAGNER,MATT",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
13:30,"GOOD 3PTR by GOULD,BRANDON",20 (+7),,13,,HPU 20-13 (-7),,"GOOD 3PTR by GOULD,BRANDON",1
--,"ASSIST  by YOUNG,JORDEN",,,,,,,"ASSIST  by YOUNG,JORDEN",1
13:25,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
13:25,"STEAL  by YOUNG,JORDEN",,,,,,,"STEAL  by YOUNG,JORDEN",1
13:20,"GOOD LAYUP by FORD,DONOVAN(in the paint)",22 (+9),,13,,HPU 22-13 (-9),,"GOOD LAYUP by FORD,DONOVAN(in the paint)",1
11:56,"FOUL  by ROBERTSON,NIGELE",,,,,,,"FOUL  by ROBERTSON,NIGELE",1
11:56,"SUB IN by WHITTET,ROSS",,,,,,,"SUB IN by WHITTET,ROSS",1
11:56,"SUB IN by ADAMS,BRYAN",,,,,,,"SUB IN by ADAMS,BRYAN",1
11:56,"SUB OUT by YOUNG,JORDEN",,,,,,,"SUB OUT by YOUNG,JORDEN",1
11:56,"SUB OUT by ROBERTSON,NIGELE",,,,,,,"SUB OUT by ROBERTSON,NIGELE",1
11:56,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:56,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
11:56,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
11:56,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
11:51,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by WHITTET,ROSS",,,,,,,"REBOUND DEF by WHITTET,ROSS",1
11:24,"MISS 3PTR by DAVIS,CHRISTIAN",,,,,,,"MISS 3PTR by DAVIS,CHRISTIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:22,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
11:22,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
11:22,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
11:21,"MISS JUMPER by WHITTET,ROSS",,,,,,,"MISS JUMPER by WHITTET,ROSS",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
11:09,,22 (+6),,16,"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 22-16 (-6),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
10:52,"GOOD LAYUP by DAVIS,CHRISTIAN(in the paint)",24 (+8),,16,,HPU 24-16 (-8),,"GOOD LAYUP by DAVIS,CHRISTIAN(in the paint)",1
--,"ASSIST  by ADAMS,BRYAN",,,,,,,"ASSIST  by ADAMS,BRYAN",1
10:34,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
10:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:34,"SUB IN by MORROW,BLAKE",,,,,,,"SUB IN by MORROW,BLAKE",1
10:34,"SUB OUT by FORD,DONOVAN",,,,,,,"SUB OUT by FORD,DONOVAN",1
10:34,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
10:34,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
10:25,"MISS 3PTR by ADAMS,BRYAN",,,,,,,"MISS 3PTR by ADAMS,BRYAN",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
10:06,,24 (+6),,18,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",RHODESMB 24-18 (-6),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
09:57,"MISS LAYUP by GOULD,BRANDON",,,,,,,"MISS LAYUP by GOULD,BRANDON",1
09:57,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,"REBOUND OFF by MORROW,BLAKE",,,,,,,"REBOUND OFF by MORROW,BLAKE",1
09:52,"GOOD LAYUP by MORROW,BLAKE(in the paint)",26 (+8),,18,,HPU 26-18 (-8),,"GOOD LAYUP by MORROW,BLAKE(in the paint)",1
09:41,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by ADAMS,BRYAN",,,,,,,"REBOUND DEF by ADAMS,BRYAN",1
09:27,"MISS 3PTR by WHITTET,ROSS",,,,,,,"MISS 3PTR by WHITTET,ROSS",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
09:08,"FOUL  by ADAMS,BRYAN",,,,,,,"FOUL  by ADAMS,BRYAN",1
09:08,"SUB IN by ARBOGAST,BLAKE",,,,,,,"SUB IN by ARBOGAST,BLAKE",1
09:08,"SUB OUT by GOULD,BRANDON",,,,,,,"SUB OUT by GOULD,BRANDON",1
09:04,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
08:58,"FOUL  by MORROW,BLAKE",,,,,,,"FOUL  by MORROW,BLAKE",1
08:58,,26 (+7),,19,"GOOD FT by HOECK,RYAN VAN",RHODESMB 26-19 (-7),,"GOOD FT by HOECK,RYAN VAN",1
08:58,,26 (+6),,20,"GOOD FT by HOECK,RYAN VAN",RHODESMB 26-20 (-6),,"GOOD FT by HOECK,RYAN VAN",1
08:58,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
08:58,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
08:48,"GOOD LAYUP by DAVIS,CHRISTIAN(in the paint)",28 (+8),,20,,HPU 28-20 (-8),,"GOOD LAYUP by DAVIS,CHRISTIAN(in the paint)",1
--,"ASSIST  by ADAMS,BRYAN",,,,,,,"ASSIST  by ADAMS,BRYAN",1
08:33,"FOUL  by MORROW,BLAKE",,,,,,,"FOUL  by MORROW,BLAKE",1
08:33,,28 (+7),,21,"GOOD FT by HOECK,RYAN VAN",RHODESMB 28-21 (-7),,"GOOD FT by HOECK,RYAN VAN",1
08:33,,28 (+6),,22,"GOOD FT by HOECK,RYAN VAN",RHODESMB 28-22 (-6),,"GOOD FT by HOECK,RYAN VAN",1
08:22,"MISS JUMPER by ADAMS,BRYAN",,,,,,,"MISS JUMPER by ADAMS,BRYAN",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
08:05,,28 (+4),,24,"GOOD JUMPER by HOECK,RYAN VAN",RHODESMB 28-24 (-4),,"GOOD JUMPER by HOECK,RYAN VAN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
07:50,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
07:50,"SUB IN by GOULD,BRANDON",,,,,,,"SUB IN by GOULD,BRANDON",1
07:50,"SUB OUT by ADAMS,BRYAN",,,,,,,"SUB OUT by ADAMS,BRYAN",1
07:50,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
07:50,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
07:50,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
07:50,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
07:46,"MISS LAYUP by DAVIS,CHRISTIAN",,,,,,,"MISS LAYUP by DAVIS,CHRISTIAN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
07:26,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
07:22,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:15,"FOUL  by GOULD,BRANDON",,,,,,,"FOUL  by GOULD,BRANDON",1
