Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
16:22,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
16:22,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
16:00,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
16:00,"GOOD FT by PRIMM,COLTON",5,,12 (+7),,HENDRIX 5-12 (+7),,"GOOD FT by PRIMM,COLTON",1
16:00,"GOOD FT by PRIMM,COLTON",6,,12 (+6),,HENDRIX 6-12 (+6),,"GOOD FT by PRIMM,COLTON",1
16:00,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
16:00,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
15:53,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
15:53,,6,,13 (+7),"GOOD FT by COLLINS,LUKE",RHODES 6-13 (+7),,"GOOD FT by COLLINS,LUKE",1
15:53,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
15:41,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
15:40,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
15:21,,,,,"MISS LAYUP by DUNAVANT,JOHNNY",,,"MISS LAYUP by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
15:09,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",1
14:52,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
14:45,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
14:40,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
14:27,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
14:17,,6,,15 (+9),"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",RHODES 6-15 (+9),,"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",1
13:57,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
13:21,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
