Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
12:29,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",,,"MISS JUMPER by DUNAVANT,JOHNNY",1
12:29,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:29,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:29,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
12:29,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:29,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:29,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
12:15,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
12:06,,15 (+5),,10,"GOOD JUMPER by MILLER,DREW(in the paint)",RHODES 15-10 (-5),,"GOOD JUMPER by MILLER,DREW(in the paint)",1
11:47,"GOOD 3PTR by GUMP,MATT",18 (+8),,10,,CENTRE 18-10 (-8),,"GOOD 3PTR by GUMP,MATT",1
11:24,,18 (+6),,12,"GOOD JUMPER by MILLER,DREW(in the paint)",RHODES 18-12 (-6),,"GOOD JUMPER by MILLER,DREW(in the paint)",1
11:03,"GOOD JUMPER by KARSNER,JOSH",20 (+8),,12,,CENTRE 20-12 (-8),,"GOOD JUMPER by KARSNER,JOSH",1
10:35,,20 (+5),,15,"GOOD 3PTR by GALLAGHER,MICHAEL",RHODES 20-15 (-5),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
10:24,"GOOD 3PTR by KARSNER,JOSH",23 (+8),,15,,CENTRE 23-15 (-8),,"GOOD 3PTR by KARSNER,JOSH",1
09:40,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
09:28,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
09:11,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
08:55,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
08:43,,23 (+6),,17,"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 23-17 (-6),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
08:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:41,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
08:41,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
08:41,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
08:41,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
08:41,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
08:41,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
08:41,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
08:41,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
08:41,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
08:41,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
08:41,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
08:41,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
08:41,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
08:41,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
08:41,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
08:41,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
08:41,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
08:15,"GOOD 3PTR by WHITESIDE,DONOVAN",26 (+9),,17,,CENTRE 26-17 (-9),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
08:00,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",,,"MISS JUMPER by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
07:45,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",28 (+11),,17,,CENTRE 28-17 (-11),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
07:33,,28 (+9),,19,"GOOD JUMPER by HOECK,RYAN VAN",RHODES 28-19 (-9),,"GOOD JUMPER by HOECK,RYAN VAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
07:17,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
07:12,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
07:12,"GOOD FT by SCINTA,BLAKE",29 (+10),,19,,CENTRE 29-19 (-10),,"GOOD FT by SCINTA,BLAKE",1
07:12,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
06:52,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:36,"GOOD LAYUP by WESLEY,TYLER(in the paint)",31 (+12),,19,,CENTRE 31-19 (-12),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
06:22,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
06:21,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
06:19,"GOOD LAYUP by WHITESIDE,DONOVAN(fastbreak)(in the paint)",33 (+14),,19,,CENTRE 33-19 (-14),,"GOOD LAYUP by WHITESIDE,DONOVAN(fastbreak)(in the paint)",1
06:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:13,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
06:13,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:13,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
05:46,,,,,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",1
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",1
05:16,"GOOD 3PTR by MURRAY,RYAN",36 (+17),,19,,CENTRE 36-19 (-17),,"GOOD 3PTR by MURRAY,RYAN",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
04:58,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
04:50,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
04:50,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
04:31,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
04:13,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
04:13,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:13,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
04:13,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
04:13,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
04:13,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
04:13,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:13,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
04:13,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:13,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:12,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
03:57,,36 (+14),,22,"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 36-22 (-14),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
03:37,"GOOD 3PTR by MURRAY,RYAN",39 (+17),,22,,CENTRE 39-22 (-17),,"GOOD 3PTR by MURRAY,RYAN",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
03:19,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
03:08,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",1
03:02,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
02:48,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",41 (+19),,22,,CENTRE 41-22 (-19),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
02:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:47,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
02:47,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
02:47,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
02:47,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
02:34,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
02:34,,41 (+18),,23,"GOOD FT by MILLER,DREW",RHODES 41-23 (-18),,"GOOD FT by MILLER,DREW",1
02:34,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
02:34,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
02:34,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
02:13,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",43 (+20),,23,,CENTRE 43-23 (-20),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
01:44,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
01:18,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
01:11,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
01:11,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
01:11,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
00:49,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
00:20,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
00:17,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
00:17,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:00,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
19:35,"GOOD 3PTR by LOPEZ,COLLIN",46 (+23),,23,,CENTRE 46-23 (-23),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
19:21,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
19:06,"GOOD 3PTR by MURRAY,RYAN",49 (+26),,23,,CENTRE 49-23 (-26),,"GOOD 3PTR by MURRAY,RYAN",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
18:43,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
18:42,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
18:25,"GOOD 3PTR by MURRAY,RYAN",52 (+29),,23,,CENTRE 52-23 (-29),,"GOOD 3PTR by MURRAY,RYAN",2
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",2
18:23,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
18:23,"GOOD FT by MURRAY,RYAN",53 (+30),,23,,CENTRE 53-23 (-30),,"GOOD FT by MURRAY,RYAN",2
18:13,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
18:08,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
18:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:00,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
17:54,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
17:46,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
17:45,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
17:40,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",55 (+32),,23,,CENTRE 55-23 (-32),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
17:25,,,,,"MISS LAYUP by DUNAVANT,JOHNNY",,,"MISS LAYUP by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
17:23,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
17:23,,,,,"STEAL  by DUNAVANT,JOHNNY",,,"STEAL  by DUNAVANT,JOHNNY",2
17:20,,55 (+30),,25,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 55-25 (-30),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
16:48,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
16:46,,,,,"STEAL  by DUNAVANT,JOHNNY",,,"STEAL  by DUNAVANT,JOHNNY",2
16:41,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:41,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
16:41,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
16:41,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
16:16,"GOOD LAYUP by WESLEY,TYLER(in the paint)",57 (+32),,25,,CENTRE 57-25 (-32),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
16:06,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
16:06,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
16:06,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
15:50,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",2
15:50,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",2
15:40,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
15:39,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
15:20,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
15:12,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
15:12,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:10,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
15:08,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
15:07,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
14:58,,57 (+30),,27,"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 57-27 (-30),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
14:32,"GOOD LAYUP by GUMP,MATT(in the paint)",59 (+32),,27,,CENTRE 59-27 (-32),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
14:20,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
13:53,"GOOD 3PTR by KARSNER,JOSH",62 (+35),,27,,CENTRE 62-27 (-35),,"GOOD 3PTR by KARSNER,JOSH",2
