Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
13:59,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",8 (+1),,7,,RHODESMB 8-7 (+1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
13:49,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
13:46,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
13:46,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
13:26,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
13:13,"GOOD 3PTR by COLLINS,LUKE",11 (+4),,7,,RHODESMB 11-7 (+4),,"GOOD 3PTR by COLLINS,LUKE",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
12:58,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
12:37,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
12:08,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
11:45,"MISS LAYUP by MCGRAIL,PATRICK",,,,,,,"MISS LAYUP by MCGRAIL,PATRICK",1
11:45,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
11:23,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
11:23,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
11:23,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:23,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
11:23,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
11:23,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
11:23,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
11:21,,11 (+2),,9,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 11-9 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",1
11:05,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
11:05,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
11:05,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
10:43,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
10:35,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:32,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:32,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
10:09,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",13 (+4),,9,,RHODESMB 13-9 (+4),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
09:45,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
09:45,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
09:45,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
09:32,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
09:25,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
09:09,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
09:06,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
09:06,,13 (+3),,10,"GOOD FT by FREBIS,RONNIE",MILLSAPS 13-10 (+3),,"GOOD FT by FREBIS,RONNIE",1
09:06,,13 (+2),,11,"GOOD FT by FREBIS,RONNIE",MILLSAPS 13-11 (+2),,"GOOD FT by FREBIS,RONNIE",1
09:06,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
09:06,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
08:41,"GOOD 3PTR by LIVSEY,GEOFF",16 (+5),,11,,RHODESMB 16-11 (+5),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
08:20,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
07:57,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
07:57,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
07:57,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
07:57,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
07:57,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
07:31,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
07:31,,16 (+4),,12,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 16-12 (+4),,"GOOD FT by GILLIGAN,TULLY",1
07:31,,16 (+3),,13,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 16-13 (+3),,"GOOD FT by GILLIGAN,TULLY",1
07:31,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
07:31,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
07:21,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
07:01,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
06:55,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
06:55,,16 (+2),,14,"GOOD FT by ROBERTSON,MARC",MILLSAPS 16-14 (+2),,"GOOD FT by ROBERTSON,MARC",1
06:55,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:55,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
06:55,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
06:55,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
06:55,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
06:55,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
06:40,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",1
06:22,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",1
06:22,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
06:22,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
06:20,"GOOD 3PTR by DUNAVANT,JOHNNY",19 (+5),,14,,RHODESMB 19-14 (+5),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
06:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:52,,,,,"MISS 3PTR by AUBERT,DUSTIN",,,"MISS 3PTR by AUBERT,DUSTIN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
05:35,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
05:34,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
05:25,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
05:19,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
05:19,,19 (+4),,15,"GOOD FT by BERGER,RYAN",MILLSAPS 19-15 (+4),,"GOOD FT by BERGER,RYAN",1
05:19,,19 (+3),,16,"GOOD FT by BERGER,RYAN",MILLSAPS 19-16 (+3),,"GOOD FT by BERGER,RYAN",1
05:19,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
05:19,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
05:19,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
05:10,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",1
05:10,"BLOCK  by WATSON,SHANE",,,,,,,"BLOCK  by WATSON,SHANE",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
04:54,,19 (+1),,18,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 19-18 (+1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
04:48,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
04:48,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
04:33,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
04:13,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
04:13,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:13,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
04:13,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
04:13,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
04:10,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
04:10,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
03:57,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
03:56,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",1
03:42,"MISS JUMPER by WATSON,SHANE",,,,,,,"MISS JUMPER by WATSON,SHANE",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
03:13,,,,,"MISS JUMPER by FREBIS,RONNIE",,,"MISS JUMPER by FREBIS,RONNIE",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
02:49,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
02:41,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
02:40,"STEAL  by WATSON,SHANE",,,,,,,"STEAL  by WATSON,SHANE",1
02:26,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
02:21,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
02:04,"GOOD 3PTR by DUNAVANT,JOHNNY",22 (+4),,18,,RHODESMB 22-18 (+4),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
01:31,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
01:16,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
01:16,"GOOD FT by WATSON,SHANE",23 (+5),,18,,RHODESMB 23-18 (+5),,"GOOD FT by WATSON,SHANE",1
01:16,"GOOD FT by WATSON,SHANE",24 (+6),,18,,RHODESMB 24-18 (+6),,"GOOD FT by WATSON,SHANE",1
01:16,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
01:16,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
01:16,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
01:16,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
01:16,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",1
01:16,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
01:16,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
01:16,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
01:10,,,,,"TURNOVER  by HANTSAD,RAJAN",,,"TURNOVER  by HANTSAD,RAJAN",1
01:08,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
01:01,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
01:01,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
00:43,,,,,"MISS JUMPER by HANTSAD,RAJAN",,,"MISS JUMPER by HANTSAD,RAJAN",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
00:26,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
00:26,"MISS FT by WATSON,SHANE",,,,,,,"MISS FT by WATSON,SHANE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:26,"MISS FT by WATSON,SHANE",,,,,,,"MISS FT by WATSON,SHANE",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
00:26,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
00:26,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",1
00:13,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
00:13,"BLOCK  by WATSON,SHANE",,,,,,,"BLOCK  by WATSON,SHANE",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
00:07,"MISS 3PTR by HOECK,RYAN VAN",,,,,,,"MISS 3PTR by HOECK,RYAN VAN",1
--,"REBOUND OFF by WATSON,SHANE",,,,,,,"REBOUND OFF by WATSON,SHANE",1
00:02,"MISS LAYUP by WATSON,SHANE",,,,,,,"MISS LAYUP by WATSON,SHANE",1
--,"REBOUND OFF by WATSON,SHANE",,,,,,,"REBOUND OFF by WATSON,SHANE",1
19:37,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
19:13,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
18:56,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
18:55,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
18:42,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
18:38,,24 (+3),,21,"GOOD 3PTR by BERGER,RYAN",MILLSAPS 24-21 (+3),,"GOOD 3PTR by BERGER,RYAN",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
18:22,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
18:06,,,,,"MISS JUMPER by AUBERT,DUSTIN",,,"MISS JUMPER by AUBERT,DUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:39,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",26 (+5),,21,,RHODESMB 26-21 (+5),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",2
17:21,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
17:07,,26 (+3),,23,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 26-23 (+3),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
16:58,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",2
16:58,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
16:58,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
16:45,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
16:33,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
16:33,,26 (+2),,24,"GOOD FT by FREBIS,RONNIE",MILLSAPS 26-24 (+2),,"GOOD FT by FREBIS,RONNIE",2
16:33,,26 (+1),,25,"GOOD FT by FREBIS,RONNIE",MILLSAPS 26-25 (+1),,"GOOD FT by FREBIS,RONNIE",2
16:33,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",2
16:33,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
16:33,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
16:33,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
16:33,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:46,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
15:42,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND OFF by MCGRAIL,PATRICK",,,,,,,"REBOUND OFF by MCGRAIL,PATRICK",2
15:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:36,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
15:36,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
15:23,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
15:22,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
15:05,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",2
14:49,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
