Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
07:41,"GOOD FT by WATSON,SHANE",25 (+11),,14,,RHODESMB 25-14 (+11),,"GOOD FT by WATSON,SHANE",1
07:41,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
07:41,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
07:23,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
07:23,,25 (+10),,15,"GOOD FT by JACOBS,OWEN",BCM 25-15 (+10),,"GOOD FT by JACOBS,OWEN",1
07:23,,25 (+9),,16,"GOOD FT by JACOBS,OWEN",BCM 25-16 (+9),,"GOOD FT by JACOBS,OWEN",1
07:23,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
07:23,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
07:23,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",1
07:23,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
07:04,"TURNOVER  by WATSON,SHANE",,,,,,,"TURNOVER  by WATSON,SHANE",1
07:03,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",1
07:02,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
07:01,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
06:53,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND OFF by WAGNER,MATT",,,,,,,"REBOUND OFF by WAGNER,MATT",1
06:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:50,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
06:50,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
06:44,,,,,"FOUL  by WEBBER,CONNOR",,,"FOUL  by WEBBER,CONNOR",1
06:44,"GOOD FT by DUNAVANT,JOHNNY",26 (+10),,16,,RHODESMB 26-16 (+10),,"GOOD FT by DUNAVANT,JOHNNY",1
06:44,"GOOD FT by DUNAVANT,JOHNNY",27 (+11),,16,,RHODESMB 27-16 (+11),,"GOOD FT by DUNAVANT,JOHNNY",1
06:19,,,,,"MISS LAYUP by PARK,BRANDON",,,"MISS LAYUP by PARK,BRANDON",1
06:19,"BLOCK  by WATSON,SHANE",,,,,,,"BLOCK  by WATSON,SHANE",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
06:00,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,"REBOUND OFF by WAGNER,MATT",,,,,,,"REBOUND OFF by WAGNER,MATT",1
05:55,"GOOD LAYUP by WATSON,SHANE(in the paint)",29 (+13),,16,,RHODESMB 29-16 (+13),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",1
05:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:45,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
05:45,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",1
05:45,,,,,"SUB OUT by PARK,BRANDON",,,"SUB OUT by PARK,BRANDON",1
05:38,,,,,"FOUL  by JONES,RON",,,"FOUL  by JONES,RON",1
05:38,"GOOD FT by WATSON,SHANE",30 (+14),,16,,RHODESMB 30-16 (+14),,"GOOD FT by WATSON,SHANE",1
05:38,"GOOD FT by WATSON,SHANE",31 (+15),,16,,RHODESMB 31-16 (+15),,"GOOD FT by WATSON,SHANE",1
05:05,,31 (+12),,19,"GOOD 3PTR by SMOAK,HUNTER",BCM 31-19 (+12),,"GOOD 3PTR by SMOAK,HUNTER",1
04:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:42,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
04:41,,,,,"STEAL  by LEWIS,AJ",,,"STEAL  by LEWIS,AJ",1
04:26,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
04:26,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:26,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
03:56,"GOOD LAYUP by WATSON,SHANE(in the paint)",33 (+14),,19,,RHODESMB 33-19 (+14),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",1
03:41,,33 (+12),,21,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 33-21 (+12),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,,,,,"ASSIST  by WEBBER,CONNOR",,,"ASSIST  by WEBBER,CONNOR",1
03:21,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1
03:07,,33 (+10),,23,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",BCM 33-23 (+10),,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",1
02:54,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
02:32,,,,,"MISS LAYUP by LEWIS,AJ",,,"MISS LAYUP by LEWIS,AJ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:30,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
02:30,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
02:30,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
02:30,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
02:30,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
02:30,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
02:20,,33 (+7),,26,"GOOD 3PTR by SMOAK,HUNTER",BCM 33-26 (+7),,"GOOD 3PTR by SMOAK,HUNTER",1
02:07,"GOOD DUNK by HOECK,RYAN VAN(in the paint)",35 (+9),,26,,RHODESMB 35-26 (+9),,"GOOD DUNK by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
01:53,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
01:53,,35 (+8),,27,"GOOD FT by WEBBER,CONNOR",BCM 35-27 (+8),,"GOOD FT by WEBBER,CONNOR",1
01:53,,35 (+7),,28,"GOOD FT by WEBBER,CONNOR",BCM 35-28 (+7),,"GOOD FT by WEBBER,CONNOR",1
01:53,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
01:53,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
01:53,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
01:53,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
01:40,,,,,"FOUL  by COTTER,DOUGLAS",,,"FOUL  by COTTER,DOUGLAS",1
01:40,"GOOD FT by COLLINS,LUKE",36 (+8),,28,,RHODESMB 36-28 (+8),,"GOOD FT by COLLINS,LUKE",1
01:40,"GOOD FT by COLLINS,LUKE",37 (+9),,28,,RHODESMB 37-28 (+9),,"GOOD FT by COLLINS,LUKE",1
01:40,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
01:40,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
01:26,,37 (+7),,30,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",BCM 37-30 (+7),,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",1
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1
01:26,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
01:26,,,,,"MISS FT by WEBBER,CONNOR",,,"MISS FT by WEBBER,CONNOR",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
01:26,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
01:26,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
01:10,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",1
01:10,"GOOD FT by WATSON,SHANE",38 (+8),,30,,RHODESMB 38-30 (+8),,"GOOD FT by WATSON,SHANE",1
01:10,"GOOD FT by WATSON,SHANE",39 (+9),,30,,RHODESMB 39-30 (+9),,"GOOD FT by WATSON,SHANE",1
01:10,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
01:10,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
01:01,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
01:01,,39 (+8),,31,"GOOD FT by LEWIS,AJ",BCM 39-31 (+8),,"GOOD FT by LEWIS,AJ",1
01:01,,,,,"MISS FT by LEWIS,AJ",,,"MISS FT by LEWIS,AJ",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
01:01,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
01:01,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
00:52,,,,,"FOUL  by JONES,RON",,,"FOUL  by JONES,RON",1
00:52,"GOOD FT by WATSON,SHANE",40 (+9),,31,,RHODESMB 40-31 (+9),,"GOOD FT by WATSON,SHANE",1
00:52,"GOOD FT by WATSON,SHANE",41 (+10),,31,,RHODESMB 41-31 (+10),,"GOOD FT by WATSON,SHANE",1
00:52,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
00:52,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
00:52,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
00:52,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
00:52,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
00:52,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",1
00:32,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
00:32,,,,,"MISS FT by LEWIS,AJ",,,"MISS FT by LEWIS,AJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:32,,,,,"MISS FT by LEWIS,AJ",,,"MISS FT by LEWIS,AJ",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
00:32,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
00:32,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
00:08,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by WEBBER,CONNOR",,,"REBOUND DEF by WEBBER,CONNOR",1
00:01,,,,,"MISS 3PTR by JACOBS,OWEN",,,"MISS 3PTR by JACOBS,OWEN",1
