Time Remaining,SCH-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
06:50,,18,,27 (+9),"GOOD FT by COLLINS,LUKE",RHODESMB 18-27 (+9),,"GOOD FT by COLLINS,LUKE",1
06:50,"SUB IN by HARRIS,MAVERICK",,,,,,,"SUB IN by HARRIS,MAVERICK",1
06:50,"SUB OUT by CLARK,GRANT",,,,,,,"SUB OUT by CLARK,GRANT",1
06:34,"FOUL  by MILLER,WES",,,,,,,"FOUL  by MILLER,WES",1
06:34,"TURNOVER  by MILLER,WES",,,,,,,"TURNOVER  by MILLER,WES",1
06:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:34,"SUB IN by KEE,PHILLIP",,,,,,,"SUB IN by KEE,PHILLIP",1
06:34,"SUB IN by MYRES,AJ",,,,,,,"SUB IN by MYRES,AJ",1
06:34,"SUB OUT by BERCUTT,DUSTIN",,,,,,,"SUB OUT by BERCUTT,DUSTIN",1
06:34,"SUB OUT by MILLER,WES",,,,,,,"SUB OUT by MILLER,WES",1
06:19,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
06:19,"STEAL  by GUDERYAHN,TYLER",,,,,,,"STEAL  by GUDERYAHN,TYLER",1
06:05,"MISS LAYUP by MYRES,AJ",,,,,,,"MISS LAYUP by MYRES,AJ",1
--,"REBOUND OFF by KEE,PHILLIP",,,,,,,"REBOUND OFF by KEE,PHILLIP",1
06:05,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
06:05,"GOOD FT by KEE,PHILLIP",19,,27 (+8),,SCH-M 19-27 (+8),,"GOOD FT by KEE,PHILLIP",1
06:05,"MISS FT by KEE,PHILLIP",,,,,,,"MISS FT by KEE,PHILLIP",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
05:53,,19,,29 (+10),"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODESMB 19-29 (+10),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",1
05:41,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
05:41,"MISS FT by MYRES,AJ",,,,,,,"MISS FT by MYRES,AJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
