Time Remaining,SCH-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
--,"ASSIST  by BERCUTT,DUSTIN",,,,,,,"ASSIST  by BERCUTT,DUSTIN",2
16:44,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
--,"REBOUND DEF by GUERRERO,STEVAN",,,,,,,"REBOUND DEF by GUERRERO,STEVAN",2
16:35,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
16:35,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
16:17,"GOOD JUMPER by GUERRERO,STEVAN",35,,45 (+10),,SCH-M 35-45 (+10),,"GOOD JUMPER by GUERRERO,STEVAN",2
15:58,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by ROBINSON,HOLLIS",,,,,,,"REBOUND DEF by ROBINSON,HOLLIS",2
15:49,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",37,,45 (+8),,SCH-M 37-45 (+8),,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",2
15:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:46,"SUB IN by NUNEZ,CHARLIE",,,,,,,"SUB IN by NUNEZ,CHARLIE",2
15:46,"SUB OUT by MYRES,AJ",,,,,,,"SUB OUT by MYRES,AJ",2
15:38,"FOUL  by BERCUTT,DUSTIN",,,,,,,"FOUL  by BERCUTT,DUSTIN",2
15:38,,37,,46 (+9),"GOOD FT by WAGNER,MATT",RHODESMB 37-46 (+9),,"GOOD FT by WAGNER,MATT",2
15:38,,37,,47 (+10),"GOOD FT by WAGNER,MATT",RHODESMB 37-47 (+10),,"GOOD FT by WAGNER,MATT",2
15:17,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
15:17,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
15:17,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
15:13,"MISS LAYUP by GUERRERO,STEVAN",,,,,,,"MISS LAYUP by GUERRERO,STEVAN",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
14:48,"MISS FT by BERCUTT,DUSTIN",,,,,,,"MISS FT by BERCUTT,DUSTIN",2
--,"REBOUND DEF by GUDERYAHN,TYLER",,,,,,,"REBOUND DEF by GUDERYAHN,TYLER",2
14:48,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
14:48,"GOOD FT by BERCUTT,DUSTIN",38,,47 (+9),,SCH-M 38-47 (+9),,"GOOD FT by BERCUTT,DUSTIN",2
14:47,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",2
14:40,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
14:40,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
14:33,"GOOD LAYUP by BERCUTT,DUSTIN(in the paint)",40,,47 (+7),,SCH-M 40-47 (+7),,"GOOD LAYUP by BERCUTT,DUSTIN(in the paint)",2
14:24,"FOUL  by NUNEZ,CHARLIE",,,,,,,"FOUL  by NUNEZ,CHARLIE",2
14:15,"FOUL  by NUNEZ,CHARLIE",,,,,,,"FOUL  by NUNEZ,CHARLIE",2
13:59,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
13:57,"STEAL  by MYRES,AJ",,,,,,,"STEAL  by MYRES,AJ",2
13:57,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",2
13:57,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
13:44,"MISS JUMPER by ROBINSON,HOLLIS",,,,,,,"MISS JUMPER by ROBINSON,HOLLIS",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",2
13:29,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:11,"GOOD LAYUP by MYRES,AJ(in the paint)",42,,47 (+5),,SCH-M 42-47 (+5),,"GOOD LAYUP by MYRES,AJ(in the paint)",2
13:08,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
13:08,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
13:08,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
13:08,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
13:08,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
13:08,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",2
13:08,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
13:08,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
13:00,"FOUL  by MYRES,AJ",,,,,,,"FOUL  by MYRES,AJ",2
12:28,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:03,"GOOD LAYUP by BERCUTT,DUSTIN(in the paint)",44,,47 (+3),,SCH-M 44-47 (+3),,"GOOD LAYUP by BERCUTT,DUSTIN(in the paint)",2
--,"ASSIST  by NUNEZ,CHARLIE",,,,,,,"ASSIST  by NUNEZ,CHARLIE",2
11:53,"FOUL  by ROBINSON,HOLLIS",,,,,,,"FOUL  by ROBINSON,HOLLIS",2
11:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:53,"SUB IN by MYRES,AJ",,,,,,,"SUB IN by MYRES,AJ",2
11:53,"SUB OUT by GUERRERO,STEVAN",,,,,,,"SUB OUT by GUERRERO,STEVAN",2
11:52,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
--,"REBOUND DEF by GUDERYAHN,TYLER",,,,,,,"REBOUND DEF by GUDERYAHN,TYLER",2
11:34,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",46,,47 (+1),,SCH-M 46-47 (+1),,"GOOD LAYUP by MYRES,AJ(fastbreak)(in the paint)",2
11:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:14,"SUB IN by GUERRERO,STEVAN",,,,,,,"SUB IN by GUERRERO,STEVAN",2
11:14,"SUB OUT by GUDERYAHN,TYLER",,,,,,,"SUB OUT by GUDERYAHN,TYLER",2
11:14,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
11:14,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",2
11:14,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
11:14,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
10:57,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
10:40,"MISS JUMPER by MYRES,AJ",,,,,,,"MISS JUMPER by MYRES,AJ",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
10:32,"FOUL  by NUNEZ,CHARLIE",,,,,,,"FOUL  by NUNEZ,CHARLIE",2
10:32,,46,,48 (+2),"GOOD FT by SLEDGE,TATE",RHODESMB 46-48 (+2),,"GOOD FT by SLEDGE,TATE",2
10:32,,46,,49 (+3),"GOOD FT by SLEDGE,TATE",RHODESMB 46-49 (+3),,"GOOD FT by SLEDGE,TATE",2
10:16,"MISS 3PTR by BERCUTT,DUSTIN",,,,,,,"MISS 3PTR by BERCUTT,DUSTIN",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
10:04,,46,,52 (+6),"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 46-52 (+6),,"GOOD 3PTR by DUNAVANT,JOHNNY",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
09:39,"MISS JUMPER by ROBINSON,HOLLIS",,,,,,,"MISS JUMPER by ROBINSON,HOLLIS",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
09:23,,46,,54 (+8),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 46-54 (+8),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
09:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:16,"SUB IN by GARCIA,NICK",,,,,,,"SUB IN by GARCIA,NICK",2
09:16,"SUB IN by GUDERYAHN,TYLER",,,,,,,"SUB IN by GUDERYAHN,TYLER",2
09:16,"SUB OUT by BERCUTT,DUSTIN",,,,,,,"SUB OUT by BERCUTT,DUSTIN",2
09:16,"SUB OUT by ROBINSON,HOLLIS",,,,,,,"SUB OUT by ROBINSON,HOLLIS",2
09:07,"TURNOVER  by GARCIA,NICK",,,,,,,"TURNOVER  by GARCIA,NICK",2
08:47,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:37,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:10,"GOOD JUMPER by MYRES,AJ",48,,54 (+6),,SCH-M 48-54 (+6),,"GOOD JUMPER by MYRES,AJ",2
07:56,"FOUL  by GARCIA,NICK",,,,,,,"FOUL  by GARCIA,NICK",2
07:56,,48,,55 (+7),"GOOD FT by LIVSEY,GEOFF",RHODESMB 48-55 (+7),,"GOOD FT by LIVSEY,GEOFF",2
07:56,,48,,56 (+8),"GOOD FT by LIVSEY,GEOFF",RHODESMB 48-56 (+8),,"GOOD FT by LIVSEY,GEOFF",2
07:42,"TURNOVER  by MYRES,AJ",,,,,,,"TURNOVER  by MYRES,AJ",2
07:42,"FOUL  by MYRES,AJ",,,,,,,"FOUL  by MYRES,AJ",2
07:35,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
07:35,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
07:35,"SUB IN by MILLER,WES",,,,,,,"SUB IN by MILLER,WES",2
07:35,"SUB OUT by GARCIA,NICK",,,,,,,"SUB OUT by GARCIA,NICK",2
07:18,"MISS LAYUP by MILLER,WES",,,,,,,"MISS LAYUP by MILLER,WES",2
--,"REBOUND OFF by MYRES,AJ",,,,,,,"REBOUND OFF by MYRES,AJ",2
07:14,"GOOD 3PTR by GUDERYAHN,TYLER",51,,56 (+5),,SCH-M 51-56 (+5),,"GOOD 3PTR by GUDERYAHN,TYLER",2
--,"ASSIST  by MYRES,AJ",,,,,,,"ASSIST  by MYRES,AJ",2
07:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:48,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by MYRES,AJ",,,,,,,"REBOUND DEF by MYRES,AJ",2
06:40,"GOOD 3PTR by GUDERYAHN,TYLER",54,,56 (+2),,SCH-M 54-56 (+2),,"GOOD 3PTR by GUDERYAHN,TYLER",2
--,"ASSIST  by MYRES,AJ",,,,,,,"ASSIST  by MYRES,AJ",2
06:38,"FOUL TECH by GUERRERO,STEVAN",,,,,,,"FOUL TECH by GUERRERO,STEVAN",2
06:38,,54,,57 (+3),"GOOD FT by COLLINS,LUKE",RHODESMB 54-57 (+3),,"GOOD FT by COLLINS,LUKE",2
06:38,,54,,58 (+4),"GOOD FT by COLLINS,LUKE",RHODESMB 54-58 (+4),,"GOOD FT by COLLINS,LUKE",2
06:24,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
06:24,"STEAL  by MYRES,AJ",,,,,,,"STEAL  by MYRES,AJ",2
06:03,"GOOD JUMPER by GUERRERO,STEVAN",56,,58 (+2),,SCH-M 56-58 (+2),,"GOOD JUMPER by GUERRERO,STEVAN",2
05:38,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND OFF by DUNAVANT,JOHNNY",,,"REBOUND OFF by DUNAVANT,JOHNNY",2
05:34,,56,,60 (+4),"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODESMB 56-60 (+4),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",2
05:10,"MISS 3PTR by MYRES,AJ",,,,,,,"MISS 3PTR by MYRES,AJ",2
--,"REBOUND OFF by GUERRERO,STEVAN",,,,,,,"REBOUND OFF by GUERRERO,STEVAN",2
05:02,"MISS JUMPER by MILLER,WES",,,,,,,"MISS JUMPER by MILLER,WES",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
04:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:45,"SUB IN by MARIN,ADRIAN",,,,,,,"SUB IN by MARIN,ADRIAN",2
04:45,"SUB OUT by MYRES,AJ",,,,,,,"SUB OUT by MYRES,AJ",2
04:45,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
04:45,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
04:34,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by GUERRERO,STEVAN",,,,,,,"REBOUND DEF by GUERRERO,STEVAN",2
04:14,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",2
04:14,"GOOD FT by GUERRERO,STEVAN",57,,60 (+3),,SCH-M 57-60 (+3),,"GOOD FT by GUERRERO,STEVAN",2
04:14,"GOOD FT by GUERRERO,STEVAN",58,,60 (+2),,SCH-M 58-60 (+2),,"GOOD FT by GUERRERO,STEVAN",2
03:46,,58,,62 (+4),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 58-62 (+4),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
03:33,"GOOD JUMPER by GUERRERO,STEVAN",60,,62 (+2),,SCH-M 60-62 (+2),,"GOOD JUMPER by GUERRERO,STEVAN",2
03:10,"FOUL  by NUNEZ,CHARLIE",,,,,,,"FOUL  by NUNEZ,CHARLIE",2
03:10,,60,,63 (+3),"GOOD FT by COLLINS,LUKE",RHODESMB 60-63 (+3),,"GOOD FT by COLLINS,LUKE",2
03:10,,60,,64 (+4),"GOOD FT by COLLINS,LUKE",RHODESMB 60-64 (+4),,"GOOD FT by COLLINS,LUKE",2
03:10,"SUB IN by BERCUTT,DUSTIN",,,,,,,"SUB IN by BERCUTT,DUSTIN",2
03:10,"SUB IN by MYRES,AJ",,,,,,,"SUB IN by MYRES,AJ",2
03:10,"SUB OUT by MILLER,WES",,,,,,,"SUB OUT by MILLER,WES",2
03:10,"SUB OUT by MARIN,ADRIAN",,,,,,,"SUB OUT by MARIN,ADRIAN",2
02:54,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
02:54,"GOOD FT by MYRES,AJ",61,,64 (+3),,SCH-M 61-64 (+3),,"GOOD FT by MYRES,AJ",2
02:54,"GOOD FT by MYRES,AJ",62,,64 (+2),,SCH-M 62-64 (+2),,"GOOD FT by MYRES,AJ",2
02:32,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
02:32,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
02:32,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
02:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:07,"GOOD JUMPER by MYRES,AJ",64,,64,,SCH-M 64-64 (0),,"GOOD JUMPER by MYRES,AJ",2
01:41,"FOUL  by MYRES,AJ",,,,,,,"FOUL  by MYRES,AJ",2
01:41,,64,,65 (+1),"GOOD FT by MILLER,DREW",RHODESMB 64-65 (+1),,"GOOD FT by MILLER,DREW",2
01:41,,64,,66 (+2),"GOOD FT by MILLER,DREW",RHODESMB 64-66 (+2),,"GOOD FT by MILLER,DREW",2
01:28,"MISS LAYUP by MYRES,AJ",,,,,,,"MISS LAYUP by MYRES,AJ",2
--,"REBOUND OFF by GUDERYAHN,TYLER",,,,,,,"REBOUND OFF by GUDERYAHN,TYLER",2
01:10,"MISS 3PTR by GUERRERO,STEVAN",,,,,,,"MISS 3PTR by GUERRERO,STEVAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:51,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by NUNEZ,CHARLIE",,,,,,,"REBOUND DEF by NUNEZ,CHARLIE",2
00:44,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
00:44,"MISS FT by NUNEZ,CHARLIE",,,,,,,"MISS FT by NUNEZ,CHARLIE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:44,"MISS FT by NUNEZ,CHARLIE",,,,,,,"MISS FT by NUNEZ,CHARLIE",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:44,"SUB IN by GARCIA,NICK",,,,,,,"SUB IN by GARCIA,NICK",2
00:44,"SUB OUT by BERCUTT,DUSTIN",,,,,,,"SUB OUT by BERCUTT,DUSTIN",2
00:44,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
00:44,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
00:16,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
00:09,"FOUL  by GUERRERO,STEVAN",,,,,,,"FOUL  by GUERRERO,STEVAN",2
00:09,,64,,67 (+3),"GOOD FT by LIVSEY,GEOFF",RHODESMB 64-67 (+3),,"GOOD FT by LIVSEY,GEOFF",2
00:09,,64,,68 (+4),"GOOD FT by LIVSEY,GEOFF",RHODESMB 64-68 (+4),,"GOOD FT by LIVSEY,GEOFF",2
00:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:07,"SUB IN by HARRIS,MAVERICK",,,,,,,"SUB IN by HARRIS,MAVERICK",2
00:07,"SUB IN by CLARK,GRANT",,,,,,,"SUB IN by CLARK,GRANT",2
00:07,"SUB OUT by GARCIA,NICK",,,,,,,"SUB OUT by GARCIA,NICK",2
00:07,"SUB OUT by GUDERYAHN,TYLER",,,,,,,"SUB OUT by GUDERYAHN,TYLER",2
00:05,"GOOD 3PTR by CLARK,GRANT",67,,68 (+1),,SCH-M 67-68 (+1),,"GOOD 3PTR by CLARK,GRANT",2
00:04,"FOUL  by HARRIS,MAVERICK",,,,,,,"FOUL  by HARRIS,MAVERICK",2
00:04,,67,,69 (+2),"GOOD FT by LIVSEY,GEOFF",RHODESMB 67-69 (+2),,"GOOD FT by LIVSEY,GEOFF",2
00:04,,67,,70 (+3),"GOOD FT by LIVSEY,GEOFF",RHODESMB 67-70 (+3),,"GOOD FT by LIVSEY,GEOFF",2
00:00,"MISS 3PTR by GUERRERO,STEVAN",,,,,,,"MISS 3PTR by GUERRERO,STEVAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
