Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,MC,Game Score,Team Indicator,Play,Period
15:08,,2,,4 (+2),"GOOD LAYUP by FREDRICK,RAYNER(in the paint)",MC 2-4 (-2),,"GOOD LAYUP by FREDRICK,RAYNER(in the paint)",1
--,,,,,"ASSIST  by CASE,JAY",,,"ASSIST  by CASE,JAY",1
14:55,,,,,"FOUL  by CASE,JARED",,,"FOUL  by CASE,JARED",1
14:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:55,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
14:55,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
14:55,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
14:55,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
14:41,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
14:41,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",1
14:31,,,,,"MISS JUMPER by WILLIAMS,WILLIE",,,"MISS JUMPER by WILLIAMS,WILLIE",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
14:18,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
14:17,,,,,"STEAL  by FREDRICK,RAYNER",,,"STEAL  by FREDRICK,RAYNER",1
14:10,,,,,"MISS 3PTR by CASE,JAY",,,"MISS 3PTR by CASE,JAY",1
--,,,,,"REBOUND OFF by FREDRICK,RAYNER",,,"REBOUND OFF by FREDRICK,RAYNER",1
13:54,,,,,"FOUL  by WILLIAMS,WILLIE",,,"FOUL  by WILLIAMS,WILLIE",1
13:54,,,,,"TURNOVER  by WILLIAMS,WILLIE",,,"TURNOVER  by WILLIAMS,WILLIE",1
13:54,,,,,"SUB IN by EZEJIOFO,EMMANUEL",,,"SUB IN by EZEJIOFO,EMMANUEL",1
13:54,,,,,"SUB IN by SMITH,KELVIN",,,"SUB IN by SMITH,KELVIN",1
13:54,,,,,"SUB IN by EDWARDS,JARON",,,"SUB IN by EDWARDS,JARON",1
13:54,,,,,"SUB OUT by CASE,JARED",,,"SUB OUT by CASE,JARED",1
13:54,,,,,"SUB OUT by WILLIAMS,WILLIE",,,"SUB OUT by WILLIAMS,WILLIE",1
13:54,,,,,"SUB OUT by FREDRICK,RAYNER",,,"SUB OUT by FREDRICK,RAYNER",1
13:42,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
13:42,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
13:20,,,,,"MISS JUMPER by SMITH,KELVIN",,,"MISS JUMPER by SMITH,KELVIN",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
12:58,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by FORD,LAKIN",,,"REBOUND DEF by FORD,LAKIN",1
12:43,,,,,"MISS 3PTR by FORD,LAKIN",,,"MISS 3PTR by FORD,LAKIN",1
--,,,,,"REBOUND OFF by EZEJIOFO,EMMANUEL",,,"REBOUND OFF by EZEJIOFO,EMMANUEL",1
12:39,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
12:39,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
12:39,,,,,"SUB IN by CASE,JARED",,,"SUB IN by CASE,JARED",1
12:39,,,,,"SUB OUT by CASE,JAY",,,"SUB OUT by CASE,JAY",1
12:17,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
12:17,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
12:17,,,,,"SUB IN by LYONS,DEAUNDREA",,,"SUB IN by LYONS,DEAUNDREA",1
12:17,,,,,"SUB OUT by SMITH,KELVIN",,,"SUB OUT by SMITH,KELVIN",1
12:15,,,,,"MISS LAYUP by LYONS,DEAUNDREA",,,"MISS LAYUP by LYONS,DEAUNDREA",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:55,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by FORD,LAKIN",,,"REBOUND DEF by FORD,LAKIN",1
11:35,,2,,7 (+5),"GOOD 3PTR by CASE,JARED",MC 2-7 (-5),,"GOOD 3PTR by CASE,JARED",1
--,,,,,"ASSIST  by FORD,LAKIN",,,"ASSIST  by FORD,LAKIN",1
11:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:25,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:25,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
11:11,,,,,"FOUL  by LYONS,DEAUNDREA",,,"FOUL  by LYONS,DEAUNDREA",1
11:06,"MISS JUMPER by GALLAGHER,MICHAEL",,,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by LYONS,DEAUNDREA",,,"REBOUND DEF by LYONS,DEAUNDREA",1
10:38,,,,,"TURNOVER  by FORD,LAKIN",,,"TURNOVER  by FORD,LAKIN",1
10:38,"STEAL  by GALLAGHER,MICHAEL",,,,,,,"STEAL  by GALLAGHER,MICHAEL",1
10:24,"GOOD 3PTR by MCGRAIL,PATRICK",5,,7 (+2),,RHO 5-7 (-2),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
09:55,,5,,9 (+4),"GOOD LAYUP by EZEJIOFO,EMMANUEL(in the paint)",MC 5-9 (-4),,"GOOD LAYUP by EZEJIOFO,EMMANUEL(in the paint)",1
09:54,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
09:54,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
09:54,,,,,"MISS FT by EZEJIOFO,EMMANUEL",,,"MISS FT by EZEJIOFO,EMMANUEL",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
09:54,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
09:54,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
09:54,,,,,"SUB IN by SMITH,KELVIN",,,"SUB IN by SMITH,KELVIN",1
09:54,,,,,"SUB OUT by FORD,LAKIN",,,"SUB OUT by FORD,LAKIN",1
09:30,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",7,,9 (+2),,RHO 7-9 (-2),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
09:12,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
09:12,,7,,10 (+3),"GOOD FT by EZEJIOFO,EMMANUEL",MC 7-10 (-3),,"GOOD FT by EZEJIOFO,EMMANUEL",1
09:12,,,,,"MISS FT by EZEJIOFO,EMMANUEL",,,"MISS FT by EZEJIOFO,EMMANUEL",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
09:12,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
09:12,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
09:12,,,,,"SUB IN by FREDRICK,RAYNER",,,"SUB IN by FREDRICK,RAYNER",1
09:12,,,,,"SUB OUT by EDWARDS,JARON",,,"SUB OUT by EDWARDS,JARON",1
08:44,"GOOD 3PTR by GALLAGHER,MICHAEL",10,,10,,RHO 10-10 (0),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
08:28,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
08:28,,,,,"MISS FT by FREDRICK,RAYNER",,,"MISS FT by FREDRICK,RAYNER",1
--,,,,,"REBOUND OFF by LYONS,DEAUNDREA",,,"REBOUND OFF by LYONS,DEAUNDREA",1
08:22,,,,,"FOUL  by SMITH,KELVIN",,,"FOUL  by SMITH,KELVIN",1
08:22,,,,,"TURNOVER  by SMITH,KELVIN",,,"TURNOVER  by SMITH,KELVIN",1
08:22,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
08:22,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
08:10,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",1
08:09,,,,,"STEAL  by EZEJIOFO,EMMANUEL",,,"STEAL  by EZEJIOFO,EMMANUEL",1
08:07,,10,,12 (+2),"GOOD LAYUP by EZEJIOFO,EMMANUEL(fastbreak)(in the paint)",MC 10-12 (-2),,"GOOD LAYUP by EZEJIOFO,EMMANUEL(fastbreak)(in the paint)",1
07:39,,,,,"FOUL  by LYONS,DEAUNDREA",,,"FOUL  by LYONS,DEAUNDREA",1
07:39,,,,,"SUB IN by FORD,LAKIN",,,"SUB IN by FORD,LAKIN",1
07:39,,,,,"SUB OUT by LYONS,DEAUNDREA",,,"SUB OUT by LYONS,DEAUNDREA",1
07:35,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",12,,12,,RHO 12-12 (0),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
07:24,,12,,14 (+2),"GOOD JUMPER by EZEJIOFO,EMMANUEL",MC 12-14 (-2),,"GOOD JUMPER by EZEJIOFO,EMMANUEL",1
--,,,,,"ASSIST  by FREDRICK,RAYNER",,,"ASSIST  by FREDRICK,RAYNER",1
06:47,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
06:47,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
06:47,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
06:47,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
06:47,,,,,"SUB IN by WILLIAMS,WILLIE",,,"SUB IN by WILLIAMS,WILLIE",1
06:47,,,,,"SUB OUT by SMITH,KELVIN",,,"SUB OUT by SMITH,KELVIN",1
06:35,,,,,"MISS LAYUP by EZEJIOFO,EMMANUEL",,,"MISS LAYUP by EZEJIOFO,EMMANUEL",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
06:04,"GOOD 3PTR by WATSON,SHANE",15 (+1),,14,,RHO 15-14 (+1),,"GOOD 3PTR by WATSON,SHANE",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
05:45,,15,,16 (+1),"GOOD LAYUP by FORD,LAKIN(in the paint)",MC 15-16 (-1),,"GOOD LAYUP by FORD,LAKIN(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,WILLIE",,,"ASSIST  by WILLIAMS,WILLIE",1
05:18,,,,,"FOUL  by CASE,JARED",,,"FOUL  by CASE,JARED",1
05:18,"GOOD FT by SLEDGE,TATE",16,,16,,RHO 16-16 (0),,"GOOD FT by SLEDGE,TATE",1
05:18,"GOOD FT by SLEDGE,TATE",17 (+1),,16,,RHO 17-16 (+1),,"GOOD FT by SLEDGE,TATE",1
05:18,,,,,"SUB IN by EDWARDS,JARON",,,"SUB IN by EDWARDS,JARON",1
05:18,,,,,"SUB OUT by CASE,JARED",,,"SUB OUT by CASE,JARED",1
05:03,,,,,"MISS LAYUP by FORD,LAKIN",,,"MISS LAYUP by FORD,LAKIN",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
04:39,"MISS LAYUP by SLEDGE,TATE",,,,,,,"MISS LAYUP by SLEDGE,TATE",1
04:39,,,,,"BLOCK  by FORD,LAKIN",,,"BLOCK  by FORD,LAKIN",1
--,,,,,"REBOUND DEF by FREDRICK,RAYNER",,,"REBOUND DEF by FREDRICK,RAYNER",1
04:34,,,,,"TURNOVER  by FREDRICK,RAYNER",,,"TURNOVER  by FREDRICK,RAYNER",1
04:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
04:34,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
04:34,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
04:15,,,,,"FOUL  by EZEJIOFO,EMMANUEL",,,"FOUL  by EZEJIOFO,EMMANUEL",1
04:15,"GOOD FT by WATSON,SHANE",18 (+2),,16,,RHO 18-16 (+2),,"GOOD FT by WATSON,SHANE",1
04:15,"MISS FT by WATSON,SHANE",,,,,,,"MISS FT by WATSON,SHANE",1
--,,,,,"REBOUND DEF by FORD,LAKIN",,,"REBOUND DEF by FORD,LAKIN",1
04:15,,,,,"SUB IN by CASE,JAY",,,"SUB IN by CASE,JAY",1
04:15,,,,,"SUB OUT by EZEJIOFO,EMMANUEL",,,"SUB OUT by EZEJIOFO,EMMANUEL",1
03:58,,18,,18,"GOOD LAYUP by FREDRICK,RAYNER(in the paint)",MC 18-18 (0),,"GOOD LAYUP by FREDRICK,RAYNER(in the paint)",1
--,,,,,"ASSIST  by FORD,LAKIN",,,"ASSIST  by FORD,LAKIN",1
03:32,"GOOD LAYUP by WATSON,SHANE(in the paint)",20 (+2),,18,,RHO 20-18 (+2),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
02:56,,20,,20,"GOOD LAYUP by WILLIAMS,WILLIE(in the paint)",MC 20-20 (0),,"GOOD LAYUP by WILLIAMS,WILLIE(in the paint)",1
--,,,,,"ASSIST  by FREDRICK,RAYNER",,,"ASSIST  by FREDRICK,RAYNER",1
02:30,"GOOD 3PTR by MCGRAIL,PATRICK",23 (+3),,20,,RHO 23-20 (+3),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
02:10,,,,,"MISS 3PTR by FREDRICK,RAYNER",,,"MISS 3PTR by FREDRICK,RAYNER",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
01:57,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
01:57,,,,,"BLOCK  by FREDRICK,RAYNER",,,"BLOCK  by FREDRICK,RAYNER",1
--,,,,,"REBOUND DEF by CASE,JAY",,,"REBOUND DEF by CASE,JAY",1
01:31,,,,,"TURNOVER  by FORD,LAKIN",,,"TURNOVER  by FORD,LAKIN",1
01:30,"STEAL  by WATSON,SHANE",,,,,,,"STEAL  by WATSON,SHANE",1
01:17,"MISS JUMPER by WATSON,SHANE",,,,,,,"MISS JUMPER by WATSON,SHANE",1
--,,,,,"REBOUND DEF by WILLIAMS,WILLIE",,,"REBOUND DEF by WILLIAMS,WILLIE",1
01:05,,,,,"MISS JUMPER by CASE,JAY",,,"MISS JUMPER by CASE,JAY",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
00:58,"GOOD LAYUP by MCGRAIL,PATRICK(fastbreak)(in the paint)",25 (+5),,20,,RHO 25-20 (+5),,"GOOD LAYUP by MCGRAIL,PATRICK(fastbreak)(in the paint)",1
00:56,,,,,"FOUL  by FORD,LAKIN",,,"FOUL  by FORD,LAKIN",1
00:56,"GOOD FT by MCGRAIL,PATRICK",26 (+6),,20,,RHO 26-20 (+6),,"GOOD FT by MCGRAIL,PATRICK",1
00:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:56,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
00:56,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
00:51,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",1
00:51,,26 (+5),,21,"GOOD FT by FREDRICK,RAYNER",MC 26-21 (+5),,"GOOD FT by FREDRICK,RAYNER",1
00:51,,,,,"MISS FT by FREDRICK,RAYNER",,,"MISS FT by FREDRICK,RAYNER",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
00:28,,,,,"FOUL  by CASE,JAY",,,"FOUL  by CASE,JAY",1
00:28,"GOOD FT by SLEDGE,TATE",27 (+6),,21,,RHO 27-21 (+6),,"GOOD FT by SLEDGE,TATE",1
00:28,"GOOD FT by SLEDGE,TATE",28 (+7),,21,,RHO 28-21 (+7),,"GOOD FT by SLEDGE,TATE",1
00:28,,,,,"SUB IN by EZEJIOFO,EMMANUEL",,,"SUB IN by EZEJIOFO,EMMANUEL",1
00:28,,,,,"SUB OUT by CASE,JAY",,,"SUB OUT by CASE,JAY",1
00:18,,,,,"MISS JUMPER by WILLIAMS,WILLIE",,,"MISS JUMPER by WILLIAMS,WILLIE",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
00:03,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",1
00:03,,,,,"MISS 3PTR by EDWARDS,JARON",,,"MISS 3PTR by EDWARDS,JARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:52,,,,,"FOUL  by FORD,LAKIN",,,"FOUL  by FORD,LAKIN",2
19:41,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
19:41,,,,,"BLOCK  by FORD,LAKIN",,,"BLOCK  by FORD,LAKIN",2
--,,,,,"REBOUND DEF by CASE,JARED",,,"REBOUND DEF by CASE,JARED",2
19:33,,,,,"MISS 3PTR by FORD,LAKIN",,,"MISS 3PTR by FORD,LAKIN",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
19:18,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",2
19:13,"GOOD LAYUP by MILLER,DREW(in the paint)",30 (+9),,21,,RHO 30-21 (+9),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
19:00,,30 (+7),,23,"GOOD LAYUP by FORD,LAKIN(in the paint)",MC 30-23 (+7),,"GOOD LAYUP by FORD,LAKIN(in the paint)",2
--,,,,,"ASSIST  by FREDRICK,RAYNER",,,"ASSIST  by FREDRICK,RAYNER",2
18:44,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by FREDRICK,RAYNER",,,"REBOUND DEF by FREDRICK,RAYNER",2
18:38,,,,,"MISS LAYUP by FREDRICK,RAYNER",,,"MISS LAYUP by FREDRICK,RAYNER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:23,,,,,"TURNOVER  by FORD,LAKIN",,,"TURNOVER  by FORD,LAKIN",2
18:03,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
18:02,,,,,"STEAL  by FREDRICK,RAYNER",,,"STEAL  by FREDRICK,RAYNER",2
17:58,,30 (+5),,25,"GOOD LAYUP by FORD,LAKIN(fastbreak)(in the paint)",MC 30-25 (+5),,"GOOD LAYUP by FORD,LAKIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by CASE,JAY",,,"ASSIST  by CASE,JAY",2
17:43,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",2
--,,,,,"REBOUND DEF by CASE,JAY",,,"REBOUND DEF by CASE,JAY",2
17:35,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
17:15,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
17:15,,30 (+4),,26,"GOOD FT by CASE,JARED",MC 30-26 (+4),,"GOOD FT by CASE,JARED",2
17:15,,30 (+3),,27,"GOOD FT by CASE,JARED",MC 30-27 (+3),,"GOOD FT by CASE,JARED",2
17:15,,30 (+2),,28,"GOOD FT by CASE,JARED",MC 30-28 (+2),,"GOOD FT by CASE,JARED",2
17:15,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
17:15,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
17:15,,,,,"SUB IN by HOWARD,CHRISTIAN",,,"SUB IN by HOWARD,CHRISTIAN",2
17:15,,,,,"SUB OUT by CASE,JARED",,,"SUB OUT by CASE,JARED",2
17:02,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
17:02,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
16:42,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by FREDRICK,RAYNER",,,"REBOUND DEF by FREDRICK,RAYNER",2
16:27,,,,,"MISS JUMPER by WILLIAMS,WILLIE",,,"MISS JUMPER by WILLIAMS,WILLIE",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
16:09,,,,,"FOUL  by WILLIAMS,WILLIE",,,"FOUL  by WILLIAMS,WILLIE",2
16:09,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
16:09,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
16:09,,,,,"SUB IN by LYONS,DEAUNDREA",,,"SUB IN by LYONS,DEAUNDREA",2
16:09,,,,,"SUB OUT by WILLIAMS,WILLIE",,,"SUB OUT by WILLIAMS,WILLIE",2
15:58,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by CASE,JAY",,,"REBOUND DEF by CASE,JAY",2
15:46,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
15:46,,30 (+1),,29,"GOOD FT by LYONS,DEAUNDREA",MC 30-29 (+1),,"GOOD FT by LYONS,DEAUNDREA",2
15:46,,30,,30,"GOOD FT by LYONS,DEAUNDREA",MC 30-30 (0),,"GOOD FT by LYONS,DEAUNDREA",2
15:46,,,,,"SUB IN by EZEJIOFO,EMMANUEL",,,"SUB IN by EZEJIOFO,EMMANUEL",2
15:46,,,,,"SUB OUT by CASE,JAY",,,"SUB OUT by CASE,JAY",2
15:33,,,,,"FOUL  by FREDRICK,RAYNER",,,"FOUL  by FREDRICK,RAYNER",2
15:33,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
15:33,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
15:26,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
15:25,,,,,"STEAL  by EZEJIOFO,EMMANUEL",,,"STEAL  by EZEJIOFO,EMMANUEL",2
15:19,,,,,"TURNOVER  by FORD,LAKIN",,,"TURNOVER  by FORD,LAKIN",2
15:18,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",2
15:16,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
15:15,,,,,"STEAL  by LYONS,DEAUNDREA",,,"STEAL  by LYONS,DEAUNDREA",2
15:13,,,,,"MISS LAYUP by HOWARD,CHRISTIAN",,,"MISS LAYUP by HOWARD,CHRISTIAN",2
