Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
19:39,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
19:39,"MISS FT by BAEHL,BRIAN",,,,,,,"MISS FT by BAEHL,BRIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:39,"GOOD FT by BAEHL,BRIAN",1 (+1),,0,,AC-M 1-0 (-1),,"GOOD FT by BAEHL,BRIAN",1
19:18,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
19:03,"MISS 3PTR by GRAHAM,KEVIN",,,,,,,"MISS 3PTR by GRAHAM,KEVIN",1
--,"REBOUND OFF by MICHAEL,ALVIN",,,,,,,"REBOUND OFF by MICHAEL,ALVIN",1
18:56,"TURNOVER  by GRAHAM,KEVIN",,,,,,,"TURNOVER  by GRAHAM,KEVIN",1
18:41,,1,,2 (+1),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 1-2 (+1),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",1
18:25,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,"REBOUND OFF by MICHAEL,ALVIN",,,,,,,"REBOUND OFF by MICHAEL,ALVIN",1
18:10,"GOOD 3PTR by SWISHER,JEREMY",4 (+2),,2,,AC-M 4-2 (-2),,"GOOD 3PTR by SWISHER,JEREMY",1
--,"ASSIST  by GRAHAM,KEVIN",,,,,,,"ASSIST  by GRAHAM,KEVIN",1
17:59,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
17:56,"STEAL  by OKPALA,RANSOM",,,,,,,"STEAL  by OKPALA,RANSOM",1
17:55,"GOOD LAYUP by OKPALA,RANSOM(fastbreak)(in the paint)",6 (+4),,2,,AC-M 6-2 (-4),,"GOOD LAYUP by OKPALA,RANSOM(fastbreak)(in the paint)",1
17:42,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
17:41,"STEAL  by OKPALA,RANSOM",,,,,,,"STEAL  by OKPALA,RANSOM",1
17:36,"GOOD LAYUP by GRAHAM,KEVIN(in the paint)",8 (+6),,2,,AC-M 8-2 (-6),,"GOOD LAYUP by GRAHAM,KEVIN(in the paint)",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
17:20,,8 (+4),,4,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",RHODESMB 8-4 (-4),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
16:55,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
16:54,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
16:53,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
16:53,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
16:53,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
16:53,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
16:31,"SUB IN by MEYERS,CODY",,,,,,,"SUB IN by MEYERS,CODY",1
16:31,"SUB OUT by GRAHAM,KEVIN",,,,,,,"SUB OUT by GRAHAM,KEVIN",1
16:31,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:31,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
16:31,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
16:31,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:28,,8 (+1),,7,"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 8-7 (-1),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
16:10,"GOOD 3PTR by OKPALA,RANSOM",11 (+4),,7,,AC-M 11-7 (-4),,"GOOD 3PTR by OKPALA,RANSOM",1
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",1
15:45,,11 (+1),,10,"GOOD 3PTR by MCGRAIL,PATRICK",RHODESMB 11-10 (-1),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
15:35,"GOOD LAYUP by SULLIVAN,ALAN(in the paint)",13 (+3),,10,,AC-M 13-10 (-3),,"GOOD LAYUP by SULLIVAN,ALAN(in the paint)",1
15:08,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
15:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:04,"SUB IN by KING,JIMMY",,,,,,,"SUB IN by KING,JIMMY",1
15:04,"SUB IN by MANIKOWSKI,ROMAN",,,,,,,"SUB IN by MANIKOWSKI,ROMAN",1
15:04,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
