Time Remaining,CENT,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:39,,0,,2 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
19:09,"MISS JUMPER by DEMOUCHET,KENDALL",,,,,,,"MISS JUMPER by DEMOUCHET,KENDALL",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
18:42,,0,,5 (+5),"GOOD 3PTR by MILLER,DREW",RHODES 0-5 (+5),,"GOOD 3PTR by MILLER,DREW",1
18:25,"MISS 3PTR by BLOUNT,JONATHAN",,,,,,,"MISS 3PTR by BLOUNT,JONATHAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
18:00,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
17:58,"STEAL  by WILLIAMS,DONOVAN",,,,,,,"STEAL  by WILLIAMS,DONOVAN",1
17:52,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
17:52,"GOOD FT by CHERAMIE,CADEN",1,,5 (+4),,CENT 1-5 (+4),,"GOOD FT by CHERAMIE,CADEN",1
17:52,"MISS FT by CHERAMIE,CADEN",,,,,,,"MISS FT by CHERAMIE,CADEN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
17:41,"FOUL  by BROWNING,JAIRUS",,,,,,,"FOUL  by BROWNING,JAIRUS",1
17:41,,1,,6 (+5),"GOOD FT by MILLER,DREW",RHODES 1-6 (+5),,"GOOD FT by MILLER,DREW",1
17:41,,1,,7 (+6),"GOOD FT by MILLER,DREW",RHODES 1-7 (+6),,"GOOD FT by MILLER,DREW",1
17:41,"SUB IN by PAWSAT,BROOKS",,,,,,,"SUB IN by PAWSAT,BROOKS",1
17:41,"SUB OUT by CHERAMIE,CADEN",,,,,,,"SUB OUT by CHERAMIE,CADEN",1
17:15,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
16:54,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
16:19,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
16:19,"GOOD FT by BLOUNT,JONATHAN",2,,7 (+5),,CENT 2-7 (+5),,"GOOD FT by BLOUNT,JONATHAN",1
16:19,"GOOD FT by BLOUNT,JONATHAN",3,,7 (+4),,CENT 3-7 (+4),,"GOOD FT by BLOUNT,JONATHAN",1
16:19,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:19,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
16:19,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
16:19,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
16:08,"FOUL  by WILLIAMS,DONOVAN",,,,,,,"FOUL  by WILLIAMS,DONOVAN",1
16:08,,3,,8 (+5),"GOOD FT by LIVSEY,GEOFF",RHODES 3-8 (+5),,"GOOD FT by LIVSEY,GEOFF",1
16:08,,3,,9 (+6),"GOOD FT by LIVSEY,GEOFF",RHODES 3-9 (+6),,"GOOD FT by LIVSEY,GEOFF",1
15:51,"GOOD JUMPER by DEMOUCHET,KENDALL",5,,9 (+4),,CENT 5-9 (+4),,"GOOD JUMPER by DEMOUCHET,KENDALL",1
--,"ASSIST  by BROWNING,JAIRUS",,,,,,,"ASSIST  by BROWNING,JAIRUS",1
15:35,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:17,"GOOD JUMPER by PAWSAT,BROOKS",7,,9 (+2),,CENT 7-9 (+2),,"GOOD JUMPER by PAWSAT,BROOKS",1
15:02,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
15:00,"STEAL  by DEMOUCHET,KENDALL",,,,,,,"STEAL  by DEMOUCHET,KENDALL",1
14:56,"MISS LAYUP by BLOUNT,JONATHAN",,,,,,,"MISS LAYUP by BLOUNT,JONATHAN",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
14:47,,7,,11 (+4),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 7-11 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
14:41,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
14:41,"SUB IN by WHITAKER,ISAIAH",,,,,,,"SUB IN by WHITAKER,ISAIAH",1
