Time Remaining,RC,Away Team Score,Play Team Indicator,Home Team Score,UTTMEN,Game Score,Team Indicator,Play,Period
16:03,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
16:03,,,,,"SUB IN by SUMMERVILLE,JOE",,,"SUB IN by SUMMERVILLE,JOE",1
16:03,,,,,"SUB OUT by HYSELL,TYLER",,,"SUB OUT by HYSELL,TYLER",1
15:43,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
15:40,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",8,,9 (+1),,RC 8-9 (-1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
15:25,,8,,11 (+3),"GOOD JUMPER by DYKMAN,TRAVIS",UTTMEN 8-11 (-3),,"GOOD JUMPER by DYKMAN,TRAVIS",1
--,,,,,"ASSIST  by METCALF,DEMARCUS",,,"ASSIST  by METCALF,DEMARCUS",1
14:58,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
14:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
14:26,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",1
14:26,,8,,12 (+4),"GOOD FT by DYKMAN,TRAVIS",UTTMEN 8-12 (-4),,"GOOD FT by DYKMAN,TRAVIS",1
14:26,,8,,13 (+5),"GOOD FT by DYKMAN,TRAVIS",UTTMEN 8-13 (-5),,"GOOD FT by DYKMAN,TRAVIS",1
14:26,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
14:26,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
14:26,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
14:26,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
14:18,,,,,"FOUL  by KEMP,BRYCE",,,"FOUL  by KEMP,BRYCE",1
13:58,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
13:57,,,,,"STEAL  by METCALF,DEMARCUS",,,"STEAL  by METCALF,DEMARCUS",1
13:55,,8,,15 (+7),"GOOD LAYUP by METCALF,DEMARCUS(in the paint)",UTTMEN 8-15 (-7),,"GOOD LAYUP by METCALF,DEMARCUS(in the paint)",1
13:34,,,,,"FOUL  by SUMMERVILLE,JOE",,,"FOUL  by SUMMERVILLE,JOE",1
13:34,"GOOD FT by COLLINS,LUKE",9,,15 (+6),,RC 9-15 (-6),,"GOOD FT by COLLINS,LUKE",1
13:34,"GOOD FT by COLLINS,LUKE",10,,15 (+5),,RC 10-15 (-5),,"GOOD FT by COLLINS,LUKE",1
13:34,,,,,"SUB IN by POTTER,TRE",,,"SUB IN by POTTER,TRE",1
13:34,,,,,"SUB IN by HYSELL,TYLER",,,"SUB IN by HYSELL,TYLER",1
13:34,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",1
13:34,,,,,"SUB OUT by KEMP,BRYCE",,,"SUB OUT by KEMP,BRYCE",1
13:34,,,,,"SUB OUT by STEPHENS,JOE",,,"SUB OUT by STEPHENS,JOE",1
13:34,,,,,"SUB OUT by METCALF,DEMARCUS",,,"SUB OUT by METCALF,DEMARCUS",1
13:19,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
13:12,,,,,"MISS JUMPER by HYSELL,TYLER",,,"MISS JUMPER by HYSELL,TYLER",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
13:04,,,,,"FOUL  by RANDLE,BYRON",,,"FOUL  by RANDLE,BYRON",1
12:40,"GOOD JUMPER by SLEDGE,TATE",12,,15 (+3),,RC 12-15 (-3),,"GOOD JUMPER by SLEDGE,TATE",1
12:27,,,,,"TURNOVER  by HYSELL,TYLER",,,"TURNOVER  by HYSELL,TYLER",1
12:25,"STEAL  by WAGNER,MATT",,,,,,,"STEAL  by WAGNER,MATT",1
12:20,"GOOD 3PTR by MCGRAIL,PATRICK",15,,15,,RC 15-15 (0),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
12:06,,,,,"FOUL  by RANDLE,BYRON",,,"FOUL  by RANDLE,BYRON",1
12:06,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
12:06,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
12:06,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
12:06,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
12:06,,,,,"SUB IN by JENKINS,EQUETTIS",,,"SUB IN by JENKINS,EQUETTIS",1
12:06,,,,,"SUB OUT by RANDLE,BYRON",,,"SUB OUT by RANDLE,BYRON",1
12:00,"GOOD LAYUP by WAGNER,MATT(in the paint)",17 (+2),,15,,RC 17-15 (+2),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
11:41,,,,,"MISS 3PTR by POTTER,TRE",,,"MISS 3PTR by POTTER,TRE",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
11:25,"GOOD JUMPER by WAGNER,MATT",19 (+4),,15,,RC 19-15 (+4),,"GOOD JUMPER by WAGNER,MATT",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
11:08,,,,,"MISS LAYUP by RANDLE,BYRON",,,"MISS LAYUP by RANDLE,BYRON",1
11:06,,,,,"MISS LAYUP by RANDLE,BYRON",,,"MISS LAYUP by RANDLE,BYRON",1
--,,,,,"REBOUND OFF by POTTER,TRE",,,"REBOUND OFF by POTTER,TRE",1
11:04,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
11:04,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:04,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
11:04,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
11:04,,,,,"SUB IN by STEPHENS,JOE",,,"SUB IN by STEPHENS,JOE",1
11:04,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",1
11:04,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",1
11:04,,,,,"SUB OUT by SUMMERVILLE,JOE",,,"SUB OUT by SUMMERVILLE,JOE",1
10:48,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
10:39,,,,,"FOUL  by OSAZUWA,OWEN",,,"FOUL  by OSAZUWA,OWEN",1
10:27,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",1
--,,,,,"REBOUND DEF by HYSELL,TYLER",,,"REBOUND DEF by HYSELL,TYLER",1
10:13,,,,,"TURNOVER  by POTTER,TRE",,,"TURNOVER  by POTTER,TRE",1
10:11,"STEAL  by SLEDGE,TATE",,,,,,,"STEAL  by SLEDGE,TATE",1
10:07,"GOOD 3PTR by GALLAGHER,MICHAEL",22 (+7),,15,,RC 22-15 (+7),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",1
10:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:02,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
10:02,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
10:02,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
10:02,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
10:02,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
10:02,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
10:02,,,,,"SUB IN by METCALF,DEMARCUS",,,"SUB IN by METCALF,DEMARCUS",1
10:02,,,,,"SUB IN by DYKMAN,TRAVIS",,,"SUB IN by DYKMAN,TRAVIS",1
10:02,,,,,"SUB IN by KEMP,BRYCE",,,"SUB IN by KEMP,BRYCE",1
10:02,,,,,"SUB OUT by JENKINS,EQUETTIS",,,"SUB OUT by JENKINS,EQUETTIS",1
10:02,,,,,"SUB OUT by OSAZUWA,OWEN",,,"SUB OUT by OSAZUWA,OWEN",1
10:02,,,,,"SUB OUT by POTTER,TRE",,,"SUB OUT by POTTER,TRE",1
09:54,,,,,"MISS LAYUP by HYSELL,TYLER",,,"MISS LAYUP by HYSELL,TYLER",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
09:44,"GOOD 3PTR by LIVSEY,GEOFF",25 (+10),,15,,RC 25-15 (+10),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
09:29,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
09:29,,25 (+9),,16,"GOOD FT by STEPHENS,JOE",UTTMEN 25-16 (+9),,"GOOD FT by STEPHENS,JOE",1
09:29,,25 (+8),,17,"GOOD FT by STEPHENS,JOE",UTTMEN 25-17 (+8),,"GOOD FT by STEPHENS,JOE",1
09:15,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
09:04,,25 (+6),,19,"GOOD JUMPER by KEMP,BRYCE",UTTMEN 25-19 (+6),,"GOOD JUMPER by KEMP,BRYCE",1
08:35,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by HYSELL,TYLER",,,"REBOUND DEF by HYSELL,TYLER",1
08:20,,25 (+4),,21,"GOOD LAYUP by METCALF,DEMARCUS(in the paint)",UTTMEN 25-21 (+4),,"GOOD LAYUP by METCALF,DEMARCUS(in the paint)",1
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",1
08:05,"GOOD JUMPER by MILLER,DREW",27 (+6),,21,,RC 27-21 (+6),,"GOOD JUMPER by MILLER,DREW",1
07:38,,,,,"MISS JUMPER by KEMP,BRYCE",,,"MISS JUMPER by KEMP,BRYCE",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
07:26,"GOOD 3PTR by GALLAGHER,MICHAEL",30 (+9),,21,,RC 30-21 (+9),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
07:10,,30 (+7),,23,"GOOD JUMPER by HYSELL,TYLER",UTTMEN 30-23 (+7),,"GOOD JUMPER by HYSELL,TYLER",1
--,,,,,"ASSIST  by METCALF,DEMARCUS",,,"ASSIST  by METCALF,DEMARCUS",1
06:38,,,,,"FOUL  by HYSELL,TYLER",,,"FOUL  by HYSELL,TYLER",1
06:38,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by METCALF,DEMARCUS",,,"REBOUND DEF by METCALF,DEMARCUS",1
06:38,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
06:38,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
06:30,,30 (+5),,25,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",UTTMEN 30-25 (+5),,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",1
06:17,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
06:17,,,,,"MISS FT by HYSELL,TYLER",,,"MISS FT by HYSELL,TYLER",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
06:17,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
06:17,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
06:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:04,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
06:00,,,,,"STEAL  by METCALF,DEMARCUS",,,"STEAL  by METCALF,DEMARCUS",1
05:56,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",1
05:42,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",32 (+7),,25,,RC 32-25 (+7),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
05:26,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
05:26,,,,,"MISS FT by METCALF,DEMARCUS",,,"MISS FT by METCALF,DEMARCUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:26,,32 (+6),,26,"GOOD FT by METCALF,DEMARCUS",UTTMEN 32-26 (+6),,"GOOD FT by METCALF,DEMARCUS",1
05:26,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
05:26,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
05:07,"GOOD JUMPER by WAGNER,MATT",34 (+8),,26,,RC 34-26 (+8),,"GOOD JUMPER by WAGNER,MATT",1
04:51,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
04:28,"GOOD LAYUP by COLLINS,LUKE(in the paint)",36 (+10),,26,,RC 36-26 (+10),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
04:15,,,,,"MISS 3PTR by KEMP,BRYCE",,,"MISS 3PTR by KEMP,BRYCE",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
04:03,"GOOD JUMPER by WAGNER,MATT",38 (+12),,26,,RC 38-26 (+12),,"GOOD JUMPER by WAGNER,MATT",1
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",1
04:00,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
04:00,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
04:00,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
04:00,,,,,"SUB IN by JENKINS,EQUETTIS",,,"SUB IN by JENKINS,EQUETTIS",1
04:00,,,,,"SUB OUT by KEMP,BRYCE",,,"SUB OUT by KEMP,BRYCE",1
03:52,,,,,"MISS 3PTR by JENKINS,EQUETTIS",,,"MISS 3PTR by JENKINS,EQUETTIS",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
03:10,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",1
--,,,,,"REBOUND DEF by JENKINS,EQUETTIS",,,"REBOUND DEF by JENKINS,EQUETTIS",1
02:59,,,,,"TURNOVER  by DYKMAN,TRAVIS",,,"TURNOVER  by DYKMAN,TRAVIS",1
02:51,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by METCALF,DEMARCUS",,,"REBOUND DEF by METCALF,DEMARCUS",1
02:30,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",1
02:09,"GOOD LAYUP by WAGNER,MATT(in the paint)",40 (+14),,26,,RC 40-26 (+14),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
01:45,,40 (+11),,29,"GOOD 3PTR by METCALF,DEMARCUS",UTTMEN 40-29 (+11),,"GOOD 3PTR by METCALF,DEMARCUS",1
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",1
01:26,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
01:26,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
01:26,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
01:26,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",1
01:26,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",1
01:26,,,,,"SUB OUT by HYSELL,TYLER",,,"SUB OUT by HYSELL,TYLER",1
01:22,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:19,,,,,"FOUL  by HARBOUR,NATHAN",,,"FOUL  by HARBOUR,NATHAN",1
01:19,"GOOD FT by WAGNER,MATT",41 (+12),,29,,RC 41-29 (+12),,"GOOD FT by WAGNER,MATT",1
01:19,"MISS FT by WAGNER,MATT",,,,,,,"MISS FT by WAGNER,MATT",1
--,,,,,"REBOUND DEF by JENKINS,EQUETTIS",,,"REBOUND DEF by JENKINS,EQUETTIS",1
01:05,,,,,"MISS JUMPER by DYKMAN,TRAVIS",,,"MISS JUMPER by DYKMAN,TRAVIS",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
00:34,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
00:16,"GOOD 3PTR by DUNAVANT,JOHNNY",44 (+15),,29,,RC 44-29 (+15),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
19:39,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by RANDLE,BYRON",,,"REBOUND DEF by RANDLE,BYRON",2
19:13,,,,,"MISS 3PTR by METCALF,DEMARCUS",,,"MISS 3PTR by METCALF,DEMARCUS",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
18:39,,,,,"FOUL  by RANDLE,BYRON",,,"FOUL  by RANDLE,BYRON",2
18:39,"GOOD FT by COLLINS,LUKE",45 (+16),,29,,RC 45-29 (+16),,"GOOD FT by COLLINS,LUKE",2
18:39,"GOOD FT by COLLINS,LUKE",46 (+17),,29,,RC 46-29 (+17),,"GOOD FT by COLLINS,LUKE",2
18:39,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",2
18:39,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",2
18:39,,,,,"SUB OUT by STEPHENS,JOE",,,"SUB OUT by STEPHENS,JOE",2
18:30,,46 (+15),,31,"GOOD JUMPER by RANDLE,BYRON",UTTMEN 46-31 (+15),,"GOOD JUMPER by RANDLE,BYRON",2
--,,,,,"ASSIST  by METCALF,DEMARCUS",,,"ASSIST  by METCALF,DEMARCUS",2
18:16,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by METCALF,DEMARCUS",,,"REBOUND DEF by METCALF,DEMARCUS",2
18:03,,,,,"MISS 3PTR by RANDLE,BYRON",,,"MISS 3PTR by RANDLE,BYRON",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
17:53,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",48 (+17),,31,,RC 48-31 (+17),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
17:48,,,,,"FOUL  by HYSELL,TYLER",,,"FOUL  by HYSELL,TYLER",2
17:48,"MISS FT by DUNAVANT,JOHNNY",,,,,,,"MISS FT by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by HYSELL,TYLER",,,"REBOUND DEF by HYSELL,TYLER",2
17:42,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
17:38,,,,,"TURNOVER  by DYKMAN,TRAVIS",,,"TURNOVER  by DYKMAN,TRAVIS",2
17:37,"STEAL  by DUNAVANT,JOHNNY",,,,,,,"STEAL  by DUNAVANT,JOHNNY",2
17:31,,,,,"FOUL  by HYSELL,TYLER",,,"FOUL  by HYSELL,TYLER",2
17:31,"GOOD FT by LIVSEY,GEOFF",49 (+18),,31,,RC 49-31 (+18),,"GOOD FT by LIVSEY,GEOFF",2
17:31,"GOOD FT by LIVSEY,GEOFF",50 (+19),,31,,RC 50-31 (+19),,"GOOD FT by LIVSEY,GEOFF",2
17:31,,,,,"SUB IN by HALL,STEPHON",,,"SUB IN by HALL,STEPHON",2
17:31,,,,,"SUB IN by SUMMERVILLE,JOE",,,"SUB IN by SUMMERVILLE,JOE",2
17:31,,,,,"SUB OUT by RANDLE,BYRON",,,"SUB OUT by RANDLE,BYRON",2
17:31,,,,,"SUB OUT by HYSELL,TYLER",,,"SUB OUT by HYSELL,TYLER",2
17:19,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
17:19,,50 (+18),,32,"GOOD FT by KEMP,BRYCE",UTTMEN 50-32 (+18),,"GOOD FT by KEMP,BRYCE",2
17:19,,50 (+17),,33,"GOOD FT by KEMP,BRYCE",UTTMEN 50-33 (+17),,"GOOD FT by KEMP,BRYCE",2
17:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:19,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
17:19,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
