Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,OGLETHOR,Game Score,Team Indicator,Play,Period
19:43,"GOOD 3PTR by COLLINS,LUKE",3 (+3),,0,,RHODES 3-0 (+3),,"GOOD 3PTR by COLLINS,LUKE",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
19:17,,3,,3,"GOOD 3PTR by SMITH,CONNOR",OGLETHOR 3-3 (0),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
18:54,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
18:45,,3,,6 (+3),"GOOD 3PTR by SMITH,CONNOR(fastbreak)",OGLETHOR 3-6 (-3),,"GOOD 3PTR by SMITH,CONNOR(fastbreak)",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
18:22,"MISS LAYUP by DUNAVANT,JOHNNY",,,,,,,"MISS LAYUP by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",1
17:57,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
17:57,,3,,7 (+4),"GOOD FT by KINNEY,JORDAN",OGLETHOR 3-7 (-4),,"GOOD FT by KINNEY,JORDAN",1
17:57,,3,,8 (+5),"GOOD FT by KINNEY,JORDAN",OGLETHOR 3-8 (-5),,"GOOD FT by KINNEY,JORDAN",1
17:45,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",5,,8 (+3),,RHODES 5-8 (-3),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
17:45,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
17:45,"GOOD FT by LIVSEY,GEOFF",6,,8 (+2),,RHODES 6-8 (-2),,"GOOD FT by LIVSEY,GEOFF",1
17:38,,6,,10 (+4),"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",OGLETHOR 6-10 (-4),,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",1
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",1
17:08,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
16:33,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",1
15:57,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
15:57,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",1
15:57,"GOOD FT by LIVSEY,GEOFF",7,,10 (+3),,RHODES 7-10 (-3),,"GOOD FT by LIVSEY,GEOFF",1
15:57,"GOOD FT by LIVSEY,GEOFF",8,,10 (+2),,RHODES 8-10 (-2),,"GOOD FT by LIVSEY,GEOFF",1
15:57,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
15:57,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
15:40,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
15:40,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
15:40,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
15:40,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
