Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,LETU,Game Score,Team Indicator,Play,Period
15:58,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
15:58,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
15:21,"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",6,,11 (+5),,RHODESMB 6-11 (-5),,"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",1
15:07,,,,,"MISS LAYUP by WILLIAMS,CHAD",,,"MISS LAYUP by WILLIAMS,CHAD",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
14:44,"MISS JUMPER by COLLINS,LUKE",,,,,,,"MISS JUMPER by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by HYNES,CHRIS",,,"REBOUND DEF by HYNES,CHRIS",1
14:30,,6,,13 (+7),"GOOD LAYUP by WILLIAMS,CHAD(in the paint)",LETU 6-13 (-7),,"GOOD LAYUP by WILLIAMS,CHAD(in the paint)",1
14:17,"MISS LAYUP by SLEDGE,TATE",,,,,,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
13:57,,,,,"MISS LAYUP by KENNEDY,JAKE",,,"MISS LAYUP by KENNEDY,JAKE",1
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",1
13:54,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",1
13:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
13:52,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
13:52,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
13:52,,,,,"SUB IN by JACOBSON,BEN",,,"SUB IN by JACOBSON,BEN",1
13:52,,,,,"SUB OUT by WILLIAMS,CHAD",,,"SUB OUT by WILLIAMS,CHAD",1
13:25,,,,,"TURNOVER  by KENNEDY,JAKE",,,"TURNOVER  by KENNEDY,JAKE",1
13:23,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",1
13:04,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",1
--,,,,,"REBOUND DEF by KENNEDY,JAKE",,,"REBOUND DEF by KENNEDY,JAKE",1
12:44,,,,,"MISS 3PTR by HYNES,CHRIS",,,"MISS 3PTR by HYNES,CHRIS",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
12:26,"GOOD JUMPER by SLEDGE,TATE(in the paint)",8,,13 (+5),,RHODESMB 8-13 (-5),,"GOOD JUMPER by SLEDGE,TATE(in the paint)",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
12:07,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
12:07,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
12:07,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
12:07,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
12:07,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
12:07,,,,,"SUB IN by HORTON,AUSTIN",,,"SUB IN by HORTON,AUSTIN",1
12:07,,,,,"SUB IN by THORNTON,JOSH",,,"SUB IN by THORNTON,JOSH",1
12:07,,,,,"SUB IN by ROSS,ANTIONE",,,"SUB IN by ROSS,ANTIONE",1
12:07,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",1
12:07,,,,,"SUB OUT by BROWN,LADARIA",,,"SUB OUT by BROWN,LADARIA",1
12:07,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
12:03,,,,,"TURNOVER  by HYNES,CHRIS",,,"TURNOVER  by HYNES,CHRIS",1
12:03,"STEAL  by MCGRAIL,PATRICK",,,,,,,"STEAL  by MCGRAIL,PATRICK",1
12:02,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",10,,13 (+3),,RHODESMB 10-13 (-3),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
11:42,,,,,"MISS LAYUP by ROSS,ANTIONE",,,"MISS LAYUP by ROSS,ANTIONE",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
11:13,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND DEF by THORNTON,JOSH",,,"REBOUND DEF by THORNTON,JOSH",1
10:50,,,,,"TURNOVER  by HYNES,CHRIS",,,"TURNOVER  by HYNES,CHRIS",1
10:36,"GOOD JUMPER by SLEDGE,TATE",12,,13 (+1),,RHODESMB 12-13 (-1),,"GOOD JUMPER by SLEDGE,TATE",1
10:31,,,,,"SUB IN by HYNES,CHRIS",,,"SUB IN by HYNES,CHRIS",1
10:31,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",1
10:25,,12,,15 (+3),"GOOD JUMPER by JACOBSON,BEN(in the paint)",LETU 12-15 (-3),,"GOOD JUMPER by JACOBSON,BEN(in the paint)",1
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",1
09:47,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by HYNES,CHRIS",,,"REBOUND DEF by HYNES,CHRIS",1
09:31,,,,,"MISS 3PTR by JACOBSON,BEN",,,"MISS 3PTR by JACOBSON,BEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:27,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
09:27,,,,,"SUB IN by WILLIAMS,CHAD",,,"SUB IN by WILLIAMS,CHAD",1
09:27,,,,,"SUB IN by MORRIS,KURT",,,"SUB IN by MORRIS,KURT",1
09:27,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
09:27,,,,,"SUB OUT by ROSS,ANTIONE",,,"SUB OUT by ROSS,ANTIONE",1
09:27,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",1
09:27,,,,,"SUB OUT by JACOBSON,BEN",,,"SUB OUT by JACOBSON,BEN",1
09:11,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND OFF by GALLAGHER,MICHAEL",,,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",1
08:50,"MISS LAYUP by MCGRAIL,PATRICK",,,,,,,"MISS LAYUP by MCGRAIL,PATRICK",1
08:50,,,,,"BLOCK  by WILLIAMS,CHAD",,,"BLOCK  by WILLIAMS,CHAD",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:38,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
08:38,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
08:31,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND DEF by MORRIS,KURT",,,"REBOUND DEF by MORRIS,KURT",1
08:17,,12,,17 (+5),"GOOD JUMPER by THORNTON,JOSH(in the paint)",LETU 12-17 (-5),,"GOOD JUMPER by THORNTON,JOSH(in the paint)",1
07:53,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
07:30,,,,,"TURNOVER  by HORTON,AUSTIN",,,"TURNOVER  by HORTON,AUSTIN",1
07:30,,,,,"SUB IN by KENNEDY,JAKE",,,"SUB IN by KENNEDY,JAKE",1
07:30,,,,,"SUB IN by BROWN,LADARIA",,,"SUB IN by BROWN,LADARIA",1
07:30,,,,,"SUB OUT by HORTON,AUSTIN",,,"SUB OUT by HORTON,AUSTIN",1
07:30,,,,,"SUB OUT by THORNTON,JOSH",,,"SUB OUT by THORNTON,JOSH",1
07:16,"GOOD JUMPER by WAGNER,MATT(in the paint)",14,,17 (+3),,RHODESMB 14-17 (-3),,"GOOD JUMPER by WAGNER,MATT(in the paint)",1
07:02,,,,,"MISS LAYUP by WILLIAMS,CHAD",,,"MISS LAYUP by WILLIAMS,CHAD",1
--,,,,,"REBOUND OFF by WILLIAMS,CHAD",,,"REBOUND OFF by WILLIAMS,CHAD",1
07:00,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
07:00,,14,,18 (+4),"GOOD FT by WILLIAMS,CHAD",LETU 14-18 (-4),,"GOOD FT by WILLIAMS,CHAD",1
07:00,,14,,19 (+5),"GOOD FT by WILLIAMS,CHAD",LETU 14-19 (-5),,"GOOD FT by WILLIAMS,CHAD",1
06:46,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
06:45,,,,,"STEAL  by BROWN,LADARIA",,,"STEAL  by BROWN,LADARIA",1
06:34,,,,,"MISS 3PTR by MORRIS,KURT",,,"MISS 3PTR by MORRIS,KURT",1
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",1
06:28,,14,,21 (+7),"GOOD LAYUP by BROWN,LADARIA(in the paint)",LETU 14-21 (-7),,"GOOD LAYUP by BROWN,LADARIA(in the paint)",1
--,,,,,"ASSIST  by KENNEDY,JAKE",,,"ASSIST  by KENNEDY,JAKE",1
06:04,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by WILLIAMS,CHAD",,,"REBOUND DEF by WILLIAMS,CHAD",1
05:38,,,,,"MISS 3PTR by KENNEDY,JAKE",,,"MISS 3PTR by KENNEDY,JAKE",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
05:26,"MISS 3PTR by WAGNER,MATT",,,,,,,"MISS 3PTR by WAGNER,MATT",1
--,,,,,"REBOUND DEF by MORRIS,KURT",,,"REBOUND DEF by MORRIS,KURT",1
04:57,,,,,"TURNOVER  by KENNEDY,JAKE",,,"TURNOVER  by KENNEDY,JAKE",1
04:56,"STEAL  by DUNAVANT,JOHNNY",,,,,,,"STEAL  by DUNAVANT,JOHNNY",1
04:44,"MISS LAYUP by SLEDGE,TATE",,,,,,,"MISS LAYUP by SLEDGE,TATE",1
04:44,,,,,"BLOCK  by WILLIAMS,CHAD",,,"BLOCK  by WILLIAMS,CHAD",1
--,,,,,"REBOUND DEF by KENNEDY,JAKE",,,"REBOUND DEF by KENNEDY,JAKE",1
04:37,,,,,"MISS LAYUP by KENNEDY,JAKE",,,"MISS LAYUP by KENNEDY,JAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:36,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
04:36,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
04:36,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
04:36,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
04:36,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
04:36,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
04:36,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
04:36,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
04:36,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
04:36,,,,,"SUB IN by HYNES,CHRIS",,,"SUB IN by HYNES,CHRIS",1
04:36,,,,,"SUB OUT by MORRIS,KURT",,,"SUB OUT by MORRIS,KURT",1
04:33,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
04:33,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
04:33,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
04:32,,14,,24 (+10),"GOOD 3PTR by BROWN,LADARIA",LETU 14-24 (-10),,"GOOD 3PTR by BROWN,LADARIA",1
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",1
04:32,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
04:32,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
04:31,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
04:30,,,,,"STEAL  by KENNEDY,JAKE",,,"STEAL  by KENNEDY,JAKE",1
04:29,,,,,"MISS LAYUP by HYNES,CHRIS",,,"MISS LAYUP by HYNES,CHRIS",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
04:23,,,,,"FOUL  by BROWN,LADARIA",,,"FOUL  by BROWN,LADARIA",1
04:23,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
03:20,"GOOD LAYUP by MILLER,DREW(in the paint)",16,,24 (+8),,RHODESMB 16-24 (-8),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
03:00,,,,,"MISS JUMPER by JONES,JUSTIN",,,"MISS JUMPER by JONES,JUSTIN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
02:48,,,,,"FOUL  by HYNES,CHRIS",,,"FOUL  by HYNES,CHRIS",1
02:48,,,,,"SUB IN by THORNTON,JOSH",,,"SUB IN by THORNTON,JOSH",1
02:48,,,,,"SUB OUT by BROWN,LADARIA",,,"SUB OUT by BROWN,LADARIA",1
02:39,"GOOD 3PTR by COLLINS,LUKE",19,,24 (+5),,RHODESMB 19-24 (-5),,"GOOD 3PTR by COLLINS,LUKE",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
02:23,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
02:22,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
02:22,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
02:19,,19,,26 (+7),"GOOD LAYUP by KENNEDY,JAKE(in the paint)",LETU 19-26 (-7),,"GOOD LAYUP by KENNEDY,JAKE(in the paint)",1
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",1
02:07,"GOOD LAYUP by COLLINS,LUKE(in the paint)",21,,26 (+5),,RHODESMB 21-26 (-5),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
01:38,,,,,"MISS JUMPER by WILLIAMS,CHAD",,,"MISS JUMPER by WILLIAMS,CHAD",1
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",1
01:25,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by HYNES,CHRIS",,,"REBOUND DEF by HYNES,CHRIS",1
01:18,,21,,29 (+8),"GOOD 3PTR by THORNTON,JOSH",LETU 21-29 (-8),,"GOOD 3PTR by THORNTON,JOSH",1
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",1
00:57,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
00:57,,,,,"BLOCK  by WILLIAMS,CHAD",,,"BLOCK  by WILLIAMS,CHAD",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
00:27,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",1
00:02,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",1
00:02,,,,,"BLOCK  by WILLIAMS,CHAD",,,"BLOCK  by WILLIAMS,CHAD",1
--,,,,,"REBOUND DEF by THORNTON,JOSH",,,"REBOUND DEF by THORNTON,JOSH",1
19:47,,,,,"MISS 3PTR by HYNES,CHRIS",,,"MISS 3PTR by HYNES,CHRIS",2
--,,,,,"REBOUND OFF by BROWN,LADARIA",,,"REBOUND OFF by BROWN,LADARIA",2
19:35,,,,,"MISS LAYUP by BROWN,LADARIA",,,"MISS LAYUP by BROWN,LADARIA",2
--,,,,,"REBOUND OFF by KENNEDY,JAKE",,,"REBOUND OFF by KENNEDY,JAKE",2
19:27,,,,,"MISS JUMPER by WILLIAMS,CHAD",,,"MISS JUMPER by WILLIAMS,CHAD",2
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",2
19:22,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",2
19:07,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",23,,29 (+6),,RHODESMB 23-29 (-6),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
18:48,,,,,"TURNOVER  by WILLIAMS,CHAD",,,"TURNOVER  by WILLIAMS,CHAD",2
18:47,"STEAL  by HOECK,RYAN VAN",,,,,,,"STEAL  by HOECK,RYAN VAN",2
18:37,"GOOD 3PTR by DUNAVANT,JOHNNY",26,,29 (+3),,RHODESMB 26-29 (-3),,"GOOD 3PTR by DUNAVANT,JOHNNY",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
18:19,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
18:10,,,,,"TURNOVER  by WILLIAMS,CHAD",,,"TURNOVER  by WILLIAMS,CHAD",2
18:09,"STEAL  by HOECK,RYAN VAN",,,,,,,"STEAL  by HOECK,RYAN VAN",2
18:05,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
18:04,,,,,"STEAL  by BROWN,LADARIA",,,"STEAL  by BROWN,LADARIA",2
17:55,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
17:40,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
17:40,,,,,"MISS FT by BROWN,LADARIA",,,"MISS FT by BROWN,LADARIA",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:40,,26,,30 (+4),"GOOD FT by BROWN,LADARIA",LETU 26-30 (-4),,"GOOD FT by BROWN,LADARIA",2
17:40,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
17:40,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
17:27,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by BROWN,LADARIA",,,"REBOUND DEF by BROWN,LADARIA",2
17:04,,26,,33 (+7),"GOOD 3PTR by BROWN,LADARIA",LETU 26-33 (-7),,"GOOD 3PTR by BROWN,LADARIA",2
16:42,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
16:41,,,,,"STEAL  by HYNES,CHRIS",,,"STEAL  by HYNES,CHRIS",2
16:35,,,,,"MISS 3PTR by BROWN,LADARIA",,,"MISS 3PTR by BROWN,LADARIA",2
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",2
16:23,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
16:23,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
16:23,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
16:23,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
16:23,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
16:12,,,,,"TURNOVER  by HYNES,CHRIS",,,"TURNOVER  by HYNES,CHRIS",2
16:01,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",2
15:49,"GOOD FT by SLEDGE,TATE",27,,33 (+6),,RHODESMB 27-33 (-6),,"GOOD FT by SLEDGE,TATE",2
15:38,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
15:28,"GOOD FT by SLEDGE,TATE",28,,33 (+5),,RHODESMB 28-33 (-5),,"GOOD FT by SLEDGE,TATE",2
15:24,,,,,"MISS 3PTR by BROWN,LADARIA",,,"MISS 3PTR by BROWN,LADARIA",2
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",2
15:12,"GOOD 3PTR by DUNAVANT,JOHNNY",31,,33 (+2),,RHODESMB 31-33 (-2),,"GOOD 3PTR by DUNAVANT,JOHNNY",2
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",2
14:48,,31,,35 (+4),"GOOD LAYUP by JONES,JUSTIN(in the paint)",LETU 31-35 (-4),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by KENNEDY,JAKE",,,"ASSIST  by KENNEDY,JAKE",2
14:29,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
14:29,,,,,"BLOCK  by WILLIAMS,CHAD",,,"BLOCK  by WILLIAMS,CHAD",2
--,,,,,"REBOUND DEF by WILLIAMS,CHAD",,,"REBOUND DEF by WILLIAMS,CHAD",2
14:22,,,,,"TURNOVER  by KENNEDY,JAKE",,,"TURNOVER  by KENNEDY,JAKE",2
14:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:18,,,,,"FOUL  by HYNES,CHRIS",,,"FOUL  by HYNES,CHRIS",2
14:18,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",2
14:18,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
14:18,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
14:18,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",2
14:18,,,,,"SUB IN by THORNTON,JOSH",,,"SUB IN by THORNTON,JOSH",2
14:18,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",2
14:18,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",2
14:18,,,,,"SUB OUT by BROWN,LADARIA",,,"SUB OUT by BROWN,LADARIA",2
14:18,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",2
14:05,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
14:05,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
