Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:49,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
19:26,"MISS JUMPER by DAVIS,JAKE",,,,,,,"MISS JUMPER by DAVIS,JAKE",1
--,"REBOUND OFF by DAVIS,JAKE",,,,,,,"REBOUND OFF by DAVIS,JAKE",1
19:22,"MISS LAYUP by DAVIS,JAKE",,,,,,,"MISS LAYUP by DAVIS,JAKE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
19:13,,0,,2 (+2),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 0-2 (+2),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
19:13,"FOUL  by GREVEN,ALEX",,,,,,,"FOUL  by GREVEN,ALEX",1
19:13,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by GREVEN,ALEX",,,,,,,"REBOUND DEF by GREVEN,ALEX",1
18:48,"GOOD LAYUP by FRIEDBERG,MICHAEL(in the paint)",2,,2,,EUM 2-2 (0),,"GOOD LAYUP by FRIEDBERG,MICHAEL(in the paint)",1
--,"ASSIST  by GREVEN,ALEX",,,,,,,"ASSIST  by GREVEN,ALEX",1
18:27,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
18:27,"BLOCK  by FRIEDBERG,MICHAEL",,,,,,,"BLOCK  by FRIEDBERG,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:13,"MISS JUMPER by GREVEN,ALEX",,,,,,,"MISS JUMPER by GREVEN,ALEX",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
17:55,"FOUL  by GREVEN,ALEX",,,,,,,"FOUL  by GREVEN,ALEX",1
17:55,,2,,3 (+1),"GOOD FT by MCGRAIL,PATRICK",RCMBB13 2-3 (+1),,"GOOD FT by MCGRAIL,PATRICK",1
17:55,,2,,4 (+2),"GOOD FT by MCGRAIL,PATRICK",RCMBB13 2-4 (+2),,"GOOD FT by MCGRAIL,PATRICK",1
17:55,"SUB IN by OH,NASH",,,,,,,"SUB IN by OH,NASH",1
17:55,"SUB OUT by GREVEN,ALEX",,,,,,,"SUB OUT by GREVEN,ALEX",1
17:32,"MISS JUMPER by FRIEDBERG,MICHAEL",,,,,,,"MISS JUMPER by FRIEDBERG,MICHAEL",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
17:09,,2,,6 (+4),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 2-6 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
16:54,"GOOD LAYUP by DAVIS,JAKE(in the paint)",4,,6 (+2),,EUM 4-6 (+2),,"GOOD LAYUP by DAVIS,JAKE(in the paint)",1
16:32,,4,,8 (+4),"GOOD JUMPER by GALOW,ANDREW",RCMBB13 4-8 (+4),,"GOOD JUMPER by GALOW,ANDREW",1
16:17,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
16:17,"SUB IN by SCHATTIE,JOSH",,,,,,,"SUB IN by SCHATTIE,JOSH",1
16:17,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",1
