Time Remaining,MILLSMBB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
13:20,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
13:20,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
13:20,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
13:20,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
13:06,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
12:50,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
12:50,,42,,45 (+3),"GOOD FT by HARTWELL,THEO",RCMBB13 42-45 (+3),,"GOOD FT by HARTWELL,THEO",2
12:50,,42,,46 (+4),"GOOD FT by HARTWELL,THEO",RCMBB13 42-46 (+4),,"GOOD FT by HARTWELL,THEO",2
12:50,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
12:50,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
12:29,"TURNOVER  by GRIFFON,JACKSON",,,,,,,"TURNOVER  by GRIFFON,JACKSON",2
12:13,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
12:05,"GOOD JUMPER by GRIFFON,JACKSON",44,,46 (+2),,MILLSMBB 44-46 (+2),,"GOOD JUMPER by GRIFFON,JACKSON",2
11:41,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
11:41,,44,,47 (+3),"GOOD FT by SLEDGE,TATE",RCMBB13 44-47 (+3),,"GOOD FT by SLEDGE,TATE",2
11:41,,44,,48 (+4),"GOOD FT by SLEDGE,TATE",RCMBB13 44-48 (+4),,"GOOD FT by SLEDGE,TATE",2
11:41,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
11:41,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
11:12,"TURNOVER  by GRIFFON,JACKSON",,,,,,,"TURNOVER  by GRIFFON,JACKSON",2
11:09,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",2
11:08,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",2
11:08,,44,,49 (+5),"GOOD FT by SLEDGE,TATE",RCMBB13 44-49 (+5),,"GOOD FT by SLEDGE,TATE",2
11:08,,44,,50 (+6),"GOOD FT by SLEDGE,TATE",RCMBB13 44-50 (+6),,"GOOD FT by SLEDGE,TATE",2
11:08,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
11:08,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
10:54,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
10:19,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
10:19,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",2
10:19,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",2
10:19,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
10:19,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
10:02,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
09:48,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
09:37,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
09:29,,44,,53 (+9),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 44-53 (+9),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
09:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:18,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
09:18,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
08:49,"GOOD LAYUP by BERGER,RYAN(in the paint)",46,,53 (+7),,MILLSMBB 46-53 (+7),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,"ASSIST  by WILSON,KEVIN",,,,,,,"ASSIST  by WILSON,KEVIN",2
08:44,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
08:44,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
08:24,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND OFF by KASTNER,MURRAY",,,,,,,"REBOUND OFF by KASTNER,MURRAY",2
08:22,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",2
08:22,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
08:22,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",2
08:22,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
08:22,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
08:22,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
08:22,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
08:22,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
08:22,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
08:15,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:12,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
08:12,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
07:40,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
07:36,,46,,55 (+9),"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 46-55 (+9),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",2
07:36,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
07:36,,46,,56 (+10),"GOOD FT by HARTWELL,THEO",RCMBB13 46-56 (+10),,"GOOD FT by HARTWELL,THEO",2
07:36,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
07:36,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
07:36,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
07:36,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
07:15,"GOOD 3PTR by KASTNER,MURRAY",49,,56 (+7),,MILLSMBB 49-56 (+7),,"GOOD 3PTR by KASTNER,MURRAY",2
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",2
07:15,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
07:15,"GOOD FT by KASTNER,MURRAY",50,,56 (+6),,MILLSMBB 50-56 (+6),,"GOOD FT by KASTNER,MURRAY",2
06:50,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
06:45,,50,,59 (+9),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 50-59 (+9),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
06:29,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:11,,50,,62 (+12),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 50-62 (+12),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
06:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:03,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",2
06:03,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
05:49,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
05:23,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
05:16,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",2
05:15,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
05:06,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
05:04,,50,,64 (+14),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 50-64 (+14),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
04:48,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
04:48,,,,,"BLOCK  by SLEDGE,TATE",,,"BLOCK  by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
04:29,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
04:04,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
03:54,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
03:48,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",52,,64 (+12),,MILLSMBB 52-64 (+12),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
03:48,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
03:48,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:48,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
03:48,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
03:48,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
03:48,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
03:45,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
03:45,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
03:42,"GOOD 3PTR by KASTNER,MURRAY",55,,64 (+9),,MILLSMBB 55-64 (+9),,"GOOD 3PTR by KASTNER,MURRAY",2
--,"ASSIST  by GRIFFON,JACKSON",,,,,,,"ASSIST  by GRIFFON,JACKSON",2
03:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:30,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
03:28,"STEAL  by GRIFFON,JACKSON",,,,,,,"STEAL  by GRIFFON,JACKSON",2
03:14,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",57,,64 (+7),,MILLSMBB 57-64 (+7),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
02:48,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",2
02:48,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
02:48,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
02:40,"MISS JUMPER by GRIFFON,JACKSON",,,,,,,"MISS JUMPER by GRIFFON,JACKSON",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
02:34,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
02:09,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
01:53,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
01:53,"GOOD FT by KASTNER,MURRAY",58,,64 (+6),,MILLSMBB 58-64 (+6),,"GOOD FT by KASTNER,MURRAY",2
01:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:53,"GOOD FT by KASTNER,MURRAY",59,,64 (+5),,MILLSMBB 59-64 (+5),,"GOOD FT by KASTNER,MURRAY",2
01:53,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
01:53,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
01:40,"FOUL  by GRIFFON,JACKSON",,,,,,,"FOUL  by GRIFFON,JACKSON",2
01:40,,59,,65 (+6),"GOOD FT by GALLAGHER,MICHAEL",RCMBB13 59-65 (+6),,"GOOD FT by GALLAGHER,MICHAEL",2
01:40,,59,,66 (+7),"GOOD FT by GALLAGHER,MICHAEL",RCMBB13 59-66 (+7),,"GOOD FT by GALLAGHER,MICHAEL",2
01:30,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
01:22,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",2
01:22,,59,,67 (+8),"GOOD FT by GALOW,ANDREW",RCMBB13 59-67 (+8),,"GOOD FT by GALOW,ANDREW",2
01:22,,59,,68 (+9),"GOOD FT by GALOW,ANDREW",RCMBB13 59-68 (+9),,"GOOD FT by GALOW,ANDREW",2
01:14,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
01:14,"GOOD FT by WILSON,KEVIN",60,,68 (+8),,MILLSMBB 60-68 (+8),,"GOOD FT by WILSON,KEVIN",2
01:14,"MISS FT by WILSON,KEVIN",,,,,,,"MISS FT by WILSON,KEVIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
01:14,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",2
01:14,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
01:06,,60,,70 (+10),"GOOD LAYUP by GALLAGHER,MICHAEL(fastbreak)(in the paint)",RCMBB13 60-70 (+10),,"GOOD LAYUP by GALLAGHER,MICHAEL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
00:52,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:51,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
00:51,"GOOD FT by DETILLIEU,RYAN",61,,70 (+9),,MILLSMBB 61-70 (+9),,"GOOD FT by DETILLIEU,RYAN",2
00:51,"MISS FT by DETILLIEU,RYAN",,,,,,,"MISS FT by DETILLIEU,RYAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:21,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
00:20,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
00:11,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,"REBOUND OFF by WILSON,KEVIN",,,,,,,"REBOUND OFF by WILSON,KEVIN",2
00:08,"MISS LAYUP by DETILLIEU,RYAN",,,,,,,"MISS LAYUP by DETILLIEU,RYAN",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
