Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
14:43,,7,,9 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 7-9 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
14:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:42,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
14:42,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
14:42,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",1
14:42,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
14:42,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
14:42,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
14:42,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
14:42,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
14:42,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
14:42,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:42,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:42,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
14:42,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:42,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
14:25,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
14:21,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",9,,9,,BSCM 9-9 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
14:02,,9,,11 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 9-11 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
13:32,"TURNOVER  by ASSANESI,KELLY",,,,,,,"TURNOVER  by ASSANESI,KELLY",1
13:32,"FOUL  by ASSANESI,KELLY",,,,,,,"FOUL  by ASSANESI,KELLY",1
13:23,,9,,13 (+4),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 9-13 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
12:54,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",11,,13 (+2),,BSCM 11-13 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
12:35,,11,,15 (+4),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 11-15 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
12:17,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
12:17,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
12:17,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
12:17,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
12:17,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:11,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
11:49,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
11:21,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
10:59,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
10:59,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
10:59,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
10:59,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:59,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
10:59,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
10:59,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:59,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",1
10:59,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
10:59,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
10:59,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
10:35,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
10:14,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",13,,15 (+2),,BSCM 13-15 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
09:50,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
09:41,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
09:41,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
09:41,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
09:41,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
09:41,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
09:41,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
09:41,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:37,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
09:36,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
09:34,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
09:27,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:27,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
09:18,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:18,,13,,16 (+3),"GOOD FT by CHIEN,KEVIN",RCMBB13 13-16 (+3),,"GOOD FT by CHIEN,KEVIN",1
09:18,,13,,17 (+4),"GOOD FT by CHIEN,KEVIN",RCMBB13 13-17 (+4),,"GOOD FT by CHIEN,KEVIN",1
09:18,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
09:18,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
09:18,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:18,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:00,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",1
08:59,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
08:57,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
08:56,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
08:46,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
08:34,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
08:26,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
08:26,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
08:26,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
08:26,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
08:26,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
08:14,,13,,19 (+6),"GOOD JUMPER by MILLER,DREW",RCMBB13 13-19 (+6),,"GOOD JUMPER by MILLER,DREW",1
08:00,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
07:42,,13,,22 (+9),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 13-22 (+9),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
07:32,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
07:32,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
07:31,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
07:31,"GOOD FT by SCHAMP,GRIFFIN",14,,22 (+8),,BSCM 14-22 (+8),,"GOOD FT by SCHAMP,GRIFFIN",1
07:31,"GOOD FT by SCHAMP,GRIFFIN",15,,22 (+7),,BSCM 15-22 (+7),,"GOOD FT by SCHAMP,GRIFFIN",1
06:59,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:54,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",1
06:54,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
06:39,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
06:23,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
06:06,,15,,25 (+10),"GOOD 3PTR by WAGNER,MATT",RCMBB13 15-25 (+10),,"GOOD 3PTR by WAGNER,MATT",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
05:39,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",1
05:39,"GOOD FT by THOMAS,LARRY",16,,25 (+9),,BSCM 16-25 (+9),,"GOOD FT by THOMAS,LARRY",1
05:39,"GOOD FT by THOMAS,LARRY",17,,25 (+8),,BSCM 17-25 (+8),,"GOOD FT by THOMAS,LARRY",1
05:39,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
05:39,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
05:39,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
05:39,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
05:39,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
05:39,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
05:39,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
05:39,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
05:39,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
05:39,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
05:26,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
05:25,"STEAL  by ASSANESI,KELLY",,,,,,,"STEAL  by ASSANESI,KELLY",1
05:24,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
05:19,,17,,27 (+10),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 17-27 (+10),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
04:55,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
04:53,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",19,,27 (+8),,BSCM 19-27 (+8),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
04:44,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
04:42,"MISS LAYUP by ASSANESI,KELLY",,,,,,,"MISS LAYUP by ASSANESI,KELLY",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
04:40,"GOOD LAYUP by THOMAS,LARRY(in the paint)",21,,27 (+6),,BSCM 21-27 (+6),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
04:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:40,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:40,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:18,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
03:58,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
03:58,"GOOD FT by RICHARDS,ZAC",22,,27 (+5),,BSCM 22-27 (+5),,"GOOD FT by RICHARDS,ZAC",1
03:58,"GOOD FT by RICHARDS,ZAC",23,,27 (+4),,BSCM 23-27 (+4),,"GOOD FT by RICHARDS,ZAC",1
03:35,,23,,29 (+6),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 23-29 (+6),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
02:56,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",1
02:56,,,,,"BLOCK  by MILLER,DREW",,,"BLOCK  by MILLER,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:56,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
02:39,,,,,"MISS LAYUP by MCGRAIL,PATRICK",,,"MISS LAYUP by MCGRAIL,PATRICK",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
02:30,"GOOD LAYUP by ASSANESI,KELLY(in the paint)",25,,29 (+4),,BSCM 25-29 (+4),,"GOOD LAYUP by ASSANESI,KELLY(in the paint)",1
02:15,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
02:14,"STEAL  by ASSANESI,KELLY",,,,,,,"STEAL  by ASSANESI,KELLY",1
02:12,"MISS LAYUP by ASSANESI,KELLY",,,,,,,"MISS LAYUP by ASSANESI,KELLY",1
--,"REBOUND OFF by ASSANESI,KELLY",,,,,,,"REBOUND OFF by ASSANESI,KELLY",1
02:11,"TURNOVER  by ASSANESI,KELLY",,,,,,,"TURNOVER  by ASSANESI,KELLY",1
02:10,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
02:10,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
02:10,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
02:10,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",1
02:10,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:10,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
01:56,,25,,31 (+6),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 25-31 (+6),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
01:44,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
01:44,"GOOD FT by KEGARISE,KEVIN",26,,31 (+5),,BSCM 26-31 (+5),,"GOOD FT by KEGARISE,KEVIN",1
01:44,"GOOD FT by KEGARISE,KEVIN",27,,31 (+4),,BSCM 27-31 (+4),,"GOOD FT by KEGARISE,KEVIN",1
01:44,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
01:44,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
01:22,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
01:21,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
01:14,"MISS 3PTR by RICHARDS,ZAC",,,,,,,"MISS 3PTR by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
00:48,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
00:36,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
00:31,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
00:25,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
00:06,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
20:00,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
20:00,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
19:43,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
19:41,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
19:22,,27,,34 (+7),"GOOD 3PTR by MILLER,DREW",RCMBB13 27-34 (+7),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
19:00,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
18:38,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
18:25,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
18:05,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
18:04,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
18:04,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
18:04,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
17:56,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
17:46,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
17:46,,27,,35 (+8),"GOOD FT by MILLER,DREW",RCMBB13 27-35 (+8),,"GOOD FT by MILLER,DREW",2
17:46,,27,,36 (+9),"GOOD FT by MILLER,DREW",RCMBB13 27-36 (+9),,"GOOD FT by MILLER,DREW",2
17:46,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
17:46,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
17:32,"GOOD LAYUP by WELCH,ROSS(in the paint)",29,,36 (+7),,BSCM 29-36 (+7),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
17:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:09,,29,,38 (+9),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 29-38 (+9),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
16:44,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
16:26,,29,,41 (+12),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 29-41 (+12),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
16:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:14,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
16:14,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
16:01,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
15:56,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
15:48,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND OFF by ASSANESI,KELLY",,,,,,,"REBOUND OFF by ASSANESI,KELLY",2
15:44,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",2
15:44,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
15:44,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:44,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
15:44,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
15:44,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
15:44,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
