Time Remaining,KCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by OLSON,TYLER",,,,,,,"SUB IN by OLSON,TYLER",1
20:00,"SUB IN by JONES,DAVID",,,,,,,"SUB IN by JONES,DAVID",1
20:00,"SUB IN by MILLER,ERIC",,,,,,,"SUB IN by MILLER,ERIC",1
20:00,"SUB IN by MURPHY,MITCH",,,,,,,"SUB IN by MURPHY,MITCH",1
20:00,"SUB IN by SHAW,LUKAS",,,,,,,"SUB IN by SHAW,LUKAS",1
20:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
20:00,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
20:00,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
20:00,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
20:00,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
19:50,"MISS 3PTR by OLSON,TYLER",,,,,,,"MISS 3PTR by OLSON,TYLER",1
--,"REBOUND OFF by JONES,DAVID",,,,,,,"REBOUND OFF by JONES,DAVID",1
19:45,"MISS 3PTR by MILLER,ERIC",,,,,,,"MISS 3PTR by MILLER,ERIC",1
--,"REBOUND OFF by MURPHY,MITCH",,,,,,,"REBOUND OFF by MURPHY,MITCH",1
19:37,"TURNOVER  by MURPHY,MITCH",,,,,,,"TURNOVER  by MURPHY,MITCH",1
19:36,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
19:27,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
19:22,,0,,2 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 0-2 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
18:53,"MISS JUMPER by SHAW,LUKAS",,,,,,,"MISS JUMPER by SHAW,LUKAS",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
18:35,,0,,4 (+4),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 0-4 (+4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
18:20,"GOOD LAYUP by MURPHY,MITCH(in the paint)",2,,4 (+2),,KCM 2-4 (+2),,"GOOD LAYUP by MURPHY,MITCH(in the paint)",1
17:48,,2,,7 (+5),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 2-7 (+5),,"GOOD 3PTR by GALOW,ANDREW",1
17:42,"GOOD 3PTR by MURPHY,MITCH",5,,7 (+2),,KCM 5-7 (+2),,"GOOD 3PTR by MURPHY,MITCH",1
--,"ASSIST  by MILLER,ERIC",,,,,,,"ASSIST  by MILLER,ERIC",1
17:26,,5,,9 (+4),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 5-9 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
17:05,"MISS JUMPER by SHAW,LUKAS",,,,,,,"MISS JUMPER by SHAW,LUKAS",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
16:59,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
16:34,"GOOD JUMPER by SHAW,LUKAS",7,,9 (+2),,KCM 7-9 (+2),,"GOOD JUMPER by SHAW,LUKAS",1
--,"ASSIST  by MILLER,ERIC",,,,,,,"ASSIST  by MILLER,ERIC",1
16:14,,7,,11 (+4),"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",RCMBB13 7-11 (+4),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
15:54,"MISS 3PTR by OLSON,TYLER",,,,,,,"MISS 3PTR by OLSON,TYLER",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
15:31,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by SHAW,LUKAS",,,,,,,"REBOUND DEF by SHAW,LUKAS",1
15:12,"TURNOVER  by MURPHY,MITCH",,,,,,,"TURNOVER  by MURPHY,MITCH",1
15:11,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
14:53,,7,,13 (+6),"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",RCMBB13 7-13 (+6),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
14:40,"TURNOVER  by JONES,DAVID",,,,,,,"TURNOVER  by JONES,DAVID",1
14:40,"SUB IN by STRICKLIN,ARMAND",,,,,,,"SUB IN by STRICKLIN,ARMAND",1
14:40,"SUB OUT by OLSON,TYLER",,,,,,,"SUB OUT by OLSON,TYLER",1
14:40,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
14:40,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:40,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
14:40,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:35,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
14:35,"BLOCK  by JONES,DAVID",,,,,,,"BLOCK  by JONES,DAVID",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
14:27,"FOUL  by SHAW,LUKAS",,,,,,,"FOUL  by SHAW,LUKAS",1
14:27,,7,,14 (+7),"GOOD FT by HOECK,RYAN VAN",RCMBB13 7-14 (+7),,"GOOD FT by HOECK,RYAN VAN",1
14:27,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,"REBOUND DEF by JONES,DAVID",,,,,,,"REBOUND DEF by JONES,DAVID",1
14:12,,,,,"BLOCK  by GALLAGHER,MICHAEL",,,"BLOCK  by GALLAGHER,MICHAEL",1
14:12,"MISS 3PTR by MURPHY,MITCH",,,,,,,"MISS 3PTR by MURPHY,MITCH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:59,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
13:56,"FOUL  by MILLER,ERIC",,,,,,,"FOUL  by MILLER,ERIC",1
13:56,"TURNOVER  by MILLER,ERIC",,,,,,,"TURNOVER  by MILLER,ERIC",1
13:46,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
13:46,"FOUL  by SHAW,LUKAS",,,,,,,"FOUL  by SHAW,LUKAS",1
13:46,,7,,15 (+8),"GOOD FT by HOECK,RYAN VAN",RCMBB13 7-15 (+8),,"GOOD FT by HOECK,RYAN VAN",1
13:46,,7,,16 (+9),"GOOD FT by HOECK,RYAN VAN",RCMBB13 7-16 (+9),,"GOOD FT by HOECK,RYAN VAN",1
13:46,"SUB IN by MCNICHOLS,CHRIS",,,,,,,"SUB IN by MCNICHOLS,CHRIS",1
13:46,"SUB OUT by SHAW,LUKAS",,,,,,,"SUB OUT by SHAW,LUKAS",1
13:46,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
13:46,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
13:34,"GOOD 3PTR by MCNICHOLS,CHRIS",10,,16 (+6),,KCM 10-16 (+6),,"GOOD 3PTR by MCNICHOLS,CHRIS",1
--,"ASSIST  by MILLER,ERIC",,,,,,,"ASSIST  by MILLER,ERIC",1
12:55,,10,,18 (+8),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 10-18 (+8),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
12:42,"MISS JUMPER by MILLER,ERIC",,,,,,,"MISS JUMPER by MILLER,ERIC",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
12:33,,10,,20 (+10),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RCMBB13 10-20 (+10),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
