Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:42,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
19:41,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
19:34,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
19:17,,0,,2 (+2),"GOOD JUMPER by MILLER,DREW",RCMBB13 0-2 (+2),,"GOOD JUMPER by MILLER,DREW",1
18:49,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
18:23,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
18:08,"GOOD 3PTR by ELLIS,BRYON",3 (+1),,2,,CENTREM 3-2 (-1),,"GOOD 3PTR by ELLIS,BRYON",1
17:49,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
17:39,"GOOD 3PTR by KARSNER,JOSH",6 (+4),,2,,CENTREM 6-2 (-4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
17:24,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:06,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
17:01,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
16:40,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
16:27,"GOOD LAYUP by WESLEY,TYLER(in the paint)",8 (+6),,2,,CENTREM 8-2 (-6),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
16:27,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
16:27,"GOOD FT by WESLEY,TYLER",9 (+7),,2,,CENTREM 9-2 (-7),,"GOOD FT by WESLEY,TYLER",1
16:27,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
16:27,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:09,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
16:01,"GOOD 3PTR by ELLIS,BRYON",12 (+10),,2,,CENTREM 12-2 (-10),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
15:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:47,,12 (+8),,4,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 12-4 (-8),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
15:17,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",14 (+10),,4,,CENTREM 14-4 (-10),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
15:03,,14 (+7),,7,"GOOD 3PTR by GALOW,ANDREW",RCMBB13 14-7 (-7),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
14:39,"GOOD 3PTR by ELLIS,BRYON",17 (+10),,7,,CENTREM 17-7 (-10),,"GOOD 3PTR by ELLIS,BRYON",1
