Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:30,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
19:20,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
19:17,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
19:11,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
18:54,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
18:52,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
18:49,,0,,2 (+2),"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 0-2 (-2),,"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",1
18:32,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
18:32,"GOOD FT by GALOW,ANDREW",1,,2 (+1),,RCMBB13 1-2 (-1),,"GOOD FT by GALOW,ANDREW",1
18:32,"GOOD FT by GALOW,ANDREW",2,,2,,RCMBB13 2-2 (0),,"GOOD FT by GALOW,ANDREW",1
18:02,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
18:02,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:02,,2,,3 (+1),"GOOD FT by WESLEY,TYLER",CENTRE_M 2-3 (-1),,"GOOD FT by WESLEY,TYLER",1
17:31,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
17:31,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
