Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,WCMBB,Game Score,Team Indicator,Play,Period
19:35,"GOOD JUMPER by HARTWELL,THEO",2 (+2),,0,,RCMBB13 2-0 (+2),,"GOOD JUMPER by HARTWELL,THEO",1
19:20,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",1
19:13,,2,,2,"GOOD JUMPER by PROPHET,JOE",WCMBB 2-2 (0),,"GOOD JUMPER by PROPHET,JOE",1
--,,,,,"ASSIST  by LEE,VERDIS",,,"ASSIST  by LEE,VERDIS",1
18:49,"GOOD JUMPER by MCGRAIL,PATRICK",4 (+2),,2,,RCMBB13 4-2 (+2),,"GOOD JUMPER by MCGRAIL,PATRICK",1
18:15,,,,,"TURNOVER  by ALLEN,TAYLOR",,,"TURNOVER  by ALLEN,TAYLOR",1
18:10,"GOOD 3PTR by DUNAVANT,JOHN",7 (+5),,2,,RCMBB13 7-2 (+5),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
17:56,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
17:46,,7 (+3),,4,"GOOD JUMPER by LEE,VERDIS",WCMBB 7-4 (+3),,"GOOD JUMPER by LEE,VERDIS",1
17:20,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:17,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
17:05,,,,,"MISS JUMPER by PROPHET,JOE",,,"MISS JUMPER by PROPHET,JOE",1
--,,,,,"REBOUND OFF by ALLEN,TAYLOR",,,"REBOUND OFF by ALLEN,TAYLOR",1
17:01,,,,,"MISS JUMPER by ALLEN,TAYLOR",,,"MISS JUMPER by ALLEN,TAYLOR",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
16:52,"GOOD JUMPER by LIVSEY,GEOFF",9 (+5),,4,,RCMBB13 9-4 (+5),,"GOOD JUMPER by LIVSEY,GEOFF",1
16:43,,,,,"MISS 3PTR by PROPHET,JOE",,,"MISS 3PTR by PROPHET,JOE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:41,,,,,"SUB IN by STOLTE,TODD",,,"SUB IN by STOLTE,TODD",1
16:41,,,,,"SUB OUT by ALLEN,TAYLOR",,,"SUB OUT by ALLEN,TAYLOR",1
16:24,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
16:18,,,,,"FOUL  by TOLSON,SKYLAR",,,"FOUL  by TOLSON,SKYLAR",1
16:18,"GOOD FT by LIVSEY,GEOFF",10 (+6),,4,,RCMBB13 10-4 (+6),,"GOOD FT by LIVSEY,GEOFF",1
16:18,"GOOD FT by LIVSEY,GEOFF",11 (+7),,4,,RCMBB13 11-4 (+7),,"GOOD FT by LIVSEY,GEOFF",1
16:18,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
16:18,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
16:18,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
16:18,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
16:18,,,,,"SUB IN by VALANDRA,MOOKIE",,,"SUB IN by VALANDRA,MOOKIE",1
16:18,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",1
16:13,,11 (+4),,7,"GOOD 3PTR by TOLSON,SKYLAR",WCMBB 11-7 (+4),,"GOOD 3PTR by TOLSON,SKYLAR",1
--,,,,,"ASSIST  by JAMES,JOE",,,"ASSIST  by JAMES,JOE",1
16:05,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:13,,11 (+1),,10,"GOOD 3PTR by TOLSON,SKYLAR",WCMBB 11-10 (+1),,"GOOD 3PTR by TOLSON,SKYLAR",1
--,,,,,"ASSIST  by JAMES,JOE",,,"ASSIST  by JAMES,JOE",1
14:38,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
14:38,,,,,"STEAL  by VALANDRA,MOOKIE",,,"STEAL  by VALANDRA,MOOKIE",1
14:38,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
14:38,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
14:38,,,,,"SUB IN by JONES,JORDAN",,,"SUB IN by JONES,JORDAN",1
14:38,,,,,"SUB OUT by LEE,VERDIS",,,"SUB OUT by LEE,VERDIS",1
14:35,,11,,12 (+1),"GOOD JUMPER by JAMES,JOE",WCMBB 11-12 (-1),,"GOOD JUMPER by JAMES,JOE",1
14:32,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND OFF by GALOW,ANDREW",,,,,,,"REBOUND OFF by GALOW,ANDREW",1
14:31,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by STOLTE,TODD",,,"REBOUND DEF by STOLTE,TODD",1
14:01,,,,,"TURNOVER  by VALANDRA,MOOKIE",,,"TURNOVER  by VALANDRA,MOOKIE",1
14:01,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
14:01,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
14:01,,,,,"SUB IN by BURROUGHS,ROBBIE",,,"SUB IN by BURROUGHS,ROBBIE",1
14:01,,,,,"SUB OUT by TOLSON,SKYLAR",,,"SUB OUT by TOLSON,SKYLAR",1
13:50,,,,,"FOUL  by STOLTE,TODD",,,"FOUL  by STOLTE,TODD",1
13:50,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
13:50,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
13:50,,,,,"SUB IN by PROPHET,JOE",,,"SUB IN by PROPHET,JOE",1
13:50,,,,,"SUB OUT by STOLTE,TODD",,,"SUB OUT by STOLTE,TODD",1
