Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:43,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",1
19:40,,,,,"STEAL  by COX,TJ",,,"STEAL  by COX,TJ",1
19:39,,0,,2 (+2),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 0-2 (-2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
19:07,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2,,2,,RHODES 2-2 (0),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
18:43,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
18:33,,2,,4 (+2),"GOOD LAYUP by BOWMAN,SAM(in the paint)",CCM 2-4 (-2),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
--,,,,,"ASSIST  by MCGRIFF,COLTON",,,"ASSIST  by MCGRIFF,COLTON",1
18:15,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
18:12,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",4,,4,,RHODES 4-4 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
17:55,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
17:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:29,"GOOD 3PTR by DUNAVANT,JOHN",7 (+3),,4,,RHODES 7-4 (+3),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
17:16,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
17:14,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",1
17:08,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by BOWMAN,SAM",,,"REBOUND DEF by BOWMAN,SAM",1
17:04,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",1
