Time Remaining,BCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
18:08,"STEAL  by ADAMS,BRANDON",,,,,,,"STEAL  by ADAMS,BRANDON",1
18:00,"TURNOVER  by CAMPBELL,JAY",,,,,,,"TURNOVER  by CAMPBELL,JAY",1
17:59,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
17:57,,2,,11 (+9),"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 2-11 (+9),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
17:46,"TURNOVER  by ADAMS,BRANDON",,,,,,,"TURNOVER  by ADAMS,BRANDON",1
17:22,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by ADAMS,BRANDON",,,,,,,"REBOUND DEF by ADAMS,BRANDON",1
17:12,"MISS 3PTR by CAMPBELL,JAY",,,,,,,"MISS 3PTR by CAMPBELL,JAY",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
17:05,,2,,13 (+11),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 2-13 (+11),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
17:05,"FOUL  by ADAMS,BRANDON",,,,,,,"FOUL  by ADAMS,BRANDON",1
17:05,,2,,14 (+12),"GOOD FT by HARTWELL,THEO",RCMBB13 2-14 (+12),,"GOOD FT by HARTWELL,THEO",1
17:05,"GOOD 3PTR by LOWRY,JON",5,,14 (+9),,BCMB 5-14 (+9),,"GOOD 3PTR by LOWRY,JON",1
17:05,"SUB IN by GOWIN,JAMES",,,,,,,"SUB IN by GOWIN,JAMES",1
17:05,"SUB IN by GOWIN,COLIN",,,,,,,"SUB IN by GOWIN,COLIN",1
17:05,"SUB IN by HILL,BRANDON",,,,,,,"SUB IN by HILL,BRANDON",1
17:05,"SUB OUT by CROPPER,DIARRA",,,,,,,"SUB OUT by CROPPER,DIARRA",1
17:05,"SUB OUT by ADAMS,BRANDON",,,,,,,"SUB OUT by ADAMS,BRANDON",1
17:05,"SUB OUT by CAMPBELL,JAY",,,,,,,"SUB OUT by CAMPBELL,JAY",1
16:25,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by LOWRY,JON",,,,,,,"REBOUND DEF by LOWRY,JON",1
16:24,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
16:07,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
15:58,"MISS 3PTR by GOWIN,COLIN",,,,,,,"MISS 3PTR by GOWIN,COLIN",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
15:38,"FOUL  by CHANDLER,MATT",,,,,,,"FOUL  by CHANDLER,MATT",1
15:30,,5,,17 (+12),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 5-17 (+12),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
15:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:08,"GOOD LAYUP by HILL,BRANDON(in the paint)",7,,17 (+10),,BCMB 7-17 (+10),,"GOOD LAYUP by HILL,BRANDON(in the paint)",1
14:50,,7,,19 (+12),"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",RCMBB13 7-19 (+12),,"GOOD JUMPER by MCGRAIL,PATRICK(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
14:23,"TURNOVER  by LOWRY,JON",,,,,,,"TURNOVER  by LOWRY,JON",1
14:22,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
14:13,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:55,"TURNOVER  by GOWIN,JAMES",,,,,,,"TURNOVER  by GOWIN,JAMES",1
13:51,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
13:31,,7,,21 (+14),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 7-21 (+14),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
13:20,"FOUL  by HILL,BRANDON",,,,,,,"FOUL  by HILL,BRANDON",1
13:15,"FOUL  by GOWIN,JAMES",,,,,,,"FOUL  by GOWIN,JAMES",1
13:15,"GOOD LAYUP by GOWIN,JAMES(in the paint)",9,,21 (+12),,BCMB 9-21 (+12),,"GOOD LAYUP by GOWIN,JAMES(in the paint)",1
