Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
16:20,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
16:20,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
16:20,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
16:20,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
15:55,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
15:51,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
15:51,,,,,"BLOCK  by KINNEY,JORDAN",,,"BLOCK  by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",1
15:43,,9 (+4),,5,"GOOD JUMPER by KINNEY,JORDAN",OUM 9-5 (+4),,"GOOD JUMPER by KINNEY,JORDAN",1
15:08,"GOOD JUMPER by DUNAVANT,JOHN",11 (+6),,5,,RCMBB13 11-5 (+6),,"GOOD JUMPER by DUNAVANT,JOHN",1
14:45,,,,,"TURNOVER  by JOVAAG,BRANDEN",,,"TURNOVER  by JOVAAG,BRANDEN",1
14:44,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
14:30,"MISS JUMPER by GALLAGHER,MICHAEL",,,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
14:27,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
14:27,,,,,"BLOCK  by KINNEY,JORDAN",,,"BLOCK  by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",1
14:14,,,,,"MISS LAYUP by DAVIS,ALEX",,,"MISS LAYUP by DAVIS,ALEX",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
14:05,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
14:05,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
14:05,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
14:05,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
14:05,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
14:05,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",1
14:05,,,,,"SUB IN by HAMILTON,PRICE",,,"SUB IN by HAMILTON,PRICE",1
14:05,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",1
14:05,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
14:05,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
14:05,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",1
13:49,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
13:41,,11 (+4),,7,"GOOD JUMPER by HAMILTON,PRICE",OUM 11-7 (+4),,"GOOD JUMPER by HAMILTON,PRICE",1
13:23,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
13:22,,,,,"STEAL  by MOLINET,CHRISTIAN",,,"STEAL  by MOLINET,CHRISTIAN",1
13:16,,,,,"TURNOVER  by PITTS,ALEC",,,"TURNOVER  by PITTS,ALEC",1
13:15,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
13:12,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",13 (+6),,7,,RCMBB13 13-7 (+6),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
12:54,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
12:39,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by PITTS,ALEC",,,"REBOUND DEF by PITTS,ALEC",1
12:33,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
12:18,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
12:18,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
12:18,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
12:18,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
12:18,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
12:18,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",1
12:18,,,,,"SUB IN by PATRICK,DREW",,,"SUB IN by PATRICK,DREW",1
12:18,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",1
12:18,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",1
11:45,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
11:26,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
