Time Remaining,KZOO-M,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:51,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
19:35,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
19:35,"GOOD FT by GOETZ,CARTER",1 (+1),,0,,KZOO-M 1-0 (-1),,"GOOD FT by GOETZ,CARTER",1
19:35,"MISS FT by GOETZ,CARTER",,,,,,,"MISS FT by GOETZ,CARTER",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
19:16,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
18:55,,1,,3 (+2),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 1-3 (+2),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
18:42,"TURNOVER  by FISHMAN,ERIC",,,,,,,"TURNOVER  by FISHMAN,ERIC",1
18:36,,1,,5 (+4),"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 1-5 (+4),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
18:17,"MISS 3PTR by GOETZ,CARTER",,,,,,,"MISS 3PTR by GOETZ,CARTER",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
17:57,,1,,8 (+7),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 1-8 (+7),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
17:32,"MISS LAYUP by GOETZ,CARTER",,,,,,,"MISS LAYUP by GOETZ,CARTER",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
17:16,,1,,10 (+9),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB13 1-10 (+9),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,"ASSIST  by GHAFARI,MARK",,,,,,,"ASSIST  by GHAFARI,MARK",1
17:16,,1,,11 (+10),"GOOD FT by LIVSEY,GEOFF",RCMBB13 1-11 (+10),,"GOOD FT by LIVSEY,GEOFF",1
17:05,"TURNOVER  by GHAFARI,MARK",,,,,,,"TURNOVER  by GHAFARI,MARK",1
17:04,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
17:00,,1,,13 (+12),"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 1-13 (+12),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
16:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:58,"SUB IN by CAREY,GRANT",,,,,,,"SUB IN by CAREY,GRANT",1
16:58,"SUB OUT by GHAFARI,CARL",,,,,,,"SUB OUT by GHAFARI,CARL",1
16:44,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
16:44,"GOOD FT by GHAFARI,MARK",2,,13 (+11),,KZOO-M 2-13 (+11),,"GOOD FT by GHAFARI,MARK",1
16:44,"GOOD FT by GHAFARI,MARK",3,,13 (+10),,KZOO-M 3-13 (+10),,"GOOD FT by GHAFARI,MARK",1
16:44,"SUB IN by PETERS,ADAM",,,,,,,"SUB IN by PETERS,ADAM",1
16:44,"SUB OUT by SCHOENFELDT,AARON",,,,,,,"SUB OUT by SCHOENFELDT,AARON",1
16:44,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:44,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
16:18,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by GHAFARI,MARK",,,,,,,"REBOUND DEF by GHAFARI,MARK",1
16:01,"GOOD 3PTR by FISHMAN,ERIC",6,,13 (+7),,KZOO-M 6-13 (+7),,"GOOD 3PTR by FISHMAN,ERIC",1
--,"ASSIST  by GHAFARI,MARK",,,,,,,"ASSIST  by GHAFARI,MARK",1
15:46,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
15:45,"STEAL  by GHAFARI,MARK",,,,,,,"STEAL  by GHAFARI,MARK",1
15:43,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
15:32,"GOOD JUMPER by PETERS,ADAM",8,,13 (+5),,KZOO-M 8-13 (+5),,"GOOD JUMPER by PETERS,ADAM",1
--,"ASSIST  by GOETZ,CARTER",,,,,,,"ASSIST  by GOETZ,CARTER",1
15:11,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
15:11,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
15:11,"SUB IN by GARBER,KEITH",,,,,,,"SUB IN by GARBER,KEITH",1
15:11,"SUB OUT by GOETZ,CARTER",,,,,,,"SUB OUT by GOETZ,CARTER",1
15:11,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
15:11,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:57,"TURNOVER  by GHAFARI,MARK",,,,,,,"TURNOVER  by GHAFARI,MARK",1
14:56,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
14:56,"FOUL  by GARBER,KEITH",,,,,,,"FOUL  by GARBER,KEITH",1
14:35,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
14:31,"FOUL  by GARBER,KEITH",,,,,,,"FOUL  by GARBER,KEITH",1
14:15,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
14:01,"FOUL  by FISHMAN,ERIC",,,,,,,"FOUL  by FISHMAN,ERIC",1
14:01,,8,,14 (+6),"GOOD FT by HOECK,RYAN VAN",RCMBB13 8-14 (+6),,"GOOD FT by HOECK,RYAN VAN",1
14:01,,8,,15 (+7),"GOOD FT by HOECK,RYAN VAN",RCMBB13 8-15 (+7),,"GOOD FT by HOECK,RYAN VAN",1
14:01,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:01,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
13:51,"MISS 3PTR by FISHMAN,ERIC",,,,,,,"MISS 3PTR by FISHMAN,ERIC",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
13:48,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
13:48,"SUB IN by GOETZ,CARTER",,,,,,,"SUB IN by GOETZ,CARTER",1
13:48,"SUB IN by GHAFARI,CARL",,,,,,,"SUB IN by GHAFARI,CARL",1
13:48,"SUB IN by ORAVETZ,MIKE",,,,,,,"SUB IN by ORAVETZ,MIKE",1
13:48,"SUB OUT by PETERS,ADAM",,,,,,,"SUB OUT by PETERS,ADAM",1
13:48,"SUB OUT by CAREY,GRANT",,,,,,,"SUB OUT by CAREY,GRANT",1
13:48,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
13:48,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
13:44,"SUB OUT by GHAFARI,MARK",,,,,,,"SUB OUT by GHAFARI,MARK",1
13:27,"MISS JUMPER by PETERS,ADAM",,,,,,,"MISS JUMPER by PETERS,ADAM",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
13:07,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:49,,8,,17 (+9),"GOOD JUMPER by HOECK,RYAN VAN",RCMBB13 8-17 (+9),,"GOOD JUMPER by HOECK,RYAN VAN",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
12:41,"MISS LAYUP by GHAFARI,CARL",,,,,,,"MISS LAYUP by GHAFARI,CARL",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
12:32,"FOUL  by GOETZ,CARTER",,,,,,,"FOUL  by GOETZ,CARTER",1
12:21,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by CAREY,GRANT",,,,,,,"REBOUND DEF by CAREY,GRANT",1
12:09,"MISS JUMPER by PETERS,ADAM",,,,,,,"MISS JUMPER by PETERS,ADAM",1
--,"REBOUND OFF by GOETZ,CARTER",,,,,,,"REBOUND OFF by GOETZ,CARTER",1
12:06,"MISS JUMPER by GOETZ,CARTER",,,,,,,"MISS JUMPER by GOETZ,CARTER",1
--,"REBOUND OFF by ORAVETZ,MIKE",,,,,,,"REBOUND OFF by ORAVETZ,MIKE",1
11:53,"MISS JUMPER by CAREY,GRANT",,,,,,,"MISS JUMPER by CAREY,GRANT",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
11:40,,8,,19 (+11),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 8-19 (+11),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
11:40,"FOUL  by ORAVETZ,MIKE",,,,,,,"FOUL  by ORAVETZ,MIKE",1
11:40,,8,,20 (+12),"GOOD FT by GALOW,ANDREW",RCMBB13 8-20 (+12),,"GOOD FT by GALOW,ANDREW",1
11:40,"SUB IN by GHAFARI,MARK",,,,,,,"SUB IN by GHAFARI,MARK",1
11:40,"SUB IN by CAREY,GRANT",,,,,,,"SUB IN by CAREY,GRANT",1
11:40,"SUB OUT by FISHMAN,ERIC",,,,,,,"SUB OUT by FISHMAN,ERIC",1
11:40,"SUB OUT by ORAVETZ,MIKE",,,,,,,"SUB OUT by ORAVETZ,MIKE",1
11:40,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
11:40,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
