Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:10,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
14:46,"GOOD LAYUP by HARTWELL,THEO(in the paint)",5,,7 (+2),,RCMBB13 5-7 (-2),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
14:32,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",1
14:24,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",1
14:23,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
14:13,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",1
14:13,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",1
--,,,,,"REBOUND DEF by TAULTON,JORDAN",,,"REBOUND DEF by TAULTON,JORDAN",1
13:53,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",1
13:52,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
13:41,"GOOD 3PTR by LIVSEY,GEOFF",8 (+1),,7,,RCMBB13 8-7 (+1),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
13:20,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",1
13:20,"BLOCK  by HARTWELL,THEO",,,,,,,"BLOCK  by HARTWELL,THEO",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
13:11,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
13:10,"SUB IN by CHIEN,KEVIN",,,,,,,"SUB IN by CHIEN,KEVIN",1
13:10,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
13:10,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
13:10,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
13:10,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
13:10,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
13:10,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",1
13:10,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",1
13:10,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
13:10,,,,,"SUB IN by ROLAND,WILL",,,"SUB IN by ROLAND,WILL",1
13:10,,,,,"SUB OUT by TAULTON,JORDAN",,,"SUB OUT by TAULTON,JORDAN",1
13:10,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
13:10,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
13:10,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
12:52,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",,,"MISS 3PTR by MCCUBBIN,NATHAN",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
12:37,"GOOD JUMPER by LIVSEY,GEOFF",10 (+3),,7,,RCMBB13 10-7 (+3),,"GOOD JUMPER by LIVSEY,GEOFF",1
12:14,"FOUL  by CHIEN,KEVIN",,,,,,,"FOUL  by CHIEN,KEVIN",1
12:02,"FOUL  by CHIEN,KEVIN",,,,,,,"FOUL  by CHIEN,KEVIN",1
11:57,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",1
11:47,,,,,"FOUL  by SHERIDAN,DAYTON",,,"FOUL  by SHERIDAN,DAYTON",1
11:43,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by MCCUBBIN,NATHAN",,,"REBOUND DEF by MCCUBBIN,NATHAN",1
11:36,,,,,"MISS 3PTR by ROLAND,WILL",,,"MISS 3PTR by ROLAND,WILL",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
11:32,,,,,"FOUL  by SHERIDAN,DAYTON",,,"FOUL  by SHERIDAN,DAYTON",1
11:32,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
11:32,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
11:21,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
11:04,,,,,"MISS JUMPER by ROLAND,WILL",,,"MISS JUMPER by ROLAND,WILL",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
10:44,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
10:44,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
10:31,"GOOD 3PTR by HOECK,RYAN VAN",13 (+6),,7,,RCMBB13 13-7 (+6),,"GOOD 3PTR by HOECK,RYAN VAN",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
10:19,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
10:04,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
09:55,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
09:55,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
09:55,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
09:55,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
09:55,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
09:55,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
09:55,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
09:55,,,,,"SUB OUT by ROLAND,WILL",,,"SUB OUT by ROLAND,WILL",1
09:46,"GOOD LAYUP by HARTWELL,THEO(in the paint)",15 (+8),,7,,RCMBB13 15-7 (+8),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
09:29,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
08:59,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
08:55,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
08:55,"SUB OUT by CHIEN,KEVIN",,,,,,,"SUB OUT by CHIEN,KEVIN",1
08:46,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",1
08:46,,15 (+7),,8,"GOOD FT by PRIMM,COLTON",HC 15-8 (+7),,"GOOD FT by PRIMM,COLTON",1
08:46,,,,,"MISS FT by PRIMM,COLTON",,,"MISS FT by PRIMM,COLTON",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
08:46,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
08:46,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
08:33,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",17 (+9),,8,,RCMBB13 17-8 (+9),,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",1
08:19,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",1
08:15,,17 (+7),,10,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 17-10 (+7),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
07:40,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
07:13,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:10,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
07:10,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",1
07:10,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
06:57,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:49,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
06:43,,17 (+4),,13,"GOOD 3PTR by RILEY,JAREN",HC 17-13 (+4),,"GOOD 3PTR by RILEY,JAREN",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
06:32,"GOOD 3PTR by WAGNER,MATT",20 (+7),,13,,RCMBB13 20-13 (+7),,"GOOD 3PTR by WAGNER,MATT",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
06:15,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
06:02,"GOOD JUMPER by MILLER,DREW",22 (+9),,13,,RCMBB13 22-13 (+9),,"GOOD JUMPER by MILLER,DREW",1
05:39,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
05:34,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",1
05:34,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
05:34,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
05:34,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
05:34,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
05:28,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
05:28,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
05:06,,,,,"TURNOVER  by TAULTON,JORDAN",,,"TURNOVER  by TAULTON,JORDAN",1
05:05,"STEAL  by HOECK,RYAN VAN",,,,,,,"STEAL  by HOECK,RYAN VAN",1
04:54,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",1
04:54,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
04:54,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
04:54,,,,,"SUB IN by GRAM,ANDY",,,"SUB IN by GRAM,ANDY",1
04:54,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
04:54,,,,,"SUB OUT by MCCUBBIN,NATHAN",,,"SUB OUT by MCCUBBIN,NATHAN",1
04:54,,,,,"SUB OUT by TAULTON,JORDAN",,,"SUB OUT by TAULTON,JORDAN",1
04:40,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",1
04:09,,22 (+7),,15,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 22-15 (+7),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
03:53,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",24 (+9),,15,,RCMBB13 24-15 (+9),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
03:28,,24 (+7),,17,"GOOD JUMPER by PRIMM,COLTON",HC 24-17 (+7),,"GOOD JUMPER by PRIMM,COLTON",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
03:27,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
03:27,,24 (+6),,18,"GOOD FT by PRIMM,COLTON",HC 24-18 (+6),,"GOOD FT by PRIMM,COLTON",1
03:15,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",26 (+8),,18,,RCMBB13 26-18 (+8),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
02:56,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
02:47,"GOOD LAYUP by GALOW,ANDREW(in the paint)",28 (+10),,18,,RCMBB13 28-18 (+10),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
02:18,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
02:18,"BLOCK  by HOECK,RYAN VAN",,,,,,,"BLOCK  by HOECK,RYAN VAN",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
02:06,"GOOD LAYUP by GALOW,ANDREW(in the paint)",30 (+12),,18,,RCMBB13 30-18 (+12),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
01:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:58,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
01:58,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
01:58,,,,,"SUB IN by ROLAND,WILL",,,"SUB IN by ROLAND,WILL",1
01:58,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
01:41,,30 (+10),,20,"GOOD JUMPER by RILEY,JAREN",HC 30-20 (+10),,"GOOD JUMPER by RILEY,JAREN",1
--,,,,,"ASSIST  by GRAM,ANDY",,,"ASSIST  by GRAM,ANDY",1
01:37,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",1
01:37,,30 (+9),,21,"GOOD FT by RILEY,JAREN",HC 30-21 (+9),,"GOOD FT by RILEY,JAREN",1
01:25,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",1
01:04,,30 (+7),,23,"GOOD JUMPER by RILEY,JAREN",HC 30-23 (+7),,"GOOD JUMPER by RILEY,JAREN",1
00:55,,,,,"FOUL  by GRAM,ANDY",,,"FOUL  by GRAM,ANDY",1
00:55,"GOOD FT by GALOW,ANDREW",31 (+8),,23,,RCMBB13 31-23 (+8),,"GOOD FT by GALOW,ANDREW",1
00:55,"GOOD FT by GALOW,ANDREW",32 (+9),,23,,RCMBB13 32-23 (+9),,"GOOD FT by GALOW,ANDREW",1
00:55,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
00:55,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
00:55,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",1
00:55,,,,,"SUB OUT by GRAM,ANDY",,,"SUB OUT by GRAM,ANDY",1
00:39,,32 (+7),,25,"GOOD JUMPER by ROLAND,WILL",HC 32-25 (+7),,"GOOD JUMPER by ROLAND,WILL",1
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",1
00:02,,,,,"FOUL  by ROLAND,WILL",,,"FOUL  by ROLAND,WILL",1
00:02,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:02,"GOOD FT by GALOW,ANDREW",33 (+8),,25,,RCMBB13 33-25 (+8),,"GOOD FT by GALOW,ANDREW",1
19:41,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
19:41,"BLOCK  by HARTWELL,THEO",,,,,,,"BLOCK  by HARTWELL,THEO",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
19:30,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",35 (+10),,25,,RCMBB13 35-25 (+10),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",2
19:08,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
19:02,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
18:54,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
18:45,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",37 (+12),,25,,RCMBB13 37-25 (+12),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",2
18:44,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",2
18:44,"GOOD FT by GALOW,ANDREW",38 (+13),,25,,RCMBB13 38-25 (+13),,"GOOD FT by GALOW,ANDREW",2
18:44,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
18:44,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
18:24,,38 (+11),,27,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 38-27 (+11),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
18:21,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
18:21,,38 (+10),,28,"GOOD FT by VANCE,LUKE",HC 38-28 (+10),,"GOOD FT by VANCE,LUKE",2
18:11,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
17:55,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
17:55,,,,,"MISS FT by PRIMM,COLTON",,,"MISS FT by PRIMM,COLTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:55,,38 (+9),,29,"GOOD FT by PRIMM,COLTON",HC 38-29 (+9),,"GOOD FT by PRIMM,COLTON",2
17:36,"GOOD JUMPER by HOECK,RYAN VAN",40 (+11),,29,,RCMBB13 40-29 (+11),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",2
17:14,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
17:14,"BLOCK  by MCGRAIL,PATRICK",,,,,,,"BLOCK  by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
17:11,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
16:45,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
16:37,,,,,"MISS JUMPER by TAULTON,JORDAN",,,"MISS JUMPER by TAULTON,JORDAN",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
16:35,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
16:32,,40 (+9),,31,"GOOD TIPIN by PRIMM,COLTON(in the paint)",HC 40-31 (+9),,"GOOD TIPIN by PRIMM,COLTON(in the paint)",2
16:23,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
16:23,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
16:23,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
16:23,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
16:05,,40 (+7),,33,"GOOD JUMPER by RILEY,JAREN",HC 40-33 (+7),,"GOOD JUMPER by RILEY,JAREN",2
15:50,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
15:45,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
15:45,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:45,"GOOD FT by LIVSEY,GEOFF",41 (+8),,33,,RCMBB13 41-33 (+8),,"GOOD FT by LIVSEY,GEOFF",2
15:25,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",2
