Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
14:01,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
14:01,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
13:58,,5,,9 (+4),"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 5-9 (+4),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
13:32,"GOOD JUMPER by THOMPSON,ANTOINE(in the paint)",7,,9 (+2),,AC-M 7-9 (+2),,"GOOD JUMPER by THOMPSON,ANTOINE(in the paint)",1
13:10,,7,,12 (+5),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 7-12 (+5),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
12:47,"MISS JUMPER by THOMPSON,ANTOINE",,,,,,,"MISS JUMPER by THOMPSON,ANTOINE",1
12:47,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:47,"SUB IN by HAMPDEN-SMITH,HARRY",,,,,,,"SUB IN by HAMPDEN-SMITH,HARRY",1
12:47,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",1
12:47,"SUB IN by BRYANT,ANDRE",,,,,,,"SUB IN by BRYANT,ANDRE",1
12:47,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
12:47,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
12:47,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
12:47,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
12:47,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:45,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
12:45,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
12:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
12:08,,7,,14 (+7),"GOOD JUMPER by GALOW,ANDREW",RCMBB13 7-14 (+7),,"GOOD JUMPER by GALOW,ANDREW",1
11:55,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
11:27,"GOOD JUMPER by THOMPSON,ANTOINE(in the paint)",9,,14 (+5),,AC-M 9-14 (+5),,"GOOD JUMPER by THOMPSON,ANTOINE(in the paint)",1
11:17,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by BRYANT,ANDRE",,,,,,,"REBOUND DEF by BRYANT,ANDRE",1
11:05,"MISS JUMPER by GRAHAM,KEVIN",,,,,,,"MISS JUMPER by GRAHAM,KEVIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
10:58,"FOUL  by THOMPSON,ANTOINE",,,,,,,"FOUL  by THOMPSON,ANTOINE",1
10:58,,9,,15 (+6),"GOOD FT by MCGRAIL,PATRICK",RCMBB13 9-15 (+6),,"GOOD FT by MCGRAIL,PATRICK",1
10:58,,,,,"MISS FT by MCGRAIL,PATRICK",,,"MISS FT by MCGRAIL,PATRICK",1
--,"REBOUND DEF by GRAHAM,KEVIN",,,,,,,"REBOUND DEF by GRAHAM,KEVIN",1
10:58,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
10:58,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
10:58,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",1
10:58,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
10:58,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
10:58,"SUB OUT by HAMPDEN-SMITH,HARRY",,,,,,,"SUB OUT by HAMPDEN-SMITH,HARRY",1
10:43,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",1
10:43,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
10:43,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
10:13,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",1
10:02,,9,,17 (+8),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 9-17 (+8),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
09:45,"MISS 3PTR by OKPALA,RANSOM",,,,,,,"MISS 3PTR by OKPALA,RANSOM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:42,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
09:42,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
09:42,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
09:42,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:42,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:42,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
09:28,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
09:26,"STEAL  by OKPALA,RANSOM",,,,,,,"STEAL  by OKPALA,RANSOM",1
09:24,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
09:24,"MISS FT by GRAHAM,KEVIN",,,,,,,"MISS FT by GRAHAM,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:24,"GOOD FT by GRAHAM,KEVIN",10,,17 (+7),,AC-M 10-17 (+7),,"GOOD FT by GRAHAM,KEVIN",1
08:55,,10,,19 (+9),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 10-19 (+9),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
08:53,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
08:53,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
08:53,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
08:53,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
08:53,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
08:50,"MISS JUMPER by HANCOCK,JORDAN",,,,,,,"MISS JUMPER by HANCOCK,JORDAN",1
--,"REBOUND OFF by PHILLIPS,WALTER",,,,,,,"REBOUND OFF by PHILLIPS,WALTER",1
08:49,"GOOD TIPIN by PHILLIPS,WALTER(in the paint)",12,,19 (+7),,AC-M 12-19 (+7),,"GOOD TIPIN by PHILLIPS,WALTER(in the paint)",1
08:49,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
08:49,"GOOD FT by PHILLIPS,WALTER",13,,19 (+6),,AC-M 13-19 (+6),,"GOOD FT by PHILLIPS,WALTER",1
08:49,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
08:49,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
08:25,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
08:24,"STEAL  by GRAHAM,KEVIN",,,,,,,"STEAL  by GRAHAM,KEVIN",1
08:21,"GOOD DUNK by PHILLIPS,WALTER(fastbreak)(in the paint)",15,,19 (+4),,AC-M 15-19 (+4),,"GOOD DUNK by PHILLIPS,WALTER(fastbreak)(in the paint)",1
--,"ASSIST  by OKPALA,RANSOM",,,,,,,"ASSIST  by OKPALA,RANSOM",1
08:01,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
08:01,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
07:55,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",1
07:37,"MISS JUMPER by MICHAEL,ALEN",,,,,,,"MISS JUMPER by MICHAEL,ALEN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
07:37,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",1
07:37,,15,,20 (+5),"GOOD FT by SLEDGE,TATE",RCMBB13 15-20 (+5),,"GOOD FT by SLEDGE,TATE",1
07:37,,15,,21 (+6),"GOOD FT by SLEDGE,TATE",RCMBB13 15-21 (+6),,"GOOD FT by SLEDGE,TATE",1
07:37,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
07:37,"SUB OUT by GRAHAM,KEVIN",,,,,,,"SUB OUT by GRAHAM,KEVIN",1
07:37,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
07:37,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
07:37,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
07:37,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
07:16,"MISS 3PTR by OKPALA,RANSOM",,,,,,,"MISS 3PTR by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
07:00,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
06:57,"STEAL  by HANCOCK,JORDAN",,,,,,,"STEAL  by HANCOCK,JORDAN",1
06:54,"MISS JUMPER by OKPALA,RANSOM",,,,,,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
06:34,,,,,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",1
--,"REBOUND DEF by THOMPSON,ANTOINE",,,,,,,"REBOUND DEF by THOMPSON,ANTOINE",1
06:15,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
06:05,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
06:05,"BLOCK  by MICHAEL,ALEN",,,,,,,"BLOCK  by MICHAEL,ALEN",1
--,"REBOUND DEF by MICHAEL,ALEN",,,,,,,"REBOUND DEF by MICHAEL,ALEN",1
05:45,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",17,,21 (+4),,AC-M 17-21 (+4),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",1
--,"ASSIST  by THOMPSON,ANTOINE",,,,,,,"ASSIST  by THOMPSON,ANTOINE",1
05:45,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
05:45,"GOOD FT by HANCOCK,JORDAN",18,,21 (+3),,AC-M 18-21 (+3),,"GOOD FT by HANCOCK,JORDAN",1
05:45,"SUB IN by KING,JIMMY",,,,,,,"SUB IN by KING,JIMMY",1
05:45,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",1
05:45,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
05:45,"SUB OUT by BRYANT,ANDRE",,,,,,,"SUB OUT by BRYANT,ANDRE",1
05:45,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
05:45,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
05:45,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
05:45,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
05:23,,18,,23 (+5),"GOOD JUMPER by HOECK,RYAN VAN",RCMBB13 18-23 (+5),,"GOOD JUMPER by HOECK,RYAN VAN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
05:01,"MISS JUMPER by PHILLIPS,WALTER",,,,,,,"MISS JUMPER by PHILLIPS,WALTER",1
--,"REBOUND OFF by THOMPSON,ANTOINE",,,,,,,"REBOUND OFF by THOMPSON,ANTOINE",1
04:59,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",20,,23 (+3),,AC-M 20-23 (+3),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",1
04:43,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by THOMPSON,ANTOINE",,,,,,,"REBOUND DEF by THOMPSON,ANTOINE",1
04:26,"MISS 3PTR by KING,JIMMY",,,,,,,"MISS 3PTR by KING,JIMMY",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
04:17,"FOUL  by ANWARY,AARON",,,,,,,"FOUL  by ANWARY,AARON",1
04:17,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by KING,JIMMY",,,,,,,"REBOUND DEF by KING,JIMMY",1
04:17,"MISS LAYUP by PHILLIPS,WALTER",,,,,,,"MISS LAYUP by PHILLIPS,WALTER",1
--,"REBOUND OFF by PHILLIPS,WALTER",,,,,,,"REBOUND OFF by PHILLIPS,WALTER",1
04:17,"MISS LAYUP by PHILLIPS,WALTER",,,,,,,"MISS LAYUP by PHILLIPS,WALTER",1
--,"REBOUND OFF by PHILLIPS,WALTER",,,,,,,"REBOUND OFF by PHILLIPS,WALTER",1
04:17,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
04:17,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
04:17,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
04:17,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
04:17,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:17,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
04:13,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
04:03,"GOOD FT by PHILLIPS,WALTER",21,,23 (+2),,AC-M 21-23 (+2),,"GOOD FT by PHILLIPS,WALTER",1
04:02,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
04:02,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
03:51,"GOOD FT by PHILLIPS,WALTER",22,,23 (+1),,AC-M 22-23 (+1),,"GOOD FT by PHILLIPS,WALTER",1
03:46,"FOUL  by ANWARY,AARON",,,,,,,"FOUL  by ANWARY,AARON",1
03:46,,22,,24 (+2),"GOOD FT by SLEDGE,TATE",RCMBB13 22-24 (+2),,"GOOD FT by SLEDGE,TATE",1
03:46,,22,,25 (+3),"GOOD FT by SLEDGE,TATE",RCMBB13 22-25 (+3),,"GOOD FT by SLEDGE,TATE",1
03:46,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
03:46,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
03:20,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
03:05,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
03:05,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
03:05,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
03:05,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
02:49,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
02:49,"MISS FT by MICHAEL,ALVIN",,,,,,,"MISS FT by MICHAEL,ALVIN",1
--,"REBOUND OFF by OKPALA,RANSOM",,,,,,,"REBOUND OFF by OKPALA,RANSOM",1
02:43,"GOOD 3PTR by KING,JIMMY",25,,25,,AC-M 25-25 (0),,"GOOD 3PTR by KING,JIMMY",1
--,"ASSIST  by OKPALA,RANSOM",,,,,,,"ASSIST  by OKPALA,RANSOM",1
02:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:14,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
02:14,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
02:01,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
01:38,"MISS JUMPER by MICHAEL,ALVIN",,,,,,,"MISS JUMPER by MICHAEL,ALVIN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:34,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",1
01:34,,25,,26 (+1),"GOOD FT by MILLER,DREW",RCMBB13 25-26 (+1),,"GOOD FT by MILLER,DREW",1
01:34,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by PHILLIPS,WALTER",,,,,,,"REBOUND DEF by PHILLIPS,WALTER",1
01:34,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
01:34,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",1
01:34,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
01:34,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
01:34,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
01:34,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
01:33,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
01:33,"GOOD FT by PHILLIPS,WALTER",26,,26,,AC-M 26-26 (0),,"GOOD FT by PHILLIPS,WALTER",1
01:33,"GOOD FT by PHILLIPS,WALTER",27 (+1),,26,,AC-M 27-26 (-1),,"GOOD FT by PHILLIPS,WALTER",1
01:02,,27,,29 (+2),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 27-29 (+2),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
00:30,"MISS JUMPER by OKPALA,RANSOM",,,,,,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
00:03,,27,,31 (+4),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 27-31 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
20:00,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
19:38,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
19:18,"GOOD LAYUP by MICHAEL,ALVIN(in the paint)",29,,31 (+2),,AC-M 29-31 (+2),,"GOOD LAYUP by MICHAEL,ALVIN(in the paint)",2
--,"ASSIST  by MICHAEL,ALEN",,,,,,,"ASSIST  by MICHAEL,ALEN",2
19:18,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
19:18,,29,,33 (+4),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 29-33 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
18:38,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",2
18:38,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",2
18:38,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",31,,33 (+2),,AC-M 31-33 (+2),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",2
18:22,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
18:22,"BLOCK  by MICHAEL,ALVIN",,,,,,,"BLOCK  by MICHAEL,ALVIN",2
