Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:42,"TURNOVER  by MCCUBBIN,NATHAN",,,,,,,"TURNOVER  by MCCUBBIN,NATHAN",1
19:41,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
19:16,,0,,2 (+2),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB13 0-2 (+2),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
18:39,"TURNOVER  by RILEY,JAREN",,,,,,,"TURNOVER  by RILEY,JAREN",1
18:37,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
18:37,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
18:37,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
18:15,,0,,4 (+4),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 0-4 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
17:52,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
17:47,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
17:47,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
17:38,"FOUL  by GRAM,ANDY",,,,,,,"FOUL  by GRAM,ANDY",1
17:38,"TURNOVER  by GRAM,ANDY",,,,,,,"TURNOVER  by GRAM,ANDY",1
17:31,,0,,7 (+7),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB13 0-7 (+7),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
17:16,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
17:12,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:44,"MISS JUMPER by GRAM,ANDY",,,,,,,"MISS JUMPER by GRAM,ANDY",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
16:38,"FOUL  by GRAM,ANDY",,,,,,,"FOUL  by GRAM,ANDY",1
16:38,"SUB IN by TAULTON,JORDAN",,,,,,,"SUB IN by TAULTON,JORDAN",1
16:38,"SUB OUT by GRAM,ANDY",,,,,,,"SUB OUT by GRAM,ANDY",1
16:27,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
16:24,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
16:21,,0,,9 (+9),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 0-9 (+9),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
16:10,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
16:10,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:10,"GOOD FT by VANCE,LUKE",1,,9 (+8),,HC 1-9 (+8),,"GOOD FT by VANCE,LUKE",1
16:00,,1,,11 (+10),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB13 1-11 (+10),,"GOOD JUMPER by DUNAVANT,JOHN",1
15:46,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
15:45,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
15:36,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
15:35,"STEAL  by MCCUBBIN,NATHAN",,,,,,,"STEAL  by MCCUBBIN,NATHAN",1
15:16,"GOOD 3PTR by RILEY,JAREN",4,,11 (+7),,HC 4-11 (+7),,"GOOD 3PTR by RILEY,JAREN",1
