Time Remaining,RUSTMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:42,"MISS JUMPER by GAMBLE,CHRIS",,,,,,,"MISS JUMPER by GAMBLE,CHRIS",1
--,"REBOUND OFF by GAMBLE,CHRIS",,,,,,,"REBOUND OFF by GAMBLE,CHRIS",1
19:38,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
19:38,"MISS FT by GAMBLE,CHRIS",,,,,,,"MISS FT by GAMBLE,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:38,"GOOD FT by GAMBLE,CHRIS",1 (+1),,0,,RUSTMB 1-0 (-1),,"GOOD FT by GAMBLE,CHRIS",1
19:16,"FOUL  by GAMBLE,CHRIS",,,,,,,"FOUL  by GAMBLE,CHRIS",1
19:16,,1,,1,"GOOD FT by LIVSEY,GEOFF",RCMBB13 1-1 (0),,"GOOD FT by LIVSEY,GEOFF",1
19:16,,1,,2 (+1),"GOOD FT by LIVSEY,GEOFF",RCMBB13 1-2 (+1),,"GOOD FT by LIVSEY,GEOFF",1
18:53,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
18:53,"MISS FT by GAMBLE,CHRIS",,,,,,,"MISS FT by GAMBLE,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:53,"GOOD FT by GAMBLE,CHRIS",2,,2,,RUSTMB 2-2 (0),,"GOOD FT by GAMBLE,CHRIS",1
18:22,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
18:21,"STEAL  by GAMBLE,CHRIS",,,,,,,"STEAL  by GAMBLE,CHRIS",1
18:12,"GOOD 3PTR by MCCOLLUM,RICKEY",5 (+3),,2,,RUSTMB 5-2 (-3),,"GOOD 3PTR by MCCOLLUM,RICKEY",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
17:48,,5 (+1),,4,"GOOD JUMPER by GALOW,ANDREW",RCMBB13 5-4 (-1),,"GOOD JUMPER by GALOW,ANDREW",1
17:34,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",1
17:26,"TURNOVER  by VEASLEY,LARRY",,,,,,,"TURNOVER  by VEASLEY,LARRY",1
17:22,,5,,6 (+1),"GOOD JUMPER by MCGRAIL,PATRICK",RCMBB13 5-6 (+1),,"GOOD JUMPER by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
17:04,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
16:47,,5,,8 (+3),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB13 5-8 (+3),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
16:26,"TURNOVER  by BARNS,KELSEY",,,,,,,"TURNOVER  by BARNS,KELSEY",1
16:25,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
16:21,"FOUL  by BARNS,KELSEY",,,,,,,"FOUL  by BARNS,KELSEY",1
16:21,,5,,9 (+4),"GOOD FT by DUNAVANT,JOHN",RCMBB13 5-9 (+4),,"GOOD FT by DUNAVANT,JOHN",1
16:21,,,,,"MISS FT by DUNAVANT,JOHN",,,"MISS FT by DUNAVANT,JOHN",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
16:16,"MISS 3PTR by MCCOLLUM,RICKEY",,,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
16:03,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by MCCOLLUM,RICKEY",,,,,,,"REBOUND DEF by MCCOLLUM,RICKEY",1
15:50,"GOOD JUMPER by GREDIC,KWAHMERE",7,,9 (+2),,RUSTMB 7-9 (+2),,"GOOD JUMPER by GREDIC,KWAHMERE",1
15:25,"FOUL  by GAMBLE,CHRIS",,,,,,,"FOUL  by GAMBLE,CHRIS",1
15:25,"SUB IN by SCOTT,JEREMY",,,,,,,"SUB IN by SCOTT,JEREMY",1
15:25,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",1
15:19,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:17,"FOUL  by SCOTT,JEREMY",,,,,,,"FOUL  by SCOTT,JEREMY",1
15:17,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
15:17,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:12,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by SCOTT,JEREMY",,,,,,,"REBOUND DEF by SCOTT,JEREMY",1
14:45,"GOOD JUMPER by VEASLEY,LARRY",9,,9,,RUSTMB 9-9 (0),,"GOOD JUMPER by VEASLEY,LARRY",1
14:31,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
14:29,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
14:26,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by SCOTT,JEREMY",,,,,,,"REBOUND DEF by SCOTT,JEREMY",1
14:15,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",1
14:15,"FOUL  by GREDIC,KWAHMERE",,,,,,,"FOUL  by GREDIC,KWAHMERE",1
14:03,,9,,11 (+2),"GOOD JUMPER by GALOW,ANDREW",RCMBB13 9-11 (+2),,"GOOD JUMPER by GALOW,ANDREW",1
14:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
14:00,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:00,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
13:54,"GOOD 3PTR by BARNS,KELSEY",12 (+1),,11,,RUSTMB 12-11 (-1),,"GOOD 3PTR by BARNS,KELSEY",1
13:18,,12,,13 (+1),"GOOD JUMPER by MCGRAIL,PATRICK",RCMBB13 12-13 (+1),,"GOOD JUMPER by MCGRAIL,PATRICK",1
13:00,"GOOD 3PTR by MCCOLLUM,RICKEY",15 (+2),,13,,RUSTMB 15-13 (-2),,"GOOD 3PTR by MCCOLLUM,RICKEY",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
12:45,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
12:24,"GOOD JUMPER by VEASLEY,LARRY",17 (+4),,13,,RUSTMB 17-13 (-4),,"GOOD JUMPER by VEASLEY,LARRY",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
12:01,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
12:01,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
12:01,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
12:01,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:01,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
11:47,"FOUL  by SEALS,JORDAN",,,,,,,"FOUL  by SEALS,JORDAN",1
11:47,"TURNOVER  by SEALS,JORDAN",,,,,,,"TURNOVER  by SEALS,JORDAN",1
11:47,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
11:47,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
11:47,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
11:47,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:33,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:04,"MISS 3PTR by BARNS,KELSEY",,,,,,,"MISS 3PTR by BARNS,KELSEY",1
--,"REBOUND OFF by SCOTT,JEREMY",,,,,,,"REBOUND OFF by SCOTT,JEREMY",1
10:55,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,"REBOUND OFF by BARNS,KELSEY",,,,,,,"REBOUND OFF by BARNS,KELSEY",1
10:52,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
10:52,"GOOD FT by BARNS,KELSEY",18 (+5),,13,,RUSTMB 18-13 (-5),,"GOOD FT by BARNS,KELSEY",1
10:52,"GOOD FT by BARNS,KELSEY",19 (+6),,13,,RUSTMB 19-13 (-6),,"GOOD FT by BARNS,KELSEY",1
10:52,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",1
10:52,"SUB IN by THOMPSON,SHUN",,,,,,,"SUB IN by THOMPSON,SHUN",1
10:52,"SUB OUT by MCCOLLUM,RICKEY",,,,,,,"SUB OUT by MCCOLLUM,RICKEY",1
10:52,"SUB OUT by BARNS,KELSEY",,,,,,,"SUB OUT by BARNS,KELSEY",1
10:34,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:29,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by BIRKS,ANDREW",,,,,,,"REBOUND DEF by BIRKS,ANDREW",1
10:24,"MISS JUMPER by BIRKS,ANDREW",,,,,,,"MISS JUMPER by BIRKS,ANDREW",1
--,"REBOUND OFF by SEALS,JORDAN",,,,,,,"REBOUND OFF by SEALS,JORDAN",1
10:19,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
10:19,"GOOD FT by SEALS,JORDAN",20 (+7),,13,,RUSTMB 20-13 (-7),,"GOOD FT by SEALS,JORDAN",1
10:19,"MISS FT by SEALS,JORDAN",,,,,,,"MISS FT by SEALS,JORDAN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
10:19,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
10:19,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
10:05,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by GREDIC,KWAHMERE",,,,,,,"REBOUND DEF by GREDIC,KWAHMERE",1
09:56,"GOOD 3PTR by BIRKS,ANDREW",23 (+10),,13,,RUSTMB 23-13 (-10),,"GOOD 3PTR by BIRKS,ANDREW",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
09:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:50,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
09:50,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
09:50,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
