Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
15:39,,,,,"BLOCK  by HOWARD,MAC",,,"BLOCK  by HOWARD,MAC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:36,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
15:36,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
15:33,"GOOD LAYUP by HARTWELL,THEO(in the paint)",11 (+6),,5,,RCMBB13 11-5 (+6),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
15:19,,,,,"TURNOVER  by HOWARD,MAC",,,"TURNOVER  by HOWARD,MAC",1
15:16,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
15:09,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
15:05,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
14:51,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
14:48,"GOOD LAYUP by HARTWELL,THEO(in the paint)",13 (+8),,5,,RCMBB13 13-5 (+8),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
14:28,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
14:11,,13 (+7),,6,"GOOD FT by WHALEN,MAC",BCM 13-6 (+7),,"GOOD FT by WHALEN,MAC",1
14:01,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
14:01,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
14:01,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
14:01,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
14:00,,13 (+6),,7,"GOOD FT by WHALEN,MAC",BCM 13-7 (+6),,"GOOD FT by WHALEN,MAC",1
13:54,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
13:50,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",1
13:50,,,,,"SUB OUT by HOWARD,MAC",,,"SUB OUT by HOWARD,MAC",1
13:38,,,,,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
13:25,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",15 (+8),,7,,RCMBB13 15-7 (+8),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",1
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",1
13:24,,,,,"MISS 3PTR by BRUCE,DEVAN",,,"MISS 3PTR by BRUCE,DEVAN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
13:05,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by GALOW,ANDREW",,,,,,,"REBOUND OFF by GALOW,ANDREW",1
12:55,"GOOD 3PTR by GALLAGHER,MICHAEL",18 (+11),,7,,RCMBB13 18-7 (+11),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
11:57,,,,,"TURNOVER  by BRUCE,DEVAN",,,"TURNOVER  by BRUCE,DEVAN",1
11:50,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
11:50,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
11:50,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
11:50,,,,,"SUB IN by MARSH,CODY",,,"SUB IN by MARSH,CODY",1
11:50,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",1
11:50,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",1
11:50,,,,,"SUB OUT by BRUCE,DEVAN",,,"SUB OUT by BRUCE,DEVAN",1
11:49,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
11:40,,,,,"MISS JUMPER by WRIGHT,JAKE",,,"MISS JUMPER by WRIGHT,JAKE",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
11:14,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
11:13,,,,,"STEAL  by WRIGHT,JAKE",,,"STEAL  by WRIGHT,JAKE",1
11:08,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
11:02,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",1
11:02,,18 (+10),,8,"GOOD FT by WHALEN,MAC",BCM 18-8 (+10),,"GOOD FT by WHALEN,MAC",1
11:02,,18 (+9),,9,"GOOD FT by WHALEN,MAC",BCM 18-9 (+9),,"GOOD FT by WHALEN,MAC",1
11:02,,18 (+6),,12,"GOOD 3PTR by WHALEN,MAC",BCM 18-12 (+6),,"GOOD 3PTR by WHALEN,MAC",1
11:02,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
11:02,"SUB IN by CHIEN,KEVIN",,,,,,,"SUB IN by CHIEN,KEVIN",1
11:02,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
11:02,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
10:59,"TURNOVER  by CHIEN,KEVIN",,,,,,,"TURNOVER  by CHIEN,KEVIN",1
10:54,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
09:52,"GOOD LAYUP by COLLINS,LUKE(in the paint)",20 (+8),,12,,RCMBB13 20-12 (+8),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
09:52,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",1
09:52,"GOOD FT by COLLINS,LUKE",21 (+9),,12,,RCMBB13 21-12 (+9),,"GOOD FT by COLLINS,LUKE",1
09:18,,21 (+6),,15,"GOOD 3PTR by MCCLOUD,LEE",BCM 21-15 (+6),,"GOOD 3PTR by MCCLOUD,LEE",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
08:49,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
08:49,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
08:49,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
08:49,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
08:49,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",1
08:49,,,,,"SUB IN by BRUCE,DEVAN",,,"SUB IN by BRUCE,DEVAN",1
08:49,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
08:49,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
08:28,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
08:09,"GOOD JUMPER by GALLAGHER,MICHAEL",23 (+8),,15,,RCMBB13 23-15 (+8),,"GOOD JUMPER by GALLAGHER,MICHAEL",1
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",1
07:52,,,,,"MISS LAYUP by MARSH,CODY",,,"MISS LAYUP by MARSH,CODY",1
--,,,,,"REBOUND OFF by MARSH,CODY",,,"REBOUND OFF by MARSH,CODY",1
07:52,,23 (+6),,17,"GOOD LAYUP by MARSH,CODY(in the paint)",BCM 23-17 (+6),,"GOOD LAYUP by MARSH,CODY(in the paint)",1
07:52,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
07:52,,,,,"FOUL  by BRUCE,DEVAN",,,"FOUL  by BRUCE,DEVAN",1
07:52,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
07:52,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
07:52,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
07:52,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
07:52,"SUB OUT by CHIEN,KEVIN",,,,,,,"SUB OUT by CHIEN,KEVIN",1
07:52,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
07:52,,,,,"SUB IN by RANDOLPH,ZACH",,,"SUB IN by RANDOLPH,ZACH",1
07:52,,,,,"SUB OUT by MARSH,CODY",,,"SUB OUT by MARSH,CODY",1
07:00,"GOOD 3PTR by MILLER,DREW",26 (+9),,17,,RCMBB13 26-17 (+9),,"GOOD 3PTR by MILLER,DREW",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
07:00,,,,,"TURNOVER  by RANDOLPH,ZACH",,,"TURNOVER  by RANDOLPH,ZACH",1
07:00,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
06:48,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
06:48,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
06:41,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",1
06:39,,,,,"STEAL  by BRUCE,DEVAN",,,"STEAL  by BRUCE,DEVAN",1
06:25,,,,,"TURNOVER  by BRUCE,DEVAN",,,"TURNOVER  by BRUCE,DEVAN",1
06:23,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",1
05:25,,,,,"FOUL  by WRIGHT,JAKE",,,"FOUL  by WRIGHT,JAKE",1
05:25,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",1
05:25,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",1
05:25,,26 (+7),,19,"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 26-19 (+7),,"GOOD LAYUP by HOWARD,MAC(in the paint)",1
--,,,,,"ASSIST  by BRUCE,DEVAN",,,"ASSIST  by BRUCE,DEVAN",1
05:25,"GOOD LAYUP by HARTWELL,THEO(in the paint)",28 (+9),,19,,RCMBB13 28-19 (+9),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
05:25,,,,,"SUB IN by HOWARD,MAC",,,"SUB IN by HOWARD,MAC",1
05:25,,,,,"SUB OUT by WRIGHT,JAKE",,,"SUB OUT by WRIGHT,JAKE",1
05:23,,,,,"TURNOVER  by ABRAMS,JONATHAN",,,"TURNOVER  by ABRAMS,JONATHAN",1
05:17,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
05:17,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
04:14,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
04:14,,,,,"BLOCK  by HOWARD,MAC",,,"BLOCK  by HOWARD,MAC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:14,"GOOD LAYUP by GALOW,ANDREW(in the paint)",30 (+11),,19,,RCMBB13 30-19 (+11),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
03:55,,,,,"MISS JUMPER by WHALEN,MAC",,,"MISS JUMPER by WHALEN,MAC",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
03:48,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",32 (+13),,19,,RCMBB13 32-19 (+13),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",1
03:32,,,,,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
03:06,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",1
02:52,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
02:52,,,,,"SUB OUT by RANDOLPH,ZACH",,,"SUB OUT by RANDOLPH,ZACH",1
02:38,,,,,"MISS 3PTR by BRUCE,DEVAN",,,"MISS 3PTR by BRUCE,DEVAN",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
02:18,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
02:16,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",1
02:11,,32 (+10),,22,"GOOD 3PTR by WHALEN,MAC",BCM 32-22 (+10),,"GOOD 3PTR by WHALEN,MAC",1
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1
01:49,"GOOD LAYUP by HARTWELL,THEO(in the paint)",34 (+12),,22,,RCMBB13 34-22 (+12),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",1
01:26,,34 (+9),,25,"GOOD 3PTR by WHALEN,MAC",BCM 34-25 (+9),,"GOOD 3PTR by WHALEN,MAC",1
01:07,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",1
00:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
00:46,,,,,"MISS LAYUP by HOWARD,MAC",,,"MISS LAYUP by HOWARD,MAC",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
00:12,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",36 (+11),,25,,RCMBB13 36-25 (+11),,"GOOD LAYUP by GALLAGHER,MICHAEL(in the paint)",1
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",1
20:00,,36 (+9),,27,"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 36-27 (+9),,"GOOD LAYUP by HOWARD,MAC(in the paint)",2
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",2
20:00,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
20:00,"GOOD LAYUP by GALOW,ANDREW(in the paint)",38 (+11),,27,,RCMBB13 38-27 (+11),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
18:34,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",2
17:59,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:43,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",2
17:43,,,,,"MISS FT by ABRAMS,JONATHAN",,,"MISS FT by ABRAMS,JONATHAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:43,,,,,"MISS FT by ABRAMS,JONATHAN",,,"MISS FT by ABRAMS,JONATHAN",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
17:37,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
17:37,,,,,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:09,,,,,"FOUL  by GRAHAM,LAKE",,,"FOUL  by GRAHAM,LAKE",2
17:09,"MISS FT by HARTWELL,THEO",,,,,,,"MISS FT by HARTWELL,THEO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:09,"GOOD FT by HARTWELL,THEO",39 (+12),,27,,RCMBB13 39-27 (+12),,"GOOD FT by HARTWELL,THEO",2
16:59,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",2
--,,,,,"REBOUND OFF by ABRAMS,JONATHAN",,,"REBOUND OFF by ABRAMS,JONATHAN",2
16:54,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,,,,,"REBOUND OFF by BRUCE,DEVAN",,,"REBOUND OFF by BRUCE,DEVAN",2
16:49,,,,,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",2
--,,,,,"REBOUND OFF by HOWARD,MAC",,,"REBOUND OFF by HOWARD,MAC",2
16:44,,39 (+10),,29,"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 39-29 (+10),,"GOOD LAYUP by HOWARD,MAC(in the paint)",2
16:24,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",2
16:11,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
16:02,,39 (+9),,30,"GOOD FT by BRUCE,DEVAN",BCM 39-30 (+9),,"GOOD FT by BRUCE,DEVAN",2
16:02,,39 (+8),,31,"GOOD FT by BRUCE,DEVAN",BCM 39-31 (+8),,"GOOD FT by BRUCE,DEVAN",2
15:50,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
15:44,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",2
15:42,,39 (+6),,33,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",BCM 39-33 (+6),,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",2
15:27,"GOOD LAYUP by HARTWELL,THEO(in the paint)",41 (+8),,33,,RCMBB13 41-33 (+8),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
15:15,,41 (+6),,35,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 41-35 (+6),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
--,,,,,"ASSIST  by BRUCE,DEVAN",,,"ASSIST  by BRUCE,DEVAN",2
15:00,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
14:53,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
14:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:26,,,,,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",2
--,,,,,"REBOUND OFF by HOWARD,MAC",,,"REBOUND OFF by HOWARD,MAC",2
14:22,,41 (+4),,37,"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 41-37 (+4),,"GOOD LAYUP by HOWARD,MAC(in the paint)",2
14:03,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",2
13:46,,,,,"MISS JUMPER by WHALEN,MAC",,,"MISS JUMPER by WHALEN,MAC",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
13:27,"GOOD 3PTR by DUNAVANT,JOHN",44 (+7),,37,,RCMBB13 44-37 (+7),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
13:04,,44 (+5),,39,"GOOD JUMPER by WHALEN,MAC",BCM 44-39 (+5),,"GOOD JUMPER by WHALEN,MAC",2
12:42,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",2
12:28,,44 (+3),,41,"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 44-41 (+3),,"GOOD LAYUP by HOWARD,MAC(in the paint)",2
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",2
12:10,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
11:55,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",2
11:55,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",2
11:54,,,,,"FOUL  by HOWARD,MAC",,,"FOUL  by HOWARD,MAC",2
11:54,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
11:54,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
11:54,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
11:54,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
11:54,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
11:54,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
11:54,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",2
11:54,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",2
11:54,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",2
11:54,,,,,"SUB OUT by BRUCE,DEVAN",,,"SUB OUT by BRUCE,DEVAN",2
11:51,"GOOD 3PTR by GALOW,ANDREW",47 (+6),,41,,RCMBB13 47-41 (+6),,"GOOD 3PTR by GALOW,ANDREW",2
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",2
11:10,,,,,"MISS 3PTR by ABRAMS,JONATHAN",,,"MISS 3PTR by ABRAMS,JONATHAN",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
