Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by RAGLAND,TURMONTE",,,,,,,"SUB IN by RAGLAND,TURMONTE",1
20:00,"SUB IN by BLAKE,BRANDON",,,,,,,"SUB IN by BLAKE,BRANDON",1
20:00,"SUB IN by SMITH,ADAM",,,,,,,"SUB IN by SMITH,ADAM",1
20:00,"SUB IN by VIC MCLIN,JR",,,,,,,"SUB IN by VIC MCLIN,JR",1
20:00,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",1
20:00,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
20:00,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
20:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
20:00,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
20:00,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
19:39,,0,,2 (+2),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RCMBB13 0-2 (+2),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
19:27,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",1
--,"REBOUND OFF by DUNCAN,DARYL",,,,,,,"REBOUND OFF by DUNCAN,DARYL",1
19:13,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
18:52,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by BLAKE,BRANDON",,,,,,,"REBOUND DEF by BLAKE,BRANDON",1
18:32,"TURNOVER  by SMITH,ADAM",,,,,,,"TURNOVER  by SMITH,ADAM",1
18:31,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
18:12,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by SMITH,ADAM",,,,,,,"REBOUND DEF by SMITH,ADAM",1
17:49,"MISS 3PTR by VIC MCLIN,JR",,,,,,,"MISS 3PTR by VIC MCLIN,JR",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
17:27,"FOUL  by VIC MCLIN,JR",,,,,,,"FOUL  by VIC MCLIN,JR",1
17:27,,0,,3 (+3),"GOOD FT by LIVSEY,GEOFF",RCMBB13 0-3 (+3),,"GOOD FT by LIVSEY,GEOFF",1
17:27,,0,,4 (+4),"GOOD FT by LIVSEY,GEOFF",RCMBB13 0-4 (+4),,"GOOD FT by LIVSEY,GEOFF",1
17:27,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
17:27,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
17:14,"GOOD JUMPER by SMITH,ADAM",2,,4 (+2),,MC 2-4 (+2),,"GOOD JUMPER by SMITH,ADAM",1
16:51,,2,,7 (+5),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 2-7 (+5),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
16:20,"MISS JUMPER by VIC MCLIN,JR",,,,,,,"MISS JUMPER by VIC MCLIN,JR",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
16:12,,2,,9 (+7),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 2-9 (+7),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
16:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:50,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",1
--,"REBOUND OFF by SMITH,ADAM",,,,,,,"REBOUND OFF by SMITH,ADAM",1
15:43,"GOOD JUMPER by SMITH,ADAM(in the paint)",4,,9 (+5),,MC 4-9 (+5),,"GOOD JUMPER by SMITH,ADAM(in the paint)",1
15:33,,4,,11 (+7),"GOOD JUMPER by MCGRAIL,PATRICK",RCMBB13 4-11 (+7),,"GOOD JUMPER by MCGRAIL,PATRICK",1
15:11,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
15:11,"GOOD FT by RAGLAND,TURMONTE",5,,11 (+6),,MC 5-11 (+6),,"GOOD FT by RAGLAND,TURMONTE",1
15:11,"GOOD FT by RAGLAND,TURMONTE",6,,11 (+5),,MC 6-11 (+5),,"GOOD FT by RAGLAND,TURMONTE",1
15:11,"SUB IN by FORD,LAKIN",,,,,,,"SUB IN by FORD,LAKIN",1
15:11,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",1
15:11,"SUB OUT by SMITH,ADAM",,,,,,,"SUB OUT by SMITH,ADAM",1
15:11,"SUB OUT by VIC MCLIN,JR",,,,,,,"SUB OUT by VIC MCLIN,JR",1
15:11,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
15:11,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
15:11,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
15:11,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
14:56,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by FORD,LAKIN",,,,,,,"REBOUND DEF by FORD,LAKIN",1
14:47,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
14:47,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
14:47,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
14:29,"TURNOVER  by FORD,LAKIN",,,,,,,"TURNOVER  by FORD,LAKIN",1
14:05,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
14:03,"STEAL  by DUNCAN,DARYL",,,,,,,"STEAL  by DUNCAN,DARYL",1
14:00,"GOOD LAYUP by RAGLAND,TURMONTE(fastbreak)(in the paint)",8,,11 (+3),,MC 8-11 (+3),,"GOOD LAYUP by RAGLAND,TURMONTE(fastbreak)(in the paint)",1
--,"ASSIST  by DUNCAN,DARYL",,,,,,,"ASSIST  by DUNCAN,DARYL",1
13:45,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
13:43,"STEAL  by BLAKE,BRANDON",,,,,,,"STEAL  by BLAKE,BRANDON",1
13:38,"MISS LAYUP by BLAKE,BRANDON",,,,,,,"MISS LAYUP by BLAKE,BRANDON",1
--,"REBOUND OFF by FORD,LAKIN",,,,,,,"REBOUND OFF by FORD,LAKIN",1
13:36,"GOOD LAYUP by FORD,LAKIN(in the paint)",10,,11 (+1),,MC 10-11 (+1),,"GOOD LAYUP by FORD,LAKIN(in the paint)",1
13:30,"FOUL  by RAGLAND,TURMONTE",,,,,,,"FOUL  by RAGLAND,TURMONTE",1
13:28,,10,,13 (+3),"GOOD JUMPER by SLEDGE,TATE",RCMBB13 10-13 (+3),,"GOOD JUMPER by SLEDGE,TATE",1
13:04,"MISS LAYUP by RAGLAND,TURMONTE",,,,,,,"MISS LAYUP by RAGLAND,TURMONTE",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
12:59,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:55,"SUB IN by MOORE,JARVIS",,,,,,,"SUB IN by MOORE,JARVIS",1
12:55,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",1
12:55,"SUB IN by COTTON,LAQUAVIUS",,,,,,,"SUB IN by COTTON,LAQUAVIUS",1
12:55,"SUB OUT by RAGLAND,TURMONTE",,,,,,,"SUB OUT by RAGLAND,TURMONTE",1
12:55,"SUB OUT by BLAKE,BRANDON",,,,,,,"SUB OUT by BLAKE,BRANDON",1
12:55,"SUB OUT by DUNCAN,DARYL",,,,,,,"SUB OUT by DUNCAN,DARYL",1
12:55,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
12:55,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:55,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
12:55,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
12:50,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
12:49,"STEAL  by SMITH,KENDRE'",,,,,,,"STEAL  by SMITH,KENDRE'",1
12:44,"MISS JUMPER by SMITH,KENDRE'",,,,,,,"MISS JUMPER by SMITH,KENDRE'",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:43,"FOUL  by SMITH,KENDRE'",,,,,,,"FOUL  by SMITH,KENDRE'",1
12:43,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
12:43,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
12:19,,10,,15 (+5),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 10-15 (+5),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
12:06,"TURNOVER  by BOUNDS,CAMERON",,,,,,,"TURNOVER  by BOUNDS,CAMERON",1
12:04,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
11:49,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
11:46,,10,,17 (+7),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 10-17 (+7),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
11:28,"MISS LAYUP by SMITH,KENDRE'",,,,,,,"MISS LAYUP by SMITH,KENDRE'",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
11:16,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by FORD,LAKIN",,,,,,,"REBOUND DEF by FORD,LAKIN",1
10:59,"MISS 3PTR by FORD,LAKIN",,,,,,,"MISS 3PTR by FORD,LAKIN",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
10:32,"SUB IN by BROWN,REGGIE",,,,,,,"SUB IN by BROWN,REGGIE",1
10:32,"SUB OUT by FORD,LAKIN",,,,,,,"SUB OUT by FORD,LAKIN",1
10:32,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
10:32,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
10:26,,10,,20 (+10),"GOOD 3PTR by LIVSEY,GEOFF",RCMBB13 10-20 (+10),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
09:59,"MISS 3PTR by SMITH,KENDRE'",,,,,,,"MISS 3PTR by SMITH,KENDRE'",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
09:46,,10,,22 (+12),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RCMBB13 10-22 (+12),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
09:40,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
09:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:25,"MISS JUMPER by SMITH,KENDRE'",,,,,,,"MISS JUMPER by SMITH,KENDRE'",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:22,"SUB IN by SMITH,ADAM",,,,,,,"SUB IN by SMITH,ADAM",1
09:22,"SUB OUT by BOUNDS,CAMERON",,,,,,,"SUB OUT by BOUNDS,CAMERON",1
09:13,"MISS LAYUP by MOORE,JARVIS",,,,,,,"MISS LAYUP by MOORE,JARVIS",1
--,"REBOUND OFF by SMITH,ADAM",,,,,,,"REBOUND OFF by SMITH,ADAM",1
09:13,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
09:13,"GOOD FT by SMITH,ADAM",11,,22 (+11),,MC 11-22 (+11),,"GOOD FT by SMITH,ADAM",1
09:13,"MISS FT by SMITH,ADAM",,,,,,,"MISS FT by SMITH,ADAM",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
09:13,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
09:13,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
08:58,,11,,25 (+14),"GOOD 3PTR by MILLER,DREW",RCMBB13 11-25 (+14),,"GOOD 3PTR by MILLER,DREW",1
