Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,GCMB,Game Score,Team Indicator,Play,Period
19:33,,,,,"TURNOVER  by MUMPHARD,ALEX",,,"TURNOVER  by MUMPHARD,ALEX",1
19:17,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",1
19:14,,,,,"STEAL  by ANDERSON,DANIEL",,,"STEAL  by ANDERSON,DANIEL",1
19:13,,0,,2 (+2),"GOOD JUMPER by ANDERSON,DANIEL",GCMB 0-2 (-2),,"GOOD JUMPER by ANDERSON,DANIEL",1
18:47,"GOOD JUMPER by LIVSEY,GEOFF",2,,2,,RCMBB13 2-2 (0),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
18:22,,2,,4 (+2),"GOOD JUMPER by GIERTZ,BEN",GCMB 2-4 (-2),,"GOOD JUMPER by GIERTZ,BEN",1
18:10,,,,,"FOUL  by GIERTZ,BEN",,,"FOUL  by GIERTZ,BEN",1
18:10,,,,,"SUB IN by ALBERTSON,TODD",,,"SUB IN by ALBERTSON,TODD",1
18:10,,,,,"SUB IN by SMITH,JORDAN",,,"SUB IN by SMITH,JORDAN",1
18:10,,,,,"SUB OUT by ROLLINS,TEVIN",,,"SUB OUT by ROLLINS,TEVIN",1
18:10,,,,,"SUB OUT by GIERTZ,BEN",,,"SUB OUT by GIERTZ,BEN",1
17:56,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
17:52,"GOOD JUMPER by HARTWELL,THEO",4,,4,,RCMBB13 4-4 (0),,"GOOD JUMPER by HARTWELL,THEO",1
17:38,,,,,"TURNOVER  by METZLER,ANTHONY",,,"TURNOVER  by METZLER,ANTHONY",1
17:38,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by METZLER,ANTHONY",,,"REBOUND DEF by METZLER,ANTHONY",1
17:38,,4,,6 (+2),"GOOD JUMPER by MUMPHARD,ALEX",GCMB 4-6 (-2),,"GOOD JUMPER by MUMPHARD,ALEX",1
17:38,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
17:33,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
17:33,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
17:12,,4,,9 (+5),"GOOD 3PTR by ANDERSON,DANIEL",GCMB 4-9 (-5),,"GOOD 3PTR by ANDERSON,DANIEL",1
--,,,,,"ASSIST  by MUMPHARD,ALEX",,,"ASSIST  by MUMPHARD,ALEX",1
17:02,"GOOD JUMPER by MILLER,DREW",6,,9 (+3),,RCMBB13 6-9 (-3),,"GOOD JUMPER by MILLER,DREW",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
16:44,,6,,12 (+6),"GOOD 3PTR by SMITH,JORDAN",GCMB 6-12 (-6),,"GOOD 3PTR by SMITH,JORDAN",1
--,,,,,"ASSIST  by MUMPHARD,ALEX",,,"ASSIST  by MUMPHARD,ALEX",1
16:17,"GOOD JUMPER by MILLER,DREW",8,,12 (+4),,RCMBB13 8-12 (-4),,"GOOD JUMPER by MILLER,DREW",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
16:03,,,,,"TURNOVER  by SMITH,JORDAN",,,"TURNOVER  by SMITH,JORDAN",1
16:01,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
15:49,"GOOD JUMPER by MILLER,DREW",10,,12 (+2),,RCMBB13 10-12 (-2),,"GOOD JUMPER by MILLER,DREW",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
15:34,,,,,"MISS 3PTR by SMITH,JORDAN",,,"MISS 3PTR by SMITH,JORDAN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
15:19,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND OFF by DUNAVANT,JOHN",,,,,,,"REBOUND OFF by DUNAVANT,JOHN",1
15:16,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by SMITH,JORDAN",,,"REBOUND DEF by SMITH,JORDAN",1
15:06,,,,,"MISS JUMPER by MUMPHARD,ALEX",,,"MISS JUMPER by MUMPHARD,ALEX",1
--,"REBOUND OFF by GALOW,ANDREW",,,,,,,"REBOUND OFF by GALOW,ANDREW",1
14:52,,,,,"FOUL  by SMITH,JORDAN",,,"FOUL  by SMITH,JORDAN",1
14:52,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
14:52,"SUB IN by CHIEN,KEVIN",,,,,,,"SUB IN by CHIEN,KEVIN",1
14:52,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
14:52,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
14:52,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
14:52,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
14:52,,,,,"SUB IN by GIERTZ,BEN",,,"SUB IN by GIERTZ,BEN",1
14:52,,,,,"SUB IN by JONES,MARQUEL",,,"SUB IN by JONES,MARQUEL",1
14:52,,,,,"SUB IN by MERCER,JAY",,,"SUB IN by MERCER,JAY",1
14:52,,,,,"SUB OUT by MUMPHARD,ALEX",,,"SUB OUT by MUMPHARD,ALEX",1
14:52,,,,,"SUB OUT by ANDERSON,DANIEL",,,"SUB OUT by ANDERSON,DANIEL",1
14:52,,,,,"SUB OUT by METZLER,ANTHONY",,,"SUB OUT by METZLER,ANTHONY",1
14:48,"GOOD 3PTR by MCGRAIL,PATRICK",13 (+1),,12,,RCMBB13 13-12 (+1),,"GOOD 3PTR by MCGRAIL,PATRICK",1
14:40,,,,,"SUB IN by ROLLINS,TEVIN",,,"SUB IN by ROLLINS,TEVIN",1
14:40,,,,,"SUB OUT by ALBERTSON,TODD",,,"SUB OUT by ALBERTSON,TODD",1
13:46,,,,,"MISS 3PTR by SMITH,JORDAN",,,"MISS 3PTR by SMITH,JORDAN",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
13:34,,,,,"FOUL  by GIERTZ,BEN",,,"FOUL  by GIERTZ,BEN",1
13:34,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
13:34,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
13:34,,,,,"SUB IN by POTTS,AUSTIN",,,"SUB IN by POTTS,AUSTIN",1
13:34,,,,,"SUB OUT by SMITH,JORDAN",,,"SUB OUT by SMITH,JORDAN",1
13:11,"GOOD 3PTR by DUNAVANT,JOHN",16 (+4),,12,,RCMBB13 16-12 (+4),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",1
12:58,,,,,"TURNOVER  by JONES,MARQUEL",,,"TURNOVER  by JONES,MARQUEL",1
12:58,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
12:58,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
12:52,"TURNOVER  by CHIEN,KEVIN",,,,,,,"TURNOVER  by CHIEN,KEVIN",1
12:42,,16 (+2),,14,"GOOD JUMPER by MERCER,JAY",GCMB 16-14 (+2),,"GOOD JUMPER by MERCER,JAY",1
--,,,,,"ASSIST  by ROLLINS,TEVIN",,,"ASSIST  by ROLLINS,TEVIN",1
12:25,"TURNOVER  by CHIEN,KEVIN",,,,,,,"TURNOVER  by CHIEN,KEVIN",1
12:23,,,,,"STEAL  by ROLLINS,TEVIN",,,"STEAL  by ROLLINS,TEVIN",1
12:17,,,,,"TURNOVER  by MERCER,JAY",,,"TURNOVER  by MERCER,JAY",1
12:17,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
12:17,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
12:17,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
12:17,"SUB OUT by CHIEN,KEVIN",,,,,,,"SUB OUT by CHIEN,KEVIN",1
12:17,,,,,"SUB IN by ANDERSON,DANIEL",,,"SUB IN by ANDERSON,DANIEL",1
12:17,,,,,"SUB IN by METZLER,ANTHONY",,,"SUB IN by METZLER,ANTHONY",1
12:17,,,,,"SUB OUT by GIERTZ,BEN",,,"SUB OUT by GIERTZ,BEN",1
12:17,,,,,"SUB OUT by MERCER,JAY",,,"SUB OUT by MERCER,JAY",1
11:46,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",1
11:41,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",1
11:36,,16,,16,"GOOD JUMPER by JONES,MARQUEL",GCMB 16-16 (0),,"GOOD JUMPER by JONES,MARQUEL",1
11:12,"GOOD JUMPER by LIVSEY,GEOFF",18 (+2),,16,,RCMBB13 18-16 (+2),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
10:51,,18,,19 (+1),"GOOD 3PTR by METZLER,ANTHONY",GCMB 18-19 (-1),,"GOOD 3PTR by METZLER,ANTHONY",1
--,,,,,"ASSIST  by JONES,MARQUEL",,,"ASSIST  by JONES,MARQUEL",1
10:35,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by JONES,MARQUEL",,,"REBOUND DEF by JONES,MARQUEL",1
10:21,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",1
10:21,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
