Time Remaining,UDM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
16:25,"TURNOVER  by WAMBSGANSS,MICHAEL",,,,,,,"TURNOVER  by WAMBSGANSS,MICHAEL",1
16:23,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",1
16:15,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by MATHIS,DUSTIN",,,,,,,"REBOUND DEF by MATHIS,DUSTIN",1
16:02,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
16:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:02,"MISS FT by TOUSSAINT,LETRELL",,,,,,,"MISS FT by TOUSSAINT,LETRELL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:02,"GOOD FT by TOUSSAINT,LETRELL",1,,4 (+3),,UDM 1-4 (+3),,"GOOD FT by TOUSSAINT,LETRELL",1
15:44,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",1
15:29,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",3,,4 (+1),,UDM 3-4 (+1),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",1
--,"ASSIST  by NUNN,JOSHUA",,,,,,,"ASSIST  by NUNN,JOSHUA",1
15:04,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
15:04,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",1
15:04,"SUB IN by BOLEN,SCOTT",,,,,,,"SUB IN by BOLEN,SCOTT",1
15:04,"SUB OUT by GIUNTA,JACOB",,,,,,,"SUB OUT by GIUNTA,JACOB",1
15:04,"SUB OUT by WAMBSGANSS,MICHAEL",,,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",1
14:48,"MISS LAYUP by BOLEN,SCOTT",,,,,,,"MISS LAYUP by BOLEN,SCOTT",1
14:48,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
14:39,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,"REBOUND DEF by MATHIS,DUSTIN",,,,,,,"REBOUND DEF by MATHIS,DUSTIN",1
14:29,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
14:21,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
14:19,"STEAL  by MATHIS,DUSTIN",,,,,,,"STEAL  by MATHIS,DUSTIN",1
14:00,"MISS LAYUP by TOUSSAINT,LETRELL",,,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
13:48,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:45,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",1
13:45,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",1
13:45,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",1
13:45,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",1
13:45,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:45,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
13:45,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:45,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:35,"MISS 3PTR by HYDE,CAMERAN",,,,,,,"MISS 3PTR by HYDE,CAMERAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
13:30,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",1
13:05,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
12:44,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",5 (+1),,4,,UDM 5-4 (-1),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
12:21,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",7 (+3),,4,,UDM 7-4 (-3),,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",1
12:01,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",1
12:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:56,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
11:54,"STEAL  by RUSSELL,JOHN",,,,,,,"STEAL  by RUSSELL,JOHN",1
11:48,"MISS JUMPER by RUSSELL,JOHN",,,,,,,"MISS JUMPER by RUSSELL,JOHN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
11:36,,7 (+1),,6,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 7-6 (-1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
11:29,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
11:29,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
11:24,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",9 (+3),,6,,UDM 9-6 (-3),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",1
11:05,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
11:01,,9 (+1),,8,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 9-8 (-1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
10:38,"TURNOVER  by HAYES,ISAIAH",,,,,,,"TURNOVER  by HAYES,ISAIAH",1
10:38,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
10:38,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
10:38,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
10:38,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:14,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",1
10:14,"SUB OUT by BOLEN,SCOTT",,,,,,,"SUB OUT by BOLEN,SCOTT",1
10:08,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",1
10:08,,9,,9,"GOOD FT by EATON,JACK",HENDRIXM 9-9 (0),,"GOOD FT by EATON,JACK",1
10:08,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",1
--,"REBOUND DEF by HAYES,ISAIAH",,,,,,,"REBOUND DEF by HAYES,ISAIAH",1
10:08,"SUB IN by GIUNTA,JACOB",,,,,,,"SUB IN by GIUNTA,JACOB",1
10:08,"SUB OUT by HYDE,CAMERAN",,,,,,,"SUB OUT by HYDE,CAMERAN",1
09:54,"TURNOVER  by HAYES,ISAIAH",,,,,,,"TURNOVER  by HAYES,ISAIAH",1
09:52,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",1
09:37,,9,,11 (+2),"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIXM 9-11 (+2),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
09:13,"MISS 3PTR by HAYES,ISAIAH",,,,,,,"MISS 3PTR by HAYES,ISAIAH",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:03,,9,,14 (+5),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 9-14 (+5),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
08:43,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",1
08:43,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",1
08:43,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",1
08:43,"SUB OUT by HAYES,ISAIAH",,,,,,,"SUB OUT by HAYES,ISAIAH",1
08:43,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",1
08:43,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
08:43,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
08:21,,9,,17 (+8),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 9-17 (+8),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:10,"MISS JUMPER by WAMBSGANSS,MICHAEL",,,,,,,"MISS JUMPER by WAMBSGANSS,MICHAEL",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
07:59,,9,,20 (+11),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 9-20 (+11),,"GOOD 3PTR by COMAN,SEAN",1
07:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:41,"MISS 3PTR by MATHIS,DUSTIN",,,,,,,"MISS 3PTR by MATHIS,DUSTIN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
07:28,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",1
07:28,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:28,,9,,21 (+12),"GOOD FT by CONRAD,ALEX",HENDRIXM 9-21 (+12),,"GOOD FT by CONRAD,ALEX",1
07:28,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
07:28,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
07:28,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
07:28,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
06:45,"MISS JUMPER by TOUSSAINT,LETRELL",,,,,,,"MISS JUMPER by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
06:39,,9,,24 (+15),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 9-24 (+15),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
06:22,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:51,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
05:48,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by GIUNTA,JACOB",,,,,,,"REBOUND DEF by GIUNTA,JACOB",1
05:36,"GOOD 3PTR by WAMBSGANSS,MICHAEL",12,,24 (+12),,UDM 12-24 (+12),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,"ASSIST  by MATHIS,DUSTIN",,,,,,,"ASSIST  by MATHIS,DUSTIN",1
05:16,"FOUL  by GIUNTA,JACOB",,,,,,,"FOUL  by GIUNTA,JACOB",1
05:16,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
05:16,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
05:01,,12,,27 (+15),"GOOD 3PTR by II,ROD CUMMINGS",HENDRIXM 12-27 (+15),,"GOOD 3PTR by II,ROD CUMMINGS",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
04:40,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
04:40,"MISS FT by GIUNTA,JACOB",,,,,,,"MISS FT by GIUNTA,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:40,"GOOD FT by GIUNTA,JACOB",13,,27 (+14),,UDM 13-27 (+14),,"GOOD FT by GIUNTA,JACOB",1
04:21,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
04:19,"STEAL  by WAMBSGANSS,MICHAEL",,,,,,,"STEAL  by WAMBSGANSS,MICHAEL",1
04:17,"GOOD LAYUP by WAMBSGANSS,MICHAEL(fastbreak)(in the paint)",15,,27 (+12),,UDM 15-27 (+12),,"GOOD LAYUP by WAMBSGANSS,MICHAEL(fastbreak)(in the paint)",1
03:58,"FOUL  by NUNN,JOSHUA",,,,,,,"FOUL  by NUNN,JOSHUA",1
03:58,,15,,28 (+13),"GOOD FT by STANLEY,SETH",HENDRIXM 15-28 (+13),,"GOOD FT by STANLEY,SETH",1
03:58,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by NUNN,JOSHUA",,,,,,,"REBOUND DEF by NUNN,JOSHUA",1
03:57,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",1
03:55,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
03:44,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
03:44,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
03:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:43,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",1
03:19,,15,,30 (+15),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 15-30 (+15),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
03:07,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",1
03:05,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
02:54,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",1
02:49,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
02:49,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",1
02:49,"SUB IN by BOLEN,SCOTT",,,,,,,"SUB IN by BOLEN,SCOTT",1
02:49,"SUB OUT by GIUNTA,JACOB",,,,,,,"SUB OUT by GIUNTA,JACOB",1
02:49,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",1
02:41,"GOOD 3PTR by WAMBSGANSS,MICHAEL",18,,30 (+12),,UDM 18-30 (+12),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
02:15,,18,,32 (+14),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 18-32 (+14),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
02:05,"GOOD JUMPER by HAYES,ISAIAH",20,,32 (+12),,UDM 20-32 (+12),,"GOOD JUMPER by HAYES,ISAIAH",1
01:43,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
01:33,"MISS JUMPER by TOUSSAINT,LETRELL",,,,,,,"MISS JUMPER by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
01:09,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
01:09,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
01:05,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
00:48,"MISS JUMPER by WAMBSGANSS,MICHAEL",,,,,,,"MISS JUMPER by WAMBSGANSS,MICHAEL",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
00:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:30,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
00:28,"STEAL  by HAYES,ISAIAH",,,,,,,"STEAL  by HAYES,ISAIAH",1
00:24,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
00:24,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
00:14,"TURNOVER  by WAMBSGANSS,MICHAEL",,,,,,,"TURNOVER  by WAMBSGANSS,MICHAEL",1
00:13,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",1
00:09,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
00:07,"STEAL  by HAYES,ISAIAH",,,,,,,"STEAL  by HAYES,ISAIAH",1
00:04,"MISS 3PTR by MATHIS,DUSTIN",,,,,,,"MISS 3PTR by MATHIS,DUSTIN",1
00:04,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:01,"MISS 3PTR by MATHIS,DUSTIN",,,,,,,"MISS 3PTR by MATHIS,DUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:34,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
19:20,,20,,34 (+14),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 20-34 (+14),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
19:00,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",22,,34 (+12),,UDM 22-34 (+12),,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",2
18:38,,22,,36 (+14),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 22-36 (+14),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
18:38,"FOUL  by GIUNTA,JACOB",,,,,,,"FOUL  by GIUNTA,JACOB",2
18:38,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",2
18:34,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
18:31,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
18:24,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
18:16,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
18:14,"STEAL  by MATHIS,DUSTIN",,,,,,,"STEAL  by MATHIS,DUSTIN",2
18:11,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",24,,36 (+12),,UDM 24-36 (+12),,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",2
17:47,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
17:42,,24,,38 (+14),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 24-38 (+14),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
17:26,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",2
17:24,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
17:17,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
17:16,"STEAL  by MATHIS,DUSTIN",,,,,,,"STEAL  by MATHIS,DUSTIN",2
17:04,"MISS 3PTR by MATHIS,DUSTIN",,,,,,,"MISS 3PTR by MATHIS,DUSTIN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
16:59,,24,,41 (+17),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 24-41 (+17),,"GOOD 3PTR by STANLEY,SETH",2
16:44,"MISS LAYUP by MATHIS,DUSTIN",,,,,,,"MISS LAYUP by MATHIS,DUSTIN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
16:34,,24,,43 (+19),"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 24-43 (+19),,"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",2
16:22,"MISS LAYUP by NUNN,JOSHUA",,,,,,,"MISS LAYUP by NUNN,JOSHUA",2
16:22,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,"REBOUND OFF by NUNN,JOSHUA",,,,,,,"REBOUND OFF by NUNN,JOSHUA",2
16:19,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",26,,43 (+17),,UDM 26-43 (+17),,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",2
16:19,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
