Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
16:29,,3,,7 (+4),"GOOD JUMPER by ROLAND,DEVIN(in the paint)",AC 3-7 (-4),,"GOOD JUMPER by ROLAND,DEVIN(in the paint)",1
16:11,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
15:45,,,,,"TURNOVER  by HILL,KAMERON",,,"TURNOVER  by HILL,KAMERON",1
15:45,"STEAL  by CARTWRIGHT,BROOKS",,,,,,,"STEAL  by CARTWRIGHT,BROOKS",1
15:38,"MISS 3PTR by II,ROD CUMMINGS",,,,,,,"MISS 3PTR by II,ROD CUMMINGS",1
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",1
15:30,,3,,10 (+7),"GOOD 3PTR by HILL,KAMERON",AC 3-10 (-7),,"GOOD 3PTR by HILL,KAMERON",1
--,,,,,"ASSIST  by ROLAND,DEVIN",,,"ASSIST  by ROLAND,DEVIN",1
15:16,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by PATIN,JAKE",,,"REBOUND DEF by PATIN,JAKE",1
15:05,,,,,"MISS 3PTR by ROLAND,DEVIN",,,"MISS 3PTR by ROLAND,DEVIN",1
15:05,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
14:59,"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",5,,10 (+5),,HENDRIXM 5-10 (-5),,"GOOD LAYUP by CARTWRIGHT,BROOKS(fastbreak)(in the paint)",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
14:43,,,,,"FOUL  by HOLLAND,MICHAEL",,,"FOUL  by HOLLAND,MICHAEL",1
14:43,,,,,"TURNOVER  by HOLLAND,MICHAEL",,,"TURNOVER  by HOLLAND,MICHAEL",1
14:43,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
14:43,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
14:43,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
14:43,,,,,"SUB IN by STRICKLAND,ROMAN",,,"SUB IN by STRICKLAND,ROMAN",1
14:43,,,,,"SUB IN by GOODMAN,CHANSTON",,,"SUB IN by GOODMAN,CHANSTON",1
14:43,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",1
14:43,,,,,"SUB OUT by HILL,KAMERON",,,"SUB OUT by HILL,KAMERON",1
14:43,,,,,"SUB OUT by MERCADEL,JUSTICE",,,"SUB OUT by MERCADEL,JUSTICE",1
14:43,,,,,"SUB OUT by HOLLAND,MICHAEL",,,"SUB OUT by HOLLAND,MICHAEL",1
14:43,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
14:40,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",7,,10 (+3),,HENDRIXM 7-10 (-3),,"GOOD LAYUP by COMAN,SEAN(fastbreak)(in the paint)",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
14:39,,,,,"FOUL  by PATIN,JAKE",,,"FOUL  by PATIN,JAKE",1
14:39,"GOOD FT by COMAN,SEAN",8,,10 (+2),,HENDRIXM 8-10 (-2),,"GOOD FT by COMAN,SEAN",1
14:26,,,,,"MISS JUMPER by STRICKLAND,ROMAN",,,"MISS JUMPER by STRICKLAND,ROMAN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
14:16,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
14:15,,,,,"STEAL  by DICK,TRISTAN",,,"STEAL  by DICK,TRISTAN",1
14:13,,8,,12 (+4),"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",AC 8-12 (-4),,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DICK,TRISTAN",,,"ASSIST  by DICK,TRISTAN",1
13:54,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HOGAN,KAM",,,"REBOUND DEF by HOGAN,KAM",1
13:46,,,,,"MISS JUMPER by HOGAN,KAM",,,"MISS JUMPER by HOGAN,KAM",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
13:38,"GOOD LAYUP by STANLEY,SETH(in the paint)",10,,12 (+2),,HENDRIXM 10-12 (-2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
13:37,,,,,"FOUL  by GOODMAN,CHANSTON",,,"FOUL  by GOODMAN,CHANSTON",1
13:37,"GOOD FT by STANLEY,SETH",11,,12 (+1),,HENDRIXM 11-12 (-1),,"GOOD FT by STANLEY,SETH",1
13:24,,,,,"TURNOVER  by PATIN,JAKE",,,"TURNOVER  by PATIN,JAKE",1
13:01,"MISS LAYUP by CARTWRIGHT,BROOKS",,,,,,,"MISS LAYUP by CARTWRIGHT,BROOKS",1
13:01,,,,,"BLOCK  by PATIN,JAKE",,,"BLOCK  by PATIN,JAKE",1
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",1
12:44,,11,,14 (+3),"GOOD LAYUP by PATIN,JAKE(in the paint)",AC 11-14 (-3),,"GOOD LAYUP by PATIN,JAKE(in the paint)",1
--,,,,,"ASSIST  by DICK,TRISTAN",,,"ASSIST  by DICK,TRISTAN",1
12:29,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
12:29,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
12:07,,11,,16 (+5),"GOOD JUMPER by PATIN,JAKE",AC 11-16 (-5),,"GOOD JUMPER by PATIN,JAKE",1
--,,,,,"ASSIST  by DICK,TRISTAN",,,"ASSIST  by DICK,TRISTAN",1
11:48,,,,,"FOUL  by PATIN,JAKE",,,"FOUL  by PATIN,JAKE",1
11:48,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
11:48,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
11:48,,,,,"SUB IN by BRUMBAUGH,LUKE",,,"SUB IN by BRUMBAUGH,LUKE",1
11:48,,,,,"SUB IN by HOLLAND,MICHAEL",,,"SUB IN by HOLLAND,MICHAEL",1
11:48,,,,,"SUB OUT by GOODMAN,CHANSTON",,,"SUB OUT by GOODMAN,CHANSTON",1
11:48,,,,,"SUB OUT by PATIN,JAKE",,,"SUB OUT by PATIN,JAKE",1
11:43,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by BRUMBAUGH,LUKE",,,"REBOUND DEF by BRUMBAUGH,LUKE",1
11:19,,11,,18 (+7),"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",AC 11-18 (-7),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by BRUMBAUGH,LUKE",,,"ASSIST  by BRUMBAUGH,LUKE",1
11:19,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
11:19,,11,,19 (+8),"GOOD FT by HOLLAND,MICHAEL",AC 11-19 (-8),,"GOOD FT by HOLLAND,MICHAEL",1
11:19,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:19,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
11:09,"MISS JUMPER by II,ROD CUMMINGS",,,,,,,"MISS JUMPER by II,ROD CUMMINGS",1
--,,,,,"REBOUND DEF by DICK,TRISTAN",,,"REBOUND DEF by DICK,TRISTAN",1
10:59,,,,,"MISS 3PTR by DICK,TRISTAN",,,"MISS 3PTR by DICK,TRISTAN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
10:44,,,,,"FOUL  by STRICKLAND,ROMAN",,,"FOUL  by STRICKLAND,ROMAN",1
10:44,"GOOD FT by CONRAD,ALEX",12,,19 (+7),,HENDRIXM 12-19 (-7),,"GOOD FT by CONRAD,ALEX",1
10:44,"GOOD FT by CONRAD,ALEX",13,,19 (+6),,HENDRIXM 13-19 (-6),,"GOOD FT by CONRAD,ALEX",1
10:44,,,,,"SUB IN by MERCADEL,JUSTICE",,,"SUB IN by MERCADEL,JUSTICE",1
10:44,,,,,"SUB IN by ROLAND,DEVIN",,,"SUB IN by ROLAND,DEVIN",1
10:44,,,,,"SUB OUT by STRICKLAND,ROMAN",,,"SUB OUT by STRICKLAND,ROMAN",1
10:44,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
10:38,,,,,"MISS JUMPER by HOLLAND,MICHAEL",,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,,,,,"REBOUND OFF by MERCADEL,JUSTICE",,,"REBOUND OFF by MERCADEL,JUSTICE",1
10:33,,13,,21 (+8),"GOOD TIPIN by MERCADEL,JUSTICE(in the paint)",AC 13-21 (-8),,"GOOD TIPIN by MERCADEL,JUSTICE(in the paint)",1
10:10,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
10:10,,,,,"BLOCK  by BRUMBAUGH,LUKE",,,"BLOCK  by BRUMBAUGH,LUKE",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
10:03,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",1
09:59,,,,,"MISS LAYUP by HOLLAND,MICHAEL",,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
09:52,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
09:51,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
09:34,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
09:34,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
09:34,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
09:34,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
09:34,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
09:34,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
09:34,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
09:19,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
09:18,,,,,"STEAL  by HOLLAND,MICHAEL",,,"STEAL  by HOLLAND,MICHAEL",1
09:17,,13,,23 (+10),"GOOD DUNK by HOLLAND,MICHAEL(fastbreak)(in the paint)",AC 13-23 (-10),,"GOOD DUNK by HOLLAND,MICHAEL(fastbreak)(in the paint)",1
08:42,"GOOD LAYUP by CONRAD,ALEX(in the paint)",15,,23 (+8),,HENDRIXM 15-23 (-8),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
08:33,,15,,25 (+10),"GOOD LAYUP by ROLAND,DEVIN(in the paint)",AC 15-25 (-10),,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",1
08:17,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
07:47,,15,,28 (+13),"GOOD 3PTR by HILL,KAMERON",AC 15-28 (-13),,"GOOD 3PTR by HILL,KAMERON",1
--,,,,,"ASSIST  by MERCADEL,JUSTICE",,,"ASSIST  by MERCADEL,JUSTICE",1
07:27,"GOOD LAYUP by FITCH,CARL(in the paint)",17,,28 (+11),,HENDRIXM 17-28 (-11),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,"ASSIST  by MOORE,AUSTIN",,,,,,,"ASSIST  by MOORE,AUSTIN",1
07:17,,17,,30 (+13),"GOOD LAYUP by BRUMBAUGH,LUKE(in the paint)",AC 17-30 (-13),,"GOOD LAYUP by BRUMBAUGH,LUKE(in the paint)",1
--,,,,,"ASSIST  by HILL,KAMERON",,,"ASSIST  by HILL,KAMERON",1
06:54,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
06:51,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
06:46,,,,,"MISS 3PTR by HILL,KAMERON",,,"MISS 3PTR by HILL,KAMERON",1
--,,,,,"REBOUND OFF by BRUMBAUGH,LUKE",,,"REBOUND OFF by BRUMBAUGH,LUKE",1
06:39,,,,,"MISS 3PTR by HILL,KAMERON",,,"MISS 3PTR by HILL,KAMERON",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
06:22,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",1
06:22,,,,,"FOUL  by BRUMBAUGH,LUKE",,,"FOUL  by BRUMBAUGH,LUKE",1
06:22,,,,,"FOUL TECH by BRUMBAUGH,LUKE",,,"FOUL TECH by BRUMBAUGH,LUKE",1
06:22,"GOOD FT by STANLEY,SETH",18,,30 (+12),,HENDRIXM 18-30 (-12),,"GOOD FT by STANLEY,SETH",1
06:22,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:22,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:22,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:22,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
06:22,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
06:22,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
06:22,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",1
06:22,,,,,"SUB IN by PATIN,JAKE",,,"SUB IN by PATIN,JAKE",1
06:22,,,,,"SUB OUT by BRUMBAUGH,LUKE",,,"SUB OUT by BRUMBAUGH,LUKE",1
--,,,,,"ASSIST  by HILL,KAMERON",,,"ASSIST  by HILL,KAMERON",1
05:57,,18,,32 (+14),"GOOD JUMPER by MERCADEL,JUSTICE",AC 18-32 (-14),,"GOOD JUMPER by MERCADEL,JUSTICE",1
05:44,"GOOD 3PTR by COMAN,SEAN",21,,32 (+11),,HENDRIXM 21-32 (-11),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",1
05:28,,,,,"MISS JUMPER by PATIN,JAKE",,,"MISS JUMPER by PATIN,JAKE",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
05:18,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",1
05:08,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
04:59,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",1
--,,,,,"REBOUND DEF by PATIN,JAKE",,,"REBOUND DEF by PATIN,JAKE",1
04:50,,,,,"MISS LAYUP by ROLAND,DEVIN",,,"MISS LAYUP by ROLAND,DEVIN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
04:38,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by PATIN,JAKE",,,"REBOUND DEF by PATIN,JAKE",1
04:29,,,,,"SUB IN by STRICKLAND,ROMAN",,,"SUB IN by STRICKLAND,ROMAN",1
04:29,,,,,"SUB OUT by HOLLAND,MICHAEL",,,"SUB OUT by HOLLAND,MICHAEL",1
04:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:08,,21,,34 (+13),"GOOD JUMPER by HOGAN,KAM",AC 21-34 (-13),,"GOOD JUMPER by HOGAN,KAM",1
03:59,,,,,"SUB IN by HOLLAND,MICHAEL",,,"SUB IN by HOLLAND,MICHAEL",1
03:59,,,,,"SUB IN by HOGAN,KAM",,,"SUB IN by HOGAN,KAM",1
03:59,,,,,"SUB IN by LOCKMAN,DEREK",,,"SUB IN by LOCKMAN,DEREK",1
03:59,,,,,"SUB OUT by HILL,KAMERON",,,"SUB OUT by HILL,KAMERON",1
03:59,,,,,"SUB OUT by MERCADEL,JUSTICE",,,"SUB OUT by MERCADEL,JUSTICE",1
03:59,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
03:55,"GOOD LAYUP by COMAN,SEAN(in the paint)",23,,34 (+11),,HENDRIXM 23-34 (-11),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",1
03:48,,,,,"TURNOVER  by HOLLAND,MICHAEL",,,"TURNOVER  by HOLLAND,MICHAEL",1
03:48,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
03:48,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
03:35,"GOOD 3PTR by STANLEY,SETH",26,,34 (+8),,HENDRIXM 26-34 (-8),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
03:25,,,,,"MISS JUMPER by HOLLAND,MICHAEL",,,"MISS JUMPER by HOLLAND,MICHAEL",1
03:25,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",1
03:22,"FOUL  by CARTWRIGHT,BROOKS",,,,,,,"FOUL  by CARTWRIGHT,BROOKS",1
03:22,,26,,35 (+9),"GOOD FT by HOLLAND,MICHAEL",AC 26-35 (-9),,"GOOD FT by HOLLAND,MICHAEL",1
03:22,,26,,36 (+10),"GOOD FT by HOLLAND,MICHAEL",AC 26-36 (-10),,"GOOD FT by HOLLAND,MICHAEL",1
03:03,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:59,"GOOD JUMPER by COMAN,SEAN",28,,36 (+8),,HENDRIXM 28-36 (-8),,"GOOD JUMPER by COMAN,SEAN",1
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",1
02:42,,,,,"MISS 3PTR by LOCKMAN,DEREK",,,"MISS 3PTR by LOCKMAN,DEREK",1
--,,,,,"REBOUND OFF by PATIN,JAKE",,,"REBOUND OFF by PATIN,JAKE",1
02:36,,,,,"MISS LAYUP by PATIN,JAKE",,,"MISS LAYUP by PATIN,JAKE",1
02:36,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
02:34,,,,,"FOUL  by STRICKLAND,ROMAN",,,"FOUL  by STRICKLAND,ROMAN",1
02:34,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
02:34,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
02:34,,,,,"SUB IN by ROLAND,DEVIN",,,"SUB IN by ROLAND,DEVIN",1
02:34,,,,,"SUB OUT by LOCKMAN,DEREK",,,"SUB OUT by LOCKMAN,DEREK",1
02:34,,,,,"SUB OUT by STRICKLAND,ROMAN",,,"SUB OUT by STRICKLAND,ROMAN",1
--,,,,,"REBOUND DEF by HOGAN,KAM",,,"REBOUND DEF by HOGAN,KAM",1
--,,,,,"ASSIST  by HOGAN,KAM",,,"ASSIST  by HOGAN,KAM",1
02:08,,28,,38 (+10),"GOOD LAYUP by DICK,TRISTAN(in the paint)",AC 28-38 (-10),,"GOOD LAYUP by DICK,TRISTAN(in the paint)",1
01:41,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND OFF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND OFF by CARTWRIGHT,BROOKS",1
01:21,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
01:19,,,,,"FOUL  by ROLAND,DEVIN",,,"FOUL  by ROLAND,DEVIN",1
01:19,"GOOD FT by FITCH,CARL",29,,38 (+9),,HENDRIXM 29-38 (-9),,"GOOD FT by FITCH,CARL",1
01:19,"GOOD FT by FITCH,CARL",30,,38 (+8),,HENDRIXM 30-38 (-8),,"GOOD FT by FITCH,CARL",1
01:19,,,,,"SUB IN by HILL,KAMERON",,,"SUB IN by HILL,KAMERON",1
01:19,,,,,"SUB IN by MERCADEL,JUSTICE",,,"SUB IN by MERCADEL,JUSTICE",1
01:19,,,,,"SUB OUT by ROLAND,DEVIN",,,"SUB OUT by ROLAND,DEVIN",1
01:19,,,,,"SUB OUT by PATIN,JAKE",,,"SUB OUT by PATIN,JAKE",1
01:03,,30,,40 (+10),"GOOD JUMPER by HOGAN,KAM(in the paint)",AC 30-40 (-10),,"GOOD JUMPER by HOGAN,KAM(in the paint)",1
00:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:43,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
00:42,,,,,"STEAL  by HOGAN,KAM",,,"STEAL  by HOGAN,KAM",1
00:20,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
00:03,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
19:30,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
