Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:42,"MISS JUMPER by LINK,JACOB",,,,,,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
19:34,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
19:14,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
19:08,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
19:06,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",1
19:05,,0,,2 (+2),"GOOD LAYUP by SONE,CARLOS(fastbreak)(in the paint)",OU 0-2 (-2),,"GOOD LAYUP by SONE,CARLOS(fastbreak)(in the paint)",1
18:54,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",1
18:43,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
18:38,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
18:28,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",1
18:25,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
18:25,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",1
18:25,"GOOD FT by STANLEY,SETH",1,,2 (+1),,HC 1-2 (-1),,"GOOD FT by STANLEY,SETH",1
18:25,"GOOD FT by STANLEY,SETH",2,,2,,HC 2-2 (0),,"GOOD FT by STANLEY,SETH",1
18:19,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
18:19,,2,,3 (+1),"GOOD FT by FOSTER,LANE",OU 2-3 (-1),,"GOOD FT by FOSTER,LANE",1
18:19,,2,,4 (+2),"GOOD FT by FOSTER,LANE",OU 2-4 (-2),,"GOOD FT by FOSTER,LANE",1
18:08,"GOOD JUMPER by II,ROD CUMMINGS",4,,4,,HC 4-4 (0),,"GOOD JUMPER by II,ROD CUMMINGS",1
17:41,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
17:20,"GOOD LAYUP by LINK,JACOB(in the paint)",6 (+2),,4,,HC 6-4 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
16:57,,6,,7 (+1),"GOOD 3PTR by CHAMBERS,DIMETRI",OU 6-7 (-1),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",1
16:28,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
16:09,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",1
16:09,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
16:02,"MISS LAYUP by II,ROD CUMMINGS",,,,,,,"MISS LAYUP by II,ROD CUMMINGS",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
15:54,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
15:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:34,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,"REBOUND OFF by SONE,CARLOS",,,"REBOUND OFF by SONE,CARLOS",1
15:27,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
