Time Remaining,Hendri,Away Team Score,Play Team Indicator,Home Team Score,Ozarks,Game Score,Team Indicator,Play,Period
19:45,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
19:13,"FOUL  by CUMMINGS II,ROD",,,,,,,"FOUL  by CUMMINGS II,ROD",1
19:13,,0,,1 (+1),"GOOD FT by BOBO,ZACH",Ozarks 0-1 (-1),,"GOOD FT by BOBO,ZACH",1
19:13,,0,,2 (+2),"GOOD FT by BOBO,ZACH",Ozarks 0-2 (-2),,"GOOD FT by BOBO,ZACH",1
18:50,"GOOD LAYUP by LINK,JACOB(in the paint)",2,,2,,Hendri 2-2 (0),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
18:37,,,,,"MISS LAYUP by DAVIS,JACOBE(in the paint)",,,"MISS LAYUP by DAVIS,JACOBE(in the paint)",1
18:37,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
18:20,"GOOD LAYUP by CUMMINGS II,ROD",4 (+2),,2,,Hendri 4-2 (+2),,"GOOD LAYUP by CUMMINGS II,ROD",1
18:16,,,,,"TURNOVER  by BOWMAN,ETHAN",,,"TURNOVER  by BOWMAN,ETHAN",1
17:49,,,,,"MISS LAYUP by DAVIS,JACOBE(in the paint)",,,"MISS LAYUP by DAVIS,JACOBE(in the paint)",1
--,,,,,"REBOUND OFF by BOWMAN,ETHAN",,,"REBOUND OFF by BOWMAN,ETHAN",1
17:44,,4,,4,"GOOD LAYUP by BOWMAN,ETHAN",Ozarks 4-4 (0),,"GOOD LAYUP by BOWMAN,ETHAN",1
17:37,"GOOD 3PTR by STANLEY,SETH",7 (+3),,4,,Hendri 7-4 (+3),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
17:22,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
17:22,,7,,7,"GOOD 3PTR by BOBO,ZACH",Ozarks 7-7 (0),,"GOOD 3PTR by BOBO,ZACH",1
--,,,,,"ASSIST  by JOHNSON,BRYSON",,,"ASSIST  by JOHNSON,BRYSON",1
17:12,"GOOD JUMPER by STANLEY,SETH",9 (+2),,7,,Hendri 9-7 (+2),,"GOOD JUMPER by STANLEY,SETH",1
17:02,,9,,9,"GOOD LAYUP by BOBO,ZACH",Ozarks 9-9 (0),,"GOOD LAYUP by BOBO,ZACH",1
