Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
19:43,"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",2 (+2),,0,,ACM 2-0 (-2),,"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",1
--,"ASSIST  by CLEAMONS,JAYLYN",,,,,,,"ASSIST  by CLEAMONS,JAYLYN",1
19:31,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",1
19:10,"GOOD 3PTR by CLEAMONS,JAYLYN",5 (+5),,0,,ACM 5-0 (-5),,"GOOD 3PTR by CLEAMONS,JAYLYN",1
18:33,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",1
18:26,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",1
18:09,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
18:09,"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",7 (+7),,0,,ACM 7-0 (-7),,"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",1
--,"ASSIST  by HOLLAND,MICHAEL",,,,,,,"ASSIST  by HOLLAND,MICHAEL",1
17:38,,7 (+5),,2,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 7-2 (-5),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
17:16,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",1
17:14,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
17:11,"FOUL  by HILL,KAMERON",,,,,,,"FOUL  by HILL,KAMERON",1
17:11,,7 (+4),,3,"GOOD FT by LINK,JACOB",HENDRIXM 7-3 (-4),,"GOOD FT by LINK,JACOB",1
17:11,,7 (+3),,4,"GOOD FT by LINK,JACOB",HENDRIXM 7-4 (-3),,"GOOD FT by LINK,JACOB",1
16:57,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
16:57,,7 (+1),,6,"GOOD JUMPER by STANLEY,SETH",HENDRIXM 7-6 (-1),,"GOOD JUMPER by STANLEY,SETH",1
16:57,"GOOD 3PTR by HILL,KAMERON",10 (+4),,6,,ACM 10-6 (-4),,"GOOD 3PTR by HILL,KAMERON",1
--,"ASSIST  by BRUMBAUGH,LUKE",,,,,,,"ASSIST  by BRUMBAUGH,LUKE",1
16:57,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
16:57,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
16:57,"STEAL  by HOLLAND,MICHAEL",,,,,,,"STEAL  by HOLLAND,MICHAEL",1
16:57,"MISS LAYUP by STRICKLAND,ROMAN",,,,,,,"MISS LAYUP by STRICKLAND,ROMAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
16:53,,10 (+2),,8,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",HENDRIXM 10-8 (-2),,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",1
