Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UDM,Game Score,Team Indicator,Play,Period
11:56,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:56,"SUB IN by MOORE,AUSTIN",,,,,,,"SUB IN by MOORE,AUSTIN",1
11:56,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
11:56,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
11:40,,,,,"TURNOVER  by MATHIS,DUSTIN",,,"TURNOVER  by MATHIS,DUSTIN",1
11:39,"STEAL  by II,ROD CUMMINGS",,,,,,,"STEAL  by II,ROD CUMMINGS",1
11:27,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
11:16,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",1
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",1
10:55,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",1
10:55,,,,,"BLOCK  by RUSSELL,JOHN",,,"BLOCK  by RUSSELL,JOHN",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
10:44,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
10:43,,,,,"STEAL  by WAMBSGANSS,MICHAEL",,,"STEAL  by WAMBSGANSS,MICHAEL",1
10:40,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
10:40,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
10:40,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
10:40,,,,,"SUB IN by HAYES,ISAIAH",,,"SUB IN by HAYES,ISAIAH",1
10:40,,,,,"SUB OUT by MATHIS,DUSTIN",,,"SUB OUT by MATHIS,DUSTIN",1
10:39,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",1
--,,,,,"REBOUND OFF by HYDE,CAMERAN",,,"REBOUND OFF by HYDE,CAMERAN",1
10:36,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",1
10:36,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:34,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
10:34,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
10:25,,13,,13,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",UDM 13-13 (0),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
--,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",,,"ASSIST  by WAMBSGANSS,MICHAEL",1
10:03,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
10:02,,,,,"STEAL  by LOVE,JAI",,,"STEAL  by LOVE,JAI",1
10:00,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:55,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
09:55,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
09:55,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
09:51,,,,,"TURNOVER  by LOVE,JAI",,,"TURNOVER  by LOVE,JAI",1
09:50,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",1
09:37,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
09:25,,,,,"MISS JUMPER by HYDE,CAMERAN",,,"MISS JUMPER by HYDE,CAMERAN",1
09:25,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
09:16,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
09:16,,,,,"STEAL  by WAMBSGANSS,MICHAEL",,,"STEAL  by WAMBSGANSS,MICHAEL",1
09:01,,,,,"MISS 3PTR by HYDE,CAMERAN",,,"MISS 3PTR by HYDE,CAMERAN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
08:49,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by HAYES,ISAIAH",,,"REBOUND DEF by HAYES,ISAIAH",1
08:36,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
08:36,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
08:36,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
08:36,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
08:36,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
08:20,,,,,"MISS JUMPER by HAYES,ISAIAH",,,"MISS JUMPER by HAYES,ISAIAH",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
08:14,,,,,"FOUL  by WAMBSGANSS,MICHAEL",,,"FOUL  by WAMBSGANSS,MICHAEL",1
08:14,"MISS FT by CARTWRIGHT,BROOKS",,,,,,,"MISS FT by CARTWRIGHT,BROOKS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:14,"MISS FT by CARTWRIGHT,BROOKS",,,,,,,"MISS FT by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
07:58,,,,,"MISS LAYUP by LOVE,JAI",,,"MISS LAYUP by LOVE,JAI",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
07:47,"GOOD LAYUP by CONRAD,ALEX(in the paint)",15 (+2),,13,,HENDRIXM 15-13 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",1
07:44,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:32,,15,,16 (+1),"GOOD 3PTR by HYDE,CAMERAN",UDM 15-16 (-1),,"GOOD 3PTR by HYDE,CAMERAN",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
07:14,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND DEF by HAYES,ISAIAH",,,"REBOUND DEF by HAYES,ISAIAH",1
07:00,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
06:47,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by RUSSELL,JOHN",,,"REBOUND DEF by RUSSELL,JOHN",1
06:20,,,,,"MISS LAYUP by LOVE,JAI",,,"MISS LAYUP by LOVE,JAI",1
06:20,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
06:14,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by HAYES,ISAIAH",,,"REBOUND DEF by HAYES,ISAIAH",1
06:04,"FOUL  by CARTWRIGHT,BROOKS",,,,,,,"FOUL  by CARTWRIGHT,BROOKS",1
06:04,,15,,17 (+2),"GOOD FT by HYDE,CAMERAN",UDM 15-17 (-2),,"GOOD FT by HYDE,CAMERAN",1
06:04,,15,,18 (+3),"GOOD FT by HYDE,CAMERAN",UDM 15-18 (-3),,"GOOD FT by HYDE,CAMERAN",1
06:04,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",1
06:04,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
06:04,,,,,"SUB IN by GIUNTA,JACOB",,,"SUB IN by GIUNTA,JACOB",1
06:04,,,,,"SUB IN by TOUSSAINT,LETRELL",,,"SUB IN by TOUSSAINT,LETRELL",1
06:04,,,,,"SUB IN by MATHIS,DUSTIN",,,"SUB IN by MATHIS,DUSTIN",1
06:04,,,,,"SUB OUT by RUSSELL,JOHN",,,"SUB OUT by RUSSELL,JOHN",1
06:04,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",,,"SUB OUT by WAMBSGANSS,MICHAEL",1
06:04,,,,,"SUB OUT by LOVE,JAI",,,"SUB OUT by LOVE,JAI",1
05:47,"GOOD 3PTR by STANLEY,SETH",18,,18,,HENDRIXM 18-18 (0),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
05:29,,18,,21 (+3),"GOOD 3PTR by HYDE,CAMERAN",UDM 18-21 (-3),,"GOOD 3PTR by HYDE,CAMERAN",1
--,,,,,"ASSIST  by GIUNTA,JACOB",,,"ASSIST  by GIUNTA,JACOB",1
05:00,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by HYDE,CAMERAN",,,"REBOUND DEF by HYDE,CAMERAN",1
04:49,,,,,"TURNOVER  by MATHIS,DUSTIN",,,"TURNOVER  by MATHIS,DUSTIN",1
04:48,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
04:44,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",20,,21 (+1),,HENDRIXM 20-21 (-1),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
04:44,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
04:44,"GOOD FT by STANLEY,SETH",21,,21,,HENDRIXM 21-21 (0),,"GOOD FT by STANLEY,SETH",1
04:44,,,,,"SUB IN by RUSSELL,JOHN",,,"SUB IN by RUSSELL,JOHN",1
04:44,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",1
04:23,,,,,"MISS JUMPER by MATHIS,DUSTIN",,,"MISS JUMPER by MATHIS,DUSTIN",1
--,,,,,"REBOUND OFF by RUSSELL,JOHN",,,"REBOUND OFF by RUSSELL,JOHN",1
04:19,,21,,23 (+2),"GOOD JUMPER by RUSSELL,JOHN(in the paint)",UDM 21-23 (-2),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
03:53,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by MATHIS,DUSTIN",,,"REBOUND DEF by MATHIS,DUSTIN",1
03:47,,21,,25 (+4),"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",UDM 21-25 (-4),,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",1
03:29,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by GIUNTA,JACOB",,,"REBOUND DEF by GIUNTA,JACOB",1
03:20,,,,,"TURNOVER  by RUSSELL,JOHN",,,"TURNOVER  by RUSSELL,JOHN",1
03:20,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:20,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
03:20,"SUB OUT by JOHNSON,DAMECKO",,,,,,,"SUB OUT by JOHNSON,DAMECKO",1
03:10,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",1
03:10,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",1
03:09,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by RUSSELL,JOHN",,,"REBOUND DEF by RUSSELL,JOHN",1
02:53,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
02:53,,21,,26 (+5),"GOOD FT by RUSSELL,JOHN",UDM 21-26 (-5),,"GOOD FT by RUSSELL,JOHN",1
02:53,,,,,"MISS FT by RUSSELL,JOHN",,,"MISS FT by RUSSELL,JOHN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
02:53,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
02:53,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
02:53,,,,,"SUB IN by WAMBSGANSS,MICHAEL",,,"SUB IN by WAMBSGANSS,MICHAEL",1
02:53,,,,,"SUB IN by LOVE,JAI",,,"SUB IN by LOVE,JAI",1
02:53,,,,,"SUB OUT by HYDE,CAMERAN",,,"SUB OUT by HYDE,CAMERAN",1
02:53,,,,,"SUB OUT by HAYES,ISAIAH",,,"SUB OUT by HAYES,ISAIAH",1
02:35,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
02:28,,21,,28 (+7),"GOOD JUMPER by RUSSELL,JOHN(in the paint)",UDM 21-28 (-7),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
01:59,,,,,"FOUL  by RUSSELL,JOHN",,,"FOUL  by RUSSELL,JOHN",1
01:59,"GOOD FT by CONRAD,ALEX",22,,28 (+6),,HENDRIXM 22-28 (-6),,"GOOD FT by CONRAD,ALEX",1
01:59,"GOOD FT by CONRAD,ALEX",23,,28 (+5),,HENDRIXM 23-28 (-5),,"GOOD FT by CONRAD,ALEX",1
01:45,,23,,31 (+8),"GOOD 3PTR by MATHIS,DUSTIN",UDM 23-31 (-8),,"GOOD 3PTR by MATHIS,DUSTIN",1
--,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",,,"ASSIST  by WAMBSGANSS,MICHAEL",1
01:23,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",1
--,,,,,"REBOUND DEF by LOVE,JAI",,,"REBOUND DEF by LOVE,JAI",1
01:18,,23,,33 (+10),"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",UDM 23-33 (-10),,"GOOD LAYUP by MATHIS,DUSTIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
01:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:55,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
00:39,,,,,"MISS LAYUP by MATHIS,DUSTIN",,,"MISS LAYUP by MATHIS,DUSTIN",1
--,,,,,"REBOUND OFF by LOVE,JAI",,,"REBOUND OFF by LOVE,JAI",1
00:36,,23,,35 (+12),"GOOD TIPIN by LOVE,JAI(in the paint)",UDM 23-35 (-12),,"GOOD TIPIN by LOVE,JAI(in the paint)",1
00:06,"MISS 3PTR by JOHNSON,DAMECKO",,,,,,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:03,"GOOD LAYUP by COMAN,SEAN(in the paint)",25,,35 (+10),,HENDRIXM 25-35 (-10),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",1
20:00,,,,,"SUB IN by RUSSELL,JOHN",,,"SUB IN by RUSSELL,JOHN",2
20:00,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",2
19:42,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",2
--,,,,,"REBOUND DEF by MATHIS,DUSTIN",,,"REBOUND DEF by MATHIS,DUSTIN",2
19:15,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
19:15,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
19:15,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
19:09,,,,,"TURNOVER  by GIUNTA,JACOB",,,"TURNOVER  by GIUNTA,JACOB",2
19:08,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
19:03,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
19:03,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
18:50,,,,,"TURNOVER  by LOVE,JAI",,,"TURNOVER  by LOVE,JAI",2
18:49,"STEAL  by CONRAD,ALEX",,,,,,,"STEAL  by CONRAD,ALEX",2
18:35,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
18:27,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
18:14,"GOOD 3PTR by STANLEY,SETH(fastbreak)",28,,35 (+7),,HENDRIXM 28-35 (-7),,"GOOD 3PTR by STANLEY,SETH(fastbreak)",2
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",2
17:54,,28,,37 (+9),"GOOD JUMPER by RUSSELL,JOHN",UDM 28-37 (-9),,"GOOD JUMPER by RUSSELL,JOHN",2
17:44,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
17:33,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
17:33,,28,,38 (+10),"GOOD FT by LOVE,JAI",UDM 28-38 (-10),,"GOOD FT by LOVE,JAI",2
17:33,,28,,39 (+11),"GOOD FT by LOVE,JAI",UDM 28-39 (-11),,"GOOD FT by LOVE,JAI",2
17:21,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
