Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
16:25,"MISS JUMPER by ESTES,DJ",,,,,,,"MISS JUMPER by ESTES,DJ",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:10,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
15:50,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
15:35,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
15:16,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
15:16,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:16,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
15:16,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
15:16,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
15:16,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
15:07,,4,,5 (+1),"GOOD JUMPER by LINK,JACOB(in the paint)",Hend 4-5 (+1),,"GOOD JUMPER by LINK,JACOB(in the paint)",1
14:48,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
14:29,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by MBENOUN,ROB",,,,,,,"REBOUND DEF by MBENOUN,ROB",1
14:15,"MISS JUMPER by MBENOUN,ROB",,,,,,,"MISS JUMPER by MBENOUN,ROB",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
14:09,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",6 (+1),,5,,Berry 6-5 (-1),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
13:53,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",1
13:44,"MISS 3PTR by MBENOUN,ROB",,,,,,,"MISS 3PTR by MBENOUN,ROB",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
13:37,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
13:37,"BLOCK  by MBENOUN,ROB",,,,,,,"BLOCK  by MBENOUN,ROB",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
13:29,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
13:29,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",1
13:29,"SUB OUT by ESTES,DJ",,,,,,,"SUB OUT by ESTES,DJ",1
13:29,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
13:29,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:29,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:17,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
13:17,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
13:06,"MISS 3PTR by SOWADA,COLLIN",,,,,,,"MISS 3PTR by SOWADA,COLLIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:43,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
12:43,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
12:43,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
12:28,"MISS JUMPER by BROOKS,AUSTIN",,,,,,,"MISS JUMPER by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
12:20,"FOUL  by MBENOUN,ROB",,,,,,,"FOUL  by MBENOUN,ROB",1
12:12,,6,,7 (+1),"GOOD JUMPER by STANLEY,SETH(in the paint)",Hend 6-7 (+1),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
12:12,"FOUL  by MBENOUN,ROB",,,,,,,"FOUL  by MBENOUN,ROB",1
12:12,,6,,8 (+2),"GOOD FT by STANLEY,SETH",Hend 6-8 (+2),,"GOOD FT by STANLEY,SETH",1
12:12,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
12:12,"SUB OUT by MBENOUN,ROB",,,,,,,"SUB OUT by MBENOUN,ROB",1
12:12,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
12:12,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
11:50,"MISS JUMPER by SOWADA,COLLIN",,,,,,,"MISS JUMPER by SOWADA,COLLIN",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
11:47,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
11:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:47,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:47,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
11:46,"FOUL  by SOWADA,COLLIN",,,,,,,"FOUL  by SOWADA,COLLIN",1
11:30,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
11:07,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
10:46,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
10:46,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:46,,6,,9 (+3),"GOOD FT by STANLEY,SETH",Hend 6-9 (+3),,"GOOD FT by STANLEY,SETH",1
10:46,"SUB IN by JONES,DREW",,,,,,,"SUB IN by JONES,DREW",1
10:46,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",1
10:46,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
10:46,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
10:46,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
10:46,"SUB OUT by SOWADA,COLLIN",,,,,,,"SUB OUT by SOWADA,COLLIN",1
10:46,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:46,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
10:31,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",8,,9 (+1),,Berry 8-9 (+1),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
10:15,,8,,11 (+3),"GOOD JUMPER by EATON,JACK",Hend 8-11 (+3),,"GOOD JUMPER by EATON,JACK",1
09:50,"GOOD JUMPER by JOHNSON,MICAH(in the paint)",10,,11 (+1),,Berry 10-11 (+1),,"GOOD JUMPER by JOHNSON,MICAH(in the paint)",1
09:32,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
09:19,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
09:19,"GOOD FT by JOHNSON,MICAH",11,,11,,Berry 11-11 (0),,"GOOD FT by JOHNSON,MICAH",1
09:19,"GOOD FT by JOHNSON,MICAH",12 (+1),,11,,Berry 12-11 (-1),,"GOOD FT by JOHNSON,MICAH",1
09:19,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:19,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
09:19,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
09:19,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
09:07,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
09:07,"BLOCK  by JONES,DREW",,,,,,,"BLOCK  by JONES,DREW",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
08:48,"GOOD JUMPER by HASLAM,ETHAN(in the paint)",14 (+3),,11,,Berry 14-11 (-3),,"GOOD JUMPER by HASLAM,ETHAN(in the paint)",1
08:34,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
08:21,"MISS JUMPER by JOHNSON,MICAH",,,,,,,"MISS JUMPER by JOHNSON,MICAH",1
08:21,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:14,"GOOD JUMPER by HAYNES,CALEB(in the paint)",16 (+5),,11,,Berry 16-11 (-5),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
07:50,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
07:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:47,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
07:47,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
07:37,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
07:28,"MISS JUMPER by HASLAM,ETHAN",,,,,,,"MISS JUMPER by HASLAM,ETHAN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
07:18,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",1
07:18,,16 (+4),,12,"GOOD FT by LINK,JACOB",Hend 16-12 (-4),,"GOOD FT by LINK,JACOB",1
07:18,,16 (+3),,13,"GOOD FT by LINK,JACOB",Hend 16-13 (-3),,"GOOD FT by LINK,JACOB",1
07:18,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",1
07:18,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
07:18,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
07:18,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
06:57,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
06:54,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
06:54,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
06:54,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
06:54,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
06:54,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
06:47,"GOOD 3PTR by JONES,DREW",19 (+6),,13,,Berry 19-13 (-6),,"GOOD 3PTR by JONES,DREW",1
--,"ASSIST  by ESTES,DJ",,,,,,,"ASSIST  by ESTES,DJ",1
06:24,,19 (+4),,15,"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 19-15 (-4),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
06:24,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
06:24,,19 (+3),,16,"GOOD FT by STANLEY,SETH",Hend 19-16 (-3),,"GOOD FT by STANLEY,SETH",1
06:24,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
06:24,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
06:10,"MISS 3PTR by MBENOUN,ROB",,,,,,,"MISS 3PTR by MBENOUN,ROB",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
06:03,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
06:03,"BLOCK  by JONES,DREW",,,,,,,"BLOCK  by JONES,DREW",1
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",1
05:40,"TURNOVER  by MBENOUN,ROB",,,,,,,"TURNOVER  by MBENOUN,ROB",1
05:40,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
05:34,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
05:12,"MISS JUMPER by SOWADA,COLLIN",,,,,,,"MISS JUMPER by SOWADA,COLLIN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
04:52,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
04:52,"BLOCK  by HAYNES,CALEB",,,,,,,"BLOCK  by HAYNES,CALEB",1
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",1
04:34,"GOOD LAYUP by HAYNES,CALEB(in the paint)",21 (+5),,16,,Berry 21-16 (-5),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
04:13,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
04:10,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
03:54,"GOOD LAYUP by HAYNES,CALEB(in the paint)",23 (+7),,16,,Berry 23-16 (-7),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,"ASSIST  by JONES,DREW",,,,,,,"ASSIST  by JONES,DREW",1
03:33,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
03:33,"STEAL  by MBENOUN,ROB",,,,,,,"STEAL  by MBENOUN,ROB",1
03:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:08,"MISS JUMPER by MBENOUN,ROB",,,,,,,"MISS JUMPER by MBENOUN,ROB",1
--,"REBOUND OFF by SOWADA,COLLIN",,,,,,,"REBOUND OFF by SOWADA,COLLIN",1
02:58,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:58,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
02:58,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
02:45,,23 (+4),,19,"GOOD 3PTR by STANLEY,SETH",Hend 23-19 (-4),,"GOOD 3PTR by STANLEY,SETH",1
02:18,"GOOD LAYUP by MBENOUN,ROB(in the paint)",25 (+6),,19,,Berry 25-19 (-6),,"GOOD LAYUP by MBENOUN,ROB(in the paint)",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
01:59,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
01:59,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
01:59,"SUB OUT by MBENOUN,ROB",,,,,,,"SUB OUT by MBENOUN,ROB",1
01:30,"TURNOVER  by HASLAM,ETHAN",,,,,,,"TURNOVER  by HASLAM,ETHAN",1
01:14,,25 (+3),,22,"GOOD 3PTR by EATON,JACK",Hend 25-22 (-3),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
00:49,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
00:43,"TURNOVER  by JONES,DREW",,,,,,,"TURNOVER  by JONES,DREW",1
00:43,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
00:43,"FOUL  by SOWADA,COLLIN",,,,,,,"FOUL  by SOWADA,COLLIN",1
00:43,,25 (+2),,23,"GOOD FT by LINK,JACOB",Hend 25-23 (-2),,"GOOD FT by LINK,JACOB",1
00:43,,25 (+1),,24,"GOOD FT by LINK,JACOB",Hend 25-24 (-1),,"GOOD FT by LINK,JACOB",1
00:30,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
00:30,"GOOD FT by HAYNES,CALEB",26 (+2),,24,,Berry 26-24 (-2),,"GOOD FT by HAYNES,CALEB",1
00:30,"MISS FT by HAYNES,CALEB",,,,,,,"MISS FT by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
00:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:00,,26,,26,"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 26-26 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
20:00,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",2
20:00,"SUB OUT by SOWADA,COLLIN",,,,,,,"SUB OUT by SOWADA,COLLIN",2
20:00,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
20:00,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
19:49,,26,,28 (+2),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 26-28 (+2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
19:31,"MISS 3PTR by JOHNSON,MICAH",,,,,,,"MISS 3PTR by JOHNSON,MICAH",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
19:13,"FOUL  by ESTES,DJ",,,,,,,"FOUL  by ESTES,DJ",2
19:08,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",2
18:52,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:52,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
18:52,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
18:41,"GOOD 3PTR by HASLAM,ETHAN",29 (+1),,28,,Berry 29-28 (-1),,"GOOD 3PTR by HASLAM,ETHAN",2
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",2
18:20,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",2
17:57,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
17:52,"MISS LAYUP by HAYNES,CALEB",,,,,,,"MISS LAYUP by HAYNES,CALEB",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
17:43,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
17:29,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
17:22,,29,,30 (+1),"GOOD JUMPER by STANLEY,SETH",Hend 29-30 (+1),,"GOOD JUMPER by STANLEY,SETH",2
17:22,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",2
--,"REBOUND OFF by JOHNSON,MICAH",,,,,,,"REBOUND OFF by JOHNSON,MICAH",2
17:22,"MISS JUMPER by JOHNSON,MICAH",,,,,,,"MISS JUMPER by JOHNSON,MICAH",2
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",2
17:22,"GOOD LAYUP by HAYNES,CALEB(in the paint)",31 (+1),,30,,Berry 31-30 (-1),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
17:22,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
17:22,"STEAL  by HAYNES,CALEB",,,,,,,"STEAL  by HAYNES,CALEB",2
15:45,"MISS 3PTR by ESTES,DJ",,,,,,,"MISS 3PTR by ESTES,DJ",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
15:26,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
15:26,"BLOCK  by JOHNSON,MICAH",,,,,,,"BLOCK  by JOHNSON,MICAH",2
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",2
15:12,"GOOD 3PTR by ESTES,DJ",34 (+4),,30,,Berry 34-30 (-4),,"GOOD 3PTR by ESTES,DJ",2
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",2
14:53,,34 (+1),,33,"GOOD 3PTR by STANLEY,SETH",Hend 34-33 (-1),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
14:37,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
14:37,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
14:37,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",2
14:37,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",2
14:37,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",2
14:37,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",2
14:37,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
14:37,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
14:27,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",36 (+3),,33,,Berry 36-33 (-3),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",2
--,"ASSIST  by BROOKS,AUSTIN",,,,,,,"ASSIST  by BROOKS,AUSTIN",2
14:11,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by ESTES,DJ",,,,,,,"REBOUND DEF by ESTES,DJ",2
13:57,"GOOD DUNK by BROOKS,AUSTIN(in the paint)",38 (+5),,33,,Berry 38-33 (-5),,"GOOD DUNK by BROOKS,AUSTIN(in the paint)",2
--,"ASSIST  by MBENOUN,ROB",,,,,,,"ASSIST  by MBENOUN,ROB",2
13:37,"FOUL  by MBENOUN,ROB",,,,,,,"FOUL  by MBENOUN,ROB",2
13:37,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
13:37,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
