Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,UAFS,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS 3PTR by HALUMS,BRIAN",,,"MISS 3PTR by HALUMS,BRIAN",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
19:33,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HALUMS,BRIAN",,,"REBOUND DEF by HALUMS,BRIAN",1
19:13,,0,,2 (+2),"GOOD LAYUP by WILSON,MATTHEW(in the paint)",UAFS 0-2 (-2),,"GOOD LAYUP by WILSON,MATTHEW(in the paint)",1
18:51,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",1
18:41,,0,,4 (+4),"GOOD JUMPER by WILSON,MATTHEW",UAFS 0-4 (-4),,"GOOD JUMPER by WILSON,MATTHEW",1
--,,,,,"ASSIST  by BOTCHWAY,CHARLES",,,"ASSIST  by BOTCHWAY,CHARLES",1
18:22,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",1
18:05,,0,,6 (+6),"GOOD JUMPER by ROLLINS,CHRIS",UAFS 0-6 (-6),,"GOOD JUMPER by ROLLINS,CHRIS",1
--,,,,,"ASSIST  by BOTCHWAY,CHARLES",,,"ASSIST  by BOTCHWAY,CHARLES",1
17:43,,,,,"FOUL  by BOTCHWAY,CHARLES",,,"FOUL  by BOTCHWAY,CHARLES",1
17:30,"GOOD LAYUP by LINK,JACOB(in the paint)",2,,6 (+4),,Hend 2-6 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
17:09,,,,,"MISS JUMPER by WILSON,MATTHEW",,,"MISS JUMPER by WILSON,MATTHEW",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
17:00,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",1
17:00,,,,,"BLOCK  by MORGAN,MATT",,,"BLOCK  by MORGAN,MATT",1
--,,,,,"REBOUND DEF by WILSON,MATTHEW",,,"REBOUND DEF by WILSON,MATTHEW",1
16:35,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
16:35,,2,,7 (+5),"GOOD FT by ROLLINS,CHRIS",UAFS 2-7 (-5),,"GOOD FT by ROLLINS,CHRIS",1
16:35,,2,,8 (+6),"GOOD FT by ROLLINS,CHRIS",UAFS 2-8 (-6),,"GOOD FT by ROLLINS,CHRIS",1
16:22,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BOTCHWAY,CHARLES",,,"REBOUND DEF by BOTCHWAY,CHARLES",1
16:11,,,,,"MISS LAYUP by HALUMS,BRIAN",,,"MISS LAYUP by HALUMS,BRIAN",1
--,,,,,"REBOUND OFF by HALUMS,BRIAN",,,"REBOUND OFF by HALUMS,BRIAN",1
16:06,,2,,10 (+8),"GOOD LAYUP by HALUMS,BRIAN(in the paint)",UAFS 2-10 (-8),,"GOOD LAYUP by HALUMS,BRIAN(in the paint)",1
15:47,"GOOD 3PTR by STANLEY,SETH",5,,10 (+5),,Hend 5-10 (-5),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
15:23,,,,,"MISS LAYUP by HALUMS,BRIAN",,,"MISS LAYUP by HALUMS,BRIAN",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
15:16,"GOOD 3PTR by LINK,JACOB(fastbreak)",8,,10 (+2),,Hend 8-10 (-2),,"GOOD 3PTR by LINK,JACOB(fastbreak)",1
--,"ASSIST  by II,ROD CUMMINGS",,,,,,,"ASSIST  by II,ROD CUMMINGS",1
14:54,,8,,12 (+4),"GOOD JUMPER by BOTCHWAY,CHARLES",UAFS 8-12 (-4),,"GOOD JUMPER by BOTCHWAY,CHARLES",1
14:29,"GOOD 3PTR by STANLEY,SETH",11,,12 (+1),,Hend 11-12 (-1),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
14:11,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
14:11,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
