Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
16:09,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",1
16:09,,2,,6 (+4),"GOOD FT by FITCH,CARL",Hend 2-6 (+4),,"GOOD FT by FITCH,CARL",1
16:09,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:09,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",1
16:09,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",1
16:09,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
16:09,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
15:54,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
15:46,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
15:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:31,"MISS 3PTR by WILKERSON,CARLOS",,,,,,,"MISS 3PTR by WILKERSON,CARLOS",1
--,"REBOUND OFF by JACKSON,TYLER",,,,,,,"REBOUND OFF by JACKSON,TYLER",1
15:25,"MISS LAYUP by JACKSON,TYLER",,,,,,,"MISS LAYUP by JACKSON,TYLER",1
15:25,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
15:19,,2,,8 (+6),"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",Hend 2-8 (+6),,"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",1
15:04,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
15:04,"GOOD FT by JACKSON,TYLER",3,,8 (+5),,MUW 3-8 (+5),,"GOOD FT by JACKSON,TYLER",1
15:04,"MISS FT by JACKSON,TYLER",,,,,,,"MISS FT by JACKSON,TYLER",1
15:04,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",1
15:04,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
14:42,,3,,10 (+7),"GOOD JUMPER by EATON,JACK(in the paint)",Hend 3-10 (+7),,"GOOD JUMPER by EATON,JACK(in the paint)",1
14:26,"MISS JUMPER by HARRIS,KEITH",,,,,,,"MISS JUMPER by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
14:21,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
