Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:29,,29,,32 (+3),"GOOD FT by II,ROD CUMMINGS",Hend 29-32 (+3),,"GOOD FT by II,ROD CUMMINGS",2
18:18,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
17:56,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",2
17:46,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",2
17:46,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
17:41,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
17:36,,29,,34 (+5),"GOOD LAYUP by LINK,JACOB(in the paint)",Hend 29-34 (+5),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
17:23,"TURNOVER  by HARRIS,KEITH",,,,,,,"TURNOVER  by HARRIS,KEITH",2
17:23,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
17:16,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
17:12,,29,,36 (+7),"GOOD LAYUP by FITCH,CARL(in the paint)",Hend 29-36 (+7),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
17:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:12,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:12,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",2
17:12,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",2
17:04,"MISS JUMPER by PINKSTON,TRE",,,,,,,"MISS JUMPER by PINKSTON,TRE",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
16:55,,29,,39 (+10),"GOOD 3PTR by LINK,JACOB",Hend 29-39 (+10),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
16:40,"GOOD 3PTR by JONES,TAVONTA",32,,39 (+7),,MUW 32-39 (+7),,"GOOD 3PTR by JONES,TAVONTA",2
--,"ASSIST  by PINKSTON,TRE",,,,,,,"ASSIST  by PINKSTON,TRE",2
16:14,,32,,41 (+9),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 32-41 (+9),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
16:03,"TURNOVER  by JONES,TAVONTA",,,,,,,"TURNOVER  by JONES,TAVONTA",2
16:03,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",2
16:03,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",2
15:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",2
15:23,"GOOD JUMPER by PINKSTON,TRE",34,,41 (+7),,MUW 34-41 (+7),,"GOOD JUMPER by PINKSTON,TRE",2
14:59,"FOUL  by WILKERSON,CARLOS",,,,,,,"FOUL  by WILKERSON,CARLOS",2
14:59,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",2
14:59,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",2
14:48,"FOUL  by KIMMONS,BRIEN",,,,,,,"FOUL  by KIMMONS,BRIEN",2
14:44,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",2
14:44,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:44,,34,,42 (+8),"GOOD FT by STANLEY,SETH",Hend 34-42 (+8),,"GOOD FT by STANLEY,SETH",2
14:44,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
14:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
14:29,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",2
14:29,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",2
14:29,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",2
14:29,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",2
14:23,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
14:23,"STEAL  by ZERADJANIN,MILOS",,,,,,,"STEAL  by ZERADJANIN,MILOS",2
14:23,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
14:23,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
14:23,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
14:16,"MISS 3PTR by KIMMONS,BRIEN",,,,,,,"MISS 3PTR by KIMMONS,BRIEN",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
14:04,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
13:57,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
13:53,"MISS JUMPER by PINKSTON,TRE",,,,,,,"MISS JUMPER by PINKSTON,TRE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
13:27,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
13:27,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
13:14,"MISS 3PTR by KIMMONS,BRIEN",,,,,,,"MISS 3PTR by KIMMONS,BRIEN",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
13:07,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
13:05,"FOUL  by JACKSON,TYLER",,,,,,,"FOUL  by JACKSON,TYLER",2
13:05,,34,,43 (+9),"GOOD FT by CONRAD,ALEX",Hend 34-43 (+9),,"GOOD FT by CONRAD,ALEX",2
13:05,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
13:05,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
13:05,"SUB OUT by PINKSTON,TRE",,,,,,,"SUB OUT by PINKSTON,TRE",2
13:05,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
13:05,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
13:05,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
13:05,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",2
12:56,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
12:56,"GOOD FT by ZERADJANIN,MILOS",35,,43 (+8),,MUW 35-43 (+8),,"GOOD FT by ZERADJANIN,MILOS",2
12:56,"GOOD FT by ZERADJANIN,MILOS",36,,43 (+7),,MUW 36-43 (+7),,"GOOD FT by ZERADJANIN,MILOS",2
12:49,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
12:49,"STEAL  by JACKSON,TYLER",,,,,,,"STEAL  by JACKSON,TYLER",2
12:47,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",2
12:41,"MISS LAYUP by JACKSON,TYLER",,,,,,,"MISS LAYUP by JACKSON,TYLER",2
12:41,,,,,"BLOCK  by PHILLIP,ADAM",,,"BLOCK  by PHILLIP,ADAM",2
--,"REBOUND OFF by WILKERSON,CARLOS",,,,,,,"REBOUND OFF by WILKERSON,CARLOS",2
12:41,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",38,,43 (+5),,MUW 38-43 (+5),,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",2
12:41,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
12:41,"FOUL TECH by WILKERSON,CARLOS",,,,,,,"FOUL TECH by WILKERSON,CARLOS",2
12:41,"FOUL  by WILKERSON,CARLOS",,,,,,,"FOUL  by WILKERSON,CARLOS",2
12:41,"TURNOVER  by WILKERSON,CARLOS",,,,,,,"TURNOVER  by WILKERSON,CARLOS",2
12:41,,38,,44 (+6),"GOOD FT by CARTWRIGHT,BROOKS",Hend 38-44 (+6),,"GOOD FT by CARTWRIGHT,BROOKS",2
12:41,,38,,45 (+7),"GOOD FT by CARTWRIGHT,BROOKS",Hend 38-45 (+7),,"GOOD FT by CARTWRIGHT,BROOKS",2
12:41,"GOOD FT by WILKERSON,CARLOS",39,,45 (+6),,MUW 39-45 (+6),,"GOOD FT by WILKERSON,CARLOS",2
12:41,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",2
12:41,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",2
12:41,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
12:41,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
12:25,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",2
12:25,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
12:25,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
12:25,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
12:01,"MISS 3PTR by ZERADJANIN,MILOS",,,,,,,"MISS 3PTR by ZERADJANIN,MILOS",2
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
11:51,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:34,"GOOD LAYUP by JACKSON,TYLER(in the paint)",41,,45 (+4),,MUW 41-45 (+4),,"GOOD LAYUP by JACKSON,TYLER(in the paint)",2
--,"ASSIST  by WILLIAMS,QUIN",,,,,,,"ASSIST  by WILLIAMS,QUIN",2
11:34,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
11:34,"GOOD FT by JACKSON,TYLER",42,,45 (+3),,MUW 42-45 (+3),,"GOOD FT by JACKSON,TYLER",2
11:06,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",2
11:06,,42,,46 (+4),"GOOD FT by STANLEY,SETH",Hend 42-46 (+4),,"GOOD FT by STANLEY,SETH",2
11:06,,42,,47 (+5),"GOOD FT by STANLEY,SETH",Hend 42-47 (+5),,"GOOD FT by STANLEY,SETH",2
10:47,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
10:47,"MISS FT by ZERADJANIN,MILOS",,,,,,,"MISS FT by ZERADJANIN,MILOS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:47,"GOOD FT by ZERADJANIN,MILOS",43,,47 (+4),,MUW 43-47 (+4),,"GOOD FT by ZERADJANIN,MILOS",2
10:22,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,"REBOUND DEF by WILLIAMS,QUIN",,,,,,,"REBOUND DEF by WILLIAMS,QUIN",2
10:00,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
09:37,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",2
09:30,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
09:30,"GOOD FT by WILLIAMS,QUIN",44,,47 (+3),,MUW 44-47 (+3),,"GOOD FT by WILLIAMS,QUIN",2
09:30,"MISS FT by WILLIAMS,QUIN",,,,,,,"MISS FT by WILLIAMS,QUIN",2
09:30,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
09:30,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:57,,44,,49 (+5),"GOOD JUMPER by FITCH,CARL(in the paint)",Hend 44-49 (+5),,"GOOD JUMPER by FITCH,CARL(in the paint)",2
08:44,"MISS JUMPER by MOULTRIE,JONTE",,,,,,,"MISS JUMPER by MOULTRIE,JONTE",2
--,"REBOUND OFF by MOULTRIE,JONTE",,,,,,,"REBOUND OFF by MOULTRIE,JONTE",2
08:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:29,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
08:29,"GOOD FT by JACKSON,TYLER",45,,49 (+4),,MUW 45-49 (+4),,"GOOD FT by JACKSON,TYLER",2
08:29,"GOOD FT by JACKSON,TYLER",46,,49 (+3),,MUW 46-49 (+3),,"GOOD FT by JACKSON,TYLER",2
08:29,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
08:29,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
08:26,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
08:26,"STEAL  by JACKSON,TYLER",,,,,,,"STEAL  by JACKSON,TYLER",2
08:17,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",2
08:17,,46,,50 (+4),"GOOD FT by STANLEY,SETH",Hend 46-50 (+4),,"GOOD FT by STANLEY,SETH",2
08:17,,46,,51 (+5),"GOOD FT by STANLEY,SETH",Hend 46-51 (+5),,"GOOD FT by STANLEY,SETH",2
08:15,"GOOD 3PTR by KIMMONS,BRIEN",49,,51 (+2),,MUW 49-51 (+2),,"GOOD 3PTR by KIMMONS,BRIEN",2
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",2
08:14,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",51,,51,,MUW 51-51 (0),,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",2
07:36,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:33,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
07:33,"BLOCK  by JACKSON,TYLER",,,,,,,"BLOCK  by JACKSON,TYLER",2
--,"REBOUND DEF by WILLIAMS,QUIN",,,,,,,"REBOUND DEF by WILLIAMS,QUIN",2
07:20,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:11,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",2
07:11,,51,,52 (+1),"GOOD FT by STANLEY,SETH",Hend 51-52 (+1),,"GOOD FT by STANLEY,SETH",2
07:11,,51,,53 (+2),"GOOD FT by STANLEY,SETH",Hend 51-53 (+2),,"GOOD FT by STANLEY,SETH",2
07:11,"SUB IN by PINKSTON,TRE",,,,,,,"SUB IN by PINKSTON,TRE",2
07:11,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
06:47,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
06:47,"MISS FT by WILLIAMS,QUIN",,,,,,,"MISS FT by WILLIAMS,QUIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:47,"GOOD FT by WILLIAMS,QUIN",52,,53 (+1),,MUW 52-53 (+1),,"GOOD FT by WILLIAMS,QUIN",2
06:26,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
06:26,"STEAL  by PINKSTON,TRE",,,,,,,"STEAL  by PINKSTON,TRE",2
06:22,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
06:22,"MISS FT by PINKSTON,TRE",,,,,,,"MISS FT by PINKSTON,TRE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:22,"GOOD FT by PINKSTON,TRE",53,,53,,MUW 53-53 (0),,"GOOD FT by PINKSTON,TRE",2
06:22,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
06:22,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
05:51,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by WILLIAMS,QUIN",,,,,,,"REBOUND DEF by WILLIAMS,QUIN",2
05:49,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
05:49,"MISS FT by WILLIAMS,QUIN",,,,,,,"MISS FT by WILLIAMS,QUIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:49,"MISS FT by WILLIAMS,QUIN",,,,,,,"MISS FT by WILLIAMS,QUIN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
05:25,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:22,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",2
05:22,"SUB OUT by WILLIAMS,QUIN",,,,,,,"SUB OUT by WILLIAMS,QUIN",2
05:20,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",2
05:20,,53,,54 (+1),"GOOD FT by CONRAD,ALEX",Hend 53-54 (+1),,"GOOD FT by CONRAD,ALEX",2
05:20,,53,,55 (+2),"GOOD FT by CONRAD,ALEX",Hend 53-55 (+2),,"GOOD FT by CONRAD,ALEX",2
04:50,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
04:35,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by JACKSON,TYLER",,,,,,,"REBOUND DEF by JACKSON,TYLER",2
04:34,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",2
04:34,"MISS FT by JACKSON,TYLER",,,,,,,"MISS FT by JACKSON,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:34,"GOOD FT by JACKSON,TYLER",54,,55 (+1),,MUW 54-55 (+1),,"GOOD FT by JACKSON,TYLER",2
04:11,,54,,57 (+3),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 54-57 (+3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
03:58,"GOOD 3PTR by JACKSON,TYLER",57,,57,,MUW 57-57 (0),,"GOOD 3PTR by JACKSON,TYLER",2
--,"ASSIST  by PINKSTON,TRE",,,,,,,"ASSIST  by PINKSTON,TRE",2
03:40,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
03:39,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",2
03:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:39,,57,,58 (+1),"GOOD FT by LINK,JACOB",Hend 57-58 (+1),,"GOOD FT by LINK,JACOB",2
03:39,,57,,59 (+2),"GOOD FT by LINK,JACOB",Hend 57-59 (+2),,"GOOD FT by LINK,JACOB",2
03:39,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
03:39,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
03:39,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
03:39,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
03:20,"TURNOVER  by KIMMONS,BRIEN",,,,,,,"TURNOVER  by KIMMONS,BRIEN",2
03:20,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
03:15,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
03:11,,57,,61 (+4),"GOOD LAYUP by FITCH,CARL(in the paint)",Hend 57-61 (+4),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
03:11,"FOUL  by MOULTRIE,JONTE",,,,,,,"FOUL  by MOULTRIE,JONTE",2
03:11,,57,,62 (+5),"GOOD FT by FITCH,CARL",Hend 57-62 (+5),,"GOOD FT by FITCH,CARL",2
03:02,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",2
03:02,"TURNOVER  by HARRIS,KEITH",,,,,,,"TURNOVER  by HARRIS,KEITH",2
03:02,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
03:02,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",2
03:02,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",2
03:02,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",2
02:42,,57,,64 (+7),"GOOD LAYUP by LINK,JACOB(in the paint)",Hend 57-64 (+7),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
02:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:28,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",2
--,"REBOUND OFF by JACKSON,TYLER",,,,,,,"REBOUND OFF by JACKSON,TYLER",2
02:22,"GOOD LAYUP by JACKSON,TYLER(in the paint)",59,,64 (+5),,MUW 59-64 (+5),,"GOOD LAYUP by JACKSON,TYLER(in the paint)",2
02:13,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",2
02:13,,59,,65 (+6),"GOOD FT by EATON,JACK",Hend 59-65 (+6),,"GOOD FT by EATON,JACK",2
02:13,,59,,66 (+7),"GOOD FT by EATON,JACK",Hend 59-66 (+7),,"GOOD FT by EATON,JACK",2
02:05,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
02:05,"GOOD FT by ZERADJANIN,MILOS",60,,66 (+6),,MUW 60-66 (+6),,"GOOD FT by ZERADJANIN,MILOS",2
02:05,"GOOD FT by ZERADJANIN,MILOS",61,,66 (+5),,MUW 61-66 (+5),,"GOOD FT by ZERADJANIN,MILOS",2
02:05,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
02:05,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
01:39,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
01:23,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
01:18,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,"REBOUND DEF by JACKSON,TYLER",,,,,,,"REBOUND DEF by JACKSON,TYLER",2
01:13,"GOOD JUMPER by JACKSON,TYLER(fastbreak)(in the paint)",63,,66 (+3),,MUW 63-66 (+3),,"GOOD JUMPER by JACKSON,TYLER(fastbreak)(in the paint)",2
01:13,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
01:13,"MISS FT by JACKSON,TYLER",,,,,,,"MISS FT by JACKSON,TYLER",2
01:13,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",2
01:13,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",2
01:13,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
01:13,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
01:02,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",2
01:02,,63,,67 (+4),"GOOD FT by CARTWRIGHT,BROOKS",Hend 63-67 (+4),,"GOOD FT by CARTWRIGHT,BROOKS",2
01:02,,63,,68 (+5),"GOOD FT by CARTWRIGHT,BROOKS",Hend 63-68 (+5),,"GOOD FT by CARTWRIGHT,BROOKS",2
00:53,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",2
--,"REBOUND OFF by HINES,JAQUAN",,,,,,,"REBOUND OFF by HINES,JAQUAN",2
00:48,"MISS 3PTR by ZERADJANIN,MILOS",,,,,,,"MISS 3PTR by ZERADJANIN,MILOS",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
00:45,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",2
