Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
19:35,"MISS LAYUP by COMAN,SEAN(in the paint)",,,,,,,"MISS LAYUP by COMAN,SEAN(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:24,,,,,"FOUL  by GRAY,JORDAN",,,"FOUL  by GRAY,JORDAN",1
19:24,"GOOD FT by COMAN,SEAN(fastbreak)",1 (+1),,0,,Hend 1-0 (+1),,"GOOD FT by COMAN,SEAN(fastbreak)",1
19:24,"MISS FT by COMAN,SEAN(fastbreak)",,,,,,,"MISS FT by COMAN,SEAN(fastbreak)",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
19:07,,1,,2 (+1),"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 1-2 (-1),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
18:48,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
18:43,"GOOD LAYUP by LINK,JACOB(in the paint)",3 (+1),,2,,Hend 3-2 (+1),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
18:32,,3,,5 (+2),"GOOD 3PTR by GRAY,JORDAN",ETBU 3-5 (-2),,"GOOD 3PTR by GRAY,JORDAN",1
--,,,,,"ASSIST  by HAYNES,CHRIS",,,"ASSIST  by HAYNES,CHRIS",1
18:04,,,,,"FOUL  by RIDDICK,WESTIN",,,"FOUL  by RIDDICK,WESTIN",1
17:50,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
17:50,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",1
17:45,,,,,"MISS LAYUP by BROWN,LANDIN(in the paint)",,,"MISS LAYUP by BROWN,LANDIN(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:32,,,,,"MISS LAYUP by DOOLEY,ROBBY(in the paint)",,,"MISS LAYUP by DOOLEY,ROBBY(in the paint)",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
17:28,,,,,"TURNOVER  by BROWN,LANDIN",,,"TURNOVER  by BROWN,LANDIN",1
17:20,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
17:20,,,,,"STEAL  by HAYNES,CHRIS",,,"STEAL  by HAYNES,CHRIS",1
17:14,,,,,"MISS LAYUP by HAYNES,CHRIS(in the paint)",,,"MISS LAYUP by HAYNES,CHRIS(in the paint)",1
17:14,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND OFF by DOOLEY,ROBBY",,,"REBOUND OFF by DOOLEY,ROBBY",1
17:04,,3,,7 (+4),"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 3-7 (-4),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
16:41,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
16:29,,3,,10 (+7),"GOOD 3PTR by GRAY,JORDAN",ETBU 3-10 (-7),,"GOOD 3PTR by GRAY,JORDAN",1
--,,,,,"ASSIST  by RIDDICK,WESTIN",,,"ASSIST  by RIDDICK,WESTIN",1
16:08,"TURNOVER  by II,ROD CUMMINGS,",,,,,,,"TURNOVER  by II,ROD CUMMINGS,",1
16:08,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
16:08,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
15:57,,,,,"MISS LAYUP by GRAY,JORDAN(in the paint)",,,"MISS LAYUP by GRAY,JORDAN(in the paint)",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
15:48,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
15:48,,,,,"STEAL  by DOOLEY,ROBBY",,,"STEAL  by DOOLEY,ROBBY",1
15:41,,3,,13 (+10),"GOOD 3PTR by GRAY,JORDAN(fastbreak)",ETBU 3-13 (-10),,"GOOD 3PTR by GRAY,JORDAN(fastbreak)",1
--,,,,,"ASSIST  by HAYNES,CHRIS",,,"ASSIST  by HAYNES,CHRIS",1
15:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:09,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
14:55,,,,,"MISS 3PTR by GRAY,JORDAN",,,"MISS 3PTR by GRAY,JORDAN",1
--,,,,,"REBOUND OFF by HAYNES,CHRIS",,,"REBOUND OFF by HAYNES,CHRIS",1
14:50,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
14:50,,3,,14 (+11),"GOOD FT by HAYNES,CHRIS",ETBU 3-14 (-11),,"GOOD FT by HAYNES,CHRIS",1
14:50,,3,,15 (+12),"GOOD FT by HAYNES,CHRIS",ETBU 3-15 (-12),,"GOOD FT by HAYNES,CHRIS",1
14:41,"MISS LAYUP by STANLEY,SETH(in the paint)",,,,,,,"MISS LAYUP by STANLEY,SETH(in the paint)",1
14:41,,,,,"BLOCK  by RIDDICK,WESTIN",,,"BLOCK  by RIDDICK,WESTIN",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
14:33,,,,,"TURNOVER  by DOOLEY,ROBBY",,,"TURNOVER  by DOOLEY,ROBBY",1
14:33,"STEAL  by CARTWRIGHT,BROOKS",,,,,,,"STEAL  by CARTWRIGHT,BROOKS",1
14:25,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
14:20,,,,,"TURNOVER  by BROWN,LANDIN",,,"TURNOVER  by BROWN,LANDIN",1
14:20,,,,,"SUB OUT by RIDDICK,WESTIN",,,"SUB OUT by RIDDICK,WESTIN",1
14:20,,,,,"SUB OUT by DOOLEY,ROBBY",,,"SUB OUT by DOOLEY,ROBBY",1
14:20,,,,,"SUB IN by COLLINS,COLTON",,,"SUB IN by COLLINS,COLTON",1
14:20,,,,,"SUB IN by CONNER,JADEN",,,"SUB IN by CONNER,JADEN",1
14:14,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
14:14,,,,,"STEAL  by GRAY,JORDAN",,,"STEAL  by GRAY,JORDAN",1
14:05,,3,,18 (+15),"GOOD 3PTR by CONNER,JADEN",ETBU 3-18 (-15),,"GOOD 3PTR by CONNER,JADEN",1
--,,,,,"ASSIST  by HAYNES,CHRIS",,,"ASSIST  by HAYNES,CHRIS",1
13:40,"GOOD 3PTR by COMAN,SEAN",6,,18 (+12),,Hend 6-18 (-12),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
13:24,,,,,"MISS LAYUP by HAYNES,CHRIS(in the paint)",,,"MISS LAYUP by HAYNES,CHRIS(in the paint)",1
--,,,,,"REBOUND OFF by HAYNES,CHRIS",,,"REBOUND OFF by HAYNES,CHRIS",1
13:19,,,,,"TURNOVER  by HAYNES,CHRIS",,,"TURNOVER  by HAYNES,CHRIS",1
13:19,"STEAL  by CARTWRIGHT,BROOKS",,,,,,,"STEAL  by CARTWRIGHT,BROOKS",1
13:12,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
