Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
12:29,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
12:29,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
12:29,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
12:29,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
12:20,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
12:19,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
12:19,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
12:13,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
12:13,"GOOD FT by CRUMP,DAWSON",7,,8 (+1),,CENTRE 7-8 (+1),,"GOOD FT by CRUMP,DAWSON",1
12:13,"GOOD FT by CRUMP,DAWSON",8,,8,,CENTRE 8-8 (0),,"GOOD FT by CRUMP,DAWSON",1
12:13,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
12:13,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
12:13,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
12:13,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
11:57,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
11:57,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:57,,8,,9 (+1),"GOOD FT by STANLEY,SETH",HENDRIXM 8-9 (+1),,"GOOD FT by STANLEY,SETH",1
11:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:57,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
11:48,"GOOD JUMPER by RAKES,BAILEY",10 (+1),,9,,CENTRE 10-9 (-1),,"GOOD JUMPER by RAKES,BAILEY",1
11:40,,10,,12 (+2),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 10-12 (+2),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
11:22,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",12,,12,,CENTRE 12-12 (0),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
11:10,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
11:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:10,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
11:10,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
11:01,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
10:55,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
10:55,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
10:55,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
10:55,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
10:40,,12,,14 (+2),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 12-14 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
10:27,"GOOD 3PTR by CRUMP,DAWSON",15 (+1),,14,,CENTRE 15-14 (-1),,"GOOD 3PTR by CRUMP,DAWSON",1
10:18,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
