Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
19:44,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
19:38,"MISS LAYUP by FERRELL,XAVIER",,,,,,,"MISS LAYUP by FERRELL,XAVIER",1
19:38,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",1
19:19,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
19:19,"STEAL  by WEBER,JALEN",,,,,,,"STEAL  by WEBER,JALEN",1
19:07,"MISS LAYUP by FERRELL,XAVIER",,,,,,,"MISS LAYUP by FERRELL,XAVIER",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:44,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
18:39,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
18:21,,0,,2 (+2),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 0-2 (+2),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
18:03,"GOOD 3PTR by WEBER,JALEN",3 (+1),,2,,UTD 3-2 (-1),,"GOOD 3PTR by WEBER,JALEN",1
--,"ASSIST  by FERRELL,XAVIER",,,,,,,"ASSIST  by FERRELL,XAVIER",1
17:44,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
17:21,"GOOD LAYUP by WEBER,JALEN(in the paint)",5 (+3),,2,,UTD 5-2 (-3),,"GOOD LAYUP by WEBER,JALEN(in the paint)",1
17:07,,5,,5,"GOOD 3PTR by COMAN,SEAN",HENDRIXM 5-5 (0),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
16:47,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
16:42,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",1
16:30,,5,,7 (+2),"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",HENDRIXM 5-7 (+2),,"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",1
16:14,"MISS 3PTR by BURWITZ,HANS",,,,,,,"MISS 3PTR by BURWITZ,HANS",1
--,"REBOUND OFF by PRUITT,KELDEN",,,,,,,"REBOUND OFF by PRUITT,KELDEN",1
