Time Remaining,BBC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by STANISLAS,ELIJAH",,,,,,,"SUB IN by STANISLAS,ELIJAH",1
20:00,"SUB IN by MINTON,TRE",,,,,,,"SUB IN by MINTON,TRE",1
20:00,"SUB IN by MEINDERS,DAWSOM",,,,,,,"SUB IN by MEINDERS,DAWSOM",1
20:00,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",1
20:00,"SUB IN by BAKER,HUNTER",,,,,,,"SUB IN by BAKER,HUNTER",1
20:00,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
20:00,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
20:00,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
20:00,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
20:00,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
19:50,"FOUL  by FLOWERS,TRE",,,,,,,"FOUL  by FLOWERS,TRE",1
19:36,,0,,2 (+2),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 0-2 (+2),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
19:11,"TURNOVER  by FLOWERS,TRE",,,,,,,"TURNOVER  by FLOWERS,TRE",1
19:09,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
19:06,"FOUL  by FLOWERS,TRE",,,,,,,"FOUL  by FLOWERS,TRE",1
19:06,,0,,3 (+3),"GOOD FT by FITCH,CARL",HENDRIXM 0-3 (+3),,"GOOD FT by FITCH,CARL",1
19:06,,0,,4 (+4),"GOOD FT by FITCH,CARL",HENDRIXM 0-4 (+4),,"GOOD FT by FITCH,CARL",1
19:06,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",1
19:06,"SUB OUT by FLOWERS,TRE",,,,,,,"SUB OUT by FLOWERS,TRE",1
18:50,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
18:41,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
18:41,"STEAL  by BAKER,HUNTER",,,,,,,"STEAL  by BAKER,HUNTER",1
18:29,"MISS LAYUP by STANISLAS,ELIJAH",,,,,,,"MISS LAYUP by STANISLAS,ELIJAH",1
18:29,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
18:14,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by MINTON,TRE",,,,,,,"REBOUND DEF by MINTON,TRE",1
17:55,"MISS JUMPER by MINTON,TRE",,,,,,,"MISS JUMPER by MINTON,TRE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
17:48,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:31,,0,,7 (+7),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 0-7 (+7),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
17:22,"GOOD JUMPER by STANISLAS,ELIJAH(in the paint)",2,,7 (+5),,BBC 2-7 (+5),,"GOOD JUMPER by STANISLAS,ELIJAH(in the paint)",1
--,"ASSIST  by MCCONE,SEAN",,,,,,,"ASSIST  by MCCONE,SEAN",1
17:09,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BAKER,HUNTER",,,,,,,"REBOUND DEF by BAKER,HUNTER",1
17:00,"MISS 3PTR by MEINDERS,DAWSOM",,,,,,,"MISS 3PTR by MEINDERS,DAWSOM",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
16:53,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by STANISLAS,ELIJAH",,,,,,,"REBOUND DEF by STANISLAS,ELIJAH",1
16:45,"MISS LAYUP by MINTON,TRE",,,,,,,"MISS LAYUP by MINTON,TRE",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
16:16,"FOUL  by MEINDERS,DAWSOM",,,,,,,"FOUL  by MEINDERS,DAWSOM",1
16:14,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
16:14,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
16:14,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
15:48,"GOOD LAYUP by BAKER,HUNTER(in the paint)",4,,7 (+3),,BBC 4-7 (+3),,"GOOD LAYUP by BAKER,HUNTER(in the paint)",1
15:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:15,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
15:14,"MISS JUMPER by MCCONE,SEAN",,,,,,,"MISS JUMPER by MCCONE,SEAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:11,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
15:11,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",1
15:00,"GOOD JUMPER by CARTER,BRANDON",6,,7 (+1),,BBC 6-7 (+1),,"GOOD JUMPER by CARTER,BRANDON",1
--,"ASSIST  by MCCONE,SEAN",,,,,,,"ASSIST  by MCCONE,SEAN",1
14:37,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
14:35,"SUB IN by CARTER,BRANDON",,,,,,,"SUB IN by CARTER,BRANDON",1
14:35,"SUB OUT by STANISLAS,ELIJAH",,,,,,,"SUB OUT by STANISLAS,ELIJAH",1
14:35,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
14:35,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
14:27,"MISS 3PTR by STANTON,GAVIN",,,,,,,"MISS 3PTR by STANTON,GAVIN",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
14:02,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
13:49,"MISS 3PTR by MINTON,TRE",,,,,,,"MISS 3PTR by MINTON,TRE",1
