Time Remaining,LC,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
16:33,,6,,7 (+1),"GOOD 3PTR by STANLEY,SETH",Hend 6-7 (+1),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
16:15,"MISS JUMPER by BAKER,KAE'RON",,,,,,,"MISS JUMPER by BAKER,KAE'RON",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
16:10,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
15:51,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by AMES,TREY",,,,,,,"REBOUND DEF by AMES,TREY",1
15:28,"MISS JUMPER by BAKER,KAE'RON",,,,,,,"MISS JUMPER by BAKER,KAE'RON",1
--,"REBOUND OFF by BAKER,KAE'RON",,,,,,,"REBOUND OFF by BAKER,KAE'RON",1
15:17,"TURNOVER  by BAKER,KAE'RON",,,,,,,"TURNOVER  by BAKER,KAE'RON",1
15:17,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
15:14,,6,,9 (+3),"GOOD DUNK by STANLEY,SETH(fastbreak)(in the paint)",Hend 6-9 (+3),,"GOOD DUNK by STANLEY,SETH(fastbreak)(in the paint)",1
15:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:08,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:59,"SUB IN by HOWE,CALEB",,,,,,,"SUB IN by HOWE,CALEB",1
14:59,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",1
14:59,"SUB IN by RHONE,JAYLEN",,,,,,,"SUB IN by RHONE,JAYLEN",1
14:59,"SUB OUT by AMES,TREY",,,,,,,"SUB OUT by AMES,TREY",1
14:59,"SUB OUT by BAKER,KAE'RON",,,,,,,"SUB OUT by BAKER,KAE'RON",1
14:59,"SUB OUT by MURPHY,CJ",,,,,,,"SUB OUT by MURPHY,CJ",1
14:59,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
14:59,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
14:59,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
14:59,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
14:50,"GOOD LAYUP by BROUSSARD,KEANDRE(in the paint)",8,,9 (+1),,LC 8-9 (+1),,"GOOD LAYUP by BROUSSARD,KEANDRE(in the paint)",1
14:37,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by BLAKES,LOUIS",,,,,,,"REBOUND DEF by BLAKES,LOUIS",1
14:33,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
14:19,"GOOD JUMPER by BLAKES,LOUIS(in the paint)",10 (+1),,9,,LC 10-9 (-1),,"GOOD JUMPER by BLAKES,LOUIS(in the paint)",1
14:11,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by BILBO,KJ",,,,,,,"REBOUND DEF by BILBO,KJ",1
13:50,"GOOD JUMPER by BILBO,KJ(in the paint)",12 (+3),,9,,LC 12-9 (-3),,"GOOD JUMPER by BILBO,KJ(in the paint)",1
13:25,,12 (+1),,11,"GOOD JUMPER by FITCH,CARL(in the paint)",Hend 12-11 (-1),,"GOOD JUMPER by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
13:05,"GOOD 3PTR by RHONE,JAYLEN",15 (+4),,11,,LC 15-11 (-4),,"GOOD 3PTR by RHONE,JAYLEN",1
--,"ASSIST  by BROUSSARD,KEANDRE",,,,,,,"ASSIST  by BROUSSARD,KEANDRE",1
12:52,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
12:52,"SUB IN by BAKER,KAE'RON",,,,,,,"SUB IN by BAKER,KAE'RON",1
12:52,"SUB IN by MURPHY,CJ",,,,,,,"SUB IN by MURPHY,CJ",1
12:52,"SUB OUT by BROUSSARD,KEANDRE",,,,,,,"SUB OUT by BROUSSARD,KEANDRE",1
12:52,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",1
12:52,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
12:52,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
12:42,"GOOD 3PTR by HOWE,CALEB",18 (+7),,11,,LC 18-11 (-7),,"GOOD 3PTR by HOWE,CALEB",1
--,"ASSIST  by BAKER,KAE'RON",,,,,,,"ASSIST  by BAKER,KAE'RON",1
12:16,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",1
11:52,"GOOD JUMPER by BILBO,KJ(in the paint)",20 (+9),,11,,LC 20-11 (-9),,"GOOD JUMPER by BILBO,KJ(in the paint)",1
11:52,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
11:52,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:52,"GOOD FT by BILBO,KJ",21 (+10),,11,,LC 21-11 (-10),,"GOOD FT by BILBO,KJ",1
11:52,"SUB IN by AMES,TREY",,,,,,,"SUB IN by AMES,TREY",1
11:52,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",1
11:52,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
11:52,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
11:30,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",1
11:10,"MISS JUMPER by BAKER,KAE'RON",,,,,,,"MISS JUMPER by BAKER,KAE'RON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
10:55,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:52,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",1
10:52,"SUB OUT by HOWE,CALEB",,,,,,,"SUB OUT by HOWE,CALEB",1
10:32,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",1
10:17,"MISS 3PTR by BAKER,KAE'RON",,,,,,,"MISS 3PTR by BAKER,KAE'RON",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:09,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
10:09,"STEAL  by BLAKES,LOUIS",,,,,,,"STEAL  by BLAKES,LOUIS",1
10:04,"GOOD LAYUP by BLAKES,LOUIS(fastbreak)(in the paint)",23 (+12),,11,,LC 23-11 (-12),,"GOOD LAYUP by BLAKES,LOUIS(fastbreak)(in the paint)",1
09:57,,23 (+9),,14,"GOOD 3PTR by COMAN,SEAN",Hend 23-14 (-9),,"GOOD 3PTR by COMAN,SEAN",1
09:29,"GOOD LAYUP by AMES,TREY(in the paint)",25 (+11),,14,,LC 25-14 (-11),,"GOOD LAYUP by AMES,TREY(in the paint)",1
--,"ASSIST  by BLAKES,LOUIS",,,,,,,"ASSIST  by BLAKES,LOUIS",1
09:11,"FOUL  by BLAKES,LOUIS",,,,,,,"FOUL  by BLAKES,LOUIS",1
09:11,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",1
09:11,"SUB IN by CALAIS,DONALD",,,,,,,"SUB IN by CALAIS,DONALD",1
09:11,"SUB IN by BROUSSARD,KEANDRE",,,,,,,"SUB IN by BROUSSARD,KEANDRE",1
09:11,"SUB OUT by AMES,TREY",,,,,,,"SUB OUT by AMES,TREY",1
09:11,"SUB OUT by BAKER,KAE'RON",,,,,,,"SUB OUT by BAKER,KAE'RON",1
09:11,"SUB OUT by MURPHY,CJ",,,,,,,"SUB OUT by MURPHY,CJ",1
09:03,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
08:48,"FOUL  by BLAKES,LOUIS",,,,,,,"FOUL  by BLAKES,LOUIS",1
08:48,"TURNOVER  by BLAKES,LOUIS",,,,,,,"TURNOVER  by BLAKES,LOUIS",1
08:48,"SUB IN by HOWE,CALEB",,,,,,,"SUB IN by HOWE,CALEB",1
08:48,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",1
08:38,"FOUL  by CALAIS,DONALD",,,,,,,"FOUL  by CALAIS,DONALD",1
08:38,,25 (+10),,15,"GOOD FT by CONRAD,ALEX",Hend 25-15 (-10),,"GOOD FT by CONRAD,ALEX",1
08:38,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by RHONE,JAYLEN",,,,,,,"REBOUND DEF by RHONE,JAYLEN",1
08:25,"MISS 3PTR by RHONE,JAYLEN",,,,,,,"MISS 3PTR by RHONE,JAYLEN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
08:17,,25 (+7),,18,"GOOD 3PTR by COMAN,SEAN(fastbreak)",Hend 25-18 (-7),,"GOOD 3PTR by COMAN,SEAN(fastbreak)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
07:53,"GOOD JUMPER by BILBO,KJ(in the paint)",27 (+9),,18,,LC 27-18 (-9),,"GOOD JUMPER by BILBO,KJ(in the paint)",1
07:26,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:26,"FOUL  by CALAIS,DONALD",,,,,,,"FOUL  by CALAIS,DONALD",1
07:26,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:26,,27 (+8),,19,"GOOD FT by CONRAD,ALEX",Hend 27-19 (-8),,"GOOD FT by CONRAD,ALEX",1
07:26,"SUB IN by MURPHY,CJ",,,,,,,"SUB IN by MURPHY,CJ",1
07:26,"SUB OUT by BROUSSARD,KEANDRE",,,,,,,"SUB OUT by BROUSSARD,KEANDRE",1
07:22,"GOOD 3PTR by BAKER,KAE'RON",30 (+11),,19,,LC 30-19 (-11),,"GOOD 3PTR by BAKER,KAE'RON",1
07:03,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BAKER,KAE'RON",,,,,,,"REBOUND DEF by BAKER,KAE'RON",1
06:51,"GOOD LAYUP by MURPHY,CJ(in the paint)",32 (+13),,19,,LC 32-19 (-13),,"GOOD LAYUP by MURPHY,CJ(in the paint)",1
06:45,"SUB IN by BAKER,KAE'RON",,,,,,,"SUB IN by BAKER,KAE'RON",1
06:45,"SUB OUT by RHONE,JAYLEN",,,,,,,"SUB OUT by RHONE,JAYLEN",1
06:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:30,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
06:30,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
06:30,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
06:30,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
06:26,,32 (+11),,21,"GOOD JUMPER by II,ROD CUMMINGS",Hend 32-21 (-11),,"GOOD JUMPER by II,ROD CUMMINGS",1
06:19,"TURNOVER  by BAKER,KAE'RON",,,,,,,"TURNOVER  by BAKER,KAE'RON",1
06:19,"SUB IN by BROUSSARD,KEANDRE",,,,,,,"SUB IN by BROUSSARD,KEANDRE",1
06:19,"SUB IN by AMES,TREY",,,,,,,"SUB IN by AMES,TREY",1
06:19,"SUB IN by RHONE,JAYLEN",,,,,,,"SUB IN by RHONE,JAYLEN",1
06:19,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",1
06:19,"SUB OUT by HOWE,CALEB",,,,,,,"SUB OUT by HOWE,CALEB",1
06:19,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",1
06:19,"SUB OUT by CALAIS,DONALD",,,,,,,"SUB OUT by CALAIS,DONALD",1
06:19,"SUB OUT by MURPHY,CJ",,,,,,,"SUB OUT by MURPHY,CJ",1
06:12,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
06:12,"STEAL  by BLAKES,LOUIS",,,,,,,"STEAL  by BLAKES,LOUIS",1
05:56,"FOUL  by BROUSSARD,KEANDRE",,,,,,,"FOUL  by BROUSSARD,KEANDRE",1
05:56,"TURNOVER  by BROUSSARD,KEANDRE",,,,,,,"TURNOVER  by BROUSSARD,KEANDRE",1
05:31,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
05:31,"STEAL  by BROUSSARD,KEANDRE",,,,,,,"STEAL  by BROUSSARD,KEANDRE",1
05:02,"GOOD 3PTR by BAKER,KAE'RON",35 (+14),,21,,LC 35-21 (-14),,"GOOD 3PTR by BAKER,KAE'RON",1
--,"ASSIST  by BLAKES,LOUIS",,,,,,,"ASSIST  by BLAKES,LOUIS",1
04:49,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by AMES,TREY",,,,,,,"REBOUND DEF by AMES,TREY",1
04:37,"GOOD JUMPER by AMES,TREY(in the paint)",37 (+16),,21,,LC 37-21 (-16),,"GOOD JUMPER by AMES,TREY(in the paint)",1
--,"ASSIST  by BAKER,KAE'RON",,,,,,,"ASSIST  by BAKER,KAE'RON",1
04:23,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:17,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
04:17,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
04:09,,37 (+13),,24,"GOOD 3PTR by COMAN,SEAN",Hend 37-24 (-13),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
03:50,"GOOD JUMPER by AMES,TREY",39 (+15),,24,,LC 39-24 (-15),,"GOOD JUMPER by AMES,TREY",1
03:33,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by RHONE,JAYLEN",,,,,,,"REBOUND DEF by RHONE,JAYLEN",1
03:19,"TURNOVER  by AMES,TREY",,,,,,,"TURNOVER  by AMES,TREY",1
03:19,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
03:15,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HOWE,CALEB",,,,,,,"REBOUND DEF by HOWE,CALEB",1
03:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:09,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:09,"SUB IN by CUTRIGHT,LADARIUS",,,,,,,"SUB IN by CUTRIGHT,LADARIUS",1
03:09,"SUB IN by HOWE,CALEB",,,,,,,"SUB IN by HOWE,CALEB",1
03:09,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",1
03:09,"SUB OUT by AMES,TREY",,,,,,,"SUB OUT by AMES,TREY",1
03:09,"SUB OUT by BAKER,KAE'RON",,,,,,,"SUB OUT by BAKER,KAE'RON",1
03:09,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",1
02:45,"TURNOVER  by BILBO,KJ",,,,,,,"TURNOVER  by BILBO,KJ",1
02:34,,39 (+13),,26,"GOOD JUMPER by STANLEY,SETH(in the paint)",Hend 39-26 (-13),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
02:34,"FOUL  by BILBO,KJ",,,,,,,"FOUL  by BILBO,KJ",1
02:34,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by BILBO,KJ",,,,,,,"REBOUND DEF by BILBO,KJ",1
02:21,"GOOD JUMPER by RHONE,JAYLEN",41 (+15),,26,,LC 41-26 (-15),,"GOOD JUMPER by RHONE,JAYLEN",1
02:11,"FOUL  by CUTRIGHT,LADARIUS",,,,,,,"FOUL  by CUTRIGHT,LADARIUS",1
02:11,,41 (+14),,27,"GOOD FT by EATON,JACK",Hend 41-27 (-14),,"GOOD FT by EATON,JACK",1
02:11,,41 (+13),,28,"GOOD FT by EATON,JACK",Hend 41-28 (-13),,"GOOD FT by EATON,JACK",1
01:52,"MISS JUMPER by RHONE,JAYLEN",,,,,,,"MISS JUMPER by RHONE,JAYLEN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:41,,41 (+10),,31,"GOOD 3PTR by COMAN,SEAN",Hend 41-31 (-10),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
01:17,"MISS LAYUP by BILBO,KJ",,,,,,,"MISS LAYUP by BILBO,KJ",1
01:17,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
01:04,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND DEF by BROUSSARD,KEANDRE",,,,,,,"REBOUND DEF by BROUSSARD,KEANDRE",1
01:03,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
01:03,"SUB IN by BAKER,KAE'RON",,,,,,,"SUB IN by BAKER,KAE'RON",1
01:03,"SUB OUT by CUTRIGHT,LADARIUS",,,,,,,"SUB OUT by CUTRIGHT,LADARIUS",1
01:03,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
01:03,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
00:52,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
00:52,"MISS FT by BILBO,KJ",,,,,,,"MISS FT by BILBO,KJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:52,"GOOD FT by BILBO,KJ",42 (+11),,31,,LC 42-31 (-11),,"GOOD FT by BILBO,KJ",1
00:52,"SUB IN by AMES,TREY",,,,,,,"SUB IN by AMES,TREY",1
00:52,"SUB OUT by BILBO,KJ",,,,,,,"SUB OUT by BILBO,KJ",1
00:33,,42 (+9),,33,"GOOD LAYUP by COMAN,SEAN(in the paint)",Hend 42-33 (-9),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
00:00,"GOOD 3PTR by RHONE,JAYLEN",45 (+12),,33,,LC 45-33 (-12),,"GOOD 3PTR by RHONE,JAYLEN",1
--,"ASSIST  by BROUSSARD,KEANDRE",,,,,,,"ASSIST  by BROUSSARD,KEANDRE",1
20:00,"SUB IN by BILBO,KJ",,,,,,,"SUB IN by BILBO,KJ",2
20:00,"SUB IN by BLAKES,LOUIS",,,,,,,"SUB IN by BLAKES,LOUIS",2
20:00,"SUB IN by MURPHY,CJ",,,,,,,"SUB IN by MURPHY,CJ",2
20:00,"SUB OUT by HOWE,CALEB",,,,,,,"SUB OUT by HOWE,CALEB",2
20:00,"SUB OUT by BROUSSARD,KEANDRE",,,,,,,"SUB OUT by BROUSSARD,KEANDRE",2
20:00,"SUB OUT by AMES,TREY",,,,,,,"SUB OUT by AMES,TREY",2
19:43,,45 (+10),,35,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",Hend 45-35 (-10),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",2
19:11,"MISS 3PTR by BILBO,KJ",,,,,,,"MISS 3PTR by BILBO,KJ",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
18:44,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:44,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
18:11,"MISS JUMPER by BAKER,KAE'RON",,,,,,,"MISS JUMPER by BAKER,KAE'RON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:11,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:51,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by BLAKES,LOUIS",,,,,,,"REBOUND DEF by BLAKES,LOUIS",2
17:30,"TURNOVER  by MURPHY,CJ",,,,,,,"TURNOVER  by MURPHY,CJ",2
17:30,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",2
17:25,,45 (+8),,37,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",Hend 45-37 (-8),,"GOOD LAYUP by STANLEY,SETH(fastbreak)(in the paint)",2
17:07,"TURNOVER  by RHONE,JAYLEN",,,,,,,"TURNOVER  by RHONE,JAYLEN",2
17:07,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
17:03,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",2
--,"REBOUND DEF by BLAKES,LOUIS",,,,,,,"REBOUND DEF by BLAKES,LOUIS",2
17:00,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",2
17:00,"SUB IN by HOWE,CALEB",,,,,,,"SUB IN by HOWE,CALEB",2
17:00,"SUB IN by BROUSSARD,KEANDRE",,,,,,,"SUB IN by BROUSSARD,KEANDRE",2
17:00,"SUB OUT by RHONE,JAYLEN",,,,,,,"SUB OUT by RHONE,JAYLEN",2
17:00,"SUB OUT by BLAKES,LOUIS",,,,,,,"SUB OUT by BLAKES,LOUIS",2
16:56,"TURNOVER  by MURPHY,CJ",,,,,,,"TURNOVER  by MURPHY,CJ",2
16:56,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",2
16:54,"FOUL  by MURPHY,CJ",,,,,,,"FOUL  by MURPHY,CJ",2
16:42,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
16:28,,45 (+6),,39,"GOOD JUMPER by II,ROD CUMMINGS",Hend 45-39 (-6),,"GOOD JUMPER by II,ROD CUMMINGS",2
16:06,"MISS LAYUP by BILBO,KJ",,,,,,,"MISS LAYUP by BILBO,KJ",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
15:56,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
