Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
19:47,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:19,,0,,2 (+2),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 0-2 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by CRAWFORD,TRACE",,,"ASSIST  by CRAWFORD,TRACE",1
18:58,"GOOD LAYUP by SONE,CARLOS(in the paint)",2,,2,,OUM 2-2 (0),,"GOOD LAYUP by SONE,CARLOS(in the paint)",1
18:42,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
18:31,"GOOD 3PTR by JENEI,RYAN",5 (+3),,2,,OUM 5-2 (-3),,"GOOD 3PTR by JENEI,RYAN",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
18:12,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
18:12,"BLOCK  by FOSTER,LANE",,,,,,,"BLOCK  by FOSTER,LANE",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
18:07,"MISS LAYUP by JENEI,RYAN",,,,,,,"MISS LAYUP by JENEI,RYAN",1
18:07,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
18:00,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",1
18:00,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:00,,5 (+2),,3,"GOOD FT by LINK,JACOB",HENDRIXM 5-3 (-2),,"GOOD FT by LINK,JACOB",1
18:00,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
18:00,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
17:49,,,,,"FOUL  by PRINS,ZACHARY",,,"FOUL  by PRINS,ZACHARY",1
17:36,"GOOD JUMPER by CHAMBERS,DIMETRI",7 (+4),,3,,OUM 7-3 (-4),,"GOOD JUMPER by CHAMBERS,DIMETRI",1
17:17,,,,,"MISS JUMPER by CRAWFORD,TRACE",,,"MISS JUMPER by CRAWFORD,TRACE",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
17:09,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",1
17:09,"MISS FT by CHAMBERS,DIMETRI",,,,,,,"MISS FT by CHAMBERS,DIMETRI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:09,"GOOD FT by CHAMBERS,DIMETRI",8 (+5),,3,,OUM 8-3 (-5),,"GOOD FT by CHAMBERS,DIMETRI",1
16:52,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
16:39,"MISS JUMPER by CHAMBERS,DIMETRI",,,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by CRAWFORD,TRACE",,,"REBOUND DEF by CRAWFORD,TRACE",1
16:24,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
16:07,"MISS 3PTR by FOSTER,LANE",,,,,,,"MISS 3PTR by FOSTER,LANE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:47,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
15:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
15:47,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
15:47,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
15:47,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
15:47,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
15:47,,,,,"SUB OUT by PRINS,ZACHARY",,,"SUB OUT by PRINS,ZACHARY",1
15:47,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
15:38,"TURNOVER  by SONE,CARLOS",,,,,,,"TURNOVER  by SONE,CARLOS",1
15:19,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
15:11,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
14:58,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
14:55,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
