Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
17:03,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
16:58,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
16:58,"BLOCK  by WILHELM,CORY",,,,,,,"BLOCK  by WILHELM,CORY",1
--,"REBOUND DEF by WILHELM,CORY",,,,,,,"REBOUND DEF by WILHELM,CORY",1
16:43,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
16:15,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
16:15,,7,,10 (+3),"GOOD FT by STANLEY,SETH",HENDRIXM 7-10 (+3),,"GOOD FT by STANLEY,SETH",1
16:15,,7,,11 (+4),"GOOD FT by STANLEY,SETH",HENDRIXM 7-11 (+4),,"GOOD FT by STANLEY,SETH",1
16:15,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
16:15,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
16:15,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
16:15,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
15:52,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
15:45,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:39,,7,,13 (+6),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 7-13 (+6),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
15:18,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
15:18,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
15:18,,7,,15 (+8),"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIXM 7-15 (+8),,"GOOD JUMPER by II,ROD CUMMINGS(fastbreak)(in the paint)",1
15:18,"MISS LAYUP by RENELIQUE,DARNEL",,,,,,,"MISS LAYUP by RENELIQUE,DARNEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:18,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
15:18,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
15:18,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
14:33,"TURNOVER  by RENELIQUE,DARNEL",,,,,,,"TURNOVER  by RENELIQUE,DARNEL",1
14:28,"SUB IN by WHEELER,COLEMAN",,,,,,,"SUB IN by WHEELER,COLEMAN",1
14:28,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
14:28,"SUB IN by DUKE,SETH",,,,,,,"SUB IN by DUKE,SETH",1
14:28,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
14:28,"SUB OUT by RENELIQUE,DARNEL",,,,,,,"SUB OUT by RENELIQUE,DARNEL",1
14:28,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
14:18,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by DUKE,SETH",,,,,,,"REBOUND DEF by DUKE,SETH",1
14:07,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
14:07,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
14:07,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
14:07,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
14:07,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:55,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
13:45,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by WHEELER,COLEMAN",,,,,,,"REBOUND DEF by WHEELER,COLEMAN",1
13:32,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
13:32,"MISS FT by DAVIS,JACOBE",,,,,,,"MISS FT by DAVIS,JACOBE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:32,"MISS FT by DAVIS,JACOBE",,,,,,,"MISS FT by DAVIS,JACOBE",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:11,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",1
12:49,"MISS 3PTR by KNIGHT,KELVIN",,,,,,,"MISS 3PTR by KNIGHT,KELVIN",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
12:45,"FOUL  by DUKE,SETH",,,,,,,"FOUL  by DUKE,SETH",1
12:45,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
12:45,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
12:45,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
12:45,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
12:23,"FOUL  by KNIGHT,KELVIN",,,,,,,"FOUL  by KNIGHT,KELVIN",1
12:23,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:23,,7,,16 (+9),"GOOD FT by CONRAD,ALEX",HENDRIXM 7-16 (+9),,"GOOD FT by CONRAD,ALEX",1
12:23,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
12:23,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
12:03,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",9,,16 (+7),,UO 9-16 (+7),,"GOOD LAYUP by KNIGHT,KELVIN(in the paint)",1
11:47,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
11:45,"STEAL  by KNIGHT,KELVIN",,,,,,,"STEAL  by KNIGHT,KELVIN",1
11:41,"GOOD 3PTR by WHEELER,COLEMAN",12,,16 (+4),,UO 12-16 (+4),,"GOOD 3PTR by WHEELER,COLEMAN",1
--,"ASSIST  by WINSTON,CORDY",,,,,,,"ASSIST  by WINSTON,CORDY",1
11:27,,,,,"MISS JUMPER by CARTWRIGHT,BROOKS",,,"MISS JUMPER by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
11:18,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
11:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:18,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:18,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",1
--,"REBOUND OFF by RENELIQUE,DARNEL",,,,,,,"REBOUND OFF by RENELIQUE,DARNEL",1
11:18,"MISS JUMPER by JOHNSON,BRYSON",,,,,,,"MISS JUMPER by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
11:04,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
10:58,,12,,18 (+6),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 12-18 (+6),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by PHILLIP,ADAM",,,"ASSIST  by PHILLIP,ADAM",1
10:37,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:18,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
10:16,"STEAL  by DUKE,SETH",,,,,,,"STEAL  by DUKE,SETH",1
10:12,,,,,"FOUL  by CARTWRIGHT,BROOKS",,,"FOUL  by CARTWRIGHT,BROOKS",1
10:12,"GOOD FT by DUKE,SETH",13,,18 (+5),,UO 13-18 (+5),,"GOOD FT by DUKE,SETH",1
10:12,"MISS FT by DUKE,SETH",,,,,,,"MISS FT by DUKE,SETH",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
10:12,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
10:12,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",1
10:12,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
10:12,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
10:02,,13,,20 (+7),"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",HENDRIXM 13-20 (+7),,"GOOD LAYUP by II,ROD CUMMINGS(in the paint)",1
09:42,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",15,,20 (+5),,UO 15-20 (+5),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
09:31,,15,,23 (+8),"GOOD 3PTR by PHILLIP,ADAM",HENDRIXM 15-23 (+8),,"GOOD 3PTR by PHILLIP,ADAM",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
09:05,"GOOD LAYUP by TURPIN,TIM(in the paint)",17,,23 (+6),,UO 17-23 (+6),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",1
08:43,,17,,26 (+9),"GOOD 3PTR by PHILLIP,ADAM",HENDRIXM 17-26 (+9),,"GOOD 3PTR by PHILLIP,ADAM",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:29,"TURNOVER  by RENELIQUE,DARNEL",,,,,,,"TURNOVER  by RENELIQUE,DARNEL",1
08:27,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
08:14,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
08:10,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",19,,26 (+7),,UO 19-26 (+7),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",1
07:50,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",1
--,"REBOUND DEF by DUKE,SETH",,,,,,,"REBOUND DEF by DUKE,SETH",1
07:41,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND OFF by TURPIN,TIM",,,,,,,"REBOUND OFF by TURPIN,TIM",1
07:35,"GOOD LAYUP by TURPIN,TIM(in the paint)",21,,26 (+5),,UO 21-26 (+5),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
07:03,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by DUKE,SETH",,,,,,,"REBOUND DEF by DUKE,SETH",1
06:53,"GOOD 3PTR by TURPIN,TIM",24,,26 (+2),,UO 24-26 (+2),,"GOOD 3PTR by TURPIN,TIM",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
06:23,,24,,28 (+4),"GOOD JUMPER by II,ROD CUMMINGS",HENDRIXM 24-28 (+4),,"GOOD JUMPER by II,ROD CUMMINGS",1
06:05,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:58,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
05:55,,24,,30 (+6),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 24-30 (+6),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
05:35,"MISS JUMPER by TURPIN,TIM",,,,,,,"MISS JUMPER by TURPIN,TIM",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:13,,24,,31 (+7),"GOOD FT by CRAWFORD,TRACE",HENDRIXM 24-31 (+7),,"GOOD FT by CRAWFORD,TRACE",1
05:13,,,,,"MISS FT by CRAWFORD,TRACE",,,"MISS FT by CRAWFORD,TRACE",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
05:13,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
05:13,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
04:59,"MISS 3PTR by WHEELER,COLEMAN",,,,,,,"MISS 3PTR by WHEELER,COLEMAN",1
--,"REBOUND OFF by DAVIS,JACOBE",,,,,,,"REBOUND OFF by DAVIS,JACOBE",1
04:37,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:31,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
04:31,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
04:14,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",1
04:07,"TURNOVER  by WHEELER,COLEMAN",,,,,,,"TURNOVER  by WHEELER,COLEMAN",1
03:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:37,,24,,33 (+9),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 24-33 (+9),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
03:23,"TURNOVER  by WINSTON,CORDY",,,,,,,"TURNOVER  by WINSTON,CORDY",1
03:07,,24,,35 (+11),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 24-35 (+11),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",1
02:57,"MISS 3PTR by DAVIS,JACOBE",,,,,,,"MISS 3PTR by DAVIS,JACOBE",1
--,"REBOUND OFF by WILHELM,CORY",,,,,,,"REBOUND OFF by WILHELM,CORY",1
02:41,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
02:29,,24,,38 (+14),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 24-38 (+14),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
02:09,"TURNOVER  by DAVIS,JACOBE",,,,,,,"TURNOVER  by DAVIS,JACOBE",1
02:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:09,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
02:09,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
02:09,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
02:09,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
02:09,"SUB OUT by WHEELER,COLEMAN",,,,,,,"SUB OUT by WHEELER,COLEMAN",1
02:09,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",1
02:09,"SUB OUT by DUKE,SETH",,,,,,,"SUB OUT by DUKE,SETH",1
02:09,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
01:54,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
01:45,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",26,,38 (+12),,UO 26-38 (+12),,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",1
01:42,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
01:42,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
01:42,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
01:42,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
01:42,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
01:42,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
01:39,,26,,40 (+14),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 26-40 (+14),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
01:39,"FOUL  by WINSTON,CORDY",,,,,,,"FOUL  by WINSTON,CORDY",1
01:39,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
01:30,"GOOD LAYUP by RENELIQUE,DARNEL(in the paint)",28,,40 (+12),,UO 28-40 (+12),,"GOOD LAYUP by RENELIQUE,DARNEL(in the paint)",1
01:06,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
01:04,"STEAL  by RENELIQUE,DARNEL",,,,,,,"STEAL  by RENELIQUE,DARNEL",1
00:59,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",1
--,"REBOUND OFF by WILHELM,CORY",,,,,,,"REBOUND OFF by WILHELM,CORY",1
00:54,"MISS LAYUP by WILHELM,CORY",,,,,,,"MISS LAYUP by WILHELM,CORY",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
00:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:04,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
00:04,,28,,41 (+13),"GOOD FT by LINK,JACOB",HENDRIXM 28-41 (+13),,"GOOD FT by LINK,JACOB",1
00:04,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
00:04,"SUB IN by DUKE,SETH",,,,,,,"SUB IN by DUKE,SETH",1
00:04,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
00:01,"TURNOVER  by WILHELM,CORY",,,,,,,"TURNOVER  by WILHELM,CORY",1
00:01,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
00:00,,28,,43 (+15),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 28-43 (+15),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:48,,28,,45 (+17),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 28-45 (+17),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
19:32,"TURNOVER  by DAVIS,JACOBE",,,,,,,"TURNOVER  by DAVIS,JACOBE",2
19:32,"FOUL  by DAVIS,JACOBE",,,,,,,"FOUL  by DAVIS,JACOBE",2
19:32,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",2
19:32,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",2
19:32,"SUB OUT by DUKE,SETH",,,,,,,"SUB OUT by DUKE,SETH",2
19:32,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",2
19:28,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
19:28,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
19:13,"MISS JUMPER by RENELIQUE,DARNEL",,,,,,,"MISS JUMPER by RENELIQUE,DARNEL",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
18:57,,28,,47 (+19),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 28-47 (+19),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
18:57,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",2
18:57,,28,,48 (+20),"GOOD FT by STANLEY,SETH",HENDRIXM 28-48 (+20),,"GOOD FT by STANLEY,SETH",2
18:41,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
18:29,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",2
18:07,"MISS JUMPER by JOHNSON,BRYSON",,,,,,,"MISS JUMPER by JOHNSON,BRYSON",2
18:07,,,,,"BLOCK  by II,ROD CUMMINGS",,,"BLOCK  by II,ROD CUMMINGS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:50,"MISS LAYUP by DAVIS,JACOBE",,,,,,,"MISS LAYUP by DAVIS,JACOBE",2
17:50,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
17:43,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
17:38,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
17:25,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
