Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
13:43,"GOOD JUMPER by ,BRUCE BRIGHT JR(in the paint)",6,,8 (+2),,BSC-M 6-8 (+2),,"GOOD JUMPER by ,BRUCE BRIGHT JR(in the paint)",1
13:43,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
13:43,"MISS FT by ,BRUCE BRIGHT JR",,,,,,,"MISS FT by ,BRUCE BRIGHT JR",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
13:43,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:43,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
13:43,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:43,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:36,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
13:29,"GOOD LAYUP by GONDA,MATT(fastbreak)(in the paint)",8,,8,,BSC-M 8-8 (0),,"GOOD LAYUP by GONDA,MATT(fastbreak)(in the paint)",1
13:13,,8,,10 (+2),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 8-10 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
12:58,"GOOD LAYUP by MORRISON,JASON(in the paint)",10,,10,,BSC-M 10-10 (0),,"GOOD LAYUP by MORRISON,JASON(in the paint)",1
12:37,,10,,12 (+2),"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIXM 10-12 (+2),,"GOOD LAYUP by EATON,JACK(in the paint)",1
12:20,"TURNOVER  by ,BRUCE BRIGHT JR",,,,,,,"TURNOVER  by ,BRUCE BRIGHT JR",1
12:18,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
12:16,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
12:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:54,"GOOD JUMPER by FITZGERALD,PAUL",12,,12,,BSC-M 12-12 (0),,"GOOD JUMPER by FITZGERALD,PAUL",1
11:37,,12,,15 (+3),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 12-15 (+3),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
11:13,"TURNOVER  by MORRISON,JASON",,,,,,,"TURNOVER  by MORRISON,JASON",1
10:56,,12,,17 (+5),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 12-17 (+5),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
10:40,"MISS LAYUP by FITZGERALD,PAUL",,,,,,,"MISS LAYUP by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
10:26,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
10:16,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:09,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
10:09,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
10:09,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
10:09,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
10:09,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
10:09,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
10:09,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
10:09,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
10:09,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
10:09,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
10:09,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
09:54,"GOOD JUMPER by SPENCE,BEN",14,,17 (+3),,BSC-M 14-17 (+3),,"GOOD JUMPER by SPENCE,BEN",1
09:37,,14,,20 (+6),"GOOD 3PTR by CARTWRIGHT,BROOKS",HENDRIXM 14-20 (+6),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
09:13,"MISS 3PTR by ,BRUCE BRIGHT JR",,,,,,,"MISS 3PTR by ,BRUCE BRIGHT JR",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
08:47,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
08:38,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
08:38,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
08:38,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
08:38,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
08:38,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
08:01,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
07:46,"GOOD JUMPER by O'SULLIVAN,CONOR",16,,20 (+4),,BSC-M 16-20 (+4),,"GOOD JUMPER by O'SULLIVAN,CONOR",1
--,"ASSIST  by BAK,CALVIN",,,,,,,"ASSIST  by BAK,CALVIN",1
