Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
19:49,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
19:48,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
19:45,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
19:45,"GOOD FT by JOHNSON,MICAH",1 (+1),,0,,BCM 1-0 (-1),,"GOOD FT by JOHNSON,MICAH",1
19:45,"GOOD FT by JOHNSON,MICAH",2 (+2),,0,,BCM 2-0 (-2),,"GOOD FT by JOHNSON,MICAH",1
19:20,,2,,3 (+1),"GOOD 3PTR by LINK,JACOB",HENDRIXM 2-3 (+1),,"GOOD 3PTR by LINK,JACOB",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
18:56,"MISS LAYUP by HASLAM,ETHAN",,,,,,,"MISS LAYUP by HASLAM,ETHAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
18:43,,2,,6 (+4),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 2-6 (+4),,"GOOD 3PTR by STANLEY,SETH",1
18:24,"GOOD JUMPER by ESTES,DJ(in the paint)",4,,6 (+2),,BCM 4-6 (+2),,"GOOD JUMPER by ESTES,DJ(in the paint)",1
17:58,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
17:47,"MISS JUMPER by JOHNSON,MICAH",,,,,,,"MISS JUMPER by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
17:25,,4,,9 (+5),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 4-9 (+5),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
17:07,"GOOD JUMPER by JONES,DREW",6,,9 (+3),,BCM 6-9 (+3),,"GOOD JUMPER by JONES,DREW",1
16:54,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
16:33,"MISS JUMPER by ESTES,DJ",,,,,,,"MISS JUMPER by ESTES,DJ",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
16:17,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",1
16:17,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
16:17,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
16:13,,6,,11 (+5),"GOOD JUMPER by STANLEY,SETH",HENDRIXM 6-11 (+5),,"GOOD JUMPER by STANLEY,SETH",1
16:00,"MISS LAYUP by HASLAM,ETHAN",,,,,,,"MISS LAYUP by HASLAM,ETHAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
15:50,,6,,14 (+8),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 6-14 (+8),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
15:49,"FOUL  by JONES,DREW",,,,,,,"FOUL  by JONES,DREW",1
15:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:49,,6,,15 (+9),"GOOD FT by STANLEY,SETH",HENDRIXM 6-15 (+9),,"GOOD FT by STANLEY,SETH",1
15:28,"GOOD JUMPER by HAYNES,CALEB(in the paint)",8,,15 (+7),,BCM 8-15 (+7),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
15:06,"FOUL  by HAYNES,CALEB",,,,,,,"FOUL  by HAYNES,CALEB",1
15:05,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",1
